,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent,,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,31,11,20,0.355,-19.6,-4.12,,2,12,,9,5,,0,14,,2214,2228,,1255,759,1640,0.463,181,524,0.345,529,747,0.708,305,1004,407,205,128,431,576
2,Air Force,30,12,18,0.4,-4.08,1.71,,6,12,,8,9,,3,8,,1980,2074,,1210,690,1595,0.433,212,647,0.328,482,687,0.702,295,1016,404,208,128,354,559
3,Akron,34,21,13,0.618,1.16,-0.48,,12,6,,13,2,,6,8,,2332,2276,,1375,809,1868,0.433,173,517,0.335,483,675,0.716,368,1128,378,223,106,439,644
4,Alabama,32,13,19,0.406,8.34,8.88,,7,11,,13,4,,0,11,,2170,2150,,1295,727,1736,0.419,177,575,0.308,519,698,0.744,384,1117,381,179,129,410,611
5,Alabama A&M,30,14,16,0.467,-13.86,-10.58,,10,8,,7,4,,5,11,,1936,2010,,1215,642,1585,0.405,148,452,0.327,578,831,0.696,373,1141,291,197,93,413,588
6,Alabama State,32,19,13,0.594,-12.84,-11.4,,12,6,,13,1,,5,10,,2265,2225,,1300,789,1779,0.444,166,529,0.314,481,692,0.695,375,1181,383,195,101,476,647
7,Albany (NY) NCAA,34,19,15,0.559,-3.31,-5.22,,9,7,,10,3,,7,11,,2239,2174,,1375,775,1848,0.419,236,676,0.349,388,537,0.723,329,1062,419,197,103,397,646
8,Alcorn State,31,12,19,0.387,-15.95,-9.27,,9,9,,9,3,,2,13,,1985,2101,,1265,724,1684,0.43,179,524,0.342,474,667,0.711,339,1069,379,168,79,390,542
9,American NCAA,33,20,13,0.606,0.69,-3.25,,13,5,,11,3,,9,9,,2081,1951,,1325,671,1621,0.414,161,505,0.319,448,660,0.679,319,962,336,234,79,396,579
10,Appalachian State,30,9,21,0.3,-15.32,-7.13,,5,11,,7,7,,2,13,,2034,2152,,1210,763,1644,0.464,179,486,0.368,447,670,0.667,303,1064,388,170,130,386,601
11,Arizona NCAA,38,33,5,0.868,23.36,9.04,,15,3,,18,0,,8,3,,2769,2225,,1540,776,2041,0.38,173,541,0.32,500,698,0.716,369,1181,347,178,118,471,699
12,Arizona State NCAA,33,21,12,0.636,13.32,7.41,,10,8,,16,1,,4,7,,2486,2291,,1345,821,1961,0.419,175,536,0.326,474,732,0.648,385,1251,387,184,135,394,658
13,Arkansas,34,22,12,0.647,14.34,5.57,,10,8,,17,2,,3,7,,2723,2425,,1376,809,1983,0.408,213,615,0.346,594,852,0.697,473,1340,391,185,105,579,688
14,Arkansas State,32,19,13,0.594,-0.44,-3.18,,10,8,,11,4,,7,8,,2432,2299,,1315,811,1886,0.43,200,615,0.325,477,665,0.717,362,1172,360,195,91,421,650
15,Arkansas-Pine Bluff,31,13,18,0.419,-15.39,-6.9,,11,7,,6,3,,6,12,,1957,2188,,1240,727,1559,0.466,203,566,0.359,531,776,0.684,325,1082,453,233,131,514,567
16,Army,31,15,16,0.484,-6.16,-4.66,,10,8,,7,7,,7,8,,2244,2269,,1250,807,1755,0.46,208,541,0.384,447,621,0.72,343,1088,413,227,103,424,562
17,Auburn,30,14,16,0.467,5.11,5.47,,6,12,,12,6,,2,8,,2144,2155,,1201,695,1615,0.43,219,566,0.387,546,787,0.694,343,1053,417,174,108,381,613
18,Austin Peay,30,12,18,0.4,-10.5,-5.78,,6,10,,8,6,,3,11,,2287,2368,,1215,838,1817,0.461,234,651,0.359,458,622,0.736,364,1052,475,235,99,430,637
19,Ball State,30,5,25,0.167,-10.17,0.65,,2,16,,5,9,,0,16,,1967,2214,,1225,769,1671,0.46,158,476,0.332,518,738,0.702,302,996,412,258,110,339,577
20,Baylor NCAA,38,26,12,0.684,15.8,10.11,,9,9,,13,4,,5,5,,2843,2577,,1540,927,2179,0.425,258,731,0.353,465,688,0.676,432,1200,566,203,108,394,728
21,Belmont,36,26,10,0.722,3.29,-1.88,,14,2,,13,1,,10,8,,2876,2661,,1440,914,1989,0.46,248,709,0.35,585,839,0.697,396,1177,458,260,112,517,740
22,Bethune-Cookman,32,7,25,0.219,-16.86,-7.53,,5,11,,5,6,,2,18,,2032,2252,,1290,728,1604,0.454,193,545,0.354,603,850,0.709,372,1121,421,196,147,406,554
23,Binghamton,30,7,23,0.233,-16.15,-6.15,,4,12,,3,10,,4,12,,1840,2140,,1215,724,1601,0.452,244,634,0.385,448,654,0.685,315,1074,442,222,104,394,605
24,Boise State,34,21,13,0.618,8.83,3.86,,9,9,,12,4,,5,7,,2591,2347,,1380,809,1814,0.446,218,629,0.347,511,727,0.703,274,1025,385,156,114,397,639
25,Boston College,32,8,24,0.25,3.01,8.62,,4,14,,4,9,,3,11,,2197,2354,,1305,824,1771,0.465,182,493,0.369,524,719,0.729,357,1067,393,177,92,303,589
26,Boston University,35,24,11,0.686,1.77,-2.4,,15,3,,11,6,,11,4,,2492,2346,,1420,844,1924,0.439,229,647,0.354,429,607,0.707,351,1203,447,179,107,478,563
27,Bowling Green State,32,12,20,0.375,-3.45,-0.2,,6,12,,7,8,,4,11,,2007,2055,,1290,716,1740,0.411,199,570,0.349,424,650,0.652,353,1138,403,268,108,451,567
28,Bradley,32,12,20,0.375,-2.72,-0.31,,7,11,,11,6,,1,11,,2036,2113,,1279,704,1614,0.436,206,631,0.326,499,700,0.713,319,1066,399,187,107,413,575
29,Brigham Young NCAA,35,23,12,0.657,11.63,5.72,,13,5,,14,1,,5,7,,2931,2706,,1425,935,2175,0.43,259,764,0.339,577,810,0.712,382,1253,515,213,147,441,800
30,Brown,29,15,14,0.517,-1.44,-4.04,,7,7,,8,6,,7,8,,2065,1951,,1170,671,1703,0.394,163,544,0.3,446,627,0.711,315,1068,343,184,128,343,536
31,Bryant,32,18,14,0.563,-4.25,-4.89,,10,6,,11,4,,7,9,,2351,2304,,1290,819,1888,0.434,243,675,0.36,423,622,0.68,402,1165,415,216,143,404,585
32,Bucknell,30,16,14,0.533,-1.3,-3.14,,11,7,,8,6,,8,8,,1977,1922,,1200,697,1644,0.424,182,537,0.339,346,522,0.663,252,953,342,167,143,274,469
33,Buffalo,29,19,10,0.655,3.58,-2.13,,13,5,,13,1,,6,6,,2132,1952,,1165,693,1640,0.423,163,526,0.31,403,591,0.682,329,986,354,198,79,385,582
34,Butler,31,14,17,0.452,7.04,6.98,,4,14,,8,7,,4,7,,2125,2064,,1275,767,1714,0.447,163,529,0.308,367,531,0.691,290,1058,380,169,111,365,580
35,Cal Poly NCAA,34,14,20,0.412,-1.34,1.69,,6,10,,6,6,,3,12,,2141,2163,,1360,739,1703,0.434,183,541,0.338,502,694,0.723,341,1150,418,153,120,383,539
36,Cal State Bakersfield,32,13,19,0.406,-4.86,-4.31,,5,11,,6,7,,5,10,,2215,2189,,1290,710,1642,0.432,180,576,0.313,589,847,0.695,326,1046,382,214,113,406,621
37,Cal State Fullerton,31,11,20,0.355,-5.08,-1.12,,6,10,,8,5,,3,12,,2092,2215,,1245,758,1656,0.458,163,480,0.34,536,760,0.705,296,1086,402,152,111,353,584
38,Cal State Northridge,35,17,18,0.486,-4.89,-3.29,,7,9,,11,3,,2,14,,2689,2712,,1441,924,2033,0.455,268,769,0.349,596,847,0.704,386,1154,513,210,119,431,724
39,California,35,21,14,0.6,10.7,7.44,,10,8,,15,4,,5,7,,2533,2419,,1416,850,2044,0.416,216,612,0.353,503,688,0.731,380,1220,431,158,115,354,623
40,Campbell,32,12,20,0.375,-14.04,-7.33,,6,10,,9,7,,3,12,,2164,2291,,1295,828,1807,0.458,184,536,0.343,451,659,0.684,388,1123,400,231,83,343,493
41,Canisius,34,21,13,0.618,1.24,-1.95,,14,6,,9,4,,8,7,,2661,2570,,1350,879,1952,0.45,230,689,0.334,499,690,0.723,428,1204,509,198,92,453,633
42,Central Arkansas,29,8,21,0.276,-16.25,-5.54,,5,13,,7,8,,1,13,,2165,2360,,1168,801,1718,0.466,165,470,0.351,593,832,0.713,385,1182,453,210,85,436,550
43,Central Connecticut State,30,11,19,0.367,-13.1,-6.06,,7,9,,5,8,,6,10,,2117,2318,,1210,831,1849,0.449,227,624,0.364,429,625,0.686,411,1187,378,201,141,392,497
44,Central Michigan,31,10,21,0.323,-8.82,-2.72,,3,15,,8,8,,2,13,,2246,2288,,1260,806,1643,0.491,215,605,0.355,461,626,0.736,291,1057,428,177,110,420,587
45,Charleston Southern,31,13,18,0.419,-5.27,-5.75,,6,10,,8,6,,4,12,,2523,2242,,1265,767,1773,0.433,242,627,0.386,466,671,0.694,317,1075,384,161,123,394,559
46,Charlotte,31,17,14,0.548,-0.69,-0.5,,7,9,,10,5,,3,8,,2215,2221,,1250,795,1827,0.435,207,632,0.328,424,659,0.643,341,1084,375,214,100,379,638
47,Chattanooga,33,18,15,0.545,-10.83,-7.9,,12,4,,11,2,,5,11,,2489,2439,,1330,891,1928,0.462,173,507,0.341,484,714,0.678,374,1174,422,203,131,456,672
48,Chicago State,32,13,19,0.406,-10.47,-2.44,,8,8,,9,5,,4,13,,2232,2439,,1305,788,1732,0.455,223,635,0.351,640,916,0.699,392,1285,432,173,130,511,596
49,Cincinnati NCAA,34,27,7,0.794,15.26,5.28,,15,3,,18,1,,7,3,,2325,1986,,1360,690,1745,0.395,182,568,0.32,424,628,0.675,366,1078,374,177,120,485,634
50,Clemson,36,23,13,0.639,11.08,5.97,,10,8,,16,3,,4,7,,2287,2103,,1471,778,1970,0.395,172,603,0.285,375,564,0.665,418,1199,373,195,104,380,594
51,Cleveland State,33,21,12,0.636,4.38,-0.52,,12,4,,12,3,,9,8,,2410,2186,,1340,730,1745,0.418,201,612,0.328,525,738,0.711,358,1055,438,178,123,424,568
52,Coastal Carolina NCAA,34,21,13,0.618,-5.21,-6.31,,11,5,,14,5,,6,7,,2458,2326,,1375,778,1934,0.402,264,822,0.321,506,730,0.693,372,1175,397,240,136,440,649
53,Colgate,31,13,18,0.419,-2.51,-4.08,,6,12,,7,8,,6,10,,2158,2083,,1260,747,1673,0.447,190,567,0.335,399,580,0.688,288,989,358,176,68,323,470
54,College of Charleston,32,14,18,0.438,-2.02,-1.89,,6,10,,9,7,,4,8,,2016,2006,,1300,689,1685,0.409,158,462,0.342,470,721,0.652,313,1038,272,184,120,308,533
55,Colorado NCAA,35,23,12,0.657,10.8,8.8,,10,8,,16,2,,5,6,,2457,2387,,1415,856,1986,0.431,251,706,0.356,424,603,0.703,319,1098,465,230,118,422,711
56,Colorado State,32,16,16,0.5,3.29,2.16,,7,11,,14,6,,2,9,,2347,2230,,1280,769,1741,0.442,230,616,0.373,462,648,0.713,294,1049,397,155,110,352,697
57,Columbia,34,21,13,0.618,2.21,-1.92,,8,6,,14,4,,5,8,,2313,2151,,1384,749,1751,0.428,165,470,0.351,488,706,0.691,295,1015,333,183,117,360,617
58,Connecticut NCAA,40,32,8,0.8,17.23,8.63,,12,6,,14,3,,6,4,,2873,2529,,1610,878,2241,0.392,241,731,0.33,532,801,0.664,492,1378,454,228,127,518,731
59,Coppin State,32,12,20,0.375,-11.09,-4.99,,7,9,,5,7,,5,10,,2231,2403,,1285,858,1852,0.463,248,696,0.356,439,662,0.663,407,1255,516,177,141,433,650
60,Cornell,28,2,26,0.071,-15.6,0.03,,1,13,,2,11,,0,15,,1795,2195,,1130,740,1493,0.496,208,508,0.409,507,701,0.723,279,1011,412,166,99,290,460
61,Creighton NCAA,35,27,8,0.771,18.03,7.17,,14,4,,16,0,,7,4,,2756,2376,,1400,844,1983,0.426,234,685,0.342,454,654,0.694,347,1112,428,169,98,338,647
62,Dartmouth,28,12,16,0.429,-4.85,-3.24,,5,9,,8,7,,4,9,,1905,1864,,1125,602,1356,0.444,168,461,0.364,492,658,0.748,230,869,292,155,107,366,538
63,Davidson,33,20,13,0.606,0.81,-3.73,,15,1,,8,4,,10,4,,2591,2404,,1340,835,1783,0.468,167,473,0.353,567,804,0.705,302,1085,355,188,110,412,678
64,Dayton NCAA,37,26,11,0.703,10.55,5.34,,10,6,,13,4,,7,4,,2671,2478,,1490,843,1936,0.435,203,612,0.332,589,832,0.708,353,1158,431,183,166,459,704
65,Delaware NCAA,35,25,10,0.714,2.73,-1.1,,14,2,,10,2,,11,7,,2782,2648,,1405,936,2115,0.443,219,670,0.327,557,803,0.694,429,1365,414,171,132,418,736
66,Delaware State,30,9,21,0.3,-12.64,-6.11,,5,11,,7,7,,2,12,,1847,1946,,1215,664,1544,0.43,167,559,0.299,451,636,0.709,339,1023,385,172,114,340,526
67,Denver,31,16,15,0.516,0.84,-0.42,,8,6,,9,4,,5,8,,2044,1999,,1260,688,1437,0.479,145,416,0.349,478,695,0.688,288,972,347,159,88,388,500
68,DePaul,33,12,21,0.364,1.5,7.47,,3,15,,8,9,,3,9,,2290,2487,,1340,848,1768,0.48,210,561,0.374,581,825,0.704,335,1130,440,219,155,430,662
69,Detroit Mercy,32,13,19,0.406,-3.25,-0.25,,6,10,,8,7,,5,12,,2275,2267,,1305,738,1725,0.428,216,598,0.361,575,832,0.691,338,1108,447,185,119,438,621
70,Drake,31,15,16,0.484,-0.77,1.03,,6,12,,9,5,,4,9,,2116,2115,,1245,734,1647,0.446,206,599,0.344,441,634,0.696,272,977,356,201,118,344,586
71,Drexel,30,16,14,0.533,1.23,-0.24,,8,8,,8,4,,6,8,,2064,2020,,1245,682,1606,0.425,151,490,0.308,505,749,0.674,319,1093,313,118,104,338,586
72,Duke NCAA,35,26,9,0.743,19.51,8.48,,13,5,,17,0,,4,5,,2745,2359,,1405,848,1860,0.456,138,449,0.307,525,758,0.693,357,1137,380,174,117,425,655
73,Duquesne,30,13,17,0.433,0.66,1.03,,5,11,,6,8,,7,6,,2200,2211,,1200,780,1712,0.456,264,671,0.393,387,576,0.672,299,1058,508,151,120,361,563
74,East Carolina,34,17,17,0.5,-4.08,-2.41,,5,11,,10,7,,3,10,,2477,2411,,1360,892,1977,0.451,220,680,0.324,407,609,0.668,414,1206,503,207,121,410,657
