,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent,,,,,,,,,,,,,,,,
75,East Tennessee State,35,19,16,0.543,-5.93,-6.08,,10,8,,14,6,,5,10,,2689,2663,,1410,903,2044,0.442,269,811,0.332,588,853,0.689,422,1339,507,196,138,491,721
76,Eastern Illinois,30,11,19,0.367,-11.53,-4.21,,7,9,,7,7,,4,11,,2030,2206,,1200,745,1591,0.468,205,524,0.391,511,721,0.709,305,988,397,219,107,361,575
77,Eastern Kentucky NCAA,34,24,10,0.706,0.6,-4.34,,11,5,,12,2,,8,6,,2677,2411,,1365,793,1631,0.486,204,577,0.354,621,880,0.706,325,1110,454,185,113,574,671
78,Eastern Michigan,37,22,15,0.595,1.79,0.67,,10,8,,16,3,,4,11,,2423,2270,,1495,739,2001,0.369,249,796,0.313,543,783,0.693,510,1428,463,224,155,564,753
79,Eastern Washington,31,15,16,0.484,-5.32,-4.15,,10,10,,10,4,,3,11,,2362,2329,,1245,809,1815,0.446,200,580,0.345,511,726,0.704,329,1088,435,208,129,331,598
80,Elon,32,18,14,0.563,-4.02,-4.5,,11,5,,11,4,,7,6,,2392,2281,,1290,806,1837,0.439,174,520,0.335,495,728,0.68,358,1113,332,205,78,364,603
81,Evansville,33,14,19,0.424,-3.12,1.2,,6,12,,10,7,,3,11,,2290,2383,,1330,831,1862,0.446,238,668,0.356,483,684,0.706,372,1126,438,210,147,411,665
82,Fairfield,32,7,25,0.219,-7.37,-0.81,,4,16,,4,9,,2,13,,2030,2240,,1285,699,1649,0.424,154,445,0.346,688,967,0.711,320,1133,339,243,120,358,606
83,FDU,31,10,21,0.323,-11.24,-4.07,,6,10,,6,6,,4,14,,2157,2358,,1250,769,1714,0.449,216,583,0.37,604,826,0.731,410,1177,416,180,127,395,547
84,Florida NCAA,39,36,3,0.923,20.69,8.54,,18,0,,17,0,,10,2,,2727,2253,,1560,806,2004,0.402,207,628,0.33,434,626,0.693,370,1191,386,219,120,526,739
85,Florida A&M,32,14,18,0.438,-12.31,-7.58,,8,8,,9,3,,3,14,,2281,2370,,1290,772,1809,0.427,170,515,0.33,656,973,0.674,435,1282,399,230,148,478,587
86,Florida Atlantic,32,10,22,0.313,-5.12,-0.42,,5,11,,7,8,,3,11,,2120,2192,,1280,752,1787,0.421,165,505,0.327,523,743,0.704,384,1134,346,196,99,350,570
87,Florida Gulf Coast,35,22,13,0.629,-1.97,-5.76,,14,4,,16,2,,6,10,,2504,2339,,1409,821,1989,0.413,239,691,0.346,458,701,0.653,367,1184,378,224,87,444,632
88,Florida International,31,15,16,0.484,-5.4,-1.58,,7,9,,9,6,,5,8,,2128,2170,,1250,766,1780,0.43,189,579,0.326,449,653,0.688,370,1071,426,189,116,388,569
89,Florida State,36,22,14,0.611,12.63,8.13,,9,9,,12,5,,6,6,,2554,2392,,1450,824,2065,0.399,228,694,0.329,516,747,0.691,482,1216,402,239,129,453,746
90,Fordham,31,10,21,0.323,-3.16,3.14,,2,14,,7,8,,2,12,,2224,2419,,1245,829,1793,0.462,224,628,0.357,537,760,0.707,390,1208,458,202,106,387,591
91,Fresno State,39,21,18,0.538,3.59,3.75,,9,9,,13,6,,7,10,,2837,2749,,1590,950,2217,0.429,226,728,0.31,623,907,0.687,446,1435,506,185,123,444,717
92,Furman,30,9,21,0.3,-17.44,-7.4,,3,13,,6,8,,3,12,,1955,2196,,1205,794,1724,0.461,230,611,0.376,378,535,0.707,340,1038,427,210,100,329,566
93,Gardner-Webb,33,18,15,0.545,-7.33,-6.9,,10,6,,8,5,,7,9,,2425,2309,,1360,832,1846,0.451,170,525,0.324,475,681,0.698,341,1131,391,195,142,465,651
94,George Mason,31,11,20,0.355,2.03,4.58,,4,12,,6,8,,4,8,,2154,2233,,1255,746,1677,0.445,188,561,0.335,553,794,0.696,313,1044,381,216,106,378,593
95,George Washington NCAA,33,24,9,0.727,10.6,4.42,,11,5,,14,1,,6,5,,2415,2211,,1324,788,1895,0.416,214,685,0.312,421,632,0.666,383,1113,412,224,117,442,717
96,Georgetown,33,18,15,0.545,10.96,8.27,,8,10,,13,3,,2,9,,2344,2255,,1330,715,1703,0.42,203,610,0.333,622,893,0.697,361,1079,394,189,90,395,696
97,Georgia,34,20,14,0.588,7.9,5.78,,12,6,,15,3,,4,7,,2343,2271,,1369,748,1855,0.403,207,648,0.319,568,805,0.706,365,1101,329,235,142,357,730
98,Georgia Southern,34,15,19,0.441,-11.44,-8.6,,6,10,,7,6,,5,11,,2406,2395,,1375,861,1923,0.448,240,703,0.341,433,623,0.695,349,1200,446,172,102,438,619
99,Georgia State,34,25,9,0.735,6.04,-2.56,,17,1,,13,0,,10,7,,2641,2330,,1380,804,1909,0.421,267,784,0.341,455,670,0.679,413,1233,422,144,91,451,640
100,Georgia Tech,33,16,17,0.485,5.12,5.24,,6,12,,10,7,,5,7,,2200,2204,,1335,761,1815,0.419,197,594,0.332,485,688,0.705,328,1097,399,205,121,334,576
101,Gonzaga NCAA,36,29,7,0.806,15.56,5.36,,15,3,,15,0,,8,4,,2761,2372,,1421,806,2027,0.398,203,639,0.318,557,784,0.71,399,1178,380,210,112,422,716
102,Grambling,29,5,24,0.172,-24.61,-9.05,,3,15,,3,8,,1,15,,1903,2316,,1160,833,1627,0.512,203,542,0.375,447,677,0.66,322,1036,465,215,96,379,523
103,Grand Canyon,30,15,15,0.5,-6.4,-3.51,,10,6,,8,4,,5,9,,2163,2152,,1205,749,1724,0.434,178,510,0.349,476,687,0.693,311,1026,355,196,98,303,661
104,Green Bay,31,24,7,0.774,7.18,0.11,,14,2,,13,4,,9,2,,2304,1999,,1250,701,1780,0.394,188,590,0.319,409,575,0.711,366,1041,353,194,100,428,606
105,Hampton,31,18,13,0.581,-5.17,-7.91,,13,4,,9,3,,8,7,,2262,2177,,1275,687,1728,0.398,188,534,0.352,615,929,0.662,411,1206,310,187,116,498,703
106,Hartford,33,17,16,0.515,-6.63,-6.18,,10,6,,9,3,,7,9,,2162,2177,,1325,763,1665,0.458,182,530,0.343,469,687,0.683,319,1048,357,214,79,430,636
107,Harvard NCAA,32,27,5,0.844,10.79,-0.47,,13,1,,11,1,,11,3,,2343,1952,,1300,680,1664,0.409,164,509,0.322,428,603,0.71,318,1004,342,185,114,459,666
108,Hawaii,31,20,11,0.645,3.43,-1.68,,9,7,,14,5,,6,4,,2479,2270,,1255,783,1752,0.447,197,586,0.336,507,697,0.727,322,978,371,172,114,412,632
109,High Point,31,16,15,0.516,-8.23,-5.23,,12,4,,10,3,,6,11,,2203,2253,,1245,800,1715,0.466,225,636,0.354,428,603,0.71,333,1012,444,203,84,373,531
110,Hofstra,33,10,23,0.303,-6.56,-1.89,,5,11,,7,8,,1,13,,2260,2414,,1325,828,1829,0.453,242,642,0.377,516,754,0.684,347,1108,434,203,115,331,655
111,Holy Cross,34,20,14,0.588,-1.58,-3.28,,12,6,,8,5,,10,7,,2277,2219,,1371,800,1817,0.44,213,569,0.374,404,549,0.736,304,1075,431,182,113,411,637
112,Houston,33,17,16,0.515,2.68,4.62,,8,10,,12,4,,3,9,,2345,2409,,1325,866,1939,0.447,209,599,0.349,468,670,0.699,403,1180,456,218,123,365,599
113,Houston Christian,31,6,25,0.194,-17.39,-5.39,,2,16,,5,8,,1,15,,2091,2373,,1250,825,1833,0.45,181,549,0.33,542,784,0.691,372,1153,395,229,143,368,586
114,Howard,33,8,25,0.242,-16.77,-5.22,,5,11,,4,6,,2,17,,2020,2344,,1335,739,1716,0.431,217,651,0.333,649,937,0.693,409,1206,443,229,140,487,675
115,Idaho,34,16,18,0.471,-6.42,-3.72,,7,9,,7,6,,5,9,,2461,2536,,1375,893,1935,0.461,211,628,0.336,539,791,0.681,358,1148,453,164,111,354,698
116,Idaho State,29,11,18,0.379,-6.42,-4.72,,8,12,,9,4,,2,13,,2054,2036,,1175,706,1562,0.452,254,670,0.379,370,540,0.685,298,922,384,153,114,374,571
117,Illinois,35,20,15,0.571,10.33,8.28,,7,11,,10,6,,6,7,,2248,2176,,1405,771,1833,0.421,221,645,0.343,413,590,0.7,334,1162,390,171,124,412,575
118,Illinois State,34,18,16,0.529,1.08,1.77,,9,9,,14,3,,3,11,,2323,2329,,1375,779,1854,0.42,239,679,0.352,532,791,0.673,381,1272,468,185,115,470,646
119,Illinois-Chicago,31,6,25,0.194,-7.17,0.63,,1,15,,2,12,,2,11,,2071,2248,,1240,752,1616,0.465,201,525,0.383,543,780,0.696,282,1037,422,184,135,360,598
120,Incarnate Word,27,21,6,0.778,-8.47,-10.74,,9,5,,14,1,,7,5,,2216,1935,,1085,682,1689,0.404,176,520,0.338,395,568,0.695,321,954,344,203,90,359,565
121,Indiana,32,17,15,0.531,11.32,6.64,,7,11,,14,4,,2,8,,2312,2162,,1285,757,1837,0.412,182,609,0.299,466,653,0.714,329,998,331,238,153,393,673
122,Indiana State,34,23,11,0.676,3.29,1.19,,12,6,,11,2,,8,7,,2416,2328,,1360,789,1805,0.437,213,602,0.354,537,773,0.695,309,1113,425,202,115,395,656
123,Iona,33,22,11,0.667,5.96,-0.1,,17,3,,11,2,,9,8,,2760,2560,,1325,959,2111,0.454,218,640,0.341,424,620,0.684,446,1261,480,158,117,392,587
124,Iowa NCAA,33,20,13,0.606,18.58,7.43,,9,9,,13,4,,4,6,,2689,2321,,1339,804,1938,0.415,229,722,0.317,484,686,0.706,361,1101,423,209,112,439,717
125,Iowa State NCAA,36,28,8,0.778,18.52,9.88,,11,7,,15,1,,4,6,,2989,2678,,1465,954,2272,0.42,259,760,0.341,511,698,0.732,403,1329,476,197,124,418,698
126,IU Indy,32,6,26,0.188,-14.33,-1.36,,1,13,,5,10,,1,13,,2126,2383,,1283,868,1845,0.47,190,530,0.358,457,607,0.753,321,1134,468,198,102,330,556
127,Jackson State,31,11,20,0.355,-11.62,-8.72,,7,11,,6,6,,5,13,,2041,2131,,1251,674,1563,0.431,198,571,0.347,585,874,0.669,315,1047,354,222,111,448,593
128,Jacksonville,30,12,18,0.4,-11.86,-4.86,,8,10,,10,5,,2,13,,2231,2385,,1200,846,1754,0.482,233,611,0.381,460,663,0.694,362,1105,454,205,95,404,611
129,Jacksonville State,31,10,21,0.323,-11.97,-5.14,,4,12,,7,6,,2,14,,2014,2176,,1240,746,1559,0.479,164,432,0.38,520,729,0.713,309,1046,387,179,108,376,606
130,James Madison,31,11,20,0.355,-7.65,-2.2,,6,10,,5,5,,4,12,,1961,2130,,1245,697,1650,0.422,226,643,0.351,510,733,0.696,341,1088,361,174,78,370,621
131,Kansas NCAA,35,25,10,0.714,20.25,11.4,,14,4,,14,1,,5,6,,2764,2454,,1410,815,1961,0.416,219,617,0.355,605,892,0.678,373,1073,418,232,111,396,742
132,Kansas City,30,10,20,0.333,-9,-1.93,,7,9,,5,9,,5,10,,2085,2295,,1200,783,1692,0.463,207,595,0.348,522,729,0.716,315,1124,428,188,128,418,600
133,Kansas State NCAA,33,20,13,0.606,12.14,8.47,,10,8,,15,2,,2,7,,2280,2159,,1335,723,1774,0.408,162,553,0.293,551,805,0.684,385,1149,380,212,128,416,621
134,Kennesaw State,31,6,25,0.194,-16.16,-4.05,,3,15,,4,11,,2,14,,2016,2304,,1240,777,1699,0.457,168,502,0.335,582,786,0.74,364,1108,355,253,116,400,552
135,Kent State,32,16,16,0.5,-1.81,-1.94,,7,11,,11,7,,5,9,,2228,2188,,1290,717,1667,0.43,182,538,0.338,572,792,0.722,328,1105,388,191,109,427,571
136,Kentucky NCAA,40,29,11,0.725,18.07,9.9,,12,6,,16,2,,5,5,,2992,2665,,1615,933,2271,0.411,222,689,0.322,577,836,0.69,437,1231,416,232,123,428,883
137,La Salle,31,15,16,0.484,4.1,4.75,,7,9,,8,5,,4,8,,2100,2120,,1261,772,1772,0.436,161,486,0.331,415,569,0.729,352,1100,427,182,159,362,544
138,Lafayette,31,11,20,0.355,-7.64,-3.38,,6,12,,6,7,,5,13,,2212,2315,,1250,809,1718,0.471,239,641,0.373,458,630,0.727,341,1033,421,192,93,372,554
139,Lamar,30,4,26,0.133,-16.61,-6.04,,3,15,,2,11,,1,14,,2001,2318,,1200,845,1729,0.489,195,515,0.379,433,666,0.65,347,1075,469,222,119,386,562
140,Lehigh,32,14,18,0.438,-6.52,-3.83,,7,11,,9,5,,4,11,,2121,2207,,1301,795,1872,0.425,211,621,0.34,406,582,0.698,380,1175,484,187,129,359,547
141,Liberty,32,11,21,0.344,-10.26,-7.47,,5,11,,7,8,,2,12,,2250,2234,,1280,767,1772,0.433,236,684,0.345,464,644,0.72,320,980,388,207,124,333,560
142,Lipscomb,30,15,15,0.5,-8.2,-5.13,,10,8,,7,5,,8,10,,2276,2355,,1210,782,1662,0.471,235,665,0.353,556,795,0.699,318,1124,413,186,98,428,644
143,Little Rock,32,15,17,0.469,-5.39,-1.09,,9,9,,7,6,,6,9,,2288,2371,,1320,759,1775,0.428,251,717,0.35,602,869,0.693,347,1136,435,215,119,419,636
144,Long Beach State,32,15,17,0.469,1.44,2.71,,10,6,,9,4,,5,9,,2236,2255,,1295,785,1796,0.437,216,648,0.333,469,665,0.705,363,1133,413,173,108,406,571
145,Long Island University,29,9,20,0.31,-13.66,-5.55,,4,12,,5,6,,4,11,,2080,2315,,1165,844,1771,0.477,247,633,0.39,380,547,0.695,346,1068,493,198,110,312,535
146,Longwood,32,8,24,0.25,-20.31,-5.56,,3,13,,5,9,,3,12,,2235,2570,,1280,863,1826,0.473,260,706,0.368,584,786,0.743,382,1193,524,190,145,420,526
