Conference,Dates,Champ,Runner-up
Atlantic Sun Conference,"Mar 03, 2020 - Mar 08, 2020",Liberty,Lipscomb
Big South Conference,"Mar 03, 2020 - Mar 08, 2020",Winthrop,Hampton
Colonial Athletic Association,"Mar 07, 2020 - Mar 10, 2020",Hofstra,Northeastern
Horizon League,"Mar 03, 2020 - Mar 10, 2020",Northern Ky.,Ill.-Chicago
Missouri Valley Conference,"Mar 05, 2020 - Mar 08, 2020",Bradley,Valparaiso
Mountain West Conference,"Mar 04, 2020 - Mar 07, 2020",Utah St.,San Diego St.
Northeast Conference,"Mar 04, 2020 - Mar 10, 2020",Robert Morris,St. Francis (PA)
Ohio Valley Conference,"Mar 04, 2020 - Mar 07, 2020",Belmont,Murray St.
Patriot League,"Mar 03, 2020 - Mar 11, 2020",Boston U.,Colgate
Southern Conference,"Mar 06, 2020 - Mar 09, 2020",East Tenn. St.,Wofford
Summit League,"Mar 07, 2020 - Mar 10, 2020",North Dakota St.,North Dakota
