Conference,Dates,Champ,Runner-up
American Athletic Conference,"Mar 12, 2025 - Mar 16, 2025",Memphis,UAB
Atlantic Coast Conference,"Mar 11, 2025 - Mar 15, 2025",Duke,Louisville
America East Conference,"Mar 08, 2025 - Mar 15, 2025",Bryant,Maine
Atlantic 10 Conference,"Mar 12, 2025 - Mar 16, 2025",VCU,George Mason
Atlantic Sun Conference,"Mar 02, 2025 - Mar 09, 2025",Lipscomb,North Ala.
Big 12 Conference,"Mar 11, 2025 - Mar 15, 2025",Houston,Arizona
Big East Conference,"Mar 12, 2025 - Mar 15, 2025",St. John's (NY),Creighton
Big Sky Conference,"Mar 08, 2025 - Mar 12, 2025",Montana,Northern Colo.
Big South Conference,"Mar 05, 2025 - Mar 09, 2025",High Point,Winthrop
Big Ten Conference,"Mar 12, 2025 - Mar 16, 2025",Michigan,Wisconsin
Big West Conference,"Mar 12, 2025 - Mar 15, 2025",UC-San Diego,UC-Irvine
Coastal Athletic Association,"Mar 07, 2025 - Mar 11, 2025",UNC Wilm.,Delaware
Conference USA,"Mar 11, 2025 - Mar 15, 2025",Liberty,Jacksonville St.
Horizon League,"Mar 04, 2025 - Mar 11, 2025",Robert Morris,Youngstown St.
Ivy League,"Mar 15, 2025 - Mar 16, 2025",Yale,Cornell
Metro Atlantic Athletic Conference,"Mar 11, 2025 - Mar 15, 2025",Mt. St. Mary's,Iona
Mid-American Conference,"Mar 13, 2025 - Mar 15, 2025",Akron,Miami (OH)
Mid-Eastern Athletic Conference,"Mar 12, 2025 - Mar 15, 2025",Norfolk St.,SC St.
Missouri Valley Conference,"Mar 06, 2025 - Mar 09, 2025",Drake,Bradley
Mountain West Conference,"Mar 12, 2025 - Mar 15, 2025",Colorado St.,Utah St.
Northeast Conference,"Mar 05, 2025 - Mar 11, 2025",St. Francis (PA),Central Conn St
Ohio Valley Conference,"Mar 05, 2025 - Mar 08, 2025",SIU Edwardsville,SE Missouri St
Patriot League,"Mar 04, 2025 - Mar 12, 2025",American,Navy
Southeastern Conference,"Mar 12, 2025 - Mar 16, 2025",Florida,Tennessee
Southern Conference,"Mar 07, 2025 - Mar 10, 2025",Wofford,Furman
Southland Conference,"Mar 09, 2025 - Mar 12, 2025",McNeese St.,Lamar
Summit League,"Mar 05, 2025 - Mar 09, 2025",Omaha,St. Thomas
Sun Belt Conference,"Mar 04, 2025 - Mar 10, 2025",Troy,Arkansas St.
Southwest Athletic Conference,"Mar 11, 2025 - Mar 15, 2025",Alabama St.,Jackson St.
Western Athletic Conference,"Mar 11, 2025 - Mar 15, 2025",Grand Canyon,Utah Valley
West Coast Conference,"Mar 06, 2025 - Mar 11, 2025",Gonzaga,St. Mary's
