Pick Number,Team,Player,Height,Weight,Position,School ,Class
1, Philadelphia,Ben Simmons,10-Jun,240,SF/PF,LSU,Fr.
2, LA Lakers,Brandon Ingram,9-Jun,195,SF,Duke,Fr.
3, *Boston,Kris Dunn,4-Jun,220,PG,Providence,Jr.
4, Phoenix,Dragan Bender,Jul-00,220,PF,Croatia,Intl.
5, *Minnesota,Buddy Hield,5-Jun,215,SG,Oklahoma,Sr.
6, New Orleans,Jamal Murray,4-Jun,205,PG/SG,Kentucky,Fr.
7, *Denver,Marquese Chriss,10-Jun,235,PF,Washington,Fr.
8, *Phoenix,Domantas Sabonis,10-Jun,240,PF/C,Gonzaga,So.
9, *Toronto,Jaylen Brown,6-Jun,225,SG/SF,California,Fr.
10, Milwaukee,Deyonta Davis,10-Jun,240,PF/C,Michigan St.,Fr.
11, *Oklahoma Cty,Skal Labissiere,Jul-00,215,PF/C,Kentucky,Fr.
12, *Atlanta,Malik Beasley,5-Jun,190,SG,Florida St.,Fr.
13, *Sacramento,Jakob Poeltl,1-Jul,240,C,Utah,So.
14, Chicago,Henry Ellenson,11-Jun,245,PF/C,Marquette,Fr.
15, *Denver,Timothe Luwawu,7-Jun,195,SG/SF,France,Intl.
16, *Boston,Ivica Zubac,Jul-00,265,C,Croatia,Intl.
17, Memphis,Malachi Richardson,6-Jun,200,SG,Syracuse,Fr.
18, Detroit,Denzel Valentine,5-Jun,210,SG/SF,Michigan St.,Sr.
19, *Denver,Juan Hernangomez,9-Jun,225,PF,Spain,Intl.
20, *Brooklyn,Dejounte Murray,5-Jun,170,PG/SG,Washington,Fr.
21, Atlanta,Damian Jones,11-Jun,245,C,Vanderbilt,Jr.
22, *Sacramento,Furkan Korkmaz,7-Jun,175,SG,Turkey,Intl.
23, Boston,Georgios Papagia...,2-Jul,275,C,Greece,Intl.
24, *Philadelphia,DeAndre Bembry,5-Jun,205,SG/SF,St. Joseph's,Jr.
25, LA Clippers,Brice Johnson,10-Jun,210,PF,North Carolina,Sr.
26, *Philadelphia,Wade Baldwin,4-Jun,200,PG/SG,Vanderbilt,So.
27, Toronto,Cheick Diallo,9-Jun,220,PF/C,Kansas,Fr.
28, *Sacramento,Ante Zizic,11-Jun,250,C,Croatia,Intl.
29, San Antonio,Guerschon Yabusele,8-Jun,260,PF,France,Intl.
30, Golden St.,Taurean Prince,8-Jun,220,SF,Baylor,Sr.
31, *Memphis,Malcolm Brogdon,5-Jun,225,SG,Virginia,Sr.
32, LA Lakers,Caris LeVert,7-Jun,190,SG,Michigan,Sr.
33, *New Orleans,Demetrius Jackson,1-Jun,195,PG,Notre Dame,Jr.
34, Phoenix,Diamond Stone,10-Jun,255,C,Maryland,Fr.
35, *Memphis,Patrick McCaw,6-Jun,180,SG,UNLV,So.
36, *Milwaukee,Thon Maker,1-Jul,215,PF/C,Australia,HSSr.
37, *Houston,Stephen Zimmerman,11-Jun,235,PF/C,UNLV,Fr.
38, *Golden St.,Pascal Siakam,9-Jun,230,PF,New Mexico St.,So.
39, *LA Clippers,Isaiah Cousins,4-Jun,190,PG/SG,Oklahoma,Sr.
40, *LA Clippers,Joel Bolomboy,9-Jun,225,PF,Weber St.,Sr.
41, Orlando,Michael Gbinije,7-Jun,205,SG/SF,Syracuse,Sr.
42, *Brooklyn,Isaiah Whitehead,4-Jun,210,PG/SG,Seton Hall,So.
43, Houston,Zhou Qi,2-Jul,215,PF/C,China,Intl.
44, *Atlanta,Gary Payton II,3-Jun,185,PG/SG,Oregon St.,Sr.
45, *Boston,Isaia Cordinier,5-Jun,180,SG,France,Intl.
46, *Dallas,Ben Bentil,8-Jun,230,PF,Providence,So.
47, *Portland,Tyler Ulis,10-May,150,PG,Kentucky,So.
48, *Chicago,Anthony Barber,3-Jun,175,PG,NC State,Jr.
49, Detroit,Daniel Hamilton,7-Jun,200,SG/SF,UConn,So.
50, Indiana,Troy Williams,7-Jun,215,SF,Indiana,Jr.
51, *Boston,Paul Zipser,8-Jun,210,SF,Germany,Intl.
52, *Utah,Kahlil Felder,9-May,175,PG,Oakland,Jr.
53, *Denver,Petr Cornelie,11-Jun,210,PF/C,France,Intl.
54, *Cleveland,Jarrod Uthoff,10-Jun,215,PF,Iowa,Sr.
55, *Utah,Zach Auguste,10-Jun,240,PF,Notre Dame,Sr.
56, *Oklahoma Cty,Wayne Selden,5-Jun,230,SG,Kansas,Jr.
57, *Memphis,Perry Ellis,8-Jun,220,PF,Kansas,Sr.
58, *Boston,Rade Zagorac,9-Jun,200,SG/SF,Serbia,Intl.
59, *Sacramento,AJ Hammons,Jul-00,260,C,Purdue,Sr.
60, *Utah,Georges Niang,8-Jun,230,SF/PF,Iowa St.,Sr.
,,,,,,,
2016 Outstanding Trades,,,,,,,
,,,,,,,
,,,,,,,
Tweets by nbadraftnet,,,,,,,
Sponsored Content,,,,,,,
SeaWorld® Orlando - SeaWorld®…Visit Orlando's…seaworld.com,,,,,,,
"Forget Protein, Discover…Alpha…",,,,,,,
,,,,,,,
,,,,,,,
15 Of The Most Inappropriate…YourBump,,,,,,,
,,,,,,,
,,,,,,,
Looking for an AttorneySearch Ads,,,,,,,
,,,,,,,
,,,,,,,
Looking for Low Testosterone…Search Ads,,,,,,,
,,,,,,,
,,,,,,,
Abandoned Houses For Sale…Search Ads,,,,,,,
,,,,,,,
,,,,,,,
Hands Down The…YourBump,,,,,,,
,,,,,,,
,,,,,,,
Women’s Intimate Apparel…Bras | Search…,,,,,,,
"© 2022 Sports Phenoms, Inc., All Rights Reserved | This site has no affiliation with the National Basketball Association | Website by SOF, Inc.",,,,,,,
Terms of Use | Privacy Policy,,,,,,,
Go to Top,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Home,,,,,,,
Draft,,,,,,,
,,,,,,,
Rankings,,,,,,,
Articles,,,,,,,
News,,,,,,,
Blogs,,,,,,,
Forum,,,,,,,
Search:,,,,,,,
,,,,,,,
LOGIN,,,,,,,
FacebookTwitter,,,,,,,
