Pick Number,Team,Player,Height,Weight,Position,School ,Class
1, New Orleans Old,Anthony Davis,10-Jun,222,PF,Kentucky,Fr.
2, Charlotte,Bradley Beal,4-Jun,202,SG,Florida,Fr.
3, Washington,Michael Kidd-Gil...,7-Jun,233,SF,Kentucky,Fr.
4, Cleveland,Harrison Barnes,8-Jun,228,SF,North Carolina,So.
5, Sacramento,Thomas Robinson,9-Jun,244,PF,Kansas,Jr.
6, *Portland,Damian Lillard,3-Jun,189,PG,Weber St.,Jr.
7, *Golden St.,Dion Waiters,4-Jun,215,SG,Syracuse,So.
8, Toronto,Andre Drummond,11-Jun,279,PF/C,UConn,Fr.
9, Detroit,John Henson,10-Jun,216,PF,North Carolina,Jr.
10, *New Orleans Old,Austin Rivers,5-Jun,203,SG,Duke,Fr.
11, Portland,Tyler Zeller,Jul-00,247,PF/C,North Carolina,Sr.
12, *Houston,Meyers Leonard,1-Jul,250,C,Illinois,So.
13, Phoenix,Jeremy Lamb,5-Jun,179,SG,UConn,So.
14, *Milwaukee,Terrence Ross,7-Jun,197,SG/SF,Washington,So.
15, Philadelphia,Andrew Nicholson,10-Jun,234,PF,St. Bonaventure,Sr.
16, *Houston,Moe Harkless,8-Jun,207,SF,St. Johns,Fr.
17, *Cleveland,Arnett Moultrie,11-Jun,233,PF,Mississippi St.,Jr.
18, *Houston,Marquis Teague,2-Jun,189,PG,Kentucky,Fr.
19, Orlando,Jared Sullinger,9-Jun,268,PF,Ohio St.,So.
20, Denver,Kendall Marshall,4-Jun,197,PG,North Carolina,So.
21, Boston,Perry Jones,11-Jun,234,SF/PF,Baylor,So.
22, *Boston,Royce White,8-Jun,261,SF,Iowa St.,So.
23, Atlanta,Terrence Jones,9-Jun,252,SF/PF,Kentucky,So.
24, *Cleveland,Draymond Green,7-Jun,236,SF/PF,Michigan St.,Sr.
25, Memphis,Fab Melo,Jul-00,255,C,Syracuse,So.
26, Indiana,Jeffery Taylor,7-Jun,213,SF,Vanderbilt,Sr.
27, *Philadelphia,Evan Fournier,7-Jun,204,SG,France,Intl.
28, Oklahoma Cty,Doron Lamb,4-Jun,199,SG,Kentucky,So.
29, Chicago,Will Barton,6-Jun,174,SG/SF,Memphis,So.
30, *Golden St.,Quincy Miller,10-Jun,219,SF,Baylor,Fr.
31, Charlotte,Tony Wroten,6-Jun,203,PG/SG,Washington,Fr.
32, Washington,John Jenkins,4-Jun,212,SG,Vanderbilt,Jr.
33, *Dallas,Jared Cunningham,5-Jun,188,SG,Oregon St.,Jr.
34, *Dallas,Furkan Aldemir,10-Jun,230,PF,Turkey,Intl.
35, *Golden St.,Kim English,6-Jun,192,SG,Missouri,Sr.
36, *Indiana,Festus Ezeli,11-Jun,264,C,Vanderbilt,Sr.
37, Toronto,Darius Miller,7-Jun,238,SF,Kentucky,Sr.
38, *Denver,Khris Middleton,8-Jun,216,SG/SF,Texas A&M,Jr.
39, Detroit,Miles Plumlee,Jul-00,252,PF/C,Duke,Sr.
40, *Portland,Mike Scott,8-Jun,237,PF,Virginia,Sr.
41, *Brooklyn,Darius Johnson-O...,3-Jun,212,SG,Marquette,Sr.
42, Milwaukee,Kevin Murphy,6-Jun,195,SG,Tennessee Tech,Sr.
43, *Atlanta,Drew Gordon,9-Jun,239,PF,New Mexico,Sr.
44, *Detroit,Hollis Thompson,8-Jun,205,SG,Georgetown,Jr.
45, *Miami,Robert Sacre,11-Jun,260,C,Gonzaga,Sr.
46, *New Orleans Old,Tyshawn Taylor,3-Jun,180,PG/SG,Kansas,Sr.
47, Utah,Kevin Jones,7-Jun,251,PF,West Virginia,Sr.
48, New York,Justin Hamilton,Jul-00,260,C,LSU,Jr.
49, Orlando,Quincy Acy,8-Jun,224,PF,Baylor,Sr.
50, Denver,Kris Joseph,7-Jun,215,SF,Syracuse,Sr.
51, Boston,Kyle O'Quinn,10-Jun,241,PF,Norfolk St.,Sr.
52, *Golden St.,Kostas Papanikol...,9-Jun,230,SF,Greece,Intl.
53, LA Clippers,Tornike Shengelia,9-Jun,217,SF,Rep. of Georgia,Intl.
54, *Philadelphia,Alex Young,6-Jun,216,SG/SF,IUPUI,Sr.
55, *Dallas,JaMychal Green,9-Jun,217,PF,Alabama,Sr.
56, *Toronto,Tomas Satoransky,7-Jun,201,PG/SG,Czech Republic,Intl.
57, *Brooklyn,William Buford,5-Jun,215,SG,Ohio St.,Sr.
58, *Minnesota,Henry Sims,11-Jun,251,C,Georgetown,Sr.
59, San Antonio,Josep Franch,3-Jun,190,PG,Spain,Intl.
60, *LA Lakers,Scott Machado,2-Jun,205,PG,Iona,Sr.
