Pick Number,Team,Player,Height,Weight,Position,School ,Class
1, Minnesota,Karl-Anthony Towns,Jul-00,250,C,Kentucky,Fr.
2, LA Lakers,D'Angelo Russell,4-Jun,195,PG/SG,Ohio St.,Fr.
3, Philadelphia,Jahlil Okafor,11-Jun,270,C,Duke,Fr.
4, *New York,Emmanuel Mudiay,5-Jun,200,PG,Congo,Intl.
5, Orlando,Kristaps Porzingis,1-Jul,230,PF,Latvia,Intl.
6, Sacramento,Mario Hezonja,8-Jun,215,SG/SF,Croatia,Intl.
7, Denver,Justise Winslow,6-Jun,222,SG/SF,Duke,Fr.
8, Detroit,Stanley Johnson,6-Jun,242,SF,Arizona,Fr.
9, Charlotte,Frank Kaminsky,1-Jul,230,C,Wisconsin,Sr.
10, Miami,Myles Turner,11-Jun,240,C,Texas,Fr.
11, Indiana,Cameron Payne,2-Jun,185,PG,Murray St.,So.
12, Utah,Trey Lyles,10-Jun,240,PF,Kentucky,Fr.
13, Phoenix,Bobby Portis,11-Jun,245,PF,Arkansas,So.
14, Oklahoma Cty,Willie Cauley-St...,Jul-00,242,C,Kentucky,Jr.
15, *Washington,Devin Booker,6-Jun,205,SG,Kentucky,Fr.
16, Boston,Kelly Oubre,7-Jun,205,SF,Kansas,Fr.
17, Milwaukee,Sam Dekker,9-Jun,220,SF,Wisconsin,Jr.
18, *Houston,Tyus Jones,1-Jun,185,PG,Duke,Fr.
19, *New York,Montrezl Harrell,8-Jun,255,PF,Louisville,Jr.
20, Toronto,Rondae Hollis-Je...,7-Jun,210,SF,Arizona,So.
21, Dallas,Jerian Grant,4-Jun,200,PG,Notre Dame,Sr.
22, Chicago,Terry Rozier,2-Jun,190,PG,Louisville,So.
23, *Brooklyn,Kevon Looney,9-Jun,222,PF,UCLA,Fr.
24, *Minnesota,Rashad Vaughn,5-Jun,200,SG,UNLV,Fr.
25, Memphis,Jarell Martin,9-Jun,240,PF,LSU,So.
26, San Antonio,Justin Anderson,6-Jun,230,SG/SF,Virginia,Jr.
27, *LA Lakers,Nikola Milutinov,Jul-00,225,PF/C,Serbia,Intl.
28, *Boston,Chris McCullough,9-Jun,200,PF,Syracuse,Fr.
29, *Brooklyn,Delon Wright,5-Jun,180,PG/SG,Utah,Sr.
30, Golden St.,Rakeem Christmas,9-Jun,245,PF/C,Syracuse,Sr.
31, *Cleveland,Richaun Holmes,9-Jun,245,PF,Bowling Green,Sr.
32, *Houston,Norman Powell,4-Jun,215,SG,UCLA,Sr.
33, *Boston,Jordan Mickey,8-Jun,240,PF,LSU,So.
34, *LA Lakers,RJ Hunter,6-Jun,185,SG,Georgia St.,Jr.
35, *New York,Cedi Osman,8-Jun,215,SF,Turkey,Intl.
36, *Cleveland,Guillermo Hernan...,11-Jun,250,PF/C,Spain,Intl.
37, *Philadelphia,Christian Wood,10-Jun,215,PF,UNLV,So.
38, Detroit,Jonathan Holmes,9-Jun,245,PF,Texas,Sr.
39, *Brooklyn,Cliff Alexander,8-Jun,240,PF/C,Kansas,Fr.
40, Miami,Olivier Hanlan,4-Jun,185,PG/SG,Boston College,Jr.
41, *Portland,Terran Petteway,6-Jun,210,SF,Nebraska,Jr.
42, Utah,Joseph Young,2-Jun,185,PG/SG,Oregon,Sr.
43, Indiana,Luis Montero,7-Jun,195,SG/SF,JUCO,So.
