Conference,Dates,Champ,Runner-up
American Athletic Conference,"Mar 10, 2016 - Mar 13, 2016",Connecticut,Memphis
Atlantic Coast Conference,"Mar 08, 2016 - Mar 12, 2016",UNC,UVa
America East Conference,"Mar 02, 2016 - Mar 12, 2016",Stony Brook,Vermont
Atlantic 10 Conference,"Mar 09, 2016 - Mar 13, 2016",St. Joseph's,VCU
Atlantic Sun Conference,"Mar 01, 2016 - Mar 06, 2016",Fla. Gulf Coast,Stetson
Big 12 Conference,"Mar 09, 2016 - Mar 12, 2016",Kansas,West Virginia
Big East Conference,"Mar 09, 2016 - Mar 12, 2016",Seton Hall,Villanova
Big Sky Conference,"Mar 08, 2016 - Mar 12, 2016",Weber St.,Montana
Big South Conference,"Mar 03, 2016 - Mar 06, 2016",UNC Asheville,Winthrop
Big Ten Conference,"Mar 09, 2016 - Mar 13, 2016",Michigan St.,Purdue
Big West Conference,"Mar 10, 2016 - Mar 12, 2016",Hawaii,Long Beach State
Colonial Athletic Association,"Mar 04, 2016 - Mar 07, 2016",UNC Wilm.,Hofstra
Conference USA,"Mar 08, 2016 - Mar 12, 2016",Middle Tenn.,Old Dominion
Horizon League,"Mar 05, 2016 - Mar 08, 2016",Green Bay,Wright St.
Metro Atlantic Athletic Conference,"Mar 03, 2016 - Mar 07, 2016",Iona,Monmouth
Mid-American Conference,"Mar 07, 2016 - Mar 12, 2016",Buffalo,Akron
Mid-Eastern Athletic Conference,"Mar 07, 2016 - Mar 12, 2016",Hampton,SC St.
Missouri Valley Conference,"Mar 03, 2016 - Mar 06, 2016",UNI,Evansville
Mountain West Conference,"Mar 09, 2016 - Mar 12, 2016",Fresno St.,San Diego St.
Northeast Conference,"Mar 02, 2016 - Mar 08, 2016",FDU,Wagner
Ohio Valley Conference,"Mar 02, 2016 - Mar 05, 2016",Austin Peay,UT Martin
Pac-12 Conference,"Mar 09, 2016 - Mar 12, 2016",Oregon,Utah
Patriot League,"Mar 01, 2016 - Mar 09, 2016",Holy Cross,Lehigh
Southeastern Conference,"Mar 09, 2016 - Mar 13, 2016",Kentucky,Texas A&M
Southern Conference,"Mar 04, 2016 - Mar 07, 2016",Chattanooga,East Tenn. St.
Southland Conference,"Mar 09, 2016 - Mar 12, 2016",Stephen F. Austin,Tx AM-CC
Summit League,"Mar 05, 2016 - Mar 08, 2016",S Dakota St.,North Dakota St.
Sun Belt Conference,"Mar 10, 2016 - Mar 13, 2016",UALR,La.-Monroe
Southwest Athletic Conference,"Mar 08, 2016 - Mar 12, 2016",Southern U.,Jackson St.
Western Athletic Conference,"Mar 10, 2016 - Mar 12, 2016",Cal St Bakersfield,New Mexico St.
West Coast Conference,"Mar 04, 2016 - Mar 08, 2016",Gonzaga,St. Mary's
