Pick Number,Team,Player,Height,Weight,Position,School ,Class
1, Atlanta,Cooper Flagg,9-Jun,220,SF/PF,Duke,Fr.
2, *Washington,Dylan Harper,6-Jun,215,PG/SG,Rutgers,Fr.
3, Houston,VJ Edgecombe,5-Jun,195,PG/SG,Baylor,Fr.
4, San Antonio,Kon Knueppel,7-Jun,215,SG/SF,Duke,Fr.
5, *Detroit,Tre Johnson,6-Jun,190,SG,Texas,Fr.
6, *Charlotte,Jeremiah Fears,4-Jun,180,PG/SG,Oklahoma,Fr.
7, *Portland,Ace Bailey,9-Jun,205,SG/SF,Rutgers,Fr.
8, *San Antonio,Egor Demin,9-Jun,200,SG/SF,BYU,Fr.
9, Memphis,Nolan Traore,4-Jun,185,PG,France,Intl.
10, *Utah,Noa Essengue,10-Jun,200,SF/PF,France,Intl.
11, Chicago,Khaman Maluach,2-Jul,255,C,Duke,Fr.
12, *Oklahoma Cty,Asa Newell,10-Jun,225,PF,Georgia,Fr.
13, *Sacramento,Kasparas Jakucio...,6-Jun,205,PG/SG,Illinois,Fr.
14, *Washington,Thomas Sorber,10-Jun,265,C,Georgetown,Fr.
15, Miami,Derik Queen,10-Jun,250,C,Maryland,Fr.
16, Philadelphia,Collin Murray-Bo...,8-Jun,240,PF/C,South Carolina,So.
17, *LA Lakers,Nique Clifford,6-Jun,200,SG,Colorado St.,Sr.
18, Orlando,Carter Bryant,8-Jun,215,SF,Arizona,Fr.
19, *Toronto,Joan Beringer,Jul-00,235,PF/C,France,Intl.
20, Cleveland,Liam McNeeley,8-Jun,215,SF,UConn,Fr.
21, *New Orleans,Drake Powell,6-Jun,200,SG/SF,North Carolina,Fr.
22, *Phoenix,Will Riley,9-Jun,185,SG/SF,Illinois,Fr.
23, *Milwaukee,Rasheer Fleming,9-Jun,240,PF/C,St. Joseph's,Jr.
24, *Washington,Jase Richardson,2-Jun,180,PG/SG,Michigan St.,Fr.
25, New York,Walter Clayton,3-Jun,200,PG/SG,Florida,Sr.
26, *Oklahoma Cty,Cedric Coward,6-Jun,205,SG/SF,Washington St...,Sr.
27, Minnesota,Noah Penda,8-Jun,240,SG/SF,France,Intl.
28, Phoenix,Maxime Raynaud,1-Jul,240,C,Stanford,Sr.
29, *Utah,Hugo Gonzalez,7-Jun,225,SG/SF,Spain,Intl.
30, Boston,Chaz Lanier,5-Jun,206,SG,Tennessee,Sr.
#,Team,Player,H,W,P,School,C
31, *Toronto,Danny Wolf,Jul-00,250,PF/C,Michigan,Jr.
32, *Utah,Tamar Bates,5-Jun,190,SG,Missouri,Sr.
33, *Milwaukee,Ryan Kalkbrenner,2-Jul,260,C,Creighton,Sr.
34, *New York,Hansen Yang,2-Jul,255,C,China,Intl.
35, Indiana,Ben Saraf,6-Jun,200,PG/SG,Israel,Intl.
36, *San Antonio,Yanic Konan Nied...,1-Jul,245,C,Penn State,Sr.
37, *Detroit,Micah Peavy,7-Jun,210,SG/SF,Georgetown,Sr.
38, *Oklahoma Cty,Adou Thiero,7-Jun,220,SF/PF,Arkansas,Jr.
39, *Memphis,Tyrese Proctor,5-Jun,185,PG,Duke,Jr.
40, *Phoenix,Bogoljub Markovic,11-Jun,210,PF,Serbia,Intl.
41, *Philadelphia,Johni Broome,10-Jun,250,PF/C,Auburn,Sr.
42, *Charlotte,Eric Dixon,9-Jun,260,PF,Villanova,Sr.
43, Atlanta,Sion James,6-Jun,220,SF,Duke,Sr.
44, *Miami,Javon Small,2-Jun,190,PG,West Virginia,Sr.
45, Toronto,Kam Jones,4-Jun,200,PG/SG,Marquette,Sr.
46, *LA Clippers,Koby Brea,7-Jun,200,SG/SF,Kentucky,Sr.
47, New Orleans,RJ Luis,7-Jun,210,SG/SF,St. Johns,Jr.
48, *San Antonio,Hunter Sallis,5-Jun,180,SG,Wake Forest,Sr.
49, *Philadelphia,Brice Williams,6-Jun,205,SG/SF,Nebraska,Sr.
50, *Indiana,Lachlan Olbrich,10-Jun,230,PF/C,Australia,Intl.
51, *Indiana,Mohamed Diawara,9-Jun,225,SF/PF,France,Intl.
52, *Dallas,Kobe Sanders,9-Jun,205,SF,Nevada,Sr.
53, *Golden St.,Jalon Moore,7-Jun,205,SF,Oklahoma,Sr.
54, *Memphis,Khalif Battle,5-Jun,185,SG,Gonzaga,Sr.
55, *Boston,Jaxson Robinson,6-Jun,190,SG/SF,Kentucky,Sr.
56, *LA Lakers,Alex Toohey,9-Jun,225,SF/PF,Australia,Intl.
57, *New York,Jamir Watkins,6-Jun,215,SF,Florida St.,Sr.
58, *Toronto,Amari Williams,Jul-00,260,C,Kentucky,Sr.
59, *Phoenix,Ryan Nembhard,Jun-00,175,PG,Gonzaga,Sr.
60, *Dallas,Forfeited Pick,,,,,
