Conference,Dates,Champ,Runner-up
American Athletic Conference,"Mar 08, 2018 - Mar 11, 2018",Cincinnati,Houston
Atlantic Coast Conference,"Mar 06, 2018 - Mar 10, 2018",UVa,UNC
America East Conference,"Mar 03, 2018 - Mar 10, 2018",UMBC,Vermont
Atlantic 10 Conference,"Mar 07, 2018 - Mar 11, 2018",Davidson,Rhode Island
Atlantic Sun Conference,"Feb 26, 2018 - Mar 04, 2018",Lipscomb,Fla. Gulf Coast
Big 12 Conference,"Mar 07, 2018 - Mar 10, 2018",Kansas,West Virginia
Big East Conference,"Mar 07, 2018 - Mar 10, 2018",Villanova,Providence
Big Sky Conference,"Mar 06, 2018 - Mar 10, 2018",Montana,Eastern Wash.
Big South Conference,"Feb 27, 2018 - Mar 04, 2018",Radford,Liberty
Big Ten Conference,"Feb 28, 2018 - Mar 04, 2018",Michigan,Purdue
Big West Conference,"Mar 08, 2018 - Mar 10, 2018",Cal St Fullerton,UC-Irvine
Colonial Athletic Association,"Mar 03, 2018 - Mar 06, 2018",Charleston,Northeastern
Conference USA,"Mar 07, 2018 - Mar 10, 2018",Marshall,Western Ky.
Horizon League,"Mar 02, 2018 - Mar 06, 2018",Wright St.,Cleveland St.
Ivy League,"Mar 10, 2018 - Mar 11, 2018",Penn,Harvard
Metro Atlantic Athletic Conference,"Mar 01, 2018 - Mar 05, 2018",Iona,Fairfield
Mid-American Conference,"Mar 05, 2018 - Mar 10, 2018",Buffalo,Toledo
Mid-Eastern Athletic Conference,"Mar 05, 2018 - Mar 10, 2018",N.C. Central,Hampton
Missouri Valley Conference,"Mar 01, 2018 - Mar 04, 2018",Loyola (IL),Illinois St.
Mountain West Conference,"Mar 07, 2018 - Mar 10, 2018",San Diego St.,New Mexico
Northeast Conference,"Feb 28, 2018 - Mar 06, 2018",Long Island,Wagner
Ohio Valley Conference,"Feb 28, 2018 - Mar 03, 2018",Murray St.,Belmont
Pac-12 Conference,"Mar 07, 2018 - Mar 10, 2018",Arizona,USC
Patriot League,"Feb 27, 2018 - Mar 07, 2018",Bucknell,Colgate
Southeastern Conference,"Mar 07, 2018 - Mar 11, 2018",Kentucky,Tennessee
Southern Conference,"Mar 02, 2018 - Mar 05, 2018",UNC Greensboro,East Tenn. St.
Southland Conference,"Mar 07, 2018 - Mar 10, 2018",Stephen F. Austin,Southeastern LA
Summit League,"Mar 03, 2018 - Mar 06, 2018",S Dakota St.,South Dakota
Sun Belt Conference,"Mar 07, 2018 - Mar 11, 2018",Georgia St.,UTA
Southwest Athletic Conference,"Mar 06, 2018 - Mar 10, 2018",Texas Southern,Ark-Pine Bluff
Western Athletic Conference,"Mar 08, 2018 - Mar 10, 2018",New Mexico St.,Grand Canyon
West Coast Conference,"Mar 02, 2018 - Mar 06, 2018",Gonzaga,BYU
