Pick Number,Team,Player,Height,Weight,Position,School ,Class
1, *Detroit,Cade Cunningham,8-Jun,220,PG/SG,Oklahoma State,Fr.
2, *Houston,Jalen Green,5-Jun,180,SG,G-League,Fr.
3, Cleveland,Evan Mobley,Jul-00,215,PF/C,USC,Fr.
4, *Toronto,Scottie Barnes,8-Jun,225,SF/PF,Florida St.,Fr.
5, Orlando,Jalen Suggs,4-Jun,205,PG,Gonzaga,Fr.
6, *Oklahoma Cty,James Bouknight,5-Jun,190,SG,UConn,So.
7, Golden St.,Jonathan Kuminga,7-Jun,220,SF/PF,G-League,Fr.
8, *Orlando,Moses Moody,6-Jun,210,SG,Arkansas,Fr.
9, Sacramento,Franz Wagner,10-Jun,220,SF/PF,Michigan,So.
10, *Memphis,Josh Giddey,8-Jun,205,PG,Australia,Intl.
11, Charlotte,Kai Jones,11-Jun,220,C,Texas,So.
12, San Antonio,Alperen Sengun,9-Jun,240,PF/C,Turkey,Intl.
13, Indiana,Corey Kispert,7-Jun,225,SG/SF,Gonzaga,Sr.
14, *Golden St.,Davion Mitchell,1-Jun,200,PG,Baylor,Jr.
15, Washington,Chris Duarte,6-Jun,190,SG,Oregon,Sr.
16, *Houston,Jalen Johnson,9-Jun,210,SF/PF,Duke,Fr.
17, *New Orleans,Trey Murphy,9-Jun,205,SF/PF,Virginia,Jr.
18, *Oklahoma Cty,Keon Johnson,5-Jun,185,SG/SF,Tennessee,Fr.
19, *Charlotte,Miles McBride,2-Jun,195,PG,West Virginia,So.
20, Atlanta,Ziaire Williams,9-Jun,190,SG/SF,Stanford,Fr.
21, *LA Clippers,Isaiah Jackson,10-Jun,205,PF/C,Kentucky,Fr.
22, *Washington,Jared Butler,3-Jun,195,PG/SG,Baylor,Jr.
23, *Houston,Usman Garuba,8-Jun,230,PF/C,Spain,Intl.
24, *Houston,Cameron Thomas,3-Jun,200,SG,LSU,Fr.
25, *New York,Nah'Shon Hyland,3-Jun,170,PG/SG,VCU,So.
26, Denver,Joshua Primo,5-Jun,190,SG,Alabama,Fr.
27, Brooklyn,Ayo Dosunmu,5-Jun,195,PG/SG,Illinois,Jr.
28, Philadelphia,Jaden Springer,4-Jun,200,SG,Tennessee,Fr.
29, *Brooklyn,Day'Ron Sharpe,10-Jun,265,PF/C,North Carolina,Fr.
30, *Memphis,Joel Ayayi,5-Jun,180,PG/SG,Gonzaga,Jr.
31, *Washington,Quentin Grimes,5-Jun,210,SG,Houston,Jr.
32, *New York,Isaiah Todd,10-Jun,220,PF/C,G-League,Fr.
33, *LA Clippers,Tre Mann,4-Jun,180,PG,Florida,So.
34, *New York,Josh Christopher,4-Jun,215,SG,Arizona St.,Fr.
35, New Orleans,Charles Bassey,10-Jun,230,PF/C,Western Kentu...,Jr.
36, *New York,Sharife Cooper,1-Jun,180,PG,Auburn,Fr.
37, *Charlotte,JT Thor,10-Jun,205,PF/C,Auburn,Fr.
38, Chicago,BJ Boston,7-Jun,185,SG,Kentucky,Fr.
39, Sacramento,Juhann Begarin,6-Jun,215,PG/SG,France,Intl.
40, *Utah,Joe Wieskamp,7-Jun,205,SG/SF,Iowa,Jr.
41, San Antonio,Jason Preston,4-Jun,180,PG,Ohio,Jr.
42, *Detroit,Herbert Jones,7-Jun,205,SG/SF,Alabama,Sr.
43, *Portland,Moses Wright,9-Jun,225,PF/C,Georgia Tech,Sr.
44, *Brooklyn,Jericho Sims,10-Jun,250,PF/C,Texas,Sr.
45, Boston,Jeremiah Robinso...,9-Jun,240,PF,Villanova,So.
46, *Toronto,Aaron Wiggins,6-Jun,190,SG,Maryland,Jr.
47, *Toronto,Filip Petrusev,11-Jun,235,C,Serbia,Intl.
48, *Atlanta,Greg Brown,8-Jun,205,SF/PF,Texas,Fr.
49, *Brooklyn,Isaiah Livers,7-Jun,230,SF/PF,Michigan,Sr.
50, *Philadelphia,Neemias Queta,Jul-00,250,C,Utah State,Jr.
51, *LA Clippers,Vrenz Bleijenbergh,9-Jun,190,SF/PF,Belgium,Intl.
52, *Detroit,Kessler Edwards,8-Jun,205,PF,Pepperdine,Jr.
53, *Philadelphia,Daishen Nix,4-Jun,225,PG,G-League,Fr.
54, *Milwaukee,David Johnson,4-Jun,205,PG,Louisville,So.
55, *Oklahoma Cty,Duane Washington...,3-Jun,210,PG/SG,Ohio St.,Jr.
56, *Charlotte,Justin Champagnie,7-Jun,205,SF,Pittsburgh,So.
57, *Detroit,EJ Onu,11-Jun,240,PF,Shawnee State,Sr.
58, *New York,Rokas Jokubaitis,4-Jun,190,PG,Lithuania,Intl.
59, *Brooklyn,David Duke,5-Jun,205,PG/SG,Providence,Jr.
60, *Milwaukee,Sandro Mamukelas...,10-Jun,240,PF,Seton Hall,Sr.
