,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent,,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
317,UNC Asheville,31,15,16,0.484,-10.31,-8.31,,8,10,,10,5,,5,10,,2326,2318,,1245,843,1670,0.505,194,522,0.372,438,662,0.662,278,1113,428,148,86,515,566
318,UNC Greensboro,32,23,9,0.719,5.92,-1.48,,13,5,,14,4,,9,4,,2372,2020,,1295,699,1649,0.424,226,655,0.345,396,589,0.672,275,1088,345,185,79,575,528
319,UNC Wilmington,32,10,22,0.313,-9.31,-0.9,,5,13,,8,8,,1,12,,2186,2294,,1290,830,1872,0.443,234,723,0.324,400,587,0.681,320,1172,407,207,82,417,527
320,UT Arlington,32,14,18,0.438,2.76,2.13,,10,10,,8,8,,6,9,,2259,2189,,1295,773,1875,0.412,196,662,0.296,447,651,0.687,345,1228,416,156,98,391,542
321,Utah,31,16,15,0.516,8.47,7.86,,7,11,,12,2,,1,10,,2199,2180,,1260,818,1857,0.44,231,656,0.352,313,428,0.731,298,1025,415,207,119,377,587
322,Utah State,34,26,8,0.765,13.66,4.04,,12,6,,15,1,,4,6,,2600,2179,,1375,778,1987,0.392,264,841,0.314,359,515,0.697,278,1063,379,227,108,420,654
323,Utah Valley,30,11,19,0.367,-7.47,-4.18,,5,10,,6,7,,5,12,,2105,2131,,1210,757,1785,0.424,172,533,0.323,445,598,0.744,285,1075,362,185,111,377,576
324,UTEP,32,17,15,0.531,-1,-0.45,,8,10,,13,4,,3,9,,2157,2116,,1285,743,1788,0.416,200,656,0.305,430,602,0.714,292,1128,351,185,83,439,569
325,UTSA,32,13,19,0.406,-3.18,0.41,,7,11,,10,5,,3,9,,2461,2465,,1300,854,1945,0.439,261,762,0.343,496,707,0.702,316,1246,411,183,114,446,580
326,Valparaiso,35,19,16,0.543,1.44,1.17,,9,9,,11,2,,4,10,,2530,2494,,1420,908,1998,0.454,251,694,0.362,427,618,0.691,323,1248,472,221,91,496,563
327,Vanderbilt,32,11,21,0.344,3.16,6.41,,3,15,,10,10,,1,9,,2295,2399,,1290,846,1811,0.467,215,613,0.351,492,667,0.738,311,1156,429,181,129,443,646
328,Vermont,33,26,7,0.788,6.07,-4.84,,14,2,,13,3,,12,3,,2361,1963,,1320,673,1773,0.38,232,732,0.317,385,541,0.712,268,1074,338,189,83,422,572
329,Villanova,31,24,7,0.774,16.84,10.03,,13,5,,12,3,,9,3,,2269,2058,,1245,784,1822,0.43,188,579,0.325,302,430,0.702,271,1060,373,176,98,355,503
330,Virginia,30,23,7,0.767,12.16,7.5,,15,5,,14,3,,7,4,,1711,1571,,1215,573,1553,0.369,194,662,0.293,231,336,0.688,237,916,271,199,82,352,417
331,Virginia Commonwealth,31,18,13,0.581,9.66,4.08,,8,10,,14,4,,4,7,,2193,2020,,1245,702,1661,0.423,195,578,0.337,421,596,0.706,315,1123,369,206,98,527,526
332,VMI,33,9,24,0.273,-6.92,-2.72,,3,15,,5,10,,2,12,,2380,2346,,1340,801,1855,0.432,237,740,0.32,507,704,0.72,323,1187,434,189,93,428,494
333,Virginia Tech,32,16,16,0.5,8.22,6.16,,7,13,,12,6,,3,7,,2194,2128,,1310,771,1852,0.416,254,788,0.322,332,484,0.686,289,1190,411,132,102,382,447
334,Wagner,29,8,21,0.276,-14.79,-5.57,,5,13,,5,8,,3,13,,1982,2210,,1175,726,1580,0.459,252,655,0.385,506,717,0.706,277,1009,439,196,94,382,506
335,Wake Forest,31,13,18,0.419,6.69,8.14,,6,14,,9,5,,1,11,,2276,2321,,1260,819,1869,0.438,220,660,0.333,463,658,0.704,300,1086,408,233,111,337,629
336,Washington,32,15,17,0.469,12.41,8.25,,5,13,,10,7,,3,7,,2259,2126,,1290,732,1920,0.381,229,734,0.312,433,602,0.719,394,1142,442,217,66,438,599
337,Washington State,32,16,16,0.5,5.13,4.94,,6,12,,11,5,,2,9,,2235,2229,,1290,820,1826,0.449,184,584,0.315,405,589,0.688,286,1189,367,185,120,480,593
338,Weber State,32,12,20,0.375,-8.32,-0.66,,8,12,,8,6,,4,9,,2225,2280,,1290,867,1941,0.447,235,661,0.356,311,436,0.713,294,1107,455,196,82,375,525
339,West Virginia,31,21,10,0.677,18.51,10.64,,9,9,,14,2,,4,8,,2179,1935,,1245,655,1677,0.391,181,629,0.288,444,621,0.715,299,1003,312,227,104,484,666
340,Western Carolina,31,19,12,0.613,-0.1,-1.55,,10,8,,10,4,,8,7,,2444,2317,,1250,828,1906,0.434,243,781,0.311,418,581,0.719,287,1030,377,206,108,387,615
341,Western Illinois,26,5,21,0.192,-14.28,-3.03,,2,14,,4,10,,1,11,,1934,2126,,1050,757,1582,0.479,208,557,0.373,404,540,0.748,219,998,318,128,70,300,409
342,Western Kentucky,30,20,10,0.667,4.2,0.96,,13,5,,12,2,,6,6,,2297,2160,,1225,828,1879,0.441,216,720,0.3,288,392,0.735,335,1081,390,166,90,409,553
343,Western Michigan,32,13,19,0.406,-5.42,-0.25,,6,12,,10,5,,3,12,,2220,2306,,1295,833,1923,0.433,238,720,0.331,402,584,0.688,336,1174,391,201,97,368,615
344,Wichita State,31,23,8,0.742,13.66,5.6,,11,7,,17,2,,5,5,,2227,1977,,1250,669,1713,0.391,182,603,0.302,457,657,0.696,268,1072,314,193,124,443,575
345,William & Mary,32,21,11,0.656,-2.46,-3.1,,13,5,,11,2,,10,7,,2288,2208,,1280,811,1905,0.426,234,673,0.348,352,493,0.714,269,1019,364,212,90,316,526
346,Winthrop,34,24,10,0.706,1.16,-6.53,,15,3,,11,4,,10,6,,2765,2431,,1375,833,1909,0.436,235,729,0.322,530,793,0.668,295,1127,421,219,111,497,693
347,Wisconsin,31,21,10,0.677,15.95,10.95,,14,6,,15,1,,6,6,,2082,1927,,1245,717,1747,0.41,188,568,0.331,305,442,0.69,280,1070,342,154,92,339,518
348,Wofford,35,19,16,0.543,0.17,-1.5,,8,10,,10,5,,6,10,,2523,2399,,1415,843,1915,0.44,276,827,0.334,437,610,0.716,272,1086,427,211,84,434,556
349,Wright State,32,25,7,0.781,2.46,-6.21,,15,3,,14,2,,9,3,,2580,2264,,1295,842,2026,0.416,200,665,0.301,380,534,0.712,369,1187,339,201,93,455,647
350,Wyoming,33,9,24,0.273,-3.05,4.82,,2,16,,4,13,,3,8,,2070,2308,,1335,795,1837,0.433,252,764,0.33,466,671,0.694,318,1265,399,198,84,424,580
351,Xavier,32,19,13,0.594,12.57,9.47,,8,10,,12,5,,5,6,,2261,2162,,1305,776,1900,0.408,210,689,0.305,400,550,0.727,328,1127,385,225,108,420,575
352,Yale,30,23,7,0.767,6.63,-1.51,,11,3,,10,1,,11,6,,2289,1954,,1240,704,1774,0.397,222,718,0.309,324,449,0.722,237,961,358,202,90,364,521
353,Youngstown State,33,18,15,0.545,-5.56,-4.79,,10,8,,13,4,,5,11,,2401,2351,,1335,855,1951,0.438,222,646,0.344,419,599,0.699,347,1160,420,187,110,398,569
