,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent,,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
229,Pacific,33,23,10,0.697,3.81,0.19,,11,5,,15,3,,7,5,,2300,2128,,1355,711,1710,0.416,209,617,0.339,497,704,0.706,209,924,294,175,83,405,610
230,Penn State,31,21,10,0.677,16.12,9.25,,11,9,,14,3,,5,6,,2327,2114,,1240,758,1846,0.411,197,604,0.326,401,587,0.683,323,1164,374,169,100,411,558
231,Pennsylvania,27,16,11,0.593,1.07,-0.36,,8,6,,8,3,,6,7,,1991,1906,,1085,716,1704,0.42,175,523,0.335,299,418,0.715,283,1021,286,195,80,324,409
232,Pepperdine,32,16,16,0.5,2.82,3.6,,8,8,,9,5,,6,7,,2441,2466,,1305,867,1891,0.458,263,690,0.381,469,656,0.715,307,1152,499,211,85,442,630
233,Pittsburgh,33,16,17,0.485,6.8,7.32,,6,14,,11,7,,2,9,,2152,2169,,1325,791,1838,0.43,247,728,0.339,340,477,0.713,387,1199,467,180,140,510,599
234,Portland,32,9,23,0.281,-6.53,1.97,,1,15,,7,9,,2,9,,2126,2309,,1290,834,1921,0.434,264,781,0.338,377,570,0.661,344,1211,498,230,83,427,595
235,Portland State,32,18,14,0.563,-1.5,-2.43,,12,8,,11,3,,6,11,,2518,2412,,1280,897,1910,0.47,196,583,0.336,422,587,0.719,365,1139,498,183,112,489,558
236,Prairie View,32,19,13,0.594,-6.26,-8.36,,14,4,,12,0,,6,12,,2302,2186,,1290,716,1673,0.428,189,634,0.298,565,818,0.691,285,1066,382,188,101,567,652
237,Presbyterian,32,10,22,0.313,-15.06,-6.93,,7,11,,7,6,,3,14,,2155,2346,,1290,803,1780,0.451,289,797,0.363,451,639,0.706,294,1065,437,228,106,373,531
238,Princeton,27,14,13,0.519,-0.75,-1.48,,9,5,,7,6,,5,6,,1931,1866,,1085,703,1515,0.464,159,462,0.344,301,400,0.753,202,837,296,168,92,318,441
239,Providence,31,19,12,0.613,13.45,8.19,,12,6,,13,3,,5,6,,2214,2051,,1245,705,1691,0.417,194,624,0.311,447,632,0.707,304,1101,362,216,105,464,584
240,Purdue,31,16,15,0.516,16.3,10.76,,9,11,,11,5,,4,8,,2114,1942,,1270,676,1661,0.407,213,698,0.305,377,530,0.711,280,1015,401,161,116,419,510
241,Purdue Fort Wayne,33,14,19,0.424,-7.87,-3.2,,6,10,,10,5,,3,13,,2261,2320,,1320,836,1856,0.45,269,780,0.345,379,532,0.712,251,1104,449,206,98,435,502
242,Quinnipiac,30,15,15,0.5,-7.66,-6.53,,10,10,,9,5,,5,9,,2088,2122,,1200,793,1868,0.425,236,669,0.353,300,440,0.682,289,1040,435,202,96,291,480
243,Radford,32,21,11,0.656,-2.67,-5.71,,15,3,,11,4,,9,6,,2302,2115,,1285,734,1749,0.42,257,789,0.326,390,579,0.674,290,1030,396,134,93,354,571
244,Rhode Island,30,21,9,0.7,9.25,4.78,,13,5,,12,3,,8,5,,2200,2066,,1210,752,1799,0.418,201,677,0.297,361,512,0.705,321,1141,397,165,100,452,571
245,Rice,32,15,17,0.469,-3.09,-0.76,,7,11,,8,7,,5,8,,2363,2375,,1280,876,1928,0.454,249,761,0.327,374,548,0.682,304,1152,443,197,94,402,566
246,Richmond,31,24,7,0.774,11.31,2.76,,14,4,,14,2,,9,3,,2335,2070,,1250,740,1784,0.415,223,732,0.305,367,539,0.681,300,1100,351,174,95,430,485
247,Rider,30,18,12,0.6,-3.09,-5.49,,12,8,,11,1,,5,11,,2152,2080,,1200,735,1749,0.42,249,767,0.325,361,530,0.681,259,1003,387,201,108,412,594
248,Robert Morris,34,20,14,0.588,-4.73,-6.33,,13,5,,12,3,,7,11,,2373,2280,,1360,824,1842,0.447,216,671,0.322,416,573,0.726,322,1159,410,211,114,502,533
249,Rutgers,31,20,11,0.645,15.72,9.68,,11,9,,18,1,,2,8,,2168,1942,,1250,681,1778,0.383,228,733,0.311,352,494,0.713,300,1062,374,167,114,402,531
250,Sacramento State,30,16,14,0.533,-2.08,-2.76,,8,12,,10,4,,4,10,,1895,1791,,1200,629,1510,0.417,143,446,0.321,390,512,0.762,240,929,306,161,85,423,499
251,Sacred Heart,33,20,13,0.606,-4.75,-7.4,,12,6,,9,4,,10,8,,2420,2291,,1320,862,2077,0.415,235,705,0.333,332,482,0.689,361,1128,476,220,118,369,629
252,Saint Francis (PA),32,22,10,0.688,-2.05,-6.5,,13,5,,13,2,,8,8,,2485,2298,,1285,833,1883,0.442,250,743,0.336,382,532,0.718,320,1061,423,181,110,438,584
253,Saint Joseph's,32,6,26,0.188,-5.54,4.93,,2,16,,4,10,,2,12,,2208,2543,,1285,920,1976,0.466,244,657,0.371,459,633,0.725,324,1251,458,213,128,328,530
254,Saint Louis,31,23,8,0.742,9.41,3.07,,12,6,,15,3,,6,4,,2223,2020,,1255,685,1710,0.401,218,675,0.323,432,619,0.698,276,1023,335,210,110,426,585
255,Saint Mary's (CA),34,26,8,0.765,12.27,5.24,,11,5,,14,3,,6,3,,2559,2276,,1400,851,1882,0.452,204,603,0.338,370,517,0.716,254,1030,333,136,107,401,556
256,Saint Peter's,30,18,12,0.6,-3.67,-5.9,,14,6,,11,3,,6,9,,1990,1923,,1205,638,1583,0.403,183,570,0.321,464,646,0.718,281,960,345,230,145,454,543
257,Sam Houston,31,18,13,0.581,-5.17,-6.5,,11,9,,12,3,,6,10,,2417,2245,,1265,734,1747,0.42,234,736,0.318,543,735,0.739,305,1084,395,218,99,572,575
258,Samford,33,10,23,0.303,-13.13,-1.13,,4,14,,7,8,,3,14,,2448,2711,,1330,1000,2179,0.459,359,989,0.363,352,519,0.678,411,1288,617,254,114,467,618
259,San Diego,32,9,23,0.281,-3.52,4.35,,2,14,,6,9,,3,10,,2101,2319,,1295,850,1892,0.449,193,608,0.317,426,597,0.714,295,1129,403,220,108,416,575
260,San Diego State,32,30,2,0.938,18.38,3.93,,17,1,,14,1,,11,0,,2395,1903,,1280,659,1705,0.387,213,717,0.297,370,508,0.728,284,1015,352,175,61,452,559
261,San Francisco,34,22,12,0.647,8.56,3.84,,9,7,,12,5,,7,6,,2546,2339,,1375,851,1911,0.445,209,559,0.374,428,594,0.721,270,1122,361,205,97,442,572
262,San Jose State,31,7,24,0.226,-7.55,5.15,,3,15,,6,10,,1,12,,2167,2523,,1245,916,1927,0.475,240,670,0.358,451,651,0.693,331,1260,580,227,76,409,580
263,Santa Clara,33,20,13,0.606,1.95,0.63,,6,10,,16,5,,3,7,,2498,2365,,1325,817,1925,0.424,212,636,0.333,519,724,0.717,312,1181,408,214,95,460,605
264,Seattle,29,14,15,0.483,-3.95,-3.91,,7,7,,9,4,,3,10,,2177,2110,,1185,713,1682,0.424,189,597,0.317,495,673,0.736,276,1074,354,153,89,396,598
265,Seton Hall,30,21,9,0.7,16.75,9.95,,13,5,,11,4,,8,4,,2241,2037,,1200,717,1786,0.401,197,616,0.32,406,579,0.701,351,1099,348,192,92,414,538
266,Siena,30,20,10,0.667,-1.13,-5.66,,15,5,,14,0,,5,10,,2167,2031,,1215,745,1740,0.428,193,606,0.318,348,468,0.744,270,954,336,172,110,350,539
267,South Alabama,31,20,11,0.645,0.08,-1.03,,13,7,,11,5,,7,5,,2209,2092,,1245,747,1764,0.423,279,814,0.343,319,459,0.695,328,1046,422,165,115,431,544
268,South Carolina,31,18,13,0.581,10.27,6.43,,10,8,,12,5,,6,6,,2275,2156,,1245,656,1669,0.393,197,665,0.296,647,886,0.73,315,1098,356,191,112,482,638
269,South Carolina State,29,11,18,0.379,-16.01,-9.27,,6,10,,8,5,,3,12,,2037,2180,,1185,782,1682,0.465,205,599,0.342,411,613,0.67,276,967,354,158,99,358,553
270,South Carolina Upstate,33,13,20,0.394,-13.58,-6.06,,7,11,,9,6,,4,13,,2286,2460,,1320,845,1823,0.464,257,719,0.357,513,713,0.719,315,1207,407,193,101,451,564
271,South Dakota,32,20,12,0.625,-1.74,-3.84,,10,6,,13,2,,5,8,,2547,2374,,1280,853,1884,0.453,235,658,0.357,433,587,0.738,237,1026,362,167,79,364,654
272,South Dakota State,32,22,10,0.688,2.29,-4.24,,13,3,,16,0,,6,9,,2493,2256,,1295,840,1997,0.421,231,755,0.306,345,508,0.679,339,1082,369,211,102,357,590
273,South Florida,31,14,17,0.452,5.15,5.18,,7,11,,10,7,,3,6,,1943,1944,,1250,686,1548,0.443,207,620,0.334,365,534,0.684,235,969,350,205,99,475,552
274,Southeast Missouri State,31,7,24,0.226,-14.57,-5.29,,3,15,,6,7,,0,16,,2054,2307,,1245,830,1757,0.472,237,650,0.365,410,590,0.695,287,1121,468,171,102,389,563
275,Southeastern Louisiana,31,8,23,0.258,-16.11,-5.72,,5,15,,6,8,,2,14,,2157,2429,,1255,845,1772,0.477,207,631,0.328,532,712,0.747,339,1174,477,228,99,541,578
276,Southern,32,17,15,0.531,-9.36,-9.49,,13,5,,11,1,,5,14,,2234,2147,,1290,717,1647,0.435,168,532,0.316,545,801,0.68,255,994,308,186,108,461,592
277,Southern California,31,22,9,0.71,11.51,7.22,,11,7,,14,2,,5,6,,2179,2046,,1255,723,1881,0.384,232,741,0.313,368,527,0.698,333,1088,369,245,91,398,575
278,Southern Illinois,32,16,16,0.5,-0.18,0.37,,10,8,,12,3,,3,10,,2002,1991,,1285,751,1751,0.429,192,610,0.315,297,429,0.692,322,1128,401,205,107,435,518
279,SIU Edwardsville,31,8,23,0.258,-14.16,-5.71,,5,13,,4,10,,4,13,,2073,2261,,1240,759,1738,0.437,236,716,0.33,507,694,0.731,316,1106,468,192,99,416,520
280,Southern Methodist,30,19,11,0.633,7.97,3.5,,9,9,,15,2,,4,9,,2188,2054,,1225,720,1723,0.418,255,741,0.344,359,486,0.739,309,973,429,212,90,377,514
281,Southern Mississippi,31,9,22,0.29,-6.65,2.35,,5,13,,8,7,,1,12,,2047,2242,,1250,763,1780,0.429,282,842,0.335,434,585,0.742,294,1051,409,230,77,386,462
282,Southern Utah,32,17,15,0.531,0.1,-2.47,,9,11,,9,5,,6,10,,2329,2122,,1300,728,1832,0.397,193,634,0.304,473,663,0.713,259,1022,362,182,126,402,594
283,St. Bonaventure,31,19,12,0.613,3.12,1.62,,11,7,,9,5,,7,7,,2143,2073,,1250,716,1716,0.417,256,779,0.329,385,563,0.684,284,1032,436,169,93,373,488
284,St. Francis (NY),31,13,18,0.419,-11.3,-7.44,,7,11,,9,5,,4,13,,2168,2220,,1245,779,1790,0.435,208,592,0.351,454,644,0.705,314,1160,365,175,95,430,518
285,St. John's (NY),32,17,15,0.531,10.71,7.68,,5,13,,13,6,,1,8,,2387,2290,,1280,785,1892,0.415,253,799,0.317,467,685,0.682,379,1310,452,167,140,537,552
286,Stanford,32,20,12,0.625,13.35,6.38,,9,9,,14,4,,4,6,,2223,2000,,1290,707,1765,0.401,195,659,0.296,391,561,0.697,316,1093,322,203,126,497,561
287,Stephen F. Austin,31,28,3,0.903,4.04,-6.89,,19,1,,16,1,,12,2,,2499,2077,,1245,675,1594,0.423,210,613,0.343,517,713,0.725,273,930,356,237,109,669,675
288,Stetson,33,16,17,0.485,-9.63,-5.3,,9,7,,8,7,,7,9,,2103,2167,,1325,750,1808,0.415,292,865,0.338,375,545,0.688,318,1034,457,188,102,385,561
289,Stony Brook,33,20,13,0.606,-2.41,-4.41,,10,6,,10,5,,8,8,,2283,2172,,1330,764,1959,0.39,275,822,0.335,369,536,0.688,337,1175,438,205,92,436,565
290,Syracuse,32,18,14,0.563,12.32,7.26,,10,10,,11,7,,6,5,,2378,2216,,1290,758,1868,0.406,288,895,0.322,412,564,0.73,385,1186,551,187,89,446,567
291,TCU,32,16,16,0.5,9.86,10.09,,7,11,,14,5,,1,9,,2093,2079,,1295,758,1748,0.434,208,589,0.353,355,535,0.664,322,1079,473,205,128,451,493
292,Temple,31,14,17,0.452,6.59,6.17,,6,12,,8,7,,4,8,,2117,2104,,1255,737,1848,0.399,240,775,0.31,390,545,0.716,315,1182,421,200,131,410,525
293,Tennessee,31,17,14,0.548,11.18,8.3,,9,9,,11,6,,4,7,,2079,1990,,1240,685,1704,0.402,195,590,0.331,425,602,0.706,327,1036,306,236,93,404,604
294,Tennessee State,33,18,15,0.545,-6.7,-5.45,,9,9,,11,3,,4,11,,2355,2345,,1330,793,1928,0.411,227,730,0.311,532,737,0.722,341,1078,356,228,89,410,554
295,Tennessee Tech,31,9,22,0.29,-13.64,-4.67,,6,12,,6,8,,3,12,,2033,2241,,1250,827,1784,0.464,239,663,0.36,348,491,0.709,292,1100,492,216,99,424,415
296,Tennessee-Martin,29,9,20,0.31,-14.15,-4.3,,5,13,,6,6,,2,12,,2194,2382,,1165,882,1785,0.494,286,742,0.385,332,483,0.687,335,1024,535,188,88,360,502
297,Texas,31,19,12,0.613,10.47,9.6,,9,9,,11,6,,6,5,,1989,1962,,1240,710,1676,0.424,152,472,0.322,390,591,0.66,332,1098,310,199,95,427,441
298,Texas A&M,30,16,14,0.533,4.93,6.96,,10,8,,11,6,,5,4,,1894,1955,,1205,679,1659,0.409,273,834,0.327,324,432,0.75,325,1031,434,200,117,444,575
299,Texas A&M-Corpus Christi,32,14,18,0.438,-10.8,-6.63,,10,10,,10,6,,4,11,,2112,2199,,1280,750,1745,0.43,195,621,0.314,504,690,0.73,307,1005,392,271,103,419,570
300,Texas Southern,32,16,16,0.5,-10.37,-6.05,,12,6,,11,1,,5,15,,2335,2431,,1295,858,1964,0.437,237,691,0.343,478,663,0.721,349,1179,455,245,131,478,676
301,Texas State,32,21,11,0.656,5.42,-0.28,,13,7,,15,3,,6,8,,2339,2058,,1295,694,1714,0.405,203,638,0.318,467,652,0.716,328,1093,350,164,103,469,587
302,Texas Tech,31,18,13,0.581,16.83,8.41,,9,9,,13,4,,3,7,,2230,1969,,1260,683,1680,0.407,185,599,0.309,413,595,0.694,312,1035,301,195,100,497,589
303,Texas-Rio Grande Valley,30,14,16,0.467,-7.05,-3.7,,9,7,,11,3,,3,11,,2189,2143,,1215,728,1582,0.46,210,558,0.376,477,667,0.715,271,1055,432,163,66,521,564
304,The Citadel,30,6,24,0.2,-13.82,-1,,0,18,,3,11,,3,12,,2244,2433,,1215,886,1948,0.455,286,838,0.341,375,534,0.702,321,1155,460,230,80,418,520
305,Toledo,32,17,15,0.531,1.2,-1.47,,8,10,,10,6,,7,9,,2386,2244,,1285,817,1956,0.418,250,727,0.344,360,511,0.705,337,1151,365,209,101,377,596
306,Towson,32,19,13,0.594,0.09,-1.51,,12,6,,9,5,,8,4,,2258,2125,,1290,736,1795,0.41,250,774,0.323,403,546,0.738,293,1012,392,153,88,348,551
307,Troy,31,9,22,0.29,-9.01,-1.32,,5,15,,6,9,,3,13,,2131,2276,,1250,787,1768,0.445,238,705,0.338,464,663,0.7,319,1171,442,210,113,452,552
308,Tulane,30,12,18,0.4,0.94,3.54,,4,14,,7,7,,3,7,,2050,2128,,1210,766,1690,0.453,249,732,0.34,347,500,0.694,309,1164,482,156,95,484,545
309,Tulsa,31,21,10,0.677,7.92,3.59,,13,5,,15,2,,6,7,,2103,1969,,1260,690,1735,0.398,239,800,0.299,350,491,0.713,311,1063,369,224,108,455,589
310,UAB,32,19,13,0.594,-0.94,-1.64,,9,9,,11,6,,5,7,,2154,2088,,1280,748,1804,0.415,247,738,0.335,345,481,0.717,275,981,353,217,102,392,555
311,UC Davis,32,14,18,0.438,-4.7,-2.63,,8,8,,8,4,,5,12,,2330,2286,,1290,808,1752,0.461,230,676,0.34,440,610,0.721,284,1051,469,196,90,445,562
312,UC Irvine,32,21,11,0.656,3.73,-2.18,,13,3,,11,2,,8,8,,2367,2087,,1280,708,1827,0.388,221,631,0.35,450,641,0.702,294,965,343,175,85,375,520
313,UC Riverside,32,17,15,0.531,-3.63,-4.18,,7,9,,11,5,,6,10,,2059,1939,,1285,692,1712,0.404,198,563,0.352,357,521,0.685,233,968,343,178,85,346,503
314,UC Santa Barbara,31,21,10,0.677,-0.57,-4.06,,10,6,,13,3,,8,7,,2195,2054,,1245,751,1673,0.449,208,597,0.348,344,484,0.711,247,917,355,141,76,374,590
315,UCF,30,16,14,0.533,5.13,4.13,,7,11,,10,6,,4,7,,2067,2037,,1210,727,1731,0.42,202,637,0.317,381,509,0.749,324,1068,422,205,77,429,537
316,UCLA,31,19,12,0.613,9.83,8.23,,12,6,,13,4,,5,5,,2153,2079,,1250,710,1656,0.429,235,627,0.375,424,583,0.727,260,961,337,178,94,403,577
