Pick Number,Team,Player,Height,Weight,Position,School ,Class
1, Cleveland,Andrew Wiggins,8-Jun,200,SF,Kansas,Fr.
2, Milwaukee,Jabari Parker,9-Jun,240,SF/PF,Duke,Fr.
3, *Philadelphia,Joel Embiid,Jul-00,250,C,Kansas,Fr.
4, Orlando,Dante Exum,6-Jun,196,PG/SG,Australia,Intl.
5, Utah,Aaron Gordon,9-Jun,220,PF,Arizona,Fr.
6, *Boston,Marcus Smart,3-Jun,227,PG,Oklahoma State,So.
7, LA Lakers,Julius Randle,9-Jun,250,PF,Kentucky,Fr.
8, Sacramento,Noah Vonleh,9-Jun,247,PF,Indiana,Fr.
9, *Charlotte,Doug McDermott,7-Jun,220,SF,Creighton,Sr.
10, *Orlando,Nik Stauskas,6-Jun,207,SG,Michigan,So.
11, *Chicago,Elfrid Payton,4-Jun,185,PG,Louisiana Laf...,Jr.
12, *Philadelphia,Rodney Hood,8-Jun,208,SF,Duke,So.
13, *Minnesota,Zach LaVine,6-Jun,180,PG/SG,UCLA,Fr.
14, *Phoenix,Gary Harris,4-Jun,205,SG,Michigan St.,So.
15, *Atlanta,Dario Saric,10-Jun,225,SF/PF,Croatia,Intl.
16, *Denver,Adreian Payne,10-Jun,240,PF,Michigan St.,Sr.
17, *Boston,Jusuf Nurkic,11-Jun,280,C,Bosnia & Herz...,Intl.
18, *Phoenix,Kyle Anderson,9-Jun,230,SF,UCLA,So.
19, *Denver,Shabazz Napier,Jun-00,175,PG,UConn,Sr.
20, Toronto,Tyler Ennis,2-Jun,180,PG,Syracuse,Fr.
21, *Oklahoma Cty,TJ Warren,8-Jun,220,SF,NC State,So.
22, Memphis,James Young,6-Jun,215,SG,Kentucky,Fr.
23, *Utah,Jordan Adams,5-Jun,209,SG,UCLA,So.
24, *Miami,Glenn Robinson III,7-Jun,211,SF,Michigan,So.
25, Houston,Jordan Clarkson,4-Jun,186,PG/SG,Missouri,Jr.
26, Charlotte,Jarnell Stokes,8-Jun,260,PF,Tennessee,Jr.
