Pick Number,Team,Player,Height,Weight,Position,School ,Class
1, New Orleans,Zion Williamson,6-Jun,280,PF,Duke,Fr.
2, Memphis,Ja Morant,3-Jun,175,PG,Murray St.,So.
3, New York,RJ Barrett,7-Jun,210,SG,Duke,Fr.
4, *New Orleans,DeAndre Hunter,7-Jun,225,SF/PF,Virginia,So.
5, *Cleveland,Darius Garland,2-Jun,175,PG,Vanderbilt,Fr.
6, Phoenix,Coby White,5-Jun,190,PG/SG,North Carolina,Fr.
7, Chicago,Jarrett Culver,6-Jun,195,SG,Texas Tech,So.
8, Atlanta,Cameron Reddish,8-Jun,210,SG/SF,Duke,Fr.
9, Washington,Sekou Doumbouya,9-Jun,230,SF/PF,France,Intl.
10, *Atlanta,Jaxson Hayes,11-Jun,220,PF/C,Texas,Fr.
11, Minnesota,Rui Hachimura,8-Jun,235,PF,Gonzaga,Jr.
12, Charlotte,Nassir Little,6-Jun,225,SF,North Carolina,Fr.
13, Miami,PJ Washington,8-Jun,230,PF,Kentucky,So.
14, *Boston,Keldon Johnson,6-Jun,215,SG/SF,Kentucky,Fr.
15, Detroit,Goga Bitadze,11-Jun,250,C,Rep. of Georgia,Intl.
16, Orlando,Tyler Herro,6-Jun,195,SG,Kentucky,Fr.
17, *Atlanta,Matisse Thybulle,6-Jun,200,SG/SF,Washington,Sr.
18, Indiana,Bol Bol,2-Jul,210,C,Oregon,Fr.
19, San Antonio,Mfiondu Kabengele,10-Jun,255,PF/C,Florida St.,So.
20, *Boston,Ty Jerome,5-Jun,195,PG,Virginia,Jr.
21, Oklahoma Cty,Bruno Fernando,10-Jun,240,C,Maryland,So.
22, Boston,Eric Paschall,7-Jun,255,PF,Villanova,Sr.
23, Utah,Romeo Langford,6-Jun,210,SG,Indiana,Fr.
24, *Philadelphia,Nicolas Claxton,11-Jun,215,PF,Georgia,So.
25, Portland,Brandon Clarke,8-Jun,210,PF/C,Gonzaga,Jr.
26, *Cleveland,Kevin Porter,5-Jun,215,SG/SF,USC,Fr.
27, *Brooklyn,Nickeil Alexande...,5-Jun,205,SG,Virginia Tech,So.
28, Golden St.,Dylan Windler,7-Jun,195,SG/SF,Belmont,Sr.
29, *San Antonio,Luka Samanic,11-Jun,230,PF,Croatia,Intl.
30, *Milwaukee,KZ Okpala,8-Jun,210,SG/SF,Stanford,So.
31, *Brooklyn,Darius Bazley,9-Jun,210,SF/PF,USA,N/A
32, Phoenix,Carsen Edwards,Jun-00,200,PG,Purdue,Jr.
33, *Philadelphia,Chuma Okeke,8-Jun,235,SF/PF,Auburn,So.
34, *Philadelphia,Naz Reid,10-Jun,255,C,LSU,Fr.
35, Atlanta,DaQuan Jeffries,5-Jun,215,SF,,Sr.
36, *Charlotte,Jalen Lecque,4-Jun,185,PG/SG,NC State,HSSr.
37, *Dallas,Cameron Johnson,8-Jun,205,SF,North Carolina,Sr.
38, *Chicago,Terance Mann,6-Jun,205,SG,Florida St.,Sr.
39, New Orleans,Grant Williams,7-Jun,240,PF,Tennessee,Jr.
40, *Sacramento,Daniel Gafford,10-Jun,240,PF/C,Arkansas,So.
41, *Atlanta,Alen Smailagic,10-Jun,215,PF/C,Serbia,Intl.
42, *Philadelphia,Jalen McDaniels,9-Jun,190,SF/PF,San Diego St.,So.
43, *Minnesota,Ky Bowman,2-Jun,180,PG,Boston College,Jr.
44, *Atlanta,Isaiah Roby,8-Jun,215,SF/PF,Nebraska,Jr.
45, Detroit,Justin Wright-Fo...,2-Jun,190,PG/SG,Hofstra,Sr.
46, *Orlando,Jontay Porter,11-Jun,210,PF/C,Missouri,So.
47, *Sacramento,Kyle Guy,2-Jun,170,PG/SG,Virginia,Jr.
48, *LA Clippers,Terence Davis,4-Jun,190,PG/SG,Mississippi,Sr.
49, San Antonio,Adam Mokoka,5-Jun,210,SG,France,Intl.
50, Indiana,Jordan Bone,3-Jun,180,PG,Tennessee,Jr.
51, Boston,Luguentz Dort,4-Jun,220,SG,Arizona St.,Fr.
52, *Charlotte,Jaylen Hoard,8-Jun,215,SF/PF,Wake Forest,Fr.
53, Utah,Joshua Obiesie,6-Jun,195,PG/SG,Germany,Intl.
54, Philadelphia,Louis King,8-Jun,195,SF,Oregon,Fr.
55, *New York,Jaylen Hands,3-Jun,180,PG,UCLA,So.
56, *LA Clippers,Tremont Waters,11-May,175,PG,LSU,So.
57, *New Orleans,Tacko Fall,6-Jul,290,C,Central Florida,Sr.
58, Golden St.,Marial Shayok,6-Jun,195,SG/SF,Iowa St.,Sr.
59, Toronto,Kris Wilkes,7-Jun,210,SF,UCLA,So.
60, *Sacramento,Talen Horton-Tuc...,4-Jun,235,SG/SF,Iowa St.,Fr.
