,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent,,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian NCAA,29,24,5,0.828,6.27,-6.37,,13,2,,13,0,,5,4,,2196,1753,,1160,601,1488,0.404,161,520,0.31,390,573,0.681,263,985,299,189,110,578,580
2,Air Force,25,5,20,0.2,-12.98,0.22,,3,17,,3,8,,1,10,,1468,1798,,1000,654,1309,0.5,194,530,0.366,296,430,0.688,258,865,368,150,53,348,418
3,Akron,23,15,8,0.652,1.85,-1.96,,12,6,,9,1,,5,5,,1798,1660,,930,621,1435,0.433,151,486,0.311,267,375,0.712,253,837,279,129,51,274,422
4,Alabama NCAA,33,26,7,0.788,19.58,10.01,,16,2,,12,1,,7,3,,2629,2313,,1325,837,2053,0.408,205,704,0.291,434,630,0.689,378,1254,368,261,161,506,599
5,Alabama A&M,15,6,9,0.4,-18.86,-14.99,,4,9,,5,2,,1,7,,950,1008,,610,350,891,0.393,84,297,0.283,224,333,0.673,172,582,188,121,40,192,251
6,Alabama State,18,4,14,0.222,-24.28,-16.95,,4,14,,3,6,,1,8,,1156,1288,,720,456,1042,0.438,108,332,0.325,268,385,0.696,188,677,227,139,75,268,388
7,Albany (NY),16,7,9,0.438,-4.53,-5.22,,6,6,,4,5,,2,4,,1110,1099,,640,402,894,0.45,114,330,0.345,181,262,0.691,139,522,196,90,64,233,295
8,Alcorn State,19,6,13,0.316,-19.58,-10.06,,6,7,,4,3,,2,9,,1256,1437,,760,483,992,0.487,134,387,0.346,337,497,0.678,175,663,280,128,79,299,338
9,American,10,4,6,0.4,-6.32,-1.82,,4,5,,2,2,,2,4,,691,736,,420,268,584,0.459,50,172,0.291,150,224,0.67,106,351,117,85,25,125,156
10,Appalachian State NCAA,29,17,12,0.586,-5.84,-5.72,,7,8,,9,4,,4,7,,2039,1860,,1185,689,1648,0.418,202,622,0.325,280,394,0.711,269,1020,346,164,125,405,507
11,Arizona,26,17,9,0.654,15.02,8.18,,11,9,,12,4,,5,5,,1961,1783,,1050,631,1470,0.429,184,539,0.341,337,477,0.706,220,812,292,140,72,322,524
12,Arizona State,25,11,14,0.44,7.48,10.24,,7,10,,7,6,,2,6,,1858,1927,,1010,671,1460,0.46,192,530,0.362,393,527,0.746,257,990,373,139,80,380,455
13,Arkansas NCAA,32,25,7,0.781,17.8,7.18,,13,4,,16,1,,5,4,,2604,2264,,1285,813,1958,0.415,248,738,0.336,390,568,0.687,313,1144,393,209,116,483,607
14,Arkansas State,24,11,13,0.458,-7.97,-5.87,,7,8,,9,3,,1,9,,1741,1667,,965,608,1431,0.425,160,479,0.334,291,393,0.74,239,806,294,163,101,301,425
15,Arkansas-Pine Bluff,25,4,21,0.16,-22.67,-7.79,,3,12,,2,3,,2,17,,1549,1921,,1010,680,1434,0.474,191,478,0.4,370,549,0.674,263,922,404,207,95,322,472
16,Army,22,12,10,0.545,0.06,0.63,,7,7,,5,5,,5,3,,1578,1529,,885,560,1276,0.439,184,518,0.355,225,310,0.726,185,775,283,154,74,303,375
17,Auburn,27,13,14,0.481,10.02,9.28,,7,11,,8,5,,3,8,,2084,2064,,1090,748,1708,0.438,198,606,0.327,370,540,0.685,329,980,340,236,101,369,535
18,Austin Peay,27,14,13,0.519,-6.66,-8.22,,10,10,,8,5,,4,6,,2007,1890,,1090,687,1457,0.472,194,541,0.359,322,477,0.675,249,856,312,210,70,436,489
19,Ball State,23,10,13,0.435,-1.96,-1.22,,8,9,,7,4,,3,8,,1719,1736,,930,611,1419,0.431,167,538,0.31,347,506,0.686,272,867,288,168,60,288,409
20,Baylor NCAA,30,28,2,0.933,24.83,7.4,,13,1,,11,0,,7,1,,2487,1964,,1205,711,1642,0.433,185,563,0.329,357,514,0.695,298,951,368,167,123,510,493
21,Bellarmine,22,14,8,0.636,-1.76,-5.56,,10,3,,6,4,,7,2,,1634,1456,,880,514,1142,0.45,204,541,0.377,224,318,0.704,179,645,292,117,62,332,349
22,Belmont,30,26,4,0.867,3.46,-8.71,,18,2,,11,1,,10,2,,2439,2074,,1205,773,1813,0.426,223,660,0.338,305,448,0.681,307,1054,386,189,110,441,489
23,Binghamton,18,4,14,0.222,-12.24,-5.35,,4,10,,1,9,,3,5,,1178,1302,,735,466,1037,0.449,137,373,0.367,233,325,0.717,171,637,217,121,45,199,283
24,Boise State,28,19,9,0.679,9.75,1.71,,14,6,,11,1,,6,6,,2122,1868,,1125,684,1588,0.431,182,551,0.33,318,437,0.728,223,914,313,149,68,401,540
25,Boston College,20,4,16,0.2,0.82,8.97,,2,11,,3,5,,0,7,,1427,1590,,805,593,1208,0.491,154,435,0.354,250,351,0.712,193,743,297,136,68,267,347
26,Boston University,18,7,11,0.389,-3.71,0.84,,6,10,,2,6,,5,5,,1249,1331,,720,495,1050,0.471,132,369,0.358,209,312,0.67,159,606,238,116,48,185,305
27,Bowling Green State,26,14,12,0.538,-0.17,-2.37,,10,8,,4,7,,10,3,,2015,1939,,1050,703,1584,0.444,205,615,0.333,328,466,0.704,282,1022,347,138,99,358,440
28,Bradley,28,12,16,0.429,0.32,1.17,,6,12,,8,6,,2,9,,1948,1864,,1130,654,1570,0.417,253,683,0.37,303,457,0.663,258,944,361,182,59,336,395
29,Brigham Young NCAA,27,20,7,0.741,15.19,7.23,,10,3,,11,2,,7,2,,2109,1853,,1095,669,1628,0.411,188,570,0.33,327,480,0.681,239,877,312,169,54,306,500
30,Bryant,22,15,7,0.682,-1.37,-7.27,,10,4,,10,1,,5,5,,1843,1664,,880,609,1480,0.411,164,570,0.288,282,400,0.705,279,849,325,160,81,302,420
31,Bucknell,12,5,7,0.417,-7.78,-5.36,,4,6,,2,3,,3,4,,899,928,,480,334,763,0.438,89,247,0.36,171,223,0.767,128,443,184,84,38,138,210
32,Buffalo,25,16,9,0.64,6.5,-1.58,,12,5,,8,3,,5,3,,2034,1823,,1010,663,1599,0.415,151,526,0.287,346,452,0.765,265,890,326,161,76,327,426
33,Butler,25,10,15,0.4,4.76,9.92,,8,12,,8,4,,1,9,,1588,1717,,1015,633,1362,0.465,179,512,0.35,272,388,0.701,194,848,345,128,92,307,418
34,Cal Poly,24,4,20,0.167,-13.69,-1.56,,1,15,,3,8,,0,11,,1475,1700,,965,597,1358,0.44,161,456,0.353,345,487,0.708,239,899,309,174,76,308,413
35,Cal State Bakersfield,26,15,11,0.577,-0.13,-2.38,,11,7,,9,2,,6,8,,1811,1665,,1045,556,1303,0.427,183,534,0.343,370,524,0.706,209,746,313,151,75,369,419
36,Cal State Fullerton,16,6,10,0.375,-6.32,-3.05,,5,9,,5,4,,1,5,,1232,1257,,645,467,982,0.476,133,339,0.392,190,268,0.709,158,579,269,109,53,222,306
37,Cal State Northridge,22,9,13,0.409,-8.69,-1.97,,5,9,,4,7,,4,4,,1586,1709,,885,601,1284,0.468,184,514,0.358,323,425,0.76,211,824,329,131,52,291,397
38,California,29,9,20,0.31,4.89,9.75,,3,17,,6,8,,1,11,,1897,2008,,1160,723,1557,0.464,190,508,0.374,372,521,0.714,220,941,372,178,82,336,494
39,California Baptist,23,13,10,0.565,-5.25,-5.04,,6,6,,11,4,,2,5,,1820,1674,,925,600,1359,0.442,157,451,0.348,317,482,0.658,213,754,316,147,53,275,437
40,Campbell,27,17,10,0.63,-6.82,-7.34,,11,6,,9,3,,6,7,,1917,1840,,1095,673,1466,0.459,171,555,0.308,323,447,0.723,261,894,294,153,60,389,482
41,Canisius,13,7,6,0.538,-8.61,-7.84,,7,5,,3,1,,4,4,,915,925,,520,338,747,0.452,79,232,0.341,170,236,0.72,117,475,149,70,45,188,236
42,Central Arkansas,24,5,19,0.208,-14.86,-1.99,,4,12,,4,5,,1,14,,1701,1933,,960,694,1527,0.454,218,587,0.371,327,446,0.733,245,850,397,224,81,285,414
43,Central Connecticut State,21,5,16,0.238,-15.12,-6.27,,5,13,,3,6,,2,9,,1439,1625,,840,592,1260,0.47,174,495,0.352,267,383,0.697,235,821,339,162,62,303,338
44,Central Michigan,23,7,16,0.304,-12.34,-4.19,,3,13,,5,7,,2,9,,1766,1835,,920,668,1466,0.456,201,582,0.345,298,395,0.754,260,890,351,144,88,320,444
45,Charleston Southern,21,3,18,0.143,-16.72,-6.22,,2,15,,1,9,,2,8,,1375,1550,,845,555,1252,0.443,160,466,0.343,280,425,0.659,248,794,275,186,79,276,368
46,Charlotte,25,9,16,0.36,-5.68,-2.43,,5,11,,6,7,,3,8,,1587,1668,,1025,622,1387,0.448,175,536,0.326,249,326,0.764,196,798,336,173,88,311,398
47,Chattanooga,26,18,8,0.692,-1.54,-2.92,,9,7,,9,3,,9,4,,1888,1801,,1050,688,1510,0.456,178,537,0.331,247,351,0.704,215,907,338,135,98,344,415
48,Chicago State,9,0,9,0,-31.82,1.41,,,,,,,,0,7,,499,798,,360,295,558,0.529,81,205,0.395,127,183,0.694,110,382,174,58,26,104,132
49,Cincinnati,23,12,11,0.522,3.99,7.21,,8,6,,5,5,,5,5,,1585,1659,,920,568,1300,0.437,153,456,0.336,370,492,0.752,199,795,319,158,84,305,401
50,Clemson NCAA,24,16,8,0.667,12.49,9.49,,10,6,,11,1,,2,5,,1558,1486,,965,529,1265,0.418,173,518,0.334,255,366,0.697,212,787,269,157,74,338,366
51,Cleveland State NCAA,27,19,8,0.704,-5.12,-4.82,,16,4,,9,2,,8,5,,1914,1922,,1105,651,1532,0.425,199,649,0.307,421,576,0.731,309,956,342,173,78,373,449
52,Coastal Carolina,26,18,8,0.692,-2.74,-7.6,,9,5,,12,1,,3,5,,2067,1773,,1050,619,1588,0.39,223,720,0.31,312,457,0.683,271,873,329,204,63,363,474
53,Colgate NCAA,16,14,2,0.875,13.66,-1.9,,11,1,,8,1,,6,0,,1363,1114,,645,417,1016,0.41,97,368,0.264,183,267,0.685,163,561,178,88,47,191,282
54,College of Charleston,19,9,10,0.474,-4.96,-3.13,,6,4,,8,6,,1,3,,1341,1329,,780,465,1045,0.445,150,416,0.361,249,344,0.724,162,638,241,91,57,222,308
55,Colorado NCAA,32,23,9,0.719,18.88,9.57,,14,6,,11,1,,6,6,,2340,2042,,1280,734,1745,0.421,204,612,0.333,370,507,0.73,270,979,358,152,93,420,529
56,Colorado State,28,20,8,0.714,8.06,1.06,,14,4,,10,1,,6,4,,2072,1871,,1120,688,1631,0.422,221,710,0.311,274,429,0.639,275,942,373,178,91,387,513
57,Connecticut NCAA,23,15,8,0.652,15.77,8.59,,11,6,,7,3,,6,3,,1650,1485,,925,514,1243,0.414,134,414,0.324,323,457,0.707,233,762,242,125,63,299,392
58,Coppin State,22,9,13,0.409,-12.37,-6.06,,8,4,,5,3,,4,9,,1602,1741,,880,627,1506,0.416,189,614,0.308,298,407,0.732,304,1027,306,159,62,357,451
