,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent,,,,,,,,,,,,,,,,
59,Creighton NCAA,31,22,9,0.71,16.28,8.54,,14,6,,11,3,,7,4,,2355,2115,,1250,771,1889,0.408,235,741,0.317,338,482,0.701,330,1137,406,172,87,389,497
60,Davidson,22,13,9,0.591,9.02,3.4,,7,4,,7,4,,4,2,,1579,1411,,885,502,1176,0.427,162,481,0.337,245,337,0.727,157,659,238,104,49,230,352
61,Dayton,24,14,10,0.583,6.31,4.35,,9,7,,8,3,,4,6,,1674,1627,,985,607,1432,0.424,174,542,0.321,239,377,0.634,258,796,306,135,70,285,405
62,Delaware,15,7,8,0.467,-5.19,-5.04,,5,4,,6,3,,1,4,,1013,1012,,600,361,856,0.422,101,294,0.344,189,263,0.719,138,494,160,97,39,172,269
63,Delaware State,19,3,16,0.158,-24.09,-6.33,,1,11,,3,6,,0,10,,1345,1629,,765,554,1183,0.468,161,452,0.356,360,509,0.707,223,781,300,161,77,280,349
64,Denver,21,2,19,0.095,-16.4,-5.8,,1,13,,2,10,,0,9,,1466,1662,,850,560,1174,0.477,173,453,0.382,369,479,0.77,171,722,237,136,70,286,418
65,DePaul,19,5,14,0.263,2.67,8.83,,2,13,,2,8,,2,5,,1250,1367,,770,470,1127,0.417,141,457,0.309,286,398,0.719,225,715,262,139,75,274,306
66,Detroit Mercy,22,12,10,0.545,-3.66,-6.21,,10,6,,7,5,,5,5,,1683,1627,,885,607,1311,0.463,205,557,0.368,208,294,0.707,212,746,377,120,59,279,353
67,Drake NCAA,31,26,5,0.839,9.42,-0.48,,15,3,,14,1,,9,2,,2354,1999,,1250,725,1718,0.422,193,618,0.312,356,495,0.719,266,967,336,170,97,392,437
68,Drexel NCAA,20,12,8,0.6,-0.97,-3.92,,4,5,,3,2,,4,5,,1407,1348,,800,504,1124,0.448,119,371,0.321,221,297,0.744,158,596,214,123,63,210,306
69,Duke,24,13,11,0.542,13.04,8.33,,9,9,,8,5,,3,6,,1824,1711,,970,623,1367,0.456,157,441,0.356,308,436,0.706,236,808,304,153,93,332,362
70,Duquesne,18,9,9,0.5,2.32,2.49,,7,7,,5,2,,2,5,,1205,1208,,720,422,1011,0.417,112,395,0.284,252,359,0.702,193,649,240,122,56,241,298
71,East Carolina,19,8,11,0.421,1,3.83,,2,10,,7,6,,1,4,,1269,1291,,765,437,1032,0.423,141,439,0.321,276,388,0.711,174,681,245,126,61,277,330
72,East Tennessee State,25,13,12,0.52,1.65,0.3,,8,7,,8,4,,3,5,,1736,1654,,1005,573,1370,0.418,211,617,0.342,297,429,0.692,223,823,321,161,77,344,421
73,Eastern Illinois,27,9,18,0.333,-12.71,-7.19,,6,14,,5,7,,4,11,,1874,2023,,1095,722,1601,0.451,217,597,0.363,362,497,0.728,276,985,400,200,80,361,408
74,Eastern Kentucky,29,22,7,0.759,-2.68,-8.24,,15,5,,10,2,,9,4,,2372,2137,,1180,770,1735,0.444,201,619,0.325,396,546,0.725,305,1144,442,179,81,555,479
75,Eastern Michigan,18,6,12,0.333,-14.23,-1.23,,3,11,,5,4,,1,8,,1267,1362,,720,506,1057,0.479,169,455,0.371,181,268,0.675,176,679,320,108,41,278,297
76,Eastern Washington NCAA,24,16,8,0.667,4.03,-3.15,,12,3,,7,2,,6,5,,1879,1690,,960,617,1479,0.417,166,529,0.314,290,401,0.723,229,826,278,138,53,279,438
77,Elon,19,10,9,0.526,-5.32,-4.43,,4,7,,4,2,,3,6,,1249,1235,,760,421,985,0.427,129,405,0.319,264,402,0.657,136,635,185,119,62,235,301
78,Evansville,25,9,16,0.36,-4.85,-0.01,,7,11,,8,4,,1,10,,1619,1740,,1015,645,1255,0.514,150,366,0.41,300,431,0.696,165,800,280,129,56,289,399
79,Fairfield,27,10,17,0.37,-11.46,-6.57,,7,11,,4,8,,3,8,,1668,1800,,1090,663,1517,0.437,165,506,0.326,309,466,0.663,248,926,330,165,94,290,508
80,FDU,24,9,15,0.375,-10.17,-6.46,,8,10,,4,6,,5,9,,1801,1890,,970,680,1460,0.466,188,562,0.335,342,495,0.691,282,889,397,168,80,337,412
81,Florida NCAA,25,15,10,0.6,13.7,9.82,,9,7,,6,3,,5,5,,1854,1757,,1005,616,1458,0.422,162,528,0.307,363,512,0.709,276,831,316,189,83,357,444
82,Florida A&M,20,8,12,0.4,-12.35,-9.55,,7,5,,4,1,,4,10,,1314,1370,,800,496,1161,0.427,120,421,0.285,258,393,0.656,233,708,239,147,53,304,347
83,Florida Atlantic,23,13,10,0.565,-2.05,-4.94,,7,5,,7,1,,4,7,,1796,1537,,925,533,1288,0.414,160,470,0.34,311,447,0.696,193,749,239,125,60,327,392
84,Florida Gulf Coast,18,10,8,0.556,-9.63,-7.13,,4,5,,7,4,,2,2,,1292,1242,,720,461,1095,0.421,128,409,0.313,192,279,0.688,191,675,213,128,63,260,284
85,Florida International,26,9,17,0.346,-11.2,-3.24,,2,15,,7,8,,2,9,,1914,1985,,1055,725,1535,0.472,175,486,0.36,360,505,0.713,285,995,335,183,72,431,393
86,Florida State NCAA,25,18,7,0.72,17.12,9.16,,11,4,,12,1,,3,4,,1929,1730,,1010,582,1465,0.397,188,579,0.325,378,515,0.734,290,826,299,174,69,344,415
87,Fordham,14,2,12,0.143,-11.69,3.09,,2,11,,2,5,,0,6,,725,932,,560,332,763,0.435,122,365,0.334,146,212,0.689,140,539,217,95,37,173,209
88,Fresno State,24,12,12,0.5,-3.57,0.07,,9,11,,7,5,,4,6,,1591,1618,,965,567,1309,0.433,175,501,0.349,309,422,0.732,202,774,264,160,76,314,447
89,Furman,25,16,9,0.64,5.99,-1.69,,10,5,,11,1,,5,7,,1990,1723,,1005,635,1440,0.441,181,559,0.324,272,423,0.643,228,825,326,179,69,370,366
90,Gardner-Webb,26,11,15,0.423,-3.87,-6.14,,10,10,,7,4,,4,11,,1837,1778,,1040,598,1434,0.417,199,583,0.341,383,523,0.732,256,913,334,142,82,317,429
91,George Mason,22,13,9,0.591,1.91,0.48,,8,6,,7,3,,3,4,,1569,1538,,905,558,1275,0.438,162,456,0.355,260,359,0.724,186,774,247,144,57,310,370
92,George Washington,17,5,12,0.294,-5.75,-1.57,,3,5,,3,6,,1,5,,1158,1229,,685,463,1034,0.448,129,377,0.342,174,258,0.674,178,598,252,122,62,197,274
93,Georgetown NCAA,26,13,13,0.5,10.13,10.36,,7,9,,7,6,,2,6,,1857,1863,,1045,679,1609,0.422,217,641,0.339,288,416,0.692,269,905,390,197,73,298,447
94,Georgia,26,14,12,0.538,6.62,8.02,,7,11,,12,5,,2,6,,2014,2027,,1045,736,1609,0.457,204,601,0.339,351,499,0.703,300,943,355,224,115,431,500
95,Georgia Southern,26,13,13,0.5,-10.22,-6.26,,7,9,,9,4,,4,8,,1860,1762,,1070,622,1469,0.423,201,575,0.35,317,448,0.708,258,894,276,186,72,410,435
96,Georgia State,22,16,6,0.727,-1.7,-4.6,,8,4,,9,1,,5,4,,1767,1599,,900,554,1342,0.413,185,547,0.338,306,439,0.697,265,814,268,138,63,324,384
97,Georgia Tech NCAA,26,17,9,0.654,12.79,7.91,,11,6,,11,3,,4,5,,1948,1821,,1065,668,1455,0.459,189,513,0.368,296,420,0.705,251,890,368,141,73,408,394
98,Gonzaga NCAA,32,31,1,0.969,27.2,5.92,,15,0,,12,0,,7,0,,2911,2230,,1285,829,1966,0.422,217,663,0.327,355,505,0.703,271,971,377,195,89,461,616
99,Grambling,24,12,12,0.5,-14.27,-12.49,,9,6,,6,4,,5,7,,1617,1649,,965,558,1399,0.399,181,533,0.34,352,529,0.665,271,879,348,184,109,359,440
100,Grand Canyon NCAA,24,17,7,0.708,5.11,-3.46,,9,3,,10,3,,5,1,,1812,1491,,960,521,1360,0.383,168,570,0.295,281,397,0.708,198,728,241,136,51,279,430
101,Green Bay,25,8,17,0.32,-10.15,-5.23,,8,12,,6,6,,2,11,,1790,1913,,1030,695,1468,0.473,182,503,0.362,341,468,0.729,241,899,312,142,67,294,406
102,Hampton,25,11,14,0.44,-13.67,-9.27,,9,9,,5,7,,6,7,,1721,1831,,1000,637,1487,0.428,190,562,0.338,367,527,0.696,301,993,318,161,68,314,379
103,Hartford NCAA,24,15,9,0.625,-3.45,-4.95,,8,6,,10,1,,5,6,,1570,1534,,960,574,1375,0.417,163,562,0.29,223,335,0.666,245,840,278,138,83,322,388
104,Hawaii,21,11,10,0.524,-2.98,-2.72,,9,9,,7,5,,4,4,,1503,1452,,855,541,1220,0.443,121,370,0.327,249,342,0.728,174,674,220,148,58,254,383
105,High Point,24,9,15,0.375,-10.78,-7.58,,6,11,,5,5,,4,10,,1600,1677,,965,582,1312,0.444,209,589,0.355,304,447,0.68,225,817,339,150,102,326,462
106,Hofstra,23,13,10,0.565,-2.77,-2.94,,8,6,,7,3,,5,6,,1683,1679,,925,618,1383,0.447,178,527,0.338,265,357,0.742,234,816,373,136,72,277,420
107,Holy Cross,16,5,11,0.313,-4.99,0.45,,5,11,,2,7,,3,4,,1130,1217,,645,436,934,0.467,110,309,0.356,235,329,0.714,171,587,212,111,53,210,254
108,Houston NCAA,32,28,4,0.875,21.66,5.37,,14,3,,15,0,,5,3,,2434,1863,,1280,621,1642,0.378,181,625,0.29,440,665,0.662,307,1010,333,158,80,452,560
109,Houston Christian,25,6,19,0.24,-16.72,-5.72,,4,11,,4,6,,1,12,,1776,2007,,1005,740,1573,0.47,208,605,0.344,319,444,0.718,281,952,393,224,79,356,446
110,Howard,5,1,4,0.2,-14.26,-2.51,,,,,1,1,,,,,363,424,,200,156,333,0.468,49,137,0.358,63,101,0.624,60,198,98,41,15,44,97
111,Idaho,22,1,21,0.045,-18.32,-2.91,,1,17,,1,9,,0,11,,1343,1682,,890,588,1244,0.473,174,457,0.381,332,445,0.746,213,753,286,196,67,257,369
112,Idaho State,24,13,11,0.542,-8.39,-5.71,,8,6,,8,3,,5,5,,1637,1481,,970,524,1297,0.404,140,409,0.342,293,428,0.685,203,712,234,173,45,304,496
113,Illinois NCAA,31,24,7,0.774,23.25,11.34,,16,4,,11,2,,9,3,,2497,2128,,1255,770,1873,0.411,201,611,0.329,387,563,0.687,257,942,347,208,119,358,608
114,Illinois State,25,7,18,0.28,-5.45,0.38,,4,14,,3,8,,3,9,,1799,1870,,1015,692,1546,0.448,198,641,0.309,288,398,0.724,238,899,398,175,62,299,368
115,Illinois-Chicago,22,9,13,0.409,-12.06,-7.42,,6,10,,7,4,,2,9,,1489,1591,,890,587,1333,0.44,107,356,0.301,310,452,0.686,219,818,261,141,55,220,326
116,Incarnate Word,22,8,14,0.364,-15.91,-8.33,,5,9,,5,7,,3,6,,1495,1578,,885,586,1264,0.464,126,412,0.306,280,408,0.686,227,769,313,147,67,283,385
117,Indiana,27,12,15,0.444,12.79,12.45,,7,12,,6,6,,3,7,,1882,1873,,1115,655,1539,0.426,193,578,0.334,370,516,0.717,260,973,319,159,98,330,534
118,Indiana State,25,15,10,0.6,2.04,1.91,,11,7,,9,3,,5,6,,1662,1645,,1000,607,1347,0.451,174,512,0.34,257,368,0.698,212,832,332,129,66,367,444
119,Iona NCAA,18,12,6,0.667,-1.2,-6.42,,6,3,,4,2,,4,3,,1283,1189,,720,388,963,0.403,109,361,0.302,304,444,0.685,168,577,207,135,46,247,347
120,Iowa NCAA,31,22,9,0.71,21.4,10.43,,14,6,,14,2,,6,4,,2595,2255,,1245,840,2002,0.42,275,790,0.348,300,444,0.676,357,1146,506,166,98,355,574
121,Iowa State,24,2,22,0.083,-0.72,10.4,,0,18,,2,10,,0,11,,1574,1841,,960,652,1408,0.463,159,482,0.33,378,510,0.741,273,913,318,194,78,312,333
122,IU Indy,18,8,10,0.444,-11.65,-7.03,,7,9,,4,5,,4,5,,1281,1364,,720,493,1039,0.474,110,361,0.305,268,365,0.734,149,642,232,122,38,247,288
123,Jackson State,18,12,6,0.667,-11.27,-14.05,,11,0,,6,0,,5,5,,1181,1131,,730,385,978,0.394,84,277,0.303,277,402,0.689,171,631,174,119,58,283,334
124,Jacksonville,24,11,13,0.458,-11.15,-6.74,,5,9,,7,5,,4,8,,1622,1668,,965,615,1400,0.439,182,552,0.33,256,370,0.692,242,866,312,153,61,351,433
125,Jacksonville State,27,18,9,0.667,-3.02,-6.06,,13,6,,8,3,,7,5,,2005,1851,,1095,675,1642,0.411,223,684,0.326,278,412,0.675,287,915,354,166,72,307,447
126,James Madison,20,13,7,0.65,-0.11,-3.17,,8,2,,10,3,,3,3,,1562,1409,,800,480,1165,0.412,170,540,0.315,279,374,0.746,212,741,265,119,64,321,397
127,Kansas NCAA,30,21,9,0.7,15.29,10.26,,12,6,,14,1,,4,6,,2191,2010,,1205,725,1749,0.415,222,661,0.336,336,466,0.721,279,1038,351,180,89,417,496
128,Kansas City,24,11,13,0.458,-4.92,-2.67,,7,7,,8,3,,2,8,,1683,1502,,960,484,1118,0.433,136,418,0.325,398,577,0.69,175,721,259,127,74,378,392
129,Kansas State,29,9,20,0.31,0.76,9.04,,4,14,,6,12,,2,7,,1792,2037,,1160,720,1566,0.46,232,636,0.365,365,494,0.739,256,955,392,227,90,386,442
130,Kennesaw State,24,5,19,0.208,-14.15,-3.67,,2,13,,4,9,,0,9,,1571,1672,,960,606,1341,0.452,142,448,0.317,318,440,0.723,185,814,250,166,58,306,417
131,Kent State,23,15,8,0.652,1.74,-1.9,,12,6,,9,2,,6,5,,1764,1635,,925,585,1385,0.422,190,550,0.345,275,390,0.705,235,776,294,154,60,300,391
132,Kentucky,25,9,16,0.36,11.77,11.49,,8,9,,5,6,,4,7,,1761,1754,,1010,628,1521,0.413,164,525,0.312,334,451,0.741,286,905,307,154,91,317,456
133,La Salle,25,9,16,0.36,-3.57,2.85,,6,11,,6,3,,3,11,,1702,1838,,1005,645,1418,0.455,175,534,0.328,373,502,0.743,243,881,367,180,73,342,362
134,Lafayette,15,9,6,0.6,-5.38,-6.38,,9,5,,6,3,,3,3,,1165,1150,,620,422,919,0.459,92,277,0.332,214,310,0.69,156,584,202,76,45,174,263
135,Lamar,28,10,18,0.357,-13.1,-6.57,,7,10,,5,5,,3,11,,1843,2026,,1130,747,1645,0.454,226,584,0.387,306,452,0.677,281,1030,420,195,92,394,474
136,Lehigh,15,4,11,0.267,-12.85,-4.58,,4,10,,1,5,,3,6,,1025,1149,,605,412,879,0.469,111,303,0.366,214,288,0.743,120,533,212,106,49,182,241
137,Liberty NCAA,29,23,6,0.793,4.06,-6.14,,11,2,,13,0,,5,3,,2157,1739,,1160,634,1550,0.409,171,555,0.308,300,435,0.69,206,866,264,156,64,341,407
138,Lipscomb,27,15,12,0.556,-7.07,-5.63,,9,6,,10,4,,4,7,,1922,1848,,1085,695,1606,0.433,219,685,0.32,239,340,0.703,256,931,343,159,82,347,434
139,Little Rock,26,11,15,0.423,-6.36,-5.4,,7,11,,7,4,,2,8,,1786,1782,,1050,645,1476,0.437,201,581,0.346,291,402,0.724,241,820,347,172,77,362,486
140,Long Beach State,18,6,12,0.333,-8.5,-2.83,,4,8,,4,3,,1,8,,1328,1430,,740,497,1159,0.429,151,441,0.342,285,405,0.704,222,710,250,136,53,242,351
141,Long Island University,18,9,9,0.5,-7.76,-8.82,,9,9,,6,3,,3,6,,1332,1313,,720,485,1095,0.443,123,384,0.32,220,311,0.707,185,674,253,119,52,280,320
142,Longwood,29,12,17,0.414,-7.93,-6.4,,10,10,,8,5,,4,11,,1920,1966,,1160,692,1539,0.45,212,680,0.312,370,509,0.727,252,967,342,183,97,394,494
143,Louisiana,26,17,9,0.654,-4.84,-5.5,,10,7,,10,3,,6,4,,1934,1892,,1050,684,1614,0.424,169,507,0.333,355,474,0.749,267,894,361,178,82,315,428
144,Louisiana State NCAA,29,19,10,0.655,15.7,9.14,,11,6,,11,2,,4,6,,2371,2181,,1165,773,1844,0.419,243,811,0.3,392,549,0.714,368,1095,400,168,106,379,526
145,Louisiana Tech,32,24,8,0.75,6.63,-0.21,,12,4,,15,1,,5,5,,2339,2094,,1280,755,1873,0.403,221,726,0.304,363,508,0.715,291,1122,383,194,103,436,578
146,Louisiana-Monroe,26,7,19,0.269,-10.59,-5.9,,5,13,,5,8,,2,10,,1670,1792,,1045,626,1432,0.437,191,523,0.365,349,487,0.717,274,972,328,169,76,375,395
147,Louisville,20,13,7,0.65,10.35,8.9,,8,5,,9,2,,4,4,,1359,1330,,805,482,1141,0.422,141,463,0.305,225,340,0.662,191,669,240,117,72,221,345
148,Loyola (IL) NCAA,31,26,5,0.839,15.12,1.37,,16,2,,13,0,,8,3,,2202,1738,,1250,657,1591,0.413,170,522,0.326,254,356,0.713,196,853,298,158,84,428,509
