Pick Number,Team,Player,Height,Weight,Position,School ,Class
1, San Antonio,Victor Wembanyama,4-Jul,210,C,France,Intl.
2, Charlotte,Brandon Miller,9-Jun,200,SF,Alabama,Fr.
3, Portland,Scoot Henderson,2-Jun,195,PG,G-League,Fr.
4, *Houston,Amen Thompson,7-Jun,215,PG/SG,Overtime Elite,Fr.
5, *Detroit,Ausar Thompson,7-Jun,220,SG,Overtime Elite,Fr.
6, Orlando,Anthony Black,7-Jun,210,PG/SG,Arkansas,Fr.
7, Washington,Jarace Walker,8-Jun,250,SF/PF,Houston,Fr.
8, *Indiana,Cam Whitmore,7-Jun,235,SF,Villanova,Fr.
9, Utah,Taylor Hendricks,9-Jun,215,PF,Central Florida,Fr.
10, *Oklahoma Cty,Dereck Lively,1-Jul,230,C,Duke,Fr.
11, *Orlando,Bilal Coulibaly,7-Jun,200,SF,France,Intl.
12, Dallas,Kobe Bufkin,5-Jun,185,SG,Michigan,So.
13, Toronto,Jordan Hawkins,5-Jun,185,SG,UConn,So.
14, *New Orleans,Cason Wallace,4-Jun,195,PG/SG,Kentucky,Fr.
15, Atlanta,Gradey Dick,7-Jun,205,SG,Kansas,Fr.
16, *Utah,Jalen Hood-Schif...,5-Jun,215,PG/SG,Indiana,Fr.
17, *LA Lakers,Keyonte George,4-Jun,185,SG,Baylor,Fr.
18, Miami,Noah Clowney,10-Jun,210,PF/C,Alabama,Fr.
19, Golden St.,Nick Smith,5-Jun,185,PG/SG,Arkansas,Fr.
20, *Houston,Kris Murray,9-Jun,215,SF/PF,Iowa,Jr.
21, *Brooklyn,Brandin Podziemski,5-Jun,205,PG/SG,Santa Clara,So.
22, Brooklyn,Rayan Rupert,7-Jun,195,SG/SF,France,Intl.
23, *Portland,Jaime Jaquez,7-Jun,225,SF/PF,UCLA,Sr.
24, *Dallas,Jett Howard,8-Jun,215,SG,Michigan,Fr.
25, *Detroit,Olivier-Maxence ...,8-Jun,210,SF/PF,Marquette,Jr.
26, *Indiana,Ben Sheppard,6-Jun,195,SG,Belmont,Sr.
27, *Charlotte,Leonard Miller,10-Jun,210,SF/PF,G-League,Fr.
28, *Utah,Maxwell Lewis,7-Jun,205,SG/SF,Pepperdine,So.
29, *Denver,Trayce Jackson-D...,9-Jun,245,PF/C,Indiana,Sr.
30, *LA Clippers,Dariq Whitehead,7-Jun,220,SG/SF,Duke,Fr.
31, *Charlotte,Julian Strawther,7-Jun,210,SF,Gonzaga,Jr.
32, *Denver,Sidy Cissoko,7-Jun,225,SG/SF,G-League,Intl.
33, *Minnesota,Julian Phillips,8-Jun,195,SF/PF,Tennessee,Fr.
34, *Sacramento,Marcus Sasser,2-Jun,195,PG/SG,Houston,Sr.
35, *Chicago,Brice Sensabaugh,6-Jun,235,SF/PF,Ohio St.,Fr.
36, Milwaukee,Andre Jackson,6-Jun,210,SG/SF,UConn,Jr.
37, *Denver,Jalen Pickett,3-Jun,200,PG/SG,Penn State,Sr.
38, *Boston,Amari Bailey,4-Jun,190,PG/SG,UCLA,Fr.
39, *Atlanta,GG Jackson,9-Jun,215,PF,South Carolina,Fr.
40, *LA Lakers,Colby Jones,6-Jun,205,SG,Xavier,Jr.
41, *Charlotte,Tristan Vukcevic,Jul-00,225,PF/C,Serbia,Intl.
42, *Washington,James Nnaji,10-Jun,235,C,Nigeria,Intl.
43, *Portland,Jalen Wilson,7-Jun,225,SF/PF,Kansas,Jr.
44, *San Antonio,Seth Lundy,5-Jun,215,SG/SF,Penn State,Sr.
45, *Memphis,Jordan Walsh,7-Jun,205,SF/PF,Arkansas,Fr.
46, *Atlanta,Isaiah Wong,4-Jun,185,PG/SG,Miami,Sr.
47, *Indiana,Terquavion Smith,4-Jun,165,PG/SG,NC State,So.
48, LA Clippers,Adam Flagler,2-Jun,190,PG/SG,Baylor,Sr.
49, *Cleveland,Adama Sanogo,8-Jun,260,C,UConn,Jr.
50, *Oklahoma Cty,Ricky Council,6-Jun,205,SG,Arkansas,Jr.
51, Brooklyn,Keyontae Johnson,5-Jun,240,SG/SF,Kansas State,Sr.
52, Phoenix,Emoni Bates,10-Jun,190,SG,Eastern Michi...,So.
53, *Minnesota,Jaylen Clark,5-Jun,205,SG,UCLA,Jr.
54, Sacramento,Oscar Tshiebwe,8-Jun,255,PF/C,Kentucky,Sr.
55, *Indiana,Azuolas Tubelis,10-Jun,235,PF,Arizona,Jr.
56, Memphis,Kobe Brown,8-Jun,250,SF/PF,Missouri,Sr.
57, *Chicago,Forfeited Pick,,,,,
58, *Philadelphia,Forfeited Pick,,,,,
59, *Golden St.,Nadir Hifi,1-Jun,170,PG,France,Intl.
60, Milwaukee,Malcolm Cazalon,6-Jun,185,SG,France,Intl.
