Pick Number,Team,Player,Height,Weight,Position,School ,Class
1, Dallas,Cooper Flagg,9-Jun,220,SF/PF,Duke,Fr.
2, San Antonio,Dylan Harper,6-Jun,215,PG/SG,Rutgers,Fr.
3, Philadelphia,VJ Edgecombe,5-Jun,195,PG/SG,Baylor,Fr.
4, Charlotte,Kon Knueppel,7-Jun,215,SG/SF,Duke,Fr.
5, Utah,Jeremiah Fears,4-Jun,180,PG/SG,Oklahoma,Fr.
6, Washington,Ace Bailey,9-Jun,205,SG/SF,Rutgers,Fr.
7, New Orleans,Khaman Maluach,2-Jul,255,C,Duke,Fr.
8, Brooklyn,Tre Johnson,6-Jun,190,SG,Texas,Fr.
9, Toronto,Noa Essengue,10-Jun,200,SF/PF,France,Intl.
10, *Phoenix,Derik Queen,10-Jun,250,C,Maryland,Fr.
11, *Memphis,Carter Bryant,8-Jun,215,SF,Arizona,Fr.
12, Chicago,Kasparas Jakucio...,6-Jun,205,PG/SG,Illinois,Fr.
13, *New Orleans,Asa Newell,10-Jun,225,PF,Georgia,Fr.
14, *San Antonio,Cedric Coward,6-Jun,205,SG/SF,Washington St...,Sr.
15, *Oklahoma Cty,Joan Beringer,Jul-00,235,PF/C,France,Intl.
16, *Portland,Collin Murray-Bo...,8-Jun,240,PF/C,South Carolina,So.
17, *Minnesota,Nique Clifford,6-Jun,200,SG,Colorado St.,Sr.
18, *Utah,Nolan Traore,4-Jun,185,PG,France,Intl.
19, *Brooklyn,Egor Demin,9-Jun,200,SG/SF,BYU,Fr.
20, *Miami,Walter Clayton,3-Jun,200,PG/SG,Florida,Sr.
21, *Washington,Liam McNeeley,8-Jun,215,SF,UConn,Fr.
22, *Brooklyn,Thomas Sorber,10-Jun,265,C,Georgetown,Fr.
23, *Atlanta,Rasheer Fleming,9-Jun,240,PF/C,St. Joseph's,Jr.
24, *Sacramento,Hugo Gonzalez,7-Jun,225,SG/SF,Spain,Intl.
25, *Orlando,Jase Richardson,2-Jun,180,PG/SG,Michigan St.,Fr.
26, *Brooklyn,Will Riley,9-Jun,185,SG/SF,Illinois,Fr.
27, *Brooklyn,Drake Powell,6-Jun,200,SG/SF,North Carolina,Fr.
28, Boston,Noah Penda,8-Jun,240,SG/SF,France,Intl.
29, *Charlotte,Maxime Raynaud,1-Jul,240,C,Stanford,Sr.
30, *LA Clippers,Chaz Lanier,5-Jun,206,SG,Tennessee,Sr.
#,Team,Player,H,W,P,School,C
31, *Phoenix,Danny Wolf,Jul-00,250,PF/C,Michigan,Jr.
32, *Orlando,Ryan Kalkbrenner,2-Jul,260,C,Creighton,Sr.
33, Charlotte,Yanic Konan Nied...,1-Jul,245,C,Penn State,Sr.
34, *Charlotte,Hansen Yang,2-Jul,255,C,China,Intl.
35, Philadelphia,Ben Saraf,6-Jun,200,PG/SG,Israel,Intl.
36, *LA Lakers,Tamar Bates,5-Jun,190,SG,Missouri,Sr.
37, *Detroit,Micah Peavy,7-Jun,210,SG/SF,Georgetown,Sr.
38, *Indiana,Javon Small,2-Jun,190,PG,West Virginia,Sr.
39, *Toronto,Tyrese Proctor,5-Jun,185,PG,Duke,Jr.
40, *New Orleans,Bogoljub Markovic,11-Jun,210,PF,Serbia,Intl.
41, *Phoenix,Johni Broome,10-Jun,250,PF/C,Auburn,Sr.
42, *Sacramento,Eric Dixon,9-Jun,260,PF,Villanova,Sr.
43, *Washington,Sion James,6-Jun,220,SF,Duke,Sr.
44, *Oklahoma Cty,Adou Thiero,7-Jun,220,SF/PF,Arkansas,Jr.
45, *Minnesota,Alex Toohey,9-Jun,225,SF/PF,Australia,Intl.
46, *Boston,Koby Brea,7-Jun,200,SG/SF,Kentucky,Sr.
47, *Milwaukee,RJ Luis,7-Jun,210,SG/SF,St. Johns,Jr.
48, *Memphis,Kam Jones,4-Jun,200,PG/SG,Marquette,Sr.
49, *Cleveland,Rocco Zikarsky,4-Jul,260,C,Australia,Intl.
50, *LA Clippers,Hunter Sallis,5-Jun,180,SG,Wake Forest,Sr.
51, *New York,Mohamed Diawara,9-Jun,225,SF/PF,France,Intl.
52, *Golden St.,Lachlan Olbrich,10-Jun,230,PF/C,Australia,Intl.
53, *Utah,Ryan Nembhard,Jun-00,175,PG,Gonzaga,Sr.
54, Indiana,Jamir Watkins,6-Jun,215,SF,Florida St.,Sr.
55, Chicago,Jaxson Robinson,6-Jun,190,SG/SF,Kentucky,Sr.
56, *Golden St.,Chucky Hepburn,2-Jun,195,PG,Louisville,Sr.
57, *Boston,Brice Williams,6-Jun,205,SG/SF,Nebraska,Sr.
58, Cleveland,Amari Williams,Jul-00,260,C,Kentucky,Sr.
59, *Memphis,Mark Sears,Jun-00,185,PG/SG,Alabama,Sr.
60, *New York,Forfeited Pick,,,,,
