,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent,,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Air Force,29,13,16,0.448,-0.45,2.14,,3,11,,9,7,,2,7,,1786,1798,,1170,606,1479,0.41,199,621,0.32,387,548,0.706,299,993,369,189,75,407,519
2,Akron,34,22,12,0.647,6.33,0.72,,13,3,,13,2,,8,8,,2456,2241,,1370,809,1926,0.42,173,575,0.301,450,651,0.691,400,1133,423,218,116,476,637
3,Alabama NCAA,33,21,12,0.636,13.76,7.18,,9,7,,12,3,,4,6,,2135,1918,,1330,666,1711,0.389,164,568,0.289,422,654,0.645,373,1072,343,181,118,442,539
4,Alabama A&M,28,7,21,0.25,-19.33,-10.79,,5,13,,6,5,,1,15,,1764,1964,,1130,667,1493,0.447,133,380,0.35,497,756,0.657,318,1018,300,227,115,402,501
5,Alabama State,31,12,19,0.387,-15.79,-9.96,,9,9,,7,4,,4,14,,1840,1995,,1265,709,1627,0.436,148,493,0.3,429,655,0.655,345,1155,408,240,124,485,579
6,Albany (NY),34,19,15,0.559,-3.92,-6.92,,9,7,,10,4,,6,10,,2453,2351,,1365,878,1910,0.46,242,650,0.372,353,534,0.661,371,1108,476,190,107,445,623
7,Alcorn State,32,10,22,0.313,-19.57,-10.61,,6,12,,7,5,,2,15,,2002,2187,,1290,761,1769,0.43,171,523,0.327,494,762,0.648,407,1162,362,249,133,459,571
8,American,32,20,12,0.625,-3.12,-5.24,,10,4,,13,2,,7,10,,2059,1991,,1285,711,1729,0.411,181,583,0.31,388,566,0.686,334,1090,365,186,88,353,572
9,Appalachian State,31,13,18,0.419,-6.93,-3.28,,7,11,,9,5,,3,11,,2121,2175,,1245,777,1785,0.435,157,502,0.313,464,693,0.67,357,1097,378,213,78,359,565
10,Arizona,35,23,12,0.657,10.91,4.62,,12,6,,14,4,,6,4,,2416,2196,,1410,799,1969,0.406,170,596,0.285,428,643,0.666,380,1173,403,198,108,415,667
11,Arizona State,31,10,21,0.323,-1.01,4.31,,6,12,,7,10,,2,7,,1891,2056,,1240,701,1626,0.431,211,574,0.368,443,623,0.711,307,929,421,230,80,349,553
12,Arkansas,32,18,14,0.563,5.76,3.63,,6,10,,17,3,,1,9,,2299,2231,,1280,793,1827,0.434,190,585,0.325,455,673,0.676,416,1204,401,178,153,519,593
13,Arkansas State,34,14,20,0.412,-3.18,-0.52,,6,10,,10,5,,2,14,,2198,2239,,1370,838,1847,0.454,213,544,0.392,350,508,0.689,327,1068,399,232,131,443,628
14,Arkansas-Pine Bluff,33,11,22,0.333,-16.77,-8.34,,9,9,,6,3,,3,15,,2013,2291,,1325,791,1787,0.443,230,617,0.373,479,756,0.634,403,1194,434,249,113,472,604
15,Army,30,12,18,0.4,-11.26,-7.16,,5,9,,9,6,,3,11,,2027,2091,,1215,736,1657,0.444,217,639,0.34,402,591,0.68,307,1077,400,195,86,477,587
16,Auburn,31,15,16,0.484,2.52,3.84,,5,11,,14,3,,1,10,,1942,1983,,1255,675,1651,0.409,203,584,0.348,430,627,0.686,355,1093,382,221,120,440,548
17,Austin Peay,32,12,20,0.375,-4.86,-0.66,,8,8,,8,5,,4,12,,2216,2324,,1290,839,1804,0.465,214,572,0.374,432,629,0.687,389,1130,438,224,101,478,645
18,Ball State,30,15,15,0.5,-2.93,-4.45,,6,10,,10,5,,5,9,,1901,1822,,1200,635,1555,0.408,198,557,0.355,354,509,0.695,335,977,366,174,92,412,557
19,Baylor NCAA,38,30,8,0.789,16.54,8.03,,12,6,,14,3,,8,3,,2839,2483,,1525,883,2114,0.418,232,693,0.335,485,706,0.687,428,1181,495,263,125,535,697
20,Belmont NCAA,35,27,8,0.771,11.81,-1.22,,16,2,,13,1,,10,6,,2831,2363,,1410,850,1981,0.429,207,610,0.339,456,694,0.657,402,1163,452,226,148,506,665
21,Bethune-Cookman,35,18,17,0.514,-9.11,-7.05,,11,5,,9,3,,5,12,,2276,2319,,1405,811,1752,0.463,174,508,0.343,523,753,0.695,388,1169,387,178,148,555,636
22,Binghamton,31,2,29,0.065,-20.14,-6.24,,1,15,,1,13,,0,15,,1762,2193,,1245,776,1645,0.472,209,568,0.368,432,620,0.697,298,1057,393,232,76,395,497
23,Boise State,30,13,17,0.433,3.52,3.14,,3,11,,11,5,,1,11,,2050,1988,,1205,687,1511,0.455,215,569,0.378,399,592,0.674,231,922,378,155,92,398,561
24,Boston College,31,9,22,0.29,-4.54,4.89,,4,12,,8,9,,0,10,,1833,2125,,1255,775,1777,0.436,211,604,0.349,364,505,0.721,341,1111,410,231,108,365,503
25,Boston University,32,16,16,0.5,-3.74,-4.09,,12,4,,7,5,,8,9,,2045,2034,,1285,724,1744,0.415,203,617,0.329,383,549,0.698,358,1110,400,186,103,415,555
26,Bowling Green State,32,16,16,0.5,1.23,0.07,,9,7,,12,4,,4,12,,2125,2046,,1285,735,1656,0.444,179,515,0.348,397,597,0.665,338,1038,427,216,87,479,502
27,Bradley,32,7,25,0.219,-5.79,3.62,,2,16,,6,10,,1,12,,1955,2256,,1280,821,1810,0.454,219,607,0.361,395,585,0.675,345,1190,512,210,87,414,575
28,Brigham Young NCAA,35,26,9,0.743,11.25,1.55,,12,4,,13,3,,8,3,,2727,2358,,1400,841,2029,0.414,229,734,0.312,447,671,0.666,348,1213,484,222,94,554,667
29,Brown,31,8,23,0.258,-12.52,-3.62,,2,12,,6,9,,1,12,,1907,2154,,1240,795,1751,0.454,224,572,0.392,340,483,0.704,317,1162,438,176,95,362,498
30,Bryant,30,2,28,0.067,-17.9,-4.27,,1,17,,1,10,,0,17,,1852,2261,,1205,816,1716,0.476,229,612,0.374,400,575,0.696,343,1110,495,224,71,350,501
31,Bucknell,35,25,10,0.714,3.57,-3.08,,12,2,,14,3,,11,7,,2410,2147,,1400,730,1840,0.397,226,661,0.342,461,648,0.711,277,1011,383,197,85,366,630
32,Buffalo,31,20,11,0.645,4.15,0.15,,12,4,,12,2,,8,8,,2262,2090,,1245,728,1852,0.393,219,655,0.334,415,594,0.699,358,1033,421,233,78,358,592
33,Butler,37,22,15,0.595,2.86,1.14,,11,7,,13,6,,7,9,,2352,2245,,1495,754,1835,0.411,189,617,0.306,548,811,0.676,332,1176,393,216,110,521,725
34,Cal Poly,33,18,15,0.545,-0.58,-3.78,,8,8,,10,4,,5,10,,2136,1998,,1320,681,1557,0.437,168,502,0.335,468,674,0.694,255,958,370,145,127,373,485
35,Cal State Bakersfield,31,16,15,0.516,-7.15,-3.65,,,,,10,3,,6,12,,2121,2154,,1245,711,1527,0.466,190,557,0.341,542,747,0.726,302,959,421,214,81,480,543
36,Cal State Fullerton,31,21,10,0.677,-1.18,-5.32,,12,4,,13,1,,7,7,,2417,2205,,1240,770,1762,0.437,211,572,0.369,454,661,0.687,333,990,387,149,101,429,591
37,Cal State Northridge,28,7,21,0.25,-12.65,-2.61,,3,13,,4,8,,3,13,,1908,2101,,1125,683,1479,0.462,213,581,0.367,522,748,0.698,322,1021,418,179,108,426,520
38,California NCAA,34,24,10,0.706,13.79,4.53,,13,5,,17,1,,5,6,,2419,2104,,1360,786,1893,0.415,186,568,0.327,346,505,0.685,315,1037,386,169,84,438,599
39,Campbell,32,17,15,0.531,-6.06,-4.8,,11,7,,11,2,,6,12,,2370,2361,,1285,796,1846,0.431,217,669,0.324,552,784,0.704,378,1092,464,221,94,395,661
40,Canisius,30,5,25,0.167,-14.73,-4.53,,1,17,,3,10,,2,14,,1965,2271,,1210,801,1765,0.454,224,649,0.345,445,617,0.721,387,1110,527,217,112,375,482
41,Central Arkansas,29,8,21,0.276,-17.26,-4.83,,3,13,,6,7,,2,14,,2058,2371,,1180,864,1750,0.494,169,485,0.348,474,743,0.638,377,1204,520,242,119,462,512
42,Central Connecticut State,29,13,16,0.448,-5.36,-5.05,,10,8,,10,3,,3,12,,2029,2038,,1175,739,1630,0.453,183,519,0.353,377,550,0.685,363,1054,413,181,106,494,521
43,Central Michigan,32,11,21,0.344,-6.74,-1.62,,5,11,,6,6,,3,13,,1980,2134,,1290,702,1632,0.43,220,594,0.37,510,746,0.684,367,1172,423,175,103,465,576
44,Charleston Southern,31,19,12,0.613,-2.19,-4.33,,11,7,,12,2,,5,10,,2383,2242,,1245,809,1735,0.466,214,593,0.361,410,600,0.683,309,1062,360,169,115,501,567
45,Charlotte,30,13,17,0.433,0.99,2.86,,5,11,,7,7,,6,10,,2010,2066,,1210,723,1694,0.427,211,630,0.335,409,579,0.706,325,1104,409,199,124,434,553
46,Chattanooga,32,11,21,0.344,-6.99,-3.54,,5,13,,11,6,,0,14,,2260,2204,,1295,771,1895,0.407,300,926,0.324,362,556,0.651,342,1162,464,237,114,427,620
47,Chicago State,30,4,26,0.133,-19.3,-3.13,,2,8,,3,9,,1,17,,1884,2313,,1204,781,1730,0.451,241,670,0.36,510,713,0.715,344,1145,507,244,95,428,507
