,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent,,,,,,,,,,,,,,,,
48,Cincinnati NCAA,37,26,11,0.703,12.93,6.28,,12,6,,14,4,,7,5,,2522,2276,,1500,849,2063,0.412,207,641,0.323,371,542,0.685,443,1324,465,200,120,518,572
49,Clemson,31,16,15,0.516,7.31,3.41,,8,8,,11,5,,4,7,,2001,1880,,1250,683,1585,0.431,178,495,0.36,336,478,0.703,293,994,354,184,84,451,506
50,Cleveland State,33,22,11,0.667,5.27,0.12,,12,6,,10,4,,11,5,,2177,1983,,1320,648,1564,0.414,158,498,0.317,529,800,0.661,366,1053,348,230,127,542,469
51,Coastal Carolina,31,19,12,0.613,-2.64,-4.56,,12,6,,12,4,,7,7,,2248,2042,,1250,707,1756,0.403,213,603,0.353,415,603,0.688,349,994,338,210,83,381,537
52,Colgate,30,8,22,0.267,-14.91,-4.38,,2,12,,5,8,,3,14,,1893,2209,,1210,772,1699,0.454,222,586,0.379,443,622,0.712,302,1013,384,230,82,300,531
53,College of Charleston,31,19,12,0.613,-0.16,-2.54,,10,8,,10,4,,7,6,,2191,2117,,1260,793,1890,0.42,198,618,0.32,333,486,0.685,421,1230,386,195,85,447,579
54,Colorado NCAA,36,24,12,0.667,7.91,5.73,,11,7,,14,2,,4,7,,2429,2269,,1445,812,2009,0.404,229,703,0.326,416,642,0.648,366,1182,392,227,137,444,642
55,Colorado State NCAA,32,20,12,0.625,6.58,5.23,,8,6,,14,1,,3,9,,2243,2177,,1295,738,1696,0.435,230,648,0.355,471,669,0.704,309,971,396,168,106,383,601
56,Columbia,30,15,15,0.5,-2.9,-3.18,,4,10,,8,6,,5,9,,1955,1863,,1210,651,1564,0.416,161,447,0.36,400,564,0.709,263,960,325,164,93,364,486
57,Connecticut NCAA,34,20,14,0.588,12.27,8.07,,8,10,,13,4,,3,7,,2336,2193,,1375,785,2034,0.386,245,713,0.344,378,514,0.735,457,1185,408,220,90,372,584
58,Coppin State,30,14,16,0.467,-9.07,-5.96,,9,7,,7,5,,6,9,,2213,2257,,1205,838,1845,0.454,256,742,0.345,325,520,0.625,396,1152,487,178,102,397,539
59,Cornell,28,12,16,0.429,-4.05,-0.98,,7,7,,10,3,,2,13,,1833,1898,,1140,633,1514,0.418,172,561,0.307,460,624,0.737,309,1069,364,177,95,433,472
60,Creighton NCAA,35,29,6,0.829,12.92,3.41,,14,4,,14,2,,10,3,,2772,2439,,1410,903,2049,0.441,228,631,0.361,405,600,0.675,328,1068,461,224,110,361,652
61,Dartmouth,30,5,25,0.167,-10.07,-3.56,,1,13,,4,9,,1,14,,1727,1904,,1205,649,1533,0.423,183,498,0.367,423,581,0.728,265,982,366,197,110,364,542
62,Davidson NCAA,33,25,8,0.758,7.26,-1.68,,16,2,,13,2,,8,5,,2571,2238,,1330,781,1830,0.427,170,498,0.341,506,758,0.668,315,1072,342,199,116,409,656
63,Dayton,33,20,13,0.606,8.48,4.3,,9,7,,14,4,,3,8,,2369,2231,,1340,801,1786,0.448,186,556,0.335,443,666,0.665,347,1060,431,176,115,424,586
64,Delaware,32,18,14,0.563,-1.61,-2.18,,12,6,,11,3,,6,10,,2206,2188,,1305,777,1978,0.393,182,562,0.324,452,638,0.708,435,1238,332,216,111,342,650
65,Delaware State,29,15,14,0.517,-8.07,-6.78,,12,4,,8,5,,7,8,,1917,1868,,1185,675,1568,0.43,145,444,0.327,373,552,0.676,389,1074,372,132,97,406,467
66,Denver,31,22,9,0.71,6.14,-1.47,,11,5,,14,2,,7,6,,2112,1876,,1255,649,1486,0.437,139,383,0.363,439,604,0.727,302,944,264,154,95,453,505
67,DePaul,31,12,19,0.387,1.99,4.57,,3,15,,7,9,,3,8,,2298,2378,,1245,868,1802,0.482,155,438,0.354,487,737,0.661,412,1229,426,232,127,485,509
68,Detroit Mercy NCAA,36,22,14,0.611,2.4,-0.01,,11,7,,13,4,,6,8,,2597,2432,,1445,842,1915,0.44,244,666,0.366,504,719,0.701,381,1160,472,209,96,544,714
69,Drake,34,18,16,0.529,2.44,2.96,,9,9,,13,3,,3,10,,2279,2271,,1380,771,1794,0.43,168,550,0.305,561,796,0.705,320,1179,387,210,104,466,651
70,Drexel,36,29,7,0.806,7.37,-1.8,,16,2,,15,1,,11,3,,2350,2020,,1440,704,1794,0.392,160,551,0.29,452,671,0.674,322,1057,308,195,140,402,651
71,Duke NCAA,34,27,7,0.794,17.05,8.4,,13,3,,13,3,,8,1,,2628,2334,,1370,864,1996,0.433,153,482,0.317,453,657,0.689,395,1159,380,194,89,434,708
72,Duquesne,31,16,15,0.516,4.09,3.96,,7,9,,9,5,,4,9,,2252,2232,,1245,810,1768,0.458,206,566,0.364,406,572,0.71,414,1186,469,159,139,533,596
73,East Carolina,31,15,16,0.484,2.42,2.53,,5,11,,10,7,,3,8,,2136,2019,,1250,733,1688,0.434,160,505,0.317,393,591,0.665,337,1071,419,216,113,457,571
74,East Tennessee State,31,17,14,0.548,-0.41,-1.78,,10,8,,10,3,,6,10,,2098,2017,,1240,703,1609,0.437,253,715,0.354,358,550,0.651,349,1048,414,182,116,532,564
75,Eastern Illinois,29,12,17,0.414,-11.48,-6.48,,5,11,,7,7,,5,10,,1896,1984,,1175,714,1572,0.454,188,505,0.372,368,532,0.692,334,979,411,178,87,392,472
76,Eastern Kentucky,32,16,16,0.5,-8.47,-5.93,,7,9,,11,3,,4,11,,2123,2117,,1300,741,1619,0.458,168,530,0.317,467,683,0.684,326,1073,423,171,106,431,496
77,Eastern Michigan,32,14,18,0.438,-7.9,-1.68,,9,7,,9,4,,5,13,,1704,1878,,1290,642,1555,0.413,195,623,0.313,399,603,0.662,374,1086,434,200,98,453,493
78,Eastern Washington,32,15,17,0.469,-3.87,-3.23,,8,8,,9,4,,6,13,,2326,2284,,1285,721,1617,0.446,203,553,0.367,639,925,0.691,333,1171,427,194,136,498,609
79,Elon,31,15,16,0.484,-7.41,-3.03,,9,9,,10,4,,4,11,,2175,2226,,1255,804,1889,0.426,202,611,0.331,416,631,0.659,382,1213,383,233,96,403,571
80,Evansville,32,16,16,0.5,3.46,3.56,,9,9,,11,7,,4,8,,2351,2327,,1315,807,1660,0.486,219,572,0.383,492,720,0.683,337,1095,496,185,125,549,669
81,Fairfield,37,22,15,0.595,2.94,-1.34,,12,6,,12,4,,5,8,,2417,2259,,1480,784,1910,0.41,183,532,0.344,508,721,0.705,415,1214,374,251,120,583,622
82,FDU,29,3,26,0.103,-16.99,-5.06,,2,16,,2,11,,1,15,,1762,2108,,1160,718,1653,0.434,207,559,0.37,465,636,0.731,343,1065,404,221,70,372,496
83,Florida NCAA,37,26,11,0.703,18.25,7.33,,10,6,,14,2,,4,7,,2808,2404,,1495,875,2068,0.423,226,661,0.342,428,618,0.693,391,1217,451,189,110,464,666
84,Florida A&M,33,10,23,0.303,-15.58,-6.29,,6,10,,5,8,,3,12,,2175,2416,,1330,846,1902,0.445,198,572,0.346,526,794,0.662,459,1300,437,243,154,502,559
85,Florida Atlantic,30,11,19,0.367,-2.58,0.77,,7,9,,6,5,,4,11,,1977,2046,,1230,706,1593,0.443,138,377,0.366,496,685,0.724,334,1064,316,150,140,415,490
86,Florida Gulf Coast,32,15,17,0.469,-2.41,-1.96,,8,10,,9,5,,5,11,,2306,2306,,1290,794,1840,0.432,258,714,0.361,460,703,0.654,420,1131,496,224,105,456,562
87,Florida International,29,8,21,0.276,-5.07,-1.1,,5,11,,2,9,,5,9,,1836,1951,,1175,654,1495,0.437,184,559,0.329,459,709,0.647,352,1001,377,191,129,406,536
88,Florida State NCAA,35,25,10,0.714,14.53,7.62,,12,4,,15,2,,5,5,,2443,2201,,1420,749,1965,0.381,221,715,0.309,482,674,0.715,430,1168,370,269,114,531,643
89,Fordham,29,10,19,0.345,-7.63,1.92,,3,13,,9,6,,1,13,,1797,2074,,1165,718,1685,0.426,221,615,0.359,417,594,0.702,371,1118,453,215,122,374,496
90,Fresno State,33,13,20,0.394,-0.91,0.77,,3,11,,9,5,,3,12,,2170,2181,,1355,746,1666,0.448,186,557,0.334,503,737,0.682,351,1178,401,138,106,471,605
91,Furman,31,15,16,0.484,-6.04,-3.9,,8,10,,9,5,,5,10,,2006,2022,,1240,711,1639,0.434,156,509,0.306,444,622,0.714,313,994,368,201,78,382,600
92,Gardner-Webb,32,12,20,0.375,-7.99,-4.82,,6,12,,9,4,,3,15,,2103,2138,,1295,751,1716,0.438,177,553,0.32,459,698,0.658,337,1096,425,205,108,429,558
93,George Mason,33,24,9,0.727,3.81,-1.67,,14,4,,15,1,,7,6,,2323,2142,,1340,732,1864,0.393,194,602,0.322,484,700,0.691,409,1125,374,248,105,473,650
94,George Washington,31,10,21,0.323,-0.63,4.15,,5,11,,6,8,,2,12,,1921,2069,,1240,733,1632,0.449,185,490,0.378,418,592,0.706,350,1041,398,192,116,425,497
95,Georgetown NCAA,33,24,9,0.727,16.81,7.69,,12,6,,15,1,,6,5,,2278,1959,,1340,683,1766,0.387,164,587,0.279,429,631,0.68,360,1017,381,217,89,424,613
96,Georgia,32,15,17,0.469,5.92,7.95,,5,11,,11,6,,2,9,,1950,2015,,1295,681,1625,0.419,191,579,0.33,462,667,0.693,322,1115,330,146,112,371,510
97,Georgia Southern,30,15,15,0.5,-6.7,-3.78,,12,6,,10,2,,4,12,,2002,2033,,1215,722,1587,0.455,174,558,0.312,415,603,0.688,307,985,389,188,62,459,525
98,Georgia State,34,22,12,0.647,5.69,-2.99,,11,7,,13,3,,8,6,,2298,2003,,1380,702,1847,0.38,218,691,0.315,381,559,0.682,386,1196,406,190,138,513,577
99,Georgia Tech,31,11,20,0.355,1.74,4.13,,4,12,,7,8,,3,9,,1866,1940,,1245,669,1658,0.403,199,573,0.347,403,560,0.72,306,980,375,211,103,347,490
100,Gonzaga NCAA,33,26,7,0.788,13.86,3.25,,13,3,,15,1,,6,4,,2436,2086,,1325,771,1867,0.413,198,637,0.311,346,514,0.673,332,1011,373,231,83,428,675
101,Grambling,28,4,24,0.143,-26.82,-9.39,,4,14,,1,9,,3,15,,1513,2001,,1125,746,1653,0.451,157,486,0.323,352,516,0.682,361,1082,404,237,107,325,488
102,Green Bay,30,15,15,0.5,-2.32,1.04,,10,8,,12,2,,3,13,,1935,1982,,1205,708,1657,0.427,180,483,0.373,386,551,0.701,330,1024,374,230,107,392,518
103,Hampton,33,12,21,0.364,-10.08,-7.93,,6,10,,6,5,,1,13,,2134,2205,,1330,739,1869,0.395,223,628,0.355,504,699,0.721,438,1272,367,184,85,498,636
104,Hartford,31,9,22,0.29,-13.41,-6.19,,7,9,,4,8,,4,12,,1860,2084,,1260,711,1581,0.45,197,540,0.365,465,678,0.686,314,1115,386,209,91,477,577
105,Harvard NCAA,31,26,5,0.839,7.84,-1.56,,12,2,,11,1,,12,3,,2033,1724,,1245,637,1555,0.41,143,422,0.339,307,467,0.657,273,877,305,169,96,388,569
106,Hawaii,32,16,16,0.5,-2.79,-0.52,,6,8,,8,7,,3,7,,2356,2387,,1295,838,1954,0.429,217,632,0.343,494,696,0.71,405,1119,464,218,112,409,681
107,High Point,31,13,18,0.419,-5.92,-4.13,,8,10,,10,6,,3,12,,2203,2176,,1260,747,1716,0.435,219,656,0.334,463,685,0.676,370,1094,418,201,92,373,563
108,Hofstra,32,10,22,0.313,-2.98,-1.1,,3,15,,8,9,,1,11,,2091,2151,,1280,755,1651,0.457,187,534,0.35,454,654,0.694,319,1078,476,220,140,493,671
109,Holy Cross,29,15,14,0.517,-6.02,-4.23,,9,5,,11,3,,4,11,,1886,1938,,1160,697,1657,0.421,177,580,0.305,367,511,0.718,321,994,391,179,97,338,489
110,Houston,30,15,15,0.5,0.04,0.21,,7,9,,13,5,,1,8,,2152,2147,,1215,793,1809,0.438,197,546,0.361,364,537,0.678,371,1024,397,227,103,356,509
111,Houston Christian,30,10,20,0.333,-16.07,-6.1,,3,7,,9,5,,0,13,,2208,2344,,1210,813,1729,0.47,192,527,0.364,526,772,0.681,367,1167,439,233,121,515,592
112,Howard,31,10,21,0.323,-14.59,-4.16,,6,10,,6,5,,3,14,,1881,2174,,1245,703,1611,0.436,175,532,0.329,593,853,0.695,348,1069,400,206,132,442,578
113,Idaho,33,19,14,0.576,0.77,-0.43,,9,5,,11,4,,8,8,,2298,2240,,1330,807,1879,0.429,223,638,0.35,403,594,0.678,379,1059,415,188,95,357,599
114,Idaho State,30,9,21,0.3,-11.05,-2.77,,7,9,,5,8,,4,13,,1979,2192,,1230,739,1548,0.477,216,553,0.391,498,683,0.729,300,1028,375,189,98,456,588
115,Illinois,32,17,15,0.531,9.33,7.99,,6,12,,13,4,,2,8,,2098,2055,,1295,712,1659,0.429,208,549,0.379,423,601,0.704,298,1002,379,200,78,425,548
116,Illinois State,35,21,14,0.6,6.33,2.64,,9,9,,14,3,,4,9,,2439,2310,,1425,817,1971,0.415,254,709,0.358,422,610,0.692,342,1147,426,198,87,392,659
117,Illinois-Chicago,30,8,22,0.267,-9.16,-1.3,,3,15,,7,7,,1,15,,1826,2033,,1210,710,1565,0.454,165,452,0.365,448,678,0.661,300,1012,375,209,134,351,529
118,Indiana NCAA,36,27,9,0.75,18.63,7.8,,11,7,,18,1,,5,6,,2782,2392,,1440,847,1988,0.426,219,628,0.349,479,682,0.702,391,1094,376,241,146,482,730
119,Indiana State,33,18,15,0.545,2.08,3.08,,8,10,,11,4,,4,9,,2120,2141,,1335,758,1763,0.43,204,554,0.368,421,571,0.737,290,1098,412,192,82,408,621
120,Iona NCAA,33,25,8,0.758,8.36,-1.82,,15,3,,10,1,,11,4,,2736,2400,,1335,885,1962,0.451,237,669,0.354,393,565,0.696,379,1126,474,181,105,530,584
121,Iowa,35,18,17,0.514,7.04,6.53,,8,10,,14,6,,3,9,,2555,2537,,1400,910,1993,0.457,244,707,0.345,473,648,0.73,381,1193,515,193,111,473,650
122,Iowa State NCAA,34,23,11,0.676,13.32,7.32,,12,6,,16,2,,4,7,,2490,2286,,1360,864,1977,0.437,193,630,0.306,365,523,0.698,316,1092,448,193,109,395,627
123,IU Indy,32,14,18,0.438,-3.85,-1.75,,7,11,,9,5,,3,12,,2319,2329,,1295,835,1765,0.473,176,499,0.353,483,665,0.726,356,1082,450,188,77,430,585
124,Jackson State,31,7,24,0.226,-17.5,-7,,5,13,,4,7,,2,16,,1737,2042,,1260,724,1624,0.446,169,495,0.341,425,670,0.634,369,1086,390,235,125,424,501
125,Jacksonville,30,8,22,0.267,-7.3,0.1,,6,12,,5,6,,3,15,,1951,2173,,1210,719,1538,0.467,171,480,0.356,564,832,0.678,337,1032,395,217,112,424,537
126,Jacksonville State,33,15,18,0.455,-4.86,-5.23,,8,8,,9,4,,3,10,,2143,2106,,1330,701,1624,0.432,139,434,0.32,565,800,0.706,337,1105,403,211,120,494,633
127,James Madison,32,12,20,0.375,-5.86,-2.11,,5,13,,5,9,,5,9,,2115,2235,,1290,765,1751,0.437,195,537,0.363,510,742,0.687,399,1181,412,218,117,434,554
128,Kansas NCAA,39,32,7,0.821,21.72,9.93,,16,2,,16,0,,8,2,,2867,2407,,1565,826,2176,0.38,236,694,0.34,519,721,0.72,419,1256,436,253,137,533,718
129,Kansas City,31,10,21,0.323,-8.82,-1.75,,4,14,,6,8,,2,13,,1998,2204,,1250,784,1639,0.478,161,450,0.358,475,664,0.715,325,1059,417,188,116,390,493
130,Kansas State NCAA,33,22,11,0.667,14.47,7.53,,10,8,,11,4,,6,4,,2343,2114,,1335,716,1750,0.409,178,547,0.325,504,731,0.689,385,1070,373,240,107,526,732
131,Kennesaw State,31,3,28,0.097,-15.02,-0.49,,0,18,,1,11,,1,16,,1920,2330,,1265,856,1713,0.5,222,601,0.369,396,580,0.683,353,1120,528,231,108,399,499
132,Kent State,33,21,12,0.636,2.77,-0.95,,10,6,,12,3,,7,7,,2322,2178,,1325,789,1856,0.425,211,620,0.34,389,569,0.684,409,1153,437,237,114,525,580
133,Kentucky NCAA,40,38,2,0.95,24.73,7.93,,16,0,,18,0,,8,1,,3095,2423,,1600,889,2379,0.374,219,689,0.318,426,614,0.694,487,1286,420,218,133,464,750
134,La Salle,34,21,13,0.618,8.56,1.83,,9,7,,14,3,,6,8,,2478,2249,,1370,801,1919,0.417,164,520,0.315,483,664,0.727,415,1233,440,203,136,535,559
135,Lafayette,31,13,18,0.419,-7.2,-4.01,,7,7,,6,7,,7,11,,2161,2260,,1240,795,1697,0.468,210,547,0.384,460,643,0.715,329,1086,389,190,89,378,559
136,Lamar NCAA,35,23,12,0.657,2.41,-3.77,,11,5,,12,2,,8,9,,2573,2296,,1405,838,1989,0.421,177,516,0.343,443,659,0.672,385,1202,420,185,132,495,653
137,Lehigh NCAA,35,27,8,0.771,4.27,-5.14,,11,3,,12,1,,12,6,,2648,2288,,1410,808,1952,0.414,206,631,0.326,466,661,0.705,369,1202,450,190,132,504,658
138,Liberty,32,14,18,0.438,-9.67,-4.81,,9,9,,9,7,,5,9,,2201,2283,,1285,838,1834,0.457,223,634,0.352,384,558,0.688,336,1058,434,188,100,375,559
139,Lipscomb,31,13,18,0.419,-4.7,-1.23,,8,10,,6,7,,5,11,,2242,2303,,1260,843,1873,0.45,225,679,0.331,392,583,0.672,396,1207,432,253,138,473,584
140,Little Rock,31,15,16,0.484,-1.94,0.03,,12,4,,9,6,,6,8,,1974,1990,,1260,668,1590,0.42,189,570,0.332,465,707,0.658,326,1112,359,151,125,447,603
141,Long Beach State NCAA,34,25,9,0.735,9.52,0.87,,15,1,,12,0,,8,7,,2510,2175,,1370,804,1909,0.421,207,616,0.336,360,519,0.694,373,1109,422,197,100,513,653
142,Long Island University NCAA,34,25,9,0.735,-1.34,-5.1,,16,2,,15,0,,7,8,,2769,2641,,1365,1039,2313,0.449,209,637,0.328,354,510,0.694,470,1233,532,291,131,469,795
143,Longwood,31,10,21,0.323,-20.47,-5.99,,,,,7,5,,2,14,,2276,2617,,1245,962,1981,0.486,302,760,0.397,391,600,0.652,344,1226,557,229,92,353,511
144,Louisiana,32,16,16,0.5,-3.25,-2.28,,10,6,,10,5,,5,9,,2189,2155,,1305,741,1842,0.402,172,509,0.338,501,732,0.684,367,1135,306,210,120,454,657
145,Louisiana State,33,18,15,0.545,6.66,5.51,,7,9,,11,4,,4,9,,2157,2119,,1340,745,1775,0.42,174,545,0.319,455,660,0.689,357,1178,337,249,132,483,592
146,Louisiana Tech,34,18,16,0.529,-2.65,-1.19,,6,8,,11,4,,4,10,,2358,2355,,1380,828,1864,0.444,171,525,0.326,528,780,0.677,393,1261,400,192,110,511,591
