Conference,Dates,Champ,Runner-up
American Athletic Conference,"Mar 10, 2022 - Mar 13, 2022",Houston,Memphis
Atlantic Coast Conference,"Mar 08, 2022 - Mar 12, 2022",Va Tech,Duke
America East Conference,"Mar 06, 2022 - Mar 12, 2022",Vermont,UMBC
Atlantic 10 Conference,"Mar 09, 2022 - Mar 13, 2022",Richmond,Davidson
Atlantic Sun Conference,"Mar 01, 2022 - Mar 08, 2022",Bellarmine,Jacksonville
Big 12 Conference,"Mar 09, 2022 - Mar 12, 2022",Kansas,Texas Tech
Big East Conference,"Mar 09, 2022 - Mar 12, 2022",Villanova,Creighton
Big Sky Conference,"Mar 09, 2022 - Mar 12, 2022",Montana St.,Northern Colo.
Big South Conference,"Mar 02, 2022 - Mar 06, 2022",Longwood,Winthrop
Big Ten Conference,"Mar 09, 2022 - Mar 13, 2022",Iowa,Purdue
Big West Conference,"Mar 08, 2022 - Mar 12, 2022",Cal St Fullerton,Long Beach State
Colonial Athletic Association,"Mar 05, 2022 - Mar 08, 2022",Delaware,UNC Wilm.
Conference USA,"Mar 08, 2022 - Mar 12, 2022",UAB,Louisiana Tech
Horizon League,"Mar 01, 2022 - Mar 08, 2022",Wright St.,Northern Ky.
Ivy League,"Mar 12, 2022 - Mar 13, 2022",Yale,Princeton
Metro Atlantic Athletic Conference,"Mar 08, 2022 - Mar 12, 2022",St. Peter's,Monmouth
Mid-American Conference,"Mar 10, 2022 - Mar 12, 2022",Akron,Kent St.
Mid-Eastern Athletic Conference,"Mar 09, 2022 - Mar 12, 2022",Norfolk St.,Coppin St.
Missouri Valley Conference,"Mar 03, 2022 - Mar 06, 2022",Loyola (IL),Drake
Mountain West Conference,"Mar 09, 2022 - Mar 12, 2022",Boise St.,San Diego St.
Northeast Conference,"Feb 28, 2022 - Mar 08, 2022",Bryant,Wagner
Ohio Valley Conference,"Mar 02, 2022 - Mar 05, 2022",Murray St.,Morehead St.
Pac-12 Conference,"Mar 09, 2022 - Mar 12, 2022",Arizona,UCLA
Patriot League,"Mar 01, 2022 - Mar 09, 2022",Colgate,Navy
Southeastern Conference,"Mar 09, 2022 - Mar 13, 2022",Tennessee,Texas A&M
Southern Conference,"Mar 04, 2022 - Mar 07, 2022",Chattanooga,Furman
Southland Conference,"Mar 09, 2022 - Mar 12, 2022",Tx AM-CC,Southeastern LA
Summit League,"Mar 05, 2022 - Mar 08, 2022",S Dakota St.,North Dakota St.
Sun Belt Conference,"Mar 03, 2022 - Mar 07, 2022",Georgia St.,Louis.
Southwest Athletic Conference,"Mar 09, 2022 - Mar 12, 2022",Texas Southern,Alcorn St.
Western Athletic Conference,"Mar 08, 2022 - Mar 12, 2022",New Mexico St.,Abilene Christ.
West Coast Conference,"Mar 03, 2022 - Mar 08, 2022",Gonzaga,St. Mary's
