Pick Number,Team,Player,Height,Weight,Position,School ,Class
1, Orlando,Jabari Smith,10-Jun,220,PF,Auburn,Fr.
2, Oklahoma Cty,Chet Holmgren,Jul-00,195,PF/C,Gonzaga,Fr.
3, *Houston,Paolo Banchero,10-Jun,250,PF/C,Duke,Fr.
4, *Sacramento,Jaden Ivey,4-Jun,195,PG/SG,Purdue,So.
5, Detroit,Bennedict Mathurin,6-Jun,205,SG/SF,Arizona,So.
6, *Indiana,Keegan Murray,8-Jun,225,SF/PF,Iowa,So.
7, Portland,Dyson Daniels,7-Jun,195,SG/SF,G-League,Intl.
8, *New Orleans,Shaedon Sharpe,5-Jun,200,SG,Kentucky,Fr.
9, San Antonio,Ousmane Dieng,9-Jun,185,SG/SF,France,Intl.
10, Washington,Johnny Davis,5-Jun,195,SG,Wisconsin,So.
11, *Oklahoma Cty,AJ Griffin,6-Jun,220,SF,Duke,Fr.
12, *Oklahoma Cty,Malaki Branham,5-Jun,195,SG/SF,Ohio St.,Fr.
13, *Detroit,Jeremy Sochan,9-Jun,230,PF,Baylor,Fr.
14, *Cleveland,Ochai Agbaji,6-Jun,215,SG,Kansas,Sr.
15, *Charlotte,Jalen Duren,11-Jun,250,PF/C,Memphis,Fr.
16, Atlanta,Jalen Williams,6-Jun,210,SG/SF,Santa Clara,Jr.
17, *Houston,Tari Eason,8-Jun,215,SF/PF,LSU,So.
18, Chicago,Mark Williams,1-Jul,240,C,Duke,So.
19, *Memphis,Wendell Moore,5-Jun,215,SG/SF,Duke,Jr.
20, *San Antonio,Blake Wesley,4-Jun,185,PG/SG,Notre Dame,Fr.
21, Denver,Dalen Terry,7-Jun,195,PG/SG,Arizona,So.
22, *Minnesota,TyTy Washington,3-Jun,195,PG,Kentucky,Fr.
23, *Memphis,Patrick Baldwin,10-Jun,220,SF/PF,Wisconsin–M...,Fr.
24, Milwaukee,Jake LaRavia,8-Jun,225,SF/PF,Wake Forest,Jr.
25, *San Antonio,Ismael Kamagate,11-Jun,230,C,France,Intl.
26, *Minnesota,Jaden Hardy,4-Jun,200,SG,G-League,Fr.
27, Miami,Walker Kessler,1-Jul,255,C,Auburn,So.
28, Golden St.,Max Christie,5-Jun,190,SG,Michigan St.,Fr.
29, *Houston,Christian Braun,7-Jun,210,SG,Kansas,Jr.
30, *Denver,Kennedy Chandler,1-Jun,170,PG,Tennessee,Fr.
#,Team,Player,H,W,P,School,C
31, *Indiana,EJ Liddell,7-Jun,245,PF,Ohio St.,Jr.
32, Orlando,MarJon Beauchamp,6-Jun,195,SG/SF,G-League,So.
33, *Toronto,Andrew Nembhard,4-Jun,195,PG,Gonzaga,Sr.
34, Oklahoma Cty,Nikola Jovic,11-Jun,225,SF/PF,Serbia,Intl.
35, *LA Lakers,Caleb Houstan,8-Jun,205,SG/SF,Michigan,Fr.
36, *Detroit,Bryce McGowens,6-Jun,180,SG,Nebraska,Fr.
37, *Dallas,Jaylin Williams,10-Jun,235,PF/C,Arkansas,So.
38, *Memphis,Christian Koloko,Jul-00,220,C,Arizona,Jr.
39, *Cleveland,Peyton Watson,8-Jun,205,SG/SF,UCLA,Fr.
40, *Charlotte,Justin Lewis,7-Jun,235,PF/C,Marquette,Fr.
41, *New Orleans,Kendall Brown,7-Jun,200,SF/PF,Baylor,Fr.
42, New York,John Butler,1-Jul,175,PF/C,Florida St.,Fr.
43, LA Clippers,Jean Montero,2-Jun,170,PG/SG,Overtime Elite,Intl.
44, *Golden St.,Ryan Rollins,3-Jun,180,PG/SG,Toledo,So.
45, *Minnesota,Ron Harper Jr.,5-Jun,240,SF,Rutgers,Sr.
46, *Denver,Trevor Keels,4-Jun,225,PG/SG,Duke,Fr.
47, *Memphis,Gabriele Procida,7-Jun,195,SG,Italy,Intl.
48, *Indiana,Josh Minott,8-Jun,205,SF/PF,Memphis,Fr.
49, *Cleveland,Jamaree Bouyea,1-Jun,170,PG,San Francisco,Sr.
50, *Minnesota,Michael Foster,9-Jun,235,PF,G-League,Fr.
51, *Atlanta,Jordan Hall,7-Jun,215,PG/SG,St. Joseph's,So.
52, *New Orleans,JD Davison,2-Jun,190,PG/SG,Alabama,Fr.
53, Boston,Kenneth Lofton,7-Jun,280,PF,Louisiana Tech,So.
56, *Washington,Julian Champagnie,7-Jun,210,SF,St. Johns,Jr.
57, Golden St.,Karlo Matkovic,9-Jun,240,PF/C,Croatia,Intl.
58, *Cleveland,Isaiah Mobley,10-Jun,240,PF,USC,Jr.
59, *Portland,Jabari Walker,8-Jun,215,SF/PF,Colorado,So.
60, *Indiana,Iverson Molinar,3-Jun,185,PG,Mississippi St.,Jr.
