Conference,Dates,Champ,Runner-up
Atlantic Coast Conference,"Mar 08, 2012 - Mar 11, 2012",Florida St.,UNC
America East Conference,"Mar 01, 2012 - Mar 10, 2012",Vermont,Stony Brook
Atlantic 10 Conference,"Mar 06, 2012 - Mar 11, 2012",St. Bonaventure,Xavier
Atlantic Sun Conference,"Feb 29, 2012 - Mar 03, 2012",Belmont,Fla. Gulf Coast
Big 12 Conference,"Mar 07, 2012 - Mar 10, 2012",Missouri,Baylor
Big East Conference,"Mar 06, 2012 - Mar 10, 2012",Louisville,Cincinnati
Big Sky Conference,"Mar 03, 2012 - Mar 07, 2012",Montana,Weber St.
Big South Conference,"Feb 27, 2012 - Mar 03, 2012",UNC Asheville,VMI
Big Ten Conference,"Mar 08, 2012 - Mar 11, 2012",Michigan St.,Ohio St.
Big West Conference,"Mar 08, 2012 - Mar 10, 2012",Long Beach State,UC-Santa Barbara
Colonial Athletic Association,"Mar 02, 2012 - Mar 05, 2012",VCU,Drexel
Conference USA,"Mar 07, 2012 - Mar 10, 2012",Memphis,Marshall
Great West Conference,"Mar 08, 2012 - Mar 10, 2012",North Dakota,NJIT
Horizon League,"Feb 28, 2012 - Mar 06, 2012",Detroit Mercy,Valparaiso
Metro Atlantic Athletic Conference,"Mar 02, 2012 - Mar 05, 2012",Loyola (MD),Fairfield
Mid-American Conference,"Mar 05, 2012 - Mar 10, 2012",Ohio,Akron
Mid-Eastern Athletic Conference,"Mar 06, 2012 - Mar 10, 2012",Norfolk St.,Bethune-Cookman
Missouri Valley Conference,"Mar 01, 2012 - Mar 04, 2012",Creighton,Illinois St.
Mountain West Conference,"Mar 08, 2012 - Mar 10, 2012",New Mexico,San Diego St.
Northeast Conference,"Mar 01, 2012 - Mar 07, 2012",Long Island,Robert Morris
Ohio Valley Conference,"Feb 29, 2012 - Mar 03, 2012",Murray St.,Tennessee St.
Pac-12 Conference,"Mar 07, 2012 - Mar 10, 2012",Colorado,Arizona
Patriot League,"Feb 29, 2012 - Mar 07, 2012",Lehigh,Bucknell
Southeastern Conference,"Mar 08, 2012 - Mar 11, 2012",Vanderbilt,Kentucky
Southern Conference,"Mar 02, 2012 - Mar 05, 2012",Davidson,Western Caro.
Southland Conference,"Mar 07, 2012 - Mar 10, 2012",Lamar,McNeese St.
Summit League,"Mar 03, 2012 - Mar 06, 2012",S Dakota St.,Western Ill.
Sun Belt Conference,"Mar 03, 2012 - Mar 06, 2012",Western Ky.,North Texas
Southwest Athletic Conference,"Mar 07, 2012 - Mar 10, 2012",Miss Val St,Texas Southern
Western Athletic Conference,"Mar 08, 2012 - Mar 10, 2012",New Mexico St.,Louisiana Tech
West Coast Conference,"Feb 29, 2012 - Mar 05, 2012",St. Mary's,Gonzaga
