YEAR,BY YEAR NO,TEAM NO,TEAM,SEED,CURRENT ROUND,SCORE,Opponent,Opponenet Score,Result
2018,1309,686,Tennessee,3,32,62,Loyola Chicago,63,0
2018,1308,705,Nevada,7,32,75,Cincinnati,73,1
2018,1307,730,Cincinnati,2,32,73,Nevada,75,0
2018,1306,672,Xavier,1,32,70,Florida St.,75,0
2018,1305,723,Florida St.,9,32,75,Xavier,70,1
2018,1304,700,Ohio St.,5,32,84,Gonzaga,90,0
2018,1303,721,Gonzaga,4,32,90,Ohio St.,84,1
2018,1302,720,Houston,6,32,63,Michigan,64,0
2018,1301,710,Michigan,3,32,64,Houston,63,1
2018,1300,684,Texas A&M,7,32,86,North Carolina,65,1
2018,1299,703,North Carolina,2,32,65,Texas A&M,86,0
2018,1298,678,Villanova,1,32,81,Alabama,58,1
2018,1297,739,Alabama,9,32,58,Villanova,81,0
2018,1296,675,West Virginia,5,32,94,Marshall,71,1
2018,1295,712,Marshall,13,32,71,West Virginia,94,0
2018,1294,724,Florida,6,32,66,Texas Tech,69,0
2018,1293,682,Texas Tech,3,32,69,Florida,66,1
2018,1292,732,Butler,10,32,73,Purdue,76,0
2018,1291,696,Purdue,2,32,76,Butler,73,1
2018,1290,718,Kansas,1,32,83,Seton Hall,79,1
2018,1289,692,Seton Hall,8,32,79,Kansas,83,0
2018,1288,729,Clemson,5,32,84,Auburn,53,1
2018,1287,735,Auburn,4,32,53,Clemson,84,0
2018,1286,688,Syracuse,11,32,55,Michigan St.,53,1
2018,1285,709,Michigan St.,3,32,53,Syracuse,55,0
2018,1284,694,Rhode Island,7,32,62,Duke,87,0
2018,1283,725,Duke,2,32,87,Rhode Island,62,1
2018,1282,717,Kansas St.,9,16,61,Kentucky,58,1
2018,1281,716,Kentucky,5,16,58,Kansas St.,61,0
2018,1280,713,Loyola Chicago,11,16,69,Nevada,68,1
2018,1279,705,Nevada,7,16,68,Loyola Chicago,69,0
2018,1278,723,Florida St.,9,16,75,Gonzaga,60,1
2018,1277,721,Gonzaga,4,16,60,Florida St.,75,0
2018,1276,710,Michigan,3,16,99,Texas A&M,72,1
2018,1275,684,Texas A&M,7,16,72,Michigan,99,0
2018,1274,678,Villanova,1,16,90,West Virginia,78,1
2018,1273,675,West Virginia,5,16,78,Villanova,90,0
2018,1272,682,Texas Tech,3,16,78,Purdue,65,1
2018,1271,696,Purdue,2,16,65,Texas Tech,78,0
2018,1270,718,Kansas,1,16,80,Clemson,76,1
2018,1269,729,Clemson,5,16,76,Kansas,80,0
2018,1268,688,Syracuse,11,16,65,Duke,69,0
2018,1267,725,Duke,2,16,69,Syracuse,65,1
2018,1266,717,Kansas St.,9,8,62,Loyola Chicago,78,0
2018,1265,713,Loyola Chicago,11,8,78,Kansas St.,62,1
2018,1264,723,Florida St.,9,8,54,Michigan,58,0
2018,1263,710,Michigan,3,8,58,Florida St.,54,1
2018,1262,678,Villanova,1,8,71,Texas Tech,59,1
2018,1261,682,Texas Tech,3,8,59,Villanova,71,0
2017,1260,718,Kansas,1,8,85,Duke,81,1
2017,1259,725,Duke,2,8,81,Kansas,85,0
2017,1258,713,Loyola Chicago,11,4,57,Michigan,69,0
2017,1257,710,Michigan,3,4,69,Loyola Chicago,57,1
2017,1256,678,Villanova,1,4,95,Kansas,79,1
2017,1255,718,Kansas,1,4,79,Villanova,95,0
2017,1254,710,Michigan,3,2,62,Villanova,79,0
2017,1253,678,Villanova,1,2,79,Michigan,62,1
2017,1252,612,Villanova,1,64,76,Mount St. Mary's,56,1
2017,1251,642,Mount St. Mary's,16,64,56,Villanova,76,0
2017,1250,605,Wisconsin,8,64,84,Virginia Tech,74,1
2017,1249,610,Virginia Tech,9,64,74,Wisconsin,84,0
2017,1248,611,Virginia,5,64,76,UNC Wilmington,71,1
2017,1247,617,UNC Wilmington,12,64,71,Virginia,76,0
2017,1246,661,Florida,4,64,80,East Tennessee St.,65,1
2017,1245,662,East Tennessee St.,13,64,65,Florida,80,0
2017,1244,624,SMU,6,64,65,USC,66,0
2017,1243,616,USC,11,64,66,SMU,65,1
2017,1242,669,Baylor,3,64,91,New Mexico St.,73,1
2017,1241,640,New Mexico St.,14,64,73,Baylor,91,0
2017,1240,623,South Carolina,7,64,93,Marquette,73,1
2017,1239,649,Marquette,10,64,73,South Carolina,93,0
2017,1238,663,Duke,2,64,87,Troy,65,1
2017,1237,620,Troy,15,64,65,Duke,87,0
2017,1236,658,Gonzaga,1,64,66,South Dakota St.,46,1
2017,1235,622,South Dakota St.,16,64,46,Gonzaga,66,0
2017,1234,634,Northwestern,8,64,68,Vanderbilt,66,1
2017,1233,615,Vanderbilt,9,64,66,Northwestern,68,0
2017,1232,633,Notre Dame,5,64,60,Princeton,58,1
2017,1231,630,Princeton,12,64,58,Notre Dame,60,0
2017,1230,608,West Virginia,4,64,86,Bucknell,80,1
2017,1229,668,Bucknell,13,64,80,West Virginia,86,0
2017,1228,648,Maryland,6,64,65,Xavier,76,0
2017,1227,604,Xavier,11,64,76,Maryland,65,1
2017,1226,659,Florida St.,3,64,86,Florida Gulf Coast,80,1
2017,1225,660,Florida Gulf Coast,14,64,80,Florida St.,86,0
2017,1224,626,Saint Mary's,7,64,85,VCU,77,1
2017,1223,614,VCU,10,64,77,Saint Mary's,85,0
2017,1222,671,Arizona,2,64,100,North Dakota,82,1
2017,1221,636,North Dakota,15,64,82,Arizona,100,0
2017,1220,654,Kansas,1,64,100,UC Davis,62,1
2017,1219,619,UC Davis,16,64,62,Kansas,100,0
2017,1218,647,Miami FL,8,64,58,Michigan St.,78,0
2017,1217,645,Michigan St.,9,64,78,Miami FL,58,1
2017,1216,656,Iowa St.,5,64,84,Nevada,73,1
2017,1215,641,Nevada,12,64,73,Iowa St.,84,0
2017,1214,628,Purdue,4,64,80,Vermont,70,1
2017,1213,613,Vermont,13,64,70,Purdue,80,0
2017,1212,665,Creighton,6,64,72,Rhode Island,84,0
2017,1211,627,Rhode Island,11,64,84,Creighton,72,1
2017,1210,631,Oregon,3,64,93,Iona,77,1
2017,1209,657,Iona,14,64,77,Oregon,93,0
2017,1208,646,Michigan,7,64,92,Oklahoma St.,91,1
2017,1207,632,Oklahoma St.,10,64,91,Michigan,92,0
2017,1206,650,Louisville,2,64,78,Jacksonville St.,63,1
2017,1205,655,Jacksonville St.,15,64,63,Louisville,78,0
2017,1204,638,North Carolina,1,64,103,Texas Southern,64,1
2017,1203,621,Texas Southern,16,64,64,North Carolina,103,0
2017,1202,670,Arkansas,8,64,77,Seton Hall,71,1
2017,1201,625,Seton Hall,9,64,71,Arkansas,77,0
2017,1200,643,Minnesota,5,64,72,Middle Tennessee,81,0
2017,1199,644,Middle Tennessee,12,64,81,Minnesota,72,1
2017,1198,667,Butler,4,64,76,Winthrop,64,1
2017,1197,606,Winthrop,13,64,64,Butler,76,0
2017,1196,666,Cincinnati,6,64,75,Kansas St.,61,1
2017,1195,653,Kansas St.,11,64,61,Cincinnati,75,0
2017,1194,618,UCLA,3,64,97,Kent St.,80,1
2017,1193,652,Kent St.,14,64,80,UCLA,97,0
2017,1192,664,Dayton,7,64,58,Wichita St.,64,0
2017,1191,607,Wichita St.,10,64,64,Dayton,58,1
2017,1190,651,Kentucky,2,64,79,Northern Kentucky,70,1
2017,1189,635,Northern Kentucky,15,64,70,Kentucky,79,0
2017,1188,612,Villanova,1,32,62,Wisconsin,65,0
2017,1187,605,Wisconsin,8,32,65,Villanova,62,1
2017,1186,611,Virginia,5,32,39,Florida,65,0
2017,1185,661,Florida,4,32,65,Virginia,39,1
2017,1184,616,USC,11,32,78,Baylor,82,0
2017,1183,669,Baylor,3,32,82,USC,78,1
2017,1182,623,South Carolina,7,32,88,Duke,81,1
2017,1181,663,Duke,2,32,81,South Carolina,88,0
2017,1180,658,Gonzaga,1,32,79,Northwestern,73,1
2017,1179,634,Northwestern,8,32,73,Gonzaga,79,0
2017,1178,633,Notre Dame,5,32,71,West Virginia,83,0
2017,1177,608,West Virginia,4,32,83,Notre Dame,71,1
2017,1176,604,Xavier,11,32,91,Florida St.,66,1
2017,1175,659,Florida St.,3,32,66,Xavier,91,0
2017,1174,626,Saint Mary's,7,32,60,Arizona,69,0
2017,1173,671,Arizona,2,32,69,Saint Mary's,60,1
2017,1172,654,Kansas,1,32,90,Michigan St.,70,1
2017,1171,645,Michigan St.,9,32,70,Kansas,90,0
2017,1170,656,Iowa St.,5,32,76,Purdue,80,0
2017,1169,628,Purdue,4,32,80,Iowa St.,76,1
2017,1168,627,Rhode Island,11,32,72,Oregon,75,0
2017,1167,631,Oregon,3,32,75,Rhode Island,72,1
2017,1166,646,Michigan,7,32,73,Louisville,69,1
2017,1165,650,Louisville,2,32,69,Michigan,73,0
2017,1164,638,North Carolina,1,32,72,Arkansas,65,1
2017,1163,670,Arkansas,8,32,65,North Carolina,72,0
2017,1162,644,Middle Tennessee,12,32,65,Butler,74,0
2017,1161,667,Butler,4,32,74,Middle Tennessee,65,1
2017,1160,666,Cincinnati,6,32,67,UCLA,79,0
2017,1159,618,UCLA,3,32,79,Cincinnati,67,1
2017,1158,607,Wichita St.,10,32,62,Kentucky,65,0
2017,1157,651,Kentucky,2,32,65,Wichita St.,62,1
2017,1156,605,Wisconsin,8,16,83,Florida,84,0
2017,1155,661,Florida,4,16,84,Wisconsin,83,1
2017,1154,669,Baylor,3,16,50,South Carolina,70,0
2017,1153,623,South Carolina,7,16,70,Baylor,50,1
2017,1152,658,Gonzaga,1,16,61,West Virginia,58,1
2017,1151,608,West Virginia,4,16,58,Gonzaga,61,0
2017,1150,604,Xavier,11,16,73,Arizona,71,1
2017,1149,671,Arizona,2,16,71,Xavier,73,0
2017,1148,654,Kansas,1,16,98,Purdue,66,1
2017,1147,628,Purdue,4,16,66,Kansas,98,0
2017,1146,631,Oregon,3,16,69,Michigan,68,1
2017,1145,646,Michigan,7,16,68,Oregon,69,0
2017,1144,638,North Carolina,1,16,92,Butler,80,1
2017,1143,667,Butler,4,16,80,North Carolina,92,0
2017,1142,618,UCLA,3,16,75,Kentucky,86,0
2017,1141,651,Kentucky,2,16,86,UCLA,75,1
2017,1140,661,Florida,4,8,70,South Carolina,77,0
2017,1139,623,South Carolina,7,8,77,Florida,70,1
2017,1138,658,Gonzaga,1,8,83,Xavier,59,1
2017,1137,604,Xavier,11,8,59,Gonzaga,83,0
2017,1136,654,Kansas,1,8,60,Oregon,74,0
2017,1135,631,Oregon,3,8,74,Kansas,60,1
2016,1134,638,North Carolina,1,8,75,Kentucky,73,1
2016,1133,651,Kentucky,2,8,73,North Carolina,75,0
2016,1132,623,South Carolina,7,4,73,Gonzaga,77,0
2016,1131,658,Gonzaga,1,4,77,South Carolina,73,1
2016,1130,631,Oregon,3,4,76,North Carolina,77,0
2016,1129,638,North Carolina,1,4,77,Oregon,76,1
2016,1128,658,Gonzaga,1,2,65,North Carolina,71,0
2016,1127,638,North Carolina,1,2,71,Gonzaga,65,1
2016,1126,578,Kansas,1,64,105,Austin Peay,79,1
2016,1125,602,Austin Peay,16,64,79,Kansas,105,0
2016,1124,594,Colorado,8,64,67,Connecticut,74,0
2016,1123,593,Connecticut,9,64,74,Colorado,67,1
2016,1122,575,Maryland,5,64,79,South Dakota St.,74,1
2016,1121,559,South Dakota St.,12,64,74,Maryland,79,0
2016,1120,597,California,4,64,66,Hawaii,77,0
2016,1119,584,Hawaii,13,64,77,California,66,1
2016,1118,603,Arizona,6,64,55,Wichita St.,65,0
2016,1117,539,Wichita St.,11,64,65,Arizona,55,1
2016,1116,574,Miami FL,3,64,79,Buffalo,72,1
2016,1115,600,Buffalo,14,64,72,Miami FL,79,0
2016,1114,580,Iowa,7,64,72,Temple,70,1
2016,1113,554,Temple,10,64,70,Iowa,72,0
2016,1112,543,Villanova,2,64,86,UNC Asheville,56,1
2016,1111,549,UNC Asheville,15,64,56,Villanova,86,0
2016,1110,566,Oregon,1,64,91,Holy Cross,52,1
2016,1109,583,Holy Cross,16,64,52,Oregon,91,0
2016,1108,561,Saint Joseph's,8,64,78,Cincinnati,76,1
2016,1107,595,Cincinnati,9,64,76,Saint Joseph's,78,0
2016,1106,601,Baylor,5,64,75,Yale,79,0
2016,1105,536,Yale,12,64,79,Baylor,75,1
2016,1104,591,Duke,4,64,93,UNC Wilmington,85,1
2016,1103,548,UNC Wilmington,13,64,85,Duke,93,0
2016,1102,553,Texas,6,64,72,Northern Iowa,75,0
2016,1101,569,Northern Iowa,11,64,75,Texas,72,1
2016,1100,552,Texas A&M,3,64,92,Green Bay,65,1
2016,1099,586,Green Bay,14,64,65,Texas A&M,92,0
2016,1098,565,Oregon St.,7,64,67,VCU,75,0
2016,1097,544,VCU,10,64,75,Oregon St.,67,1
2016,1096,567,Oklahoma,2,64,82,Cal St. Bakersfield,68,1
2016,1095,598,Cal St. Bakersfield,15,64,68,Oklahoma,82,0
2016,1094,570,North Carolina,1,64,83,Florida Gulf Coast,67,1
2016,1093,589,Florida Gulf Coast,16,64,67,North Carolina,83,0
2016,1092,547,USC,8,64,69,Providence,70,0
2016,1091,563,Providence,9,64,70,USC,69,1
2016,1090,582,Indiana,5,64,99,Chattanooga,74,1
2016,1089,596,Chattanooga,12,64,74,Indiana,99,0
2016,1088,577,Kentucky,4,64,85,Stony Brook,57,1
2016,1087,556,Stony Brook,13,64,57,Kentucky,85,0
2016,1086,568,Notre Dame,6,64,70,Michigan,63,1
2016,1085,573,Michigan,11,64,63,Notre Dame,70,0
2016,1084,540,West Virginia,3,64,56,Stephen F. Austin,70,0
2016,1083,557,Stephen F. Austin,14,64,70,West Virginia,56,1
2016,1082,538,Wisconsin,7,64,47,Pittsburgh,43,1
2016,1081,564,Pittsburgh,10,64,43,Wisconsin,47,0
2016,1080,537,Xavier,2,64,71,Weber St.,53,1
2016,1079,541,Weber St.,15,64,53,Xavier,71,0
2016,1078,542,Virginia,1,64,81,Hampton,45,1
2016,1077,585,Hampton,16,64,45,Virginia,81,0
2016,1076,551,Texas Tech,8,64,61,Butler,71,0
2016,1075,599,Butler,9,64,71,Texas Tech,61,1
2016,1074,562,Purdue,5,64,83,Little Rock,85,0
2016,1073,576,Little Rock,12,64,85,Purdue,83,1
2016,1072,579,Iowa St.,4,64,94,Iona,81,1
2016,1071,581,Iona,13,64,81,Iowa St.,94,0
2016,1070,560,Seton Hall,6,64,52,Gonzaga,68,0
2016,1069,587,Gonzaga,11,64,68,Seton Hall,52,1
2016,1068,546,Utah,3,64,80,Fresno St.,69,1
2016,1067,588,Fresno St.,14,64,69,Utah,80,0
2016,1066,592,Dayton,7,64,51,Syracuse,70,0
2016,1065,555,Syracuse,10,64,70,Dayton,51,1
2016,1064,572,Michigan St.,2,64,81,Middle Tennessee,90,0
2016,1063,571,Middle Tennessee,15,64,90,Michigan St.,81,1
2016,1062,578,Kansas,1,32,73,Connecticut,61,1
2016,1061,593,Connecticut,9,32,61,Kansas,73,0
2016,1060,575,Maryland,5,32,73,Hawaii,60,1
2016,1059,584,Hawaii,13,32,60,Maryland,73,0
2016,1058,539,Wichita St.,11,32,57,Miami FL,65,0
2016,1057,574,Miami FL,3,32,65,Wichita St.,57,1
2016,1056,580,Iowa,7,32,68,Villanova,87,0
2016,1055,543,Villanova,2,32,87,Iowa,68,1
2016,1054,566,Oregon,1,32,69,Saint Joseph's,64,1
2016,1053,561,Saint Joseph's,8,32,64,Oregon,69,0
2016,1052,536,Yale,12,32,64,Duke,71,0
2016,1051,591,Duke,4,32,71,Yale,64,1
2016,1050,569,Northern Iowa,11,32,88,Texas A&M,92,0
2016,1049,552,Texas A&M,3,32,92,Northern Iowa,88,1
2016,1048,544,VCU,10,32,81,Oklahoma,85,0
2016,1047,567,Oklahoma,2,32,85,VCU,81,1
2016,1046,570,North Carolina,1,32,85,Providence,66,1
2016,1045,563,Providence,9,32,66,North Carolina,85,0
2016,1044,582,Indiana,5,32,73,Kentucky,67,1
2016,1043,577,Kentucky,4,32,67,Indiana,73,0
2016,1042,568,Notre Dame,6,32,76,Stephen F. Austin,75,1
2016,1041,557,Stephen F. Austin,14,32,75,Notre Dame,76,0
2016,1040,538,Wisconsin,7,32,66,Xavier,63,1
2016,1039,537,Xavier,2,32,63,Wisconsin,66,0
2016,1038,542,Virginia,1,32,77,Butler,69,1
2016,1037,599,Butler,9,32,69,Virginia,77,0
2016,1036,576,Little Rock,12,32,61,Iowa St.,78,0
2016,1035,579,Iowa St.,4,32,78,Little Rock,61,1
2016,1034,587,Gonzaga,11,32,82,Utah,59,1
2016,1033,546,Utah,3,32,59,Gonzaga,82,0
2016,1032,555,Syracuse,10,32,75,Middle Tennessee,50,1
2016,1031,571,Middle Tennessee,15,32,50,Syracuse,75,0
2016,1030,578,Kansas,1,16,79,Maryland,63,1
2016,1029,575,Maryland,5,16,63,Kansas,79,0
2016,1028,574,Miami FL,3,16,69,Villanova,92,0
2016,1027,543,Villanova,2,16,92,Miami FL,69,1
2016,1026,566,Oregon,1,16,82,Duke,68,1
2016,1025,591,Duke,4,16,68,Oregon,82,0
2016,1024,552,Texas A&M,3,16,63,Oklahoma,77,0
2016,1023,567,Oklahoma,2,16,77,Texas A&M,63,1
2016,1022,570,North Carolina,1,16,101,Indiana,86,1
2016,1021,582,Indiana,5,16,86,North Carolina,101,0
2016,1020,568,Notre Dame,6,16,61,Wisconsin,56,1
2016,1019,538,Wisconsin,7,16,56,Notre Dame,61,0
2016,1018,542,Virginia,1,16,84,Iowa St.,71,1
2016,1017,579,Iowa St.,4,16,71,Virginia,84,0
2016,1016,587,Gonzaga,11,16,60,Syracuse,63,0
2016,1015,555,Syracuse,10,16,63,Gonzaga,60,1
2016,1014,578,Kansas,1,8,59,Villanova,64,0
2016,1013,543,Villanova,2,8,64,Kansas,59,1
2016,1012,566,Oregon,1,8,68,Oklahoma,80,0
2016,1011,567,Oklahoma,2,8,80,Oregon,68,1
2016,1010,570,North Carolina,1,8,88,Notre Dame,74,1
2016,1009,568,Notre Dame,6,8,74,North Carolina,88,0
2015,1008,542,Virginia,1,8,62,Syracuse,68,0
2015,1007,555,Syracuse,10,8,68,Virginia,62,1
2015,1006,543,Villanova,2,4,95,Oklahoma,51,1
2015,1005,567,Oklahoma,2,4,51,Villanova,95,0
2015,1004,570,North Carolina,1,4,83,Syracuse,66,1
2015,1003,555,Syracuse,10,4,66,North Carolina,83,0
2015,1002,543,Villanova,2,2,77,North Carolina,74,1
2015,1001,570,North Carolina,1,2,74,Villanova,77,0
2015,1000,510,Kentucky,1,64,79,Hampton,56,1
2015,999,516,Hampton,16,64,56,Kentucky,79,0
2015,998,526,Cincinnati,8,64,66,Purdue,65,1
2015,997,489,Purdue,9,64,65,Cincinnati,66,0
2015,996,473,West Virginia,5,64,68,Buffalo,62,1
2015,995,529,Buffalo,12,64,62,West Virginia,68,0
2015,994,505,Maryland,4,64,65,Valparaiso,62,1
2015,993,477,Valparaiso,13,64,62,Maryland,65,0
2015,992,528,Butler,6,64,56,Texas,48,1
2015,991,483,Texas,11,64,48,Butler,56,0
2015,990,495,Notre Dame,3,64,69,Northeastern,65,1
2015,989,497,Northeastern,14,64,65,Notre Dame,69,0
2015,988,472,Wichita St.,7,64,81,Indiana,76,1
2015,987,514,Indiana,10,64,76,Wichita St.,81,0
2015,986,511,Kansas,2,64,75,New Mexico St.,56,1
2015,985,502,New Mexico St.,15,64,56,Kansas,75,0
2015,984,471,Wisconsin,1,64,86,Coastal Carolina,72,1
2015,983,525,Coastal Carolina,16,64,72,Wisconsin,86,0
2015,982,491,Oregon,8,64,79,Oklahoma St.,73,1
2015,981,492,Oklahoma St.,9,64,73,Oregon,79,0
2015,980,533,Arkansas,5,64,56,Wofford,53,1
2015,979,470,Wofford,12,64,53,Arkansas,56,0
2015,978,501,North Carolina,4,64,67,Harvard,65,1
2015,977,515,Harvard,13,64,65,North Carolina,67,0
2015,976,468,Xavier,6,64,76,Mississippi,57,1
2015,975,503,Mississippi,11,64,57,Xavier,76,0
2015,974,532,Baylor,3,64,56,Georgia St.,57,0
2015,973,518,Georgia St.,14,64,57,Baylor,56,1
2015,972,476,VCU,7,64,72,Ohio St.,75,0
2015,971,494,Ohio St.,10,64,75,VCU,72,1
2015,970,534,Arizona,2,64,93,Texas Southern,72,1
2015,969,482,Texas Southern,15,64,72,Arizona,93,0
2015,968,475,Villanova,1,64,93,Lafayette,52,1
2015,967,509,Lafayette,16,64,52,Villanova,93,0
2015,966,500,North Carolina St.,8,64,66,LSU,65,1
2015,965,507,LSU,9,64,65,North Carolina St.,66,0
2015,964,496,Northern Iowa,5,64,71,Wyoming,54,1
2015,963,469,Wyoming,12,64,54,Northern Iowa,71,0
2015,962,508,Louisville,4,64,57,UC Irvine,55,1
2015,961,480,UC Irvine,13,64,55,Louisville,57,0
2015,960,490,Providence,6,64,53,Dayton,66,0
2015,959,523,Dayton,11,64,66,Providence,53,1
2015,958,493,Oklahoma,3,64,69,Albany,60,1
2015,957,535,Albany,14,64,60,Oklahoma,69,0
2015,956,504,Michigan St.,7,64,70,Georgia,63,1
2015,955,519,Georgia,10,64,63,Michigan St.,70,0
2015,954,474,Virginia,2,64,79,Belmont,67,1
2015,953,531,Belmont,15,64,67,Virginia,79,0
2015,952,522,Duke,1,64,85,Robert Morris,56,1
2015,951,488,Robert Morris,16,64,56,Duke,85,0
2015,950,487,San Diego St.,8,64,76,St. John's,64,1
2015,949,485,St. John's,9,64,64,San Diego St.,76,0
2015,948,478,Utah,5,64,57,Stephen F. Austin,50,1
2015,947,484,Stephen F. Austin,12,64,50,Utah,57,0
2015,946,520,Georgetown,4,64,84,Eastern Washington,74,1
2015,945,521,Eastern Washington,13,64,74,Georgetown,84,0
2015,944,486,SMU,6,64,59,UCLA,60,0
2015,943,479,UCLA,11,64,60,SMU,59,1
2015,942,512,Iowa St.,3,64,59,UAB,60,0
2015,941,481,UAB,14,64,60,Iowa St.,59,1
2015,940,513,Iowa,7,64,83,Davidson,52,1
2015,939,524,Davidson,10,64,52,Iowa,83,0
2015,938,517,Gonzaga,2,64,86,North Dakota St.,76,1
2015,937,499,North Dakota St.,15,64,76,Gonzaga,86,0
2015,936,510,Kentucky,1,32,64,Cincinnati,51,1
2015,935,526,Cincinnati,8,32,51,Kentucky,64,0
2015,934,473,West Virginia,5,32,69,Maryland,59,1
2015,933,505,Maryland,4,32,59,West Virginia,69,0
2015,932,528,Butler,6,32,64,Notre Dame,67,0
2015,931,495,Notre Dame,3,32,67,Butler,64,1
2015,930,472,Wichita St.,7,32,78,Kansas,65,1
2015,929,511,Kansas,2,32,65,Wichita St.,78,0
2015,928,471,Wisconsin,1,32,72,Oregon,65,1
2015,927,491,Oregon,8,32,65,Wisconsin,72,0
2015,926,533,Arkansas,5,32,78,North Carolina,87,0
2015,925,501,North Carolina,4,32,87,Arkansas,78,1
2015,924,468,Xavier,6,32,75,Georgia St.,67,1
2015,923,518,Georgia St.,14,32,67,Xavier,75,0
2015,922,494,Ohio St.,10,32,58,Arizona,73,0
2015,921,534,Arizona,2,32,73,Ohio St.,58,1
2015,920,475,Villanova,1,32,68,North Carolina St.,71,0
2015,919,500,North Carolina St.,8,32,71,Villanova,68,1
2015,918,496,Northern Iowa,5,32,53,Louisville,66,0
2015,917,508,Louisville,4,32,66,Northern Iowa,53,1
2015,916,523,Dayton,11,32,66,Oklahoma,72,0
2015,915,493,Oklahoma,3,32,72,Dayton,66,1
2015,914,504,Michigan St.,7,32,60,Virginia,54,1
2015,913,474,Virginia,2,32,54,Michigan St.,60,0
2015,912,522,Duke,1,32,68,San Diego St.,49,1
2015,911,487,San Diego St.,8,32,49,Duke,68,0
2015,910,478,Utah,5,32,75,Georgetown,64,1
2015,909,520,Georgetown,4,32,64,Utah,75,0
2015,908,479,UCLA,11,32,92,UAB,75,1
2015,907,481,UAB,14,32,75,UCLA,92,0
2015,906,513,Iowa,7,32,68,Gonzaga,87,0
2015,905,517,Gonzaga,2,32,87,Iowa,68,1
2015,904,510,Kentucky,1,16,78,West Virginia,39,1
2015,903,473,West Virginia,5,16,39,Kentucky,78,0
2015,902,495,Notre Dame,3,16,81,Wichita St.,70,1
2015,901,472,Wichita St.,7,16,70,Notre Dame,81,0
2015,900,471,Wisconsin,1,16,79,North Carolina,72,1
2015,899,501,North Carolina,4,16,72,Wisconsin,79,0
2015,898,468,Xavier,6,16,60,Arizona,68,0
2015,897,534,Arizona,2,16,68,Xavier,60,1
2015,896,500,North Carolina St.,8,16,65,Louisville,75,0
2015,895,508,Louisville,4,16,75,North Carolina St.,65,1
2015,894,493,Oklahoma,3,16,58,Michigan St.,62,0
2015,893,504,Michigan St.,7,16,62,Oklahoma,58,1
2015,892,522,Duke,1,16,63,Utah,57,1
2015,891,478,Utah,5,16,57,Duke,63,0
2015,890,479,UCLA,11,16,62,Gonzaga,74,0
2015,889,517,Gonzaga,2,16,74,UCLA,62,1
2015,888,510,Kentucky,1,8,68,Notre Dame,66,1
2015,887,495,Notre Dame,3,8,66,Kentucky,68,0
2015,886,471,Wisconsin,1,8,85,Arizona,78,1
2015,885,534,Arizona,2,8,78,Wisconsin,85,0
2015,884,508,Louisville,4,8,70,Michigan St.,76,0
2015,883,504,Michigan St.,7,8,76,Louisville,70,1
2014,882,522,Duke,1,8,66,Gonzaga,52,1
2014,881,517,Gonzaga,2,8,52,Duke,66,0
2014,880,510,Kentucky,1,4,64,Wisconsin,71,0
2014,879,471,Wisconsin,1,4,71,Kentucky,64,1
2014,878,504,Michigan St.,7,4,61,Duke,81,0
2014,877,522,Duke,1,4,81,Michigan St.,61,1
2014,876,471,Wisconsin,1,2,63,Duke,68,0
2014,875,522,Duke,1,2,68,Wisconsin,63,1
2014,874,451,Florida,1,64,67,Albany,55,1
2014,873,467,Albany,16,64,55,Florida,67,0
2014,872,458,Colorado,8,64,48,Pittsburgh,77,0
2014,871,421,Pittsburgh,9,64,77,Colorado,48,1
2014,870,408,VCU,5,64,75,Stephen F. Austin,77,0
2014,869,415,Stephen F. Austin,12,64,77,VCU,75,1
2014,868,409,UCLA,4,64,76,Tulsa,59,1
2014,867,410,Tulsa,13,64,59,UCLA,76,0
2014,866,425,Ohio St.,6,64,59,Dayton,60,0
2014,865,455,Dayton,11,64,60,Ohio St.,59,1
2014,864,414,Syracuse,3,64,77,Western Michigan,53,1
2014,863,404,Western Michigan,14,64,53,Syracuse,77,0
2014,862,431,New Mexico,7,64,53,Stanford,58,0
2014,861,416,Stanford,10,64,58,New Mexico,53,1
2014,860,445,Kansas,2,64,80,Eastern Kentucky,69,1
2014,859,452,Eastern Kentucky,15,64,69,Kansas,80,0
2014,858,406,Virginia,1,64,70,Coastal Carolina,59,1
2014,857,459,Coastal Carolina,16,64,59,Virginia,70,0
2014,856,438,Memphis,8,64,71,George Washington,66,1
2014,855,450,George Washington,9,64,66,Memphis,71,0
2014,854,460,Cincinnati,5,64,57,Harvard,61,0
2014,853,448,Harvard,12,64,61,Cincinnati,57,1
2014,852,435,Michigan St.,4,64,93,Delaware,78,1
2014,851,454,Delaware,13,64,78,Michigan St.,93,0
2014,850,429,North Carolina,6,64,79,Providence,77,1
2014,849,420,Providence,11,64,77,North Carolina,79,0
2014,848,446,Iowa St.,3,64,93,North Carolina Central,75,1
2014,847,428,North Carolina Central,14,64,75,Iowa St.,93,0
2014,846,457,Connecticut,7,64,89,Saint Joseph's,81,1
2014,845,419,Saint Joseph's,10,64,81,Connecticut,89,0
2014,844,407,Villanova,2,64,73,Milwaukee,53,1
2014,843,434,Milwaukee,15,64,53,Villanova,73,0
2014,842,465,Arizona,1,64,68,Weber St.,59,1
2014,841,405,Weber St.,16,64,59,Arizona,68,0
2014,840,449,Gonzaga,8,64,85,Oklahoma St.,77,1
2014,839,423,Oklahoma St.,9,64,77,Gonzaga,85,0
