,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent Advanced,,,,,,,,,,,,
35,Cal Poly,30,7,23,0.233,-10,-0.42,,4,12,,7,6,,0,15,,2027,2248,,68.8,105.9,0.426,0.359,0.561,53.1,54.6,9.2,8.5,0.52,16.7,28.3,0.308
36,Cal State Bakersfield,31,12,19,0.387,-7.11,-3.26,,6,10,,9,7,,3,12,,2109,2097,,66,100.5,0.474,0.409,0.547,45.3,52.6,7.6,6.7,0.5,17.8,25,0.341
37,Cal State Fullerton,31,11,20,0.355,-6.79,-1.38,,6,10,,6,8,,4,11,,2127,2213,,69.5,100.7,0.352,0.323,0.533,52,48.7,8.6,8.9,0.494,16.2,26.1,0.256
38,Cal State Northridge,32,15,17,0.469,-6.37,-0.97,,10,6,,10,4,,5,12,,2435,2528,,71.4,110.7,0.29,0.406,0.567,52.7,54.1,7.1,7.9,0.541,15.4,31.2,0.208
39,California,32,14,18,0.438,3.2,9.05,,7,11,,12,5,,1,10,,2023,2210,,65.7,103.9,0.37,0.38,0.54,50.4,51.7,7.4,9.6,0.499,15.2,26.2,0.272
40,California Baptist,31,21,10,0.677,-1.99,-6.66,,10,6,,15,5,,6,5,,2465,2170,,70.5,98.1,0.303,0.329,0.499,45.2,48.5,8.5,9.9,0.468,13.4,24.5,0.207
41,Campbell,31,15,16,0.484,-8.51,-8.1,,6,12,,8,5,,6,10,,2130,2065,,67.2,98.8,0.391,0.336,0.531,52.4,43.2,9.6,6.5,0.492,18.1,28,0.275
42,Canisius,32,12,20,0.375,-7.6,-5.44,,7,13,,7,6,,4,12,,2196,2265,,70.3,100.7,0.356,0.359,0.55,51.1,47.3,9.6,7.4,0.517,19.2,29.4,0.251
43,Central Arkansas,31,10,21,0.323,-11.26,-2.7,,9,11,,8,4,,2,16,,2316,2553,,75.9,105.9,0.347,0.372,0.551,49.7,53.7,12.1,9,0.518,15.7,28.5,0.248
44,Central Connecticut State,31,4,27,0.129,-20.33,-4.63,,3,15,,4,9,,0,16,,1959,2396,,70.7,109.3,0.327,0.396,0.559,55.2,55.5,10.3,10.8,0.532,15.9,32.8,0.228
45,Central Michigan,32,14,18,0.438,-3.4,-0.26,,7,11,,12,4,,2,14,,2506,2454,,75,101.8,0.277,0.394,0.562,51.2,50.5,8.5,8.6,0.537,19.4,27.7,0.197
46,Charleston Southern,32,14,18,0.438,-13.14,-6.98,,7,11,,9,6,,5,11,,2203,2304,,68.6,103.8,0.292,0.368,0.548,53.7,53.2,9.9,8.1,0.522,16.7,28.9,0.205
47,Charlotte,29,16,13,0.552,0.46,-1.09,,10,8,,13,2,,3,11,,1922,1877,,66.6,95.9,0.276,0.399,0.529,50.1,50.1,10.3,10.7,0.504,18.3,23.4,0.187
48,Chattanooga,33,20,13,0.606,0.39,-1.9,,10,8,,10,4,,7,8,,2410,2261,,68.2,100,0.268,0.366,0.53,48.3,45.8,8.2,9.2,0.504,15.5,23.6,0.186
49,Chicago State,29,4,25,0.138,-28.2,-2.85,,0,14,,3,11,,1,12,,1781,2372,,70.3,116.4,0.402,0.397,0.595,54.1,60.4,11.9,6.1,0.56,14.6,31.3,0.297
50,Cincinnati,30,20,10,0.667,12.33,6.73,,13,5,,13,2,,5,6,,2182,2014,,68.9,94.3,0.292,0.347,0.495,47.5,50.7,9.4,10.7,0.457,17.1,28.8,0.213
51,Clemson,31,16,15,0.516,10.26,7.88,,9,11,,11,6,,3,8,,2062,1988,,66.6,95.2,0.287,0.441,0.515,50.7,51.6,9.8,8.3,0.483,17.8,24.5,0.205
52,Cleveland State,32,11,21,0.344,-11.16,-2.45,,7,11,,6,8,,3,13,,2053,2298,,68.9,103.4,0.4,0.381,0.536,50.8,54.9,10.1,11.1,0.494,17.6,33.1,0.288
53,Coastal Carolina,33,16,17,0.485,-0.83,-0.31,,8,12,,9,9,,7,7,,2573,2518,,74,103.2,0.445,0.445,0.544,45.9,56.6,10,7.7,0.498,16.5,27.8,0.322
54,Colgate,34,25,9,0.735,1.47,-5.63,,14,4,,15,2,,9,7,,2588,2315,,68.8,98.6,0.243,0.387,0.514,49,49.9,7.7,8.6,0.494,15.5,26.1,0.159
55,College of Charleston,31,17,14,0.548,0.53,-0.84,,11,7,,10,5,,6,6,,2176,2109,,66.9,101.7,0.317,0.378,0.525,52.6,50.9,7.5,9.6,0.487,15.7,29.2,0.236
56,Colorado,32,21,11,0.656,14.91,8.31,,10,8,,13,3,,4,7,,2268,2057,,68.2,93.6,0.261,0.321,0.5,46.1,46.4,10.6,8.6,0.469,17,23.7,0.186
57,Colorado State,32,20,12,0.625,6.7,3.96,,11,7,,12,4,,5,6,,2417,2307,,69.7,101.9,0.239,0.426,0.541,48,50.9,8.9,7.4,0.516,15.9,23.8,0.173
58,Columbia,30,6,24,0.2,-10.19,-2.5,,1,13,,5,7,,0,16,,1988,2181,,69.6,103.1,0.249,0.391,0.536,52.9,49,8,10.4,0.516,14.4,25,0.168
59,Connecticut,31,19,12,0.613,11.15,5.34,,10,8,,14,3,,3,7,,2258,2078,,69,94.1,0.346,0.298,0.508,48.1,50,9.7,10.1,0.464,19.1,29.4,0.256
60,Coppin State,31,11,20,0.355,-14.36,-8.27,,7,9,,5,5,,6,15,,2109,2298,,74.4,98.9,0.302,0.407,0.515,52.6,58,9,8.6,0.485,17,28.7,0.206
61,Cornell,27,7,20,0.259,-8.37,-1.85,,4,10,,6,6,,1,14,,1818,1912,,66.2,105.5,0.311,0.394,0.548,52.2,54.7,8.4,10.3,0.517,16.3,29,0.222
62,Creighton,31,24,7,0.774,17.24,9.61,,13,5,,17,1,,6,5,,2428,2162,,70,99.3,0.23,0.383,0.505,51.5,51,6.9,9.5,0.48,15.2,29.6,0.161
63,Dartmouth,29,12,17,0.414,-4.17,-3.2,,5,9,,6,6,,5,10,,1894,1872,,66.6,96.1,0.287,0.432,0.508,48.7,50.1,8.9,7.6,0.486,14.9,20.8,0.183
64,Davidson,30,16,14,0.533,8.85,3.62,,10,8,,11,1,,4,9,,2182,2025,,65.4,100.7,0.327,0.37,0.528,49.6,50.3,7.7,9.2,0.494,15.2,24.8,0.232
65,Dayton,31,29,2,0.935,19.17,3.69,,18,0,,17,0,,9,0,,2480,2000,,67.9,93.9,0.309,0.332,0.493,47.5,47.2,7.8,7.9,0.466,16.5,26.6,0.199
66,Delaware,33,22,11,0.667,-1.53,-3.84,,11,7,,10,3,,7,6,,2452,2332,,68.6,102.6,0.293,0.388,0.532,49.6,50.1,9.7,7.2,0.495,15,26.7,0.221
67,Delaware State,32,6,26,0.188,-20.87,-9.54,,4,12,,3,11,,2,13,,2350,2655,,76.3,108,0.429,0.406,0.573,52.7,55.8,10.3,8.8,0.537,16.9,29.7,0.305
68,Denver,31,7,24,0.226,-10.06,-1.99,,3,13,,6,8,,0,14,,2135,2360,,71.6,105.5,0.379,0.434,0.56,51.7,48.6,8.6,6.5,0.517,15.8,24.8,0.287
69,DePaul,32,16,16,0.5,7.63,8.95,,3,15,,11,7,,4,9,,2262,2274,,71.7,98.3,0.352,0.418,0.527,49.7,58,11.1,8.7,0.485,19.2,29.8,0.261
70,Detroit Mercy,31,8,23,0.258,-9.87,-1.9,,6,12,,5,8,,2,14,,2175,2422,,70.6,110.2,0.318,0.392,0.561,50.5,62.2,9,10.4,0.531,14.8,30.5,0.23
71,Drake,34,20,14,0.588,0.43,0.61,,8,10,,14,2,,2,10,,2359,2302,,68,99.1,0.295,0.402,0.531,48.6,48.4,9.6,7.8,0.496,16.1,22.3,0.218
72,Drexel,33,14,19,0.424,-5.38,-2.2,,6,12,,10,5,,1,13,,2254,2323,,67.9,103.3,0.291,0.302,0.534,48.2,45.1,11.3,9.2,0.497,14.5,26.6,0.221
73,Duke,31,25,6,0.806,22.55,8,,15,5,,15,2,,7,4,,2558,2107,,72.9,91.8,0.309,0.267,0.489,46.2,46.8,9.8,9,0.457,17.7,28,0.207
74,Duquesne,30,21,9,0.7,6.77,1.67,,11,7,,10,4,,6,3,,2146,1993,,67.8,96.8,0.292,0.369,0.506,50.2,53,9.2,9.2,0.48,17.4,30.2,0.193
75,East Carolina,31,11,20,0.355,-2.27,1.82,,5,13,,9,7,,1,11,,2111,2238,,70.7,101.3,0.402,0.427,0.533,49.7,56.6,9.8,8.3,0.501,16.4,26.6,0.269
76,East Tennessee State,34,30,4,0.882,7.63,-1.82,,16,2,,16,1,,11,3,,2593,2146,,68.2,92.6,0.323,0.384,0.516,46.6,46,8.8,8.4,0.483,20.4,25.8,0.227
77,Eastern Illinois,32,17,15,0.531,-5.08,-7.41,,9,9,,10,2,,5,11,,2377,2214,,70.9,96.8,0.332,0.331,0.521,49.6,50.8,8.4,7.1,0.481,18.7,28,0.244
78,Eastern Kentucky,33,16,17,0.485,-9.17,-4.46,,12,6,,10,4,,5,10,,2464,2488,,76.2,99,0.356,0.352,0.545,54.8,54.6,9.2,8.7,0.507,20.9,33,0.26
79,Eastern Michigan,32,16,16,0.5,-3.12,0.95,,6,12,,11,4,,3,12,,2078,2050,,68.1,94.1,0.295,0.474,0.52,51.4,64.1,9.4,7.7,0.492,21.4,30.4,0.202
80,Eastern Washington,31,23,8,0.742,2.01,-1.81,,16,4,,13,2,,10,6,,2509,2259,,74.3,97.2,0.319,0.323,0.517,49.1,55,9.6,8.5,0.482,16.9,26.6,0.226
81,Elon,34,13,21,0.382,-7.81,-2.03,,7,11,,8,8,,3,12,,2337,2438,,67.3,106.2,0.41,0.414,0.561,51.8,52.7,8.8,10.2,0.516,15.6,24.8,0.307
82,Evansville,32,9,23,0.281,-7.04,0.61,,0,18,,5,10,,3,10,,2149,2368,,67.9,106.5,0.326,0.295,0.559,53.4,41.4,8,7.9,0.524,15.1,25.7,0.243
83,Fairfield,32,12,20,0.375,-9.65,-4.81,,8,12,,5,8,,6,9,,1857,2012,,63.6,97.3,0.311,0.368,0.518,48.4,51.5,9.4,8.3,0.483,17,26.1,0.222
84,FDU,30,11,19,0.367,-9.94,-5.87,,9,9,,7,5,,4,14,,2167,2236,,69.3,106.7,0.309,0.406,0.547,51.7,56.3,9.5,8.3,0.519,15.8,31.3,0.217
85,Florida,31,19,12,0.613,14.94,9.1,,11,7,,11,4,,4,7,,2228,2047,,66.3,98.8,0.337,0.356,0.519,47.6,48.3,8.2,7,0.479,16.9,27.4,0.246
86,Florida A&M,27,12,15,0.444,-12.17,-6.24,,10,6,,8,0,,4,13,,1824,1984,,70.8,101.5,0.412,0.352,0.548,51.4,49.1,10.5,8.3,0.515,18.9,31.7,0.279
87,Florida Atlantic,32,17,15,0.531,-1.66,-1.25,,8,10,,14,3,,2,12,,2275,2222,,70.2,97.7,0.291,0.38,0.533,49,46.7,9.2,6.5,0.504,18.9,25.5,0.204
88,Florida Gulf Coast,32,10,22,0.313,-10.26,-4.3,,7,9,,6,10,,4,12,,1979,2122,,66.8,98.1,0.301,0.372,0.516,50.8,49,11.1,9.4,0.486,17.5,29.3,0.208
89,Florida International,32,19,13,0.594,0.9,-1,,9,9,,11,3,,6,9,,2455,2319,,73.9,97.7,0.303,0.358,0.512,52.2,48.9,10.4,8.2,0.474,18.7,34.4,0.223
90,Florida State,31,26,5,0.839,17.28,7.64,,16,4,,16,0,,7,5,,2336,2037,,69.7,93.6,0.344,0.402,0.513,48.1,44.5,7.6,7.5,0.47,20.6,30,0.252
91,Fordham,31,9,22,0.29,-3.58,-0.45,,2,16,,6,12,,1,8,,1816,1913,,65.2,93.5,0.331,0.471,0.505,53,61.5,10.3,8.4,0.472,18.5,26.2,0.226
92,Fresno State,30,11,19,0.367,2.08,3.39,,7,11,,7,7,,4,10,,2075,2068,,65.3,103.4,0.29,0.411,0.528,48,51.5,8.6,8.1,0.492,13.8,26.1,0.218
93,Furman,32,25,7,0.781,6.79,-1.55,,15,3,,14,1,,10,5,,2457,2123,,69.3,95,0.253,0.413,0.528,52.2,54.8,9,8.6,0.501,20.4,28.3,0.182
94,Gardner-Webb,32,16,16,0.5,-5.56,-5.83,,11,7,,7,5,,6,10,,2318,2272,,67.7,102.1,0.306,0.423,0.525,50.3,56,8.6,8,0.492,15.6,28.4,0.218
95,George Mason,32,17,15,0.531,0.86,1.48,,5,13,,10,7,,3,8,,2148,2168,,67.4,100.1,0.306,0.381,0.521,47.5,49.9,9.7,9.9,0.496,16.4,27.8,0.203
96,George Washington,32,12,20,0.375,-3.99,0.92,,6,12,,7,9,,3,9,,2086,2243,,66.6,103.7,0.311,0.304,0.53,51.7,45.3,10.4,11.8,0.501,13.8,26.7,0.214
97,Georgetown,32,15,17,0.469,10.38,9.6,,5,13,,10,8,,4,7,,2389,2364,,71.6,103.2,0.266,0.419,0.538,47.9,58.1,10.7,7.5,0.508,16.4,28.6,0.195
98,Georgia,32,16,16,0.5,8.28,8.06,,5,13,,12,5,,3,9,,2428,2418,,72,103.3,0.307,0.347,0.533,48.6,46.4,8.8,8.9,0.509,15.7,29.8,0.203
99,Georgia Southern,33,20,13,0.606,1.69,-0.83,,12,8,,11,4,,8,8,,2494,2332,,73.3,96.4,0.275,0.369,0.52,51.5,50.1,8,6.5,0.49,18.9,29.1,0.196
100,Georgia State,32,19,13,0.594,3.09,0.13,,12,8,,12,3,,6,10,,2499,2311,,74,96.8,0.454,0.355,0.509,50.3,50.5,8.5,9.5,0.454,18.3,32.4,0.329
101,Georgia Tech,31,17,14,0.548,10.49,9.19,,11,9,,10,6,,6,7,,2126,2059,,70.7,93.2,0.354,0.328,0.49,48.3,51.7,10.9,9.2,0.446,16.9,28.5,0.252
102,Gonzaga,33,31,2,0.939,22.7,3.13,,15,1,,17,0,,10,1,,2885,2239,,72.5,93.2,0.218,0.341,0.5,43.4,43.4,8.3,6.9,0.476,16.5,22.7,0.152
103,Grambling,32,17,15,0.531,-12.39,-9.79,,11,7,,11,2,,6,12,,2280,2188,,71.8,95.2,0.358,0.386,0.51,48.1,58.6,9.3,7.1,0.475,18.2,27.6,0.244
104,Grand Canyon,30,13,17,0.433,-6.32,-4.05,,8,8,,8,8,,4,6,,2116,2191,,67.8,106.8,0.295,0.405,0.544,51.8,55.1,7.9,6.7,0.513,14.2,28.2,0.215
105,Green Bay,33,17,16,0.515,-4.8,-2.8,,11,7,,10,5,,7,10,,2694,2643,,75.3,105.2,0.32,0.399,0.546,51.5,51.6,7.5,6,0.509,16.5,30.8,0.24
106,Hampton,34,15,19,0.441,-12.02,-5.8,,8,10,,11,5,,3,13,,2635,2693,,71.9,109.3,0.375,0.385,0.547,50.5,53.9,7.6,7.3,0.514,13.6,30,0.26
107,Hartford,33,18,15,0.545,-6.79,-6.02,,9,7,,9,8,,9,7,,2201,2203,,69.2,96.1,0.297,0.385,0.496,53,52.9,9.6,9.1,0.462,16.5,30.6,0.207
108,Harvard,29,21,8,0.724,3.06,-1.55,,10,4,,11,1,,9,4,,2114,1928,,68.9,94.9,0.313,0.352,0.501,46.6,44.1,10,6.9,0.467,16.3,25,0.217
109,Hawaii,30,17,13,0.567,-1.27,-2.1,,8,8,,14,6,,3,7,,2057,2016,,68.9,97.2,0.318,0.267,0.521,49.9,38,8.9,8.9,0.485,17.1,26.4,0.23
110,High Point,32,9,23,0.281,-16.31,-5.34,,6,12,,6,9,,3,14,,2110,2396,,67.7,109.8,0.357,0.463,0.576,48.7,60.6,10.2,10.1,0.552,16,28.2,0.243
111,Hofstra,34,26,8,0.765,3.06,-3.85,,14,4,,10,4,,11,4,,2596,2326,,68.9,99.3,0.21,0.364,0.524,49.2,54.8,8.5,6.9,0.5,17.3,29.1,0.152
112,Holy Cross,32,3,29,0.094,-18.07,-4.26,,2,16,,2,12,,0,16,,2106,2537,,68.9,113.8,0.316,0.336,0.579,52.4,47.8,10.5,8.8,0.556,13.5,28.5,0.221
113,Houston,31,23,8,0.742,16.46,6.3,,13,5,,14,2,,6,6,,2241,1926,,66.8,92.7,0.416,0.395,0.487,43.5,54.1,7.7,5.7,0.439,16.1,25.3,0.288
114,Houston Christian,29,4,25,0.138,-17.41,-3.62,,4,16,,2,9,,2,15,,2323,2723,,78,119.9,0.367,0.336,0.611,50.6,56.6,11,11,0.581,14.6,32.1,0.272
115,Howard,33,4,29,0.121,-21.88,-7.98,,1,15,,2,13,,1,14,,2306,2682,,71.9,111.7,0.35,0.369,0.559,55,61.6,8.6,7,0.533,15.9,36.5,0.239
116,Idaho,32,8,24,0.25,-12.07,-2.1,,4,16,,5,10,,2,12,,2086,2329,,69.3,104.7,0.281,0.388,0.54,50.3,52.7,10,7.1,0.515,14.2,26,0.193
117,Idaho State,30,8,22,0.267,-8.62,-1.62,,4,16,,4,9,,3,13,,2093,2198,,67.7,106.9,0.258,0.273,0.556,49.4,41.4,8.8,8.6,0.527,14.7,27.2,0.195
118,Illinois,31,21,10,0.677,15.27,9.84,,13,7,,15,3,,6,6,,2239,2024,,67.5,96.3,0.233,0.33,0.499,44.7,46.3,8.5,7.9,0.47,15,25.5,0.169
119,Illinois State,31,10,21,0.323,-2.7,1.97,,5,13,,9,6,,1,11,,2050,2171,,68.4,102,0.309,0.393,0.543,51.1,53.3,9.7,8.1,0.511,17.3,27.2,0.224
120,Illinois-Chicago,35,18,17,0.514,-3.74,-3.8,,10,8,,11,7,,5,9,,2412,2407,,70.5,97.2,0.367,0.387,0.497,48.7,56.5,9.6,7.8,0.461,15.3,28.1,0.246
121,Incarnate Word,31,9,22,0.29,-18.57,-6.85,,6,14,,7,9,,2,13,,2050,2292,,69.2,105.1,0.338,0.35,0.554,52.9,58.6,9.4,10.1,0.515,17.8,32.5,0.255
122,Indiana,32,20,12,0.625,15.07,10.35,,9,11,,15,4,,2,8,,2286,2135,,68.7,96.8,0.326,0.386,0.511,46,51.3,9,8.3,0.479,15.8,24.5,0.222
123,Indiana State,30,18,12,0.6,3.22,1.81,,11,7,,12,1,,4,8,,2052,2004,,66.2,100.5,0.326,0.368,0.536,50.8,52.1,7.7,7.7,0.506,17,25.4,0.227
124,Iona,29,12,17,0.414,-6.23,-5.37,,9,11,,5,6,,4,9,,2030,2055,,68.6,102,0.342,0.392,0.52,51.5,58.4,9.8,9.1,0.494,16,31.7,0.222
125,Iowa,31,20,11,0.645,16.07,10.62,,11,9,,14,2,,4,7,,2410,2241,,70.6,102.5,0.268,0.4,0.525,48.5,58.8,8.8,9.9,0.494,15.2,29.5,0.194
126,Iowa State,32,12,20,0.375,9.1,10.07,,5,13,,11,6,,0,11,,2304,2335,,70.4,103.2,0.28,0.368,0.543,51.1,49.5,10.2,7.9,0.518,17.8,31.6,0.194
127,IU Indy,32,7,25,0.219,-14.89,-3.39,,3,15,,4,9,,3,14,,2256,2564,,71.9,110.6,0.283,0.388,0.561,52.3,54.9,9.8,10.5,0.535,15.1,32.4,0.204
128,Jackson State,32,15,17,0.469,-10.91,-8.61,,11,7,,9,3,,6,14,,2153,2157,,71.1,94.8,0.423,0.326,0.528,52.1,51,8.2,7.7,0.484,20.3,28.1,0.299
129,Jacksonville,32,14,18,0.438,-6.5,-5.63,,7,9,,6,7,,7,9,,2139,2133,,67.6,97.4,0.281,0.389,0.497,47.5,44.4,9.8,8.6,0.463,13.8,25.6,0.201
130,Jacksonville State,32,13,19,0.406,-8.29,-6.36,,8,10,,8,6,,4,11,,2294,2218,,70,98.7,0.285,0.381,0.539,47.2,53.5,9.3,8.2,0.514,18,24.8,0.197
131,James Madison,30,9,21,0.3,-9.23,-2.78,,2,16,,6,9,,3,11,,2157,2296,,72.1,106.1,0.285,0.418,0.546,50.3,52.4,8,9.6,0.517,14.3,26,0.208
132,Kansas,31,28,3,0.903,24.96,11.63,,17,1,,14,1,,11,1,,2312,1882,,67.9,89,0.233,0.413,0.467,45.3,52.8,9.4,9.4,0.44,16.8,26.3,0.157
133,Kansas City,30,16,14,0.533,-6.07,-3.62,,8,7,,9,4,,5,8,,2094,1976,,66.7,96.8,0.458,0.337,0.535,51.8,49.8,8.5,11.7,0.478,19.8,28.2,0.347
134,Kansas State,32,11,21,0.344,8.7,9.48,,3,15,,9,7,,1,10,,2054,2079,,67.2,96.3,0.388,0.401,0.533,51.1,52.9,11.2,12.1,0.496,21.2,30.2,0.272
135,Kennesaw State,29,1,28,0.034,-22.6,-2.63,,0,16,,1,10,,0,16,,1602,2181,,68.1,110.4,0.304,0.377,0.571,54.1,52,9.4,10.6,0.553,16,31.2,0.201
136,Kent State,32,20,12,0.625,3.68,-0.72,,9,9,,14,3,,5,7,,2442,2241,,70.1,98.4,0.331,0.372,0.515,49.3,51.9,7.4,5.9,0.477,17.2,29.9,0.239
