,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,31,20,11,0.645,-2.87,-6.87,,15,5,,13,3,,7,8,,2352,2024,,71.1,90.4,0.471,0.335,0.535,49.9,44.5,9.4,10,0.482,24.6,27.8,0.346
2,Air Force,32,12,20,0.375,-0.37,3.02,,5,13,,8,7,,3,9,,2338,2386,,68.9,108.2,0.293,0.488,0.579,50,55.1,9.1,8.6,0.555,15.1,22.4,0.208
3,Akron,31,24,7,0.774,7.15,-0.4,,14,4,,15,2,,8,4,,2348,2062,,70.6,94.2,0.286,0.337,0.481,49.3,42.2,8.5,8.6,0.451,16.1,29.1,0.191
4,Alabama,31,16,15,0.516,11.12,8.12,,8,10,,10,5,,4,8,,2542,2449,,76.1,102.2,0.359,0.347,0.523,50.3,43.4,11,12.4,0.479,15.7,30.8,0.266
5,Alabama A&M,30,8,22,0.267,-18.88,-8.85,,5,13,,6,5,,2,16,,1845,2146,,69.6,102.3,0.352,0.349,0.539,52.5,51.3,9.4,11.1,0.513,16.1,26.9,0.233
6,Alabama State,32,8,24,0.25,-16.15,-6.53,,7,11,,4,5,,2,16,,1965,2273,,70.8,100.3,0.383,0.344,0.54,52.9,50.2,10.5,10.7,0.513,17.9,29.6,0.251
7,Albany (NY),32,14,18,0.438,-8.78,-5.91,,7,9,,7,7,,5,11,,2127,2190,,69.7,97.8,0.279,0.39,0.515,50.2,54.6,11,11,0.487,16.1,25.5,0.193
8,Alcorn State,30,15,15,0.5,-14.64,-9.64,,11,7,,11,2,,4,13,,2251,2196,,72.6,100,0.357,0.342,0.53,48.7,52.8,10.1,8.1,0.506,16.6,27.4,0.229
9,American,30,16,14,0.533,-4.37,-6.5,,12,6,,10,4,,6,10,,2149,2085,,69,100.3,0.367,0.315,0.532,51.5,47.8,8.6,8.4,0.497,17.3,29.4,0.256
10,Appalachian State,33,18,15,0.545,-0.81,-0.01,,11,9,,10,5,,7,9,,2256,2222,,68.6,97.8,0.262,0.396,0.524,50.3,55,9.9,7.8,0.495,18.3,28,0.188
11,Arizona,32,21,11,0.656,19.49,8.4,,10,8,,13,4,,4,6,,2445,2090,,70.3,92.2,0.352,0.377,0.498,47.5,51.3,6.8,8,0.453,18.1,25.9,0.258
12,Arizona State,31,20,11,0.645,11.46,8.1,,11,7,,13,3,,6,5,,2288,2184,,73.7,95.6,0.342,0.382,0.523,51.5,50.5,8.9,9.9,0.491,19.6,28.4,0.233
13,Arkansas,32,20,12,0.625,13.46,7.27,,7,11,,14,4,,4,8,,2426,2228,,71.4,96,0.409,0.333,0.516,54.8,41.9,6.9,8.7,0.473,19.2,31.3,0.287
14,Arkansas State,32,16,16,0.5,-2.92,-0.72,,8,12,,10,7,,6,9,,2262,2301,,68.5,104.2,0.415,0.351,0.557,50.7,55.5,8.7,5.7,0.517,17.9,28.9,0.301
15,Arkansas-Pine Bluff,30,4,26,0.133,-21.65,-6.41,,3,15,,2,8,,2,18,,1615,2049,,67.6,100.6,0.472,0.373,0.531,51.1,56.8,14.2,7.2,0.49,18,30.2,0.32
16,Army,30,15,15,0.5,-9.1,-6.68,,10,8,,9,6,,6,9,,2128,2161,,69.7,102.5,0.239,0.416,0.533,51.4,51.3,9,9.2,0.513,14.9,25,0.16
17,Auburn,31,25,6,0.806,15.04,7.39,,12,6,,16,1,,5,5,,2419,2182,,70.4,97.6,0.339,0.363,0.511,46.3,45.6,9.3,9.3,0.471,16.4,27.4,0.243
18,Austin Peay,33,21,12,0.636,-0.98,-4.14,,14,4,,14,0,,5,10,,2519,2359,,69.9,101.9,0.323,0.34,0.556,47.9,52,8.7,6.2,0.529,18.8,27.5,0.223
19,Ball State,31,18,13,0.581,4.12,-1.65,,11,7,,11,4,,5,7,,2155,1938,,69.4,90.1,0.281,0.336,0.484,49,43.1,9.2,9,0.452,17.4,24.5,0.193
20,Baylor,30,26,4,0.867,20.13,9.13,,15,3,,14,1,,8,2,,2134,1804,,66.6,89.9,0.308,0.35,0.486,47.5,52.7,8.7,13,0.452,19.7,29.9,0.211
21,Belmont,33,26,7,0.788,4.3,-6.23,,15,3,,13,1,,11,5,,2627,2241,,72.8,93.3,0.243,0.346,0.494,49.5,47,8,8.3,0.473,17.3,26.3,0.156
22,Bethune-Cookman,30,16,14,0.533,-10.16,-8.98,,10,6,,10,1,,4,13,,2239,2167,,75,95.2,0.387,0.346,0.505,49.5,50.2,9.4,7.2,0.471,18,29.7,0.254
23,Binghamton,29,10,19,0.345,-15.03,-4.62,,4,12,,7,7,,3,12,,2014,2221,,69.4,109.8,0.29,0.382,0.539,52.9,51,9,9.1,0.519,12.2,31,0.19
24,Boise State,32,20,12,0.625,8.59,4.39,,11,7,,13,2,,4,8,,2430,2223,,70,97.4,0.294,0.39,0.536,48.5,44.8,8.4,6.9,0.506,17.6,22.1,0.211
25,Boston College,32,13,19,0.406,1.82,7.86,,7,13,,8,10,,4,8,,2067,2260,,69.6,101.1,0.299,0.372,0.536,53.6,52.4,9.7,9.3,0.505,18,30.7,0.214
26,Boston University,34,21,13,0.618,-1.87,-5.3,,12,6,,12,3,,9,8,,2410,2269,,66.8,98.8,0.263,0.355,0.518,47.9,45.5,9.5,7,0.495,15.3,24.6,0.177
27,Bowling Green State,31,21,10,0.677,0.47,0.2,,12,6,,13,2,,5,5,,2310,2259,,71.6,100.9,0.327,0.383,0.515,48.9,39.9,7.9,7.7,0.483,14.3,26.1,0.224
28,Bradley,34,23,11,0.676,5.33,0.33,,11,7,,15,2,,4,8,,2438,2240,,67.3,97.1,0.305,0.433,0.504,46.5,52.3,8.5,7.3,0.463,15.7,25.4,0.229
29,Brigham Young,32,24,8,0.75,16.93,6.45,,13,3,,14,1,,6,5,,2548,2188,,69.7,96.9,0.276,0.335,0.518,50.4,46.4,8.9,6.9,0.49,16.3,23.8,0.191
30,Brown,27,15,12,0.556,-4.45,-1.72,,8,6,,10,4,,5,8,,1809,1854,,70.2,97.8,0.289,0.364,0.522,47.9,48.1,11.1,11.3,0.49,17.5,26.4,0.208
31,Bryant,32,15,17,0.469,-6.7,-6.67,,7,11,,9,5,,6,12,,2271,2223,,70.7,97.9,0.302,0.364,0.501,48,50.3,9.2,10,0.47,14.8,27.9,0.205
32,Bucknell,34,14,20,0.412,-7.73,-4.32,,8,10,,9,4,,4,14,,2299,2415,,69.9,101.6,0.383,0.332,0.548,52.1,49.4,9.8,9.5,0.515,17.6,26.4,0.265
33,Buffalo,32,20,12,0.625,1.8,0.06,,11,7,,10,7,,7,4,,2516,2425,,74.7,100.7,0.301,0.343,0.524,47.5,46.9,8.9,9.1,0.489,16.7,28.8,0.22
34,Butler,31,22,9,0.71,15.56,9.14,,10,8,,14,3,,5,6,,2125,1926,,64.6,95.8,0.309,0.379,0.496,46.7,52.2,8.7,9,0.458,15.6,25.4,0.222
