Conference,Dates,Champ,Runner-up
American Athletic Conference,"Mar 11, 2021 - Mar 14, 2021",Houston,Cincinnati
Atlantic Coast Conference,"Mar 09, 2021 - Mar 13, 2021",Ga Tech,Florida St.
America East Conference,"Feb 27, 2021 - Mar 13, 2021",Hartford,Mass.-Lowell
Atlantic 10 Conference,"Mar 03, 2021 - Mar 14, 2021",St. Bonaventure,VCU
Atlantic Sun Conference,"Mar 04, 2021 - Mar 07, 2021",Liberty,North Ala.
Big 12 Conference,"Mar 10, 2021 - Mar 13, 2021",Texas,Oklahoma St.
Big East Conference,"Mar 10, 2021 - Mar 13, 2021",Georgetown,Creighton
Big Sky Conference,"Mar 10, 2021 - Mar 13, 2021",Eastern Wash.,Montana St.
Big South Conference,"Feb 27, 2021 - Mar 07, 2021",Winthrop,Campbell
Big Ten Conference,"Mar 10, 2021 - Mar 14, 2021",Illinois,Ohio St.
Big West Conference,"Mar 09, 2021 - Mar 13, 2021",UC-Santa Barbara,UC-Irvine
Colonial Athletic Association,"Mar 06, 2021 - Mar 09, 2021",Drexel,Elon
Conference USA,"Mar 09, 2021 - Mar 13, 2021",North Texas,Western Ky.
Horizon League,"Feb 25, 2021 - Mar 09, 2021",Cleveland St.,Oakland
Metro Atlantic Athletic Conference,"Mar 08, 2021 - Mar 13, 2021",Iona,Fairfield
Mid-American Conference,"Mar 11, 2021 - Mar 13, 2021",Ohio,Buffalo
Mid-Eastern Athletic Conference,"Mar 11, 2021 - Mar 13, 2021",Norfolk St.,Morgan St.
Missouri Valley Conference,"Mar 04, 2021 - Mar 07, 2021",Loyola (IL),Drake
Mountain West Conference,"Mar 10, 2021 - Mar 13, 2021",San Diego St.,Utah St.
Northeast Conference,"Mar 06, 2021 - Mar 09, 2021",Mt. St. Mary's,Bryant
Ohio Valley Conference,"Mar 03, 2021 - Mar 06, 2021",Morehead St.,Belmont
Pac-12 Conference,"Mar 10, 2021 - Mar 13, 2021",Oregon St.,Colorado
Patriot League,"Mar 03, 2021 - Mar 14, 2021",Colgate,Loyola (MD)
Southeastern Conference,"Mar 10, 2021 - Mar 14, 2021",Alabama,LSU
Southern Conference,"Mar 05, 2021 - Mar 08, 2021",UNC Greensboro,Mercer
Southland Conference,"Mar 09, 2021 - Mar 13, 2021",Abilene Christ.,Nicholls St.
Summit League,"Mar 06, 2021 - Mar 09, 2021",Oral Roberts,North Dakota St.
Sun Belt Conference,"Mar 05, 2021 - Mar 08, 2021",App. St.,Georgia St.
Southwest Athletic Conference,"Mar 10, 2021 - Mar 13, 2021",Texas Southern,Prairie View
Western Athletic Conference,"Mar 11, 2021 - Mar 13, 2021",Grand Canyon,New Mexico St.
West Coast Conference,"Mar 04, 2021 - Mar 09, 2021",Gonzaga,BYU
