,,,,2012-13 Season,,,,,,,Career at Current School,,,,,,,,,Career Overall,,,,,,
Coach,School,Conference,,W,L,W-L%,AP Pre,AP Post,NCAA Tournament,,Since,W,L,W-L%,NCAA,S16,FF,Chmp,,W,L,W-L%,NCAA,S16,FF,Chmp
Casey Alexander,Stetson,A-Sun,,15,16,0.484,,,,,2011-12,24,36,0.4,,,,,,24,36,0.4,,,,
Cy Alexander,North Carolina A&T,MEAC,,20,17,0.541,,,Lost Second Round,,2012-13,20,17,0.541,1,,,,,363,323,0.529,6,,,
Steve Alford,New Mexico,MWC,,29,6,0.829,,10,Lost Second Round,,2007-08,155,52,0.749,3,,,,,385,206,0.651,7,1,,
Frankie Allen,Maryland-Eastern Shore,MEAC,,2,26,0.071,,,,,2008-09,36,115,0.238,,,,,,259,409,0.388,2,,,
Jerome Allen,Penn,Ivy,,9,22,0.29,,,,,2009-10,48,65,0.425,,,,,,48,65,0.425,,,,
Dana Altman,Oregon,Pac-12,,28,9,0.757,,25,Lost Regional Semifinal,,2010-11,73,37,0.664,1,1,,,,483,280,0.633,9,1,,
Tommy Amaker,Harvard,Ivy,,20,10,0.667,,,Lost Third Round,,2007-08,112,66,0.629,2,,,,,288,205,0.584,3,1,,
Mike Anderson Sr,Arkansas,SEC,,19,13,0.594,,,,,2011-12,37,27,0.578,,,,,,237,125,0.655,6,2,,
Tevester Anderson,Jackson State,SWAC,,11,18,0.379,,,,,2003-04,149,170,0.467,1,,,,,252,222,0.532,3,,,
Gib Arnold,Hawaii,Big West,,17,15,0.531,,,,,2010-11,52,44,0.542,,,,,,52,44,0.542,,,,
Ronnie Arrow,South Alabama,Sun Belt,,5,5,0.5,,,,,1987-88,211,161,0.567,3,,,,,306,210,0.593,4,,,
Kevin Baggett,Rider,MAAC,,19,15,0.559,,,,,2012-13,19,15,0.559,,,,,,19,15,0.559,,,,
Roman Banks,Southern,SWAC,,23,10,0.697,,,Lost Second Round,,2011-12,40,24,0.625,1,,,,,40,24,0.625,1,,,
Tony Barbee,Auburn,SEC,,9,23,0.281,,,,,2010-11,35,59,0.372,,,,,,117,111,0.513,1,,,
Rick Barnes,Texas,Big 12,,16,18,0.471,,,,,1998-99,358,155,0.698,14,5,1,,,560,289,0.66,20,6,1,
Rod Barnes,Cal State Bakersfield,Ind,,14,16,0.467,,,,,2011-12,30,31,0.492,,,,,,216,220,0.495,3,1,,
Jim Baron,Canisius,MAAC,,20,14,0.588,,,,,2012-13,20,14,0.588,,,,,,409,383,0.516,2,,,
Murry Bartow,ETSU,A-Sun,,10,22,0.312,,,,,2003-04,189,135,0.583,3,,,,,292,218,0.573,4,,,
Duggar Baucom,VMI,Big South,,14,17,0.452,,,,,2005-06,118,127,0.482,,,,,,118,127,0.482,,,,
John Becker,Vermont,AEC,,21,12,0.636,,,,,2011-12,45,24,0.652,1,,,,,45,24,0.652,1,,,
John Beilein,Michigan,Big Ten,,31,8,0.795,5,10,Lost National Final,,2007-08,122,85,0.589,4,1,1,,,415,260,0.615,8,3,1,
Tony Benford,North Texas,Sun Belt,,12,20,0.375,,,,,2012-13,12,20,0.375,,,,,,12,20,0.375,,,,
Randy Bennett,Saint Mary's,WCC,,28,7,0.8,,,Lost Second Round,,2001-02,263,125,0.678,5,1,,,,263,125,0.678,5,1,,
Tony Bennett,Virginia,ACC,,23,12,0.657,,,,,2009-10,76,53,0.589,1,,,,,145,86,0.628,3,1,,
Dave Bezold,Northern Kentucky,A-Sun,,11,16,0.407,,,,,2012-13,11,16,0.407,,,,,,11,16,0.407,,,,
Eddie Biedenbach,UNC Asheville,Big South,,16,16,0.5,,,,,1996-97,256,258,0.498,3,,,,,285,309,0.48,3,,,
Dave Bike,Sacred Heart,NEC,,9,20,0.31,,,,,1999-00,154,255,0.377,,,,,,154,255,0.377,,,,
Jim Boeheim *,Syracuse,Big East,,30,10,0.75,9,16,Lost National Semifinal,,1976-77,920,314,0.746,30,17,4,1,,920,314,0.746,30,17,4,1
Ken Bone,Washington State,Pac-12,,13,19,0.406,,,,,2009-10,70,65,0.519,,,,,,147,114,0.563,2,,,
David Boots,South Dakota,Summit,,10,20,0.333,,,,,2009-10,60,63,0.488,,,,,,60,63,0.488,,,,
