Conference,Dates,Champ,Runner-up
American Athletic Conference,"Mar 09, 2023 - Mar 12, 2023",Memphis,Houston
Atlantic Coast Conference,"Mar 07, 2023 - Mar 11, 2023",Duke,UVa
America East Conference,"Mar 04, 2023 - Mar 11, 2023",Vermont,Mass.-Lowell
Atlantic 10 Conference,"Mar 07, 2023 - Mar 12, 2023",VCU,Dayton
Atlantic Sun Conference,"Feb 27, 2023 - Mar 05, 2023",Kennesaw St.,Liberty
Big 12 Conference,"Mar 08, 2023 - Mar 11, 2023",Texas,Kansas
Big East Conference,"Mar 08, 2023 - Mar 11, 2023",Marquette,Xavier
Big Sky Conference,"Mar 04, 2023 - Mar 08, 2023",Montana St.,Northern Ariz.
Big South Conference,"Mar 01, 2023 - Mar 05, 2023",UNC Asheville,Campbell
Big Ten Conference,"Mar 08, 2023 - Mar 12, 2023",Purdue,Penn St.
Big West Conference,"Mar 07, 2023 - Mar 11, 2023",UC-Santa Barbara,Cal St Fullerton
Colonial Athletic Association,"Mar 03, 2023 - Mar 07, 2023",Charleston,UNC Wilm.
Conference USA,"Mar 08, 2023 - Mar 11, 2023",Fla. Atlantic,UAB
Horizon League,"Feb 28, 2023 - Mar 07, 2023",Northern Ky.,Cleveland St.
Ivy League,"Mar 11, 2023 - Mar 12, 2023",Princeton,Yale
Metro Atlantic Athletic Conference,"Mar 07, 2023 - Mar 11, 2023",Iona,Marist
Mid-American Conference,"Mar 09, 2023 - Mar 11, 2023",Kent St.,Toledo
Mid-Eastern Athletic Conference,"Mar 08, 2023 - Mar 11, 2023",Howard,Norfolk St.
Missouri Valley Conference,"Mar 02, 2023 - Mar 05, 2023",Drake,Bradley
Mountain West Conference,"Mar 08, 2023 - Mar 11, 2023",San Diego St.,Utah St.
Northeast Conference,"Mar 01, 2023 - Mar 07, 2023",Merrimack,FDU
Ohio Valley Conference,"Mar 01, 2023 - Mar 04, 2023",SE Missouri St,Tennessee Tech
Pac-12 Conference,"Mar 08, 2023 - Mar 11, 2023",Arizona,UCLA
Patriot League,"Feb 28, 2023 - Mar 08, 2023",Colgate,Lafayette
Southeastern Conference,"Mar 08, 2023 - Mar 12, 2023",Alabama,Texas A&M
Southern Conference,-,Furman,
Southland Conference,"Mar 05, 2023 - Mar 08, 2023",Tx AM-CC,NW St.
Summit League,"Mar 03, 2023 - Mar 07, 2023",Oral Roberts,North Dakota St.
Sun Belt Conference,"Feb 28, 2023 - Mar 06, 2023",Louis.,South Ala.
Southwest Athletic Conference,"Mar 08, 2023 - Mar 11, 2023",Texas Southern,Grambling
Western Athletic Conference,"Mar 07, 2023 - Mar 11, 2023",Grand Canyon,Southern Utah
West Coast Conference,"Mar 02, 2023 - Mar 07, 2023",Gonzaga,St. Mary's
