Conference,Dates,Champ,Runner-up
American Athletic Conference,"Mar 12, 2015 - Mar 15, 2015",SMU,Connecticut
Atlantic Coast Conference,"Mar 10, 2015 - Mar 14, 2015",Notre Dame,UNC
America East Conference,"Mar 04, 2015 - Mar 14, 2015",Albany (NY),Stony Brook
Atlantic 10 Conference,"Mar 11, 2015 - Mar 15, 2015",VCU,Dayton
Atlantic Sun Conference,"Mar 03, 2015 - Mar 08, 2015",North Florida,S.C. Upstate
Big 12 Conference,"Mar 11, 2015 - Mar 14, 2015",Iowa St.,Kansas
Big East Conference,"Mar 11, 2015 - Mar 14, 2015",Villanova,Xavier
Big Sky Conference,"Mar 12, 2015 - Mar 14, 2015",Eastern Wash.,Montana
Big South Conference,"Mar 04, 2015 - Mar 08, 2015",Coastal Caro.,Winthrop
Big Ten Conference,"Mar 11, 2015 - Mar 15, 2015",Wisconsin,Michigan St.
Big West Conference,"Mar 12, 2015 - Mar 14, 2015",UC-Irvine,Hawaii
Colonial Athletic Association,"Mar 06, 2015 - Mar 09, 2015",Northeastern,William & Mary
Conference USA,"Mar 11, 2015 - Mar 14, 2015",UAB,Middle Tenn.
Horizon League,"Mar 03, 2015 - Mar 10, 2015",Valparaiso,Green Bay
Metro Atlantic Athletic Conference,"Mar 05, 2015 - Mar 09, 2015",Manhattan,Iona
Mid-American Conference,"Mar 09, 2015 - Mar 14, 2015",Buffalo,Central Mich.
Mid-Eastern Athletic Conference,"Mar 09, 2015 - Mar 14, 2015",Hampton,Delaware St.
Missouri Valley Conference,"Mar 05, 2015 - Mar 08, 2015",UNI,Illinois St.
Mountain West Conference,"Mar 11, 2015 - Mar 14, 2015",Wyoming,San Diego St.
Northeast Conference,"Mar 04, 2015 - Mar 10, 2015",Robert Morris,St. Francis (NY)
Ohio Valley Conference,"Mar 04, 2015 - Mar 07, 2015",Belmont,Murray St.
Pac-12 Conference,"Mar 11, 2015 - Mar 14, 2015",Arizona,Oregon
Patriot League,"Mar 03, 2015 - Mar 11, 2015",Lafayette,American
Southeastern Conference,"Mar 11, 2015 - Mar 15, 2015",Kentucky,Arkansas
Southern Conference,"Mar 06, 2015 - Mar 09, 2015",Wofford,Furman
Southland Conference,"Mar 11, 2015 - Mar 14, 2015",Stephen F. Austin,Sam Houston
Summit League,"Mar 07, 2015 - Mar 10, 2015",North Dakota St.,S Dakota St.
Sun Belt Conference,"Mar 12, 2015 - Mar 15, 2015",Georgia St.,Ga. Southern
Southwest Athletic Conference,"Mar 10, 2015 - Mar 14, 2015",Texas Southern,Southern U.
Western Athletic Conference,"Mar 12, 2015 - Mar 14, 2015",New Mexico St.,Seattle
West Coast Conference,"Mar 06, 2015 - Mar 10, 2015",Gonzaga,BYU
