,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent,,,,,,,,,,,,,,,,
58,Coppin State,32,8,24,0.25,-12.64,-4.19,,5,11,,4,7,,4,15,,2035,2277,,1300,813,1827,0.445,197,671,0.294,454,686,0.662,437,1335,471,236,142,528,588
59,Cornell,31,13,18,0.419,-7.25,-2.35,,5,9,,4,10,,7,8,,2040,2168,,1240,752,1636,0.46,233,594,0.392,431,599,0.72,267,1041,442,200,126,431,480
60,Creighton NCAA,36,28,8,0.778,16.43,5.15,,13,5,,15,2,,7,5,,2680,2274,,1440,845,2074,0.407,215,689,0.312,369,542,0.681,359,1099,432,238,89,377,644
61,Dartmouth,28,9,19,0.321,-9.2,-3.16,,5,9,,6,7,,3,12,,1719,1844,,1125,622,1408,0.442,166,470,0.353,434,584,0.743,271,938,336,183,110,384,491
62,Davidson NCAA,34,26,8,0.765,7.3,-3.43,,17,1,,12,1,,9,4,,2490,2110,,1365,739,1805,0.409,155,477,0.325,477,665,0.717,328,1078,303,187,98,414,646
63,Dayton,31,17,14,0.548,9.37,4.28,,7,9,,13,4,,2,8,,2225,2067,,1250,719,1655,0.434,192,544,0.353,437,620,0.705,314,943,431,183,122,436,591
64,Delaware,33,19,14,0.576,-0.76,-0.79,,13,5,,9,4,,8,7,,2276,2275,,1340,811,1972,0.411,211,614,0.344,442,650,0.68,406,1177,417,229,103,355,640
65,Delaware State,33,15,18,0.455,-11.18,-5.89,,8,8,,8,3,,5,12,,1997,2094,,1345,771,1772,0.435,166,509,0.326,386,568,0.68,400,1142,442,226,108,454,538
66,Denver,32,22,10,0.688,9.18,0.24,,16,2,,14,2,,8,7,,2076,1790,,1285,623,1441,0.432,117,353,0.331,427,591,0.723,312,994,276,154,75,503,473
67,DePaul,32,11,21,0.344,1.71,5.61,,2,16,,7,10,,4,8,,2284,2409,,1295,881,1879,0.469,175,479,0.365,472,681,0.693,395,1220,469,260,146,498,553
68,Detroit Mercy,33,20,13,0.606,6.72,1.62,,12,4,,13,2,,7,10,,2568,2340,,1320,833,1793,0.465,225,605,0.372,449,632,0.71,321,1111,431,173,125,541,576
69,Drake,32,15,17,0.469,3.42,5.13,,7,11,,9,6,,4,7,,2296,2319,,1295,791,1772,0.446,221,630,0.351,516,686,0.752,305,1096,446,244,104,417,588
70,Drexel,31,13,18,0.419,-1.06,-0.96,,9,9,,5,9,,7,6,,1953,1956,,1265,659,1519,0.434,161,471,0.342,477,660,0.723,248,944,317,177,106,365,523
71,Duke NCAA,36,30,6,0.833,21.46,9.57,,14,4,,16,0,,5,4,,2778,2350,,1440,852,2049,0.416,160,551,0.29,486,671,0.724,415,1249,341,179,110,502,703
72,Duquesne,30,8,22,0.267,-4.52,3.51,,1,15,,6,9,,2,12,,2028,2269,,1210,815,1813,0.45,237,625,0.379,402,595,0.676,362,1139,479,216,116,364,519
73,East Carolina,35,23,12,0.657,2.57,0.82,,9,7,,17,4,,6,7,,2679,2484,,1415,922,2142,0.43,189,577,0.328,451,674,0.669,467,1316,541,223,117,475,659
74,East Tennessee State,32,10,22,0.313,-11.53,-2.11,,8,10,,5,8,,5,11,,1994,2284,,1285,807,1761,0.458,279,759,0.368,391,571,0.685,362,1176,528,231,110,454,530
75,Eastern Illinois,32,11,21,0.344,-8.92,-5.08,,6,10,,5,9,,4,11,,1933,2055,,1285,707,1532,0.461,241,619,0.389,400,580,0.69,278,969,434,196,125,421,516
76,Eastern Kentucky,35,25,10,0.714,1.7,-3.88,,12,4,,15,1,,9,8,,2586,2303,,1410,784,1732,0.453,185,590,0.314,550,752,0.731,390,1164,462,224,112,613,602
77,Eastern Michigan,34,16,18,0.471,-6.25,-1.25,,7,9,,13,5,,2,12,,1926,2011,,1365,688,1735,0.397,229,765,0.299,406,620,0.655,425,1173,501,256,82,486,548
78,Eastern Washington,31,10,21,0.323,-10.87,-5.58,,7,13,,7,7,,2,13,,2146,2310,,1260,818,1901,0.43,191,544,0.351,483,688,0.702,420,1242,501,226,122,341,547
79,Elon,33,21,12,0.636,-3.55,-5.16,,13,5,,12,3,,8,8,,2273,2144,,1335,745,1825,0.408,202,555,0.364,452,653,0.692,346,1186,364,214,72,441,575
80,Evansville,36,21,15,0.583,5.26,2.91,,10,8,,15,3,,5,11,,2490,2374,,1455,848,1895,0.447,220,628,0.35,458,667,0.687,343,1217,464,205,134,518,635
81,Fairfield,35,19,16,0.543,-0.53,-1.99,,9,9,,6,5,,8,10,,2122,2071,,1410,697,1721,0.405,134,419,0.32,543,784,0.693,373,1140,297,247,127,474,547
82,FDU,31,7,24,0.226,-17.99,-4.64,,2,16,,2,10,,3,14,,2034,2448,,1250,880,1883,0.467,221,609,0.363,467,673,0.694,426,1198,517,263,93,378,536
83,Florida NCAA,37,29,8,0.784,23.88,6.85,,14,4,,15,0,,7,5,,2642,2012,,1480,725,1897,0.382,193,623,0.31,369,567,0.651,358,1117,369,217,96,522,593
84,Florida A&M,31,8,23,0.258,-16.11,-6.17,,5,11,,6,4,,1,17,,2015,2235,,1260,785,1753,0.448,181,516,0.351,484,723,0.669,409,1242,416,234,131,504,504
85,Florida Atlantic,32,14,18,0.438,-5.84,-2.45,,9,11,,11,4,,3,13,,2092,2164,,1300,769,1873,0.411,161,537,0.3,465,678,0.686,411,1151,354,242,121,369,549
86,Florida Gulf Coast NCAA,37,26,11,0.703,3.01,-1.82,,13,5,,15,1,,6,9,,2696,2469,,1495,866,2133,0.406,250,808,0.309,487,708,0.688,447,1313,483,267,116,580,654
87,Florida International,32,18,14,0.563,-2.05,-2.08,,11,9,,10,3,,6,10,,2210,2209,,1280,784,1737,0.451,206,637,0.323,435,644,0.675,389,1164,461,212,126,569,570
88,Florida State,34,18,16,0.529,5.71,7.26,,9,9,,10,8,,3,7,,2278,2331,,1360,825,1886,0.437,225,612,0.368,454,656,0.692,422,1142,443,244,103,465,648
89,Fordham,31,7,24,0.226,-6.88,4.6,,3,13,,4,7,,1,15,,1997,2353,,1240,791,1765,0.448,218,619,0.352,553,791,0.699,352,1096,465,248,121,347,540
90,Fresno State,30,11,19,0.367,3.19,6.44,,5,11,,6,8,,5,10,,1798,1829,,1210,612,1486,0.412,132,453,0.291,473,700,0.676,337,1078,318,144,113,399,502
91,Furman,31,7,24,0.226,-17.42,-5.25,,3,15,,5,9,,1,14,,1869,2180,,1240,806,1747,0.461,203,534,0.38,365,514,0.71,344,1077,463,228,76,357,532
92,Gardner-Webb,34,21,13,0.618,-3.17,-5.88,,11,5,,12,3,,6,9,,2236,2066,,1385,745,1759,0.424,188,573,0.328,388,603,0.643,346,1096,380,231,98,531,589
93,George Mason,38,22,16,0.579,2.03,-0.15,,10,8,,10,7,,8,6,,2587,2504,,1535,822,1991,0.413,238,715,0.333,622,886,0.702,443,1275,440,222,137,551,712
94,George Washington,30,13,17,0.433,4.24,3.51,,7,9,,7,7,,5,9,,1988,1966,,1205,705,1674,0.421,176,489,0.36,380,547,0.695,324,973,349,286,134,436,560
95,Georgetown NCAA,32,25,7,0.781,15.86,7.61,,14,4,,16,1,,6,3,,2070,1806,,1300,623,1649,0.378,172,560,0.307,388,582,0.667,342,1023,353,202,105,454,586
96,Georgia,32,15,17,0.469,5.39,6.17,,9,9,,12,6,,3,8,,1946,1971,,1300,661,1704,0.388,210,639,0.329,439,645,0.681,350,1054,324,244,100,375,619
97,Georgia Southern,33,14,19,0.424,-9.62,-4.98,,7,11,,7,6,,5,11,,2050,2148,,1335,756,1724,0.439,187,587,0.319,449,647,0.694,370,1122,382,215,103,441,543
98,Georgia State,31,15,16,0.484,-2.01,-2.38,,10,8,,9,7,,6,9,,2114,2075,,1255,708,1625,0.436,239,652,0.367,420,594,0.707,324,1044,425,165,122,422,538
99,Georgia Tech,31,16,15,0.516,6.62,4.69,,6,12,,11,6,,3,7,,1993,1933,,1245,687,1715,0.401,182,563,0.323,377,566,0.666,312,1069,383,191,131,391,480
100,Gonzaga NCAA,35,32,3,0.914,20.44,4.14,,16,0,,15,1,,10,1,,2696,2095,,1400,735,1909,0.385,244,739,0.33,381,561,0.679,373,1045,350,217,112,480,687
101,Grambling,28,0,28,0,-35.87,-9.19,,0,18,,0,9,,0,18,,1391,2138,,1120,772,1683,0.459,213,563,0.378,381,588,0.648,380,1073,436,285,105,271,382
102,Green Bay,34,18,16,0.529,1.66,-0.28,,10,6,,12,3,,4,12,,2247,2142,,1370,741,1802,0.411,219,641,0.342,441,599,0.736,303,1039,411,245,106,400,621
103,Hampton,31,14,17,0.452,-9.32,-7.8,,11,5,,7,7,,7,8,,1936,1983,,1260,670,1719,0.39,167,546,0.306,476,731,0.651,389,1149,334,220,129,484,574
104,Hartford,31,17,14,0.548,-5.83,-4.7,,10,6,,10,5,,7,8,,1863,1898,,1240,660,1499,0.44,160,468,0.342,418,622,0.672,293,1046,310,214,94,495,519
105,Harvard NCAA,30,20,10,0.667,3.96,0.17,,11,3,,13,1,,6,8,,2049,1924,,1215,707,1601,0.442,150,453,0.331,360,496,0.726,302,924,345,189,94,409,586
106,Hawaii,32,17,15,0.531,-3.37,-2.54,,10,8,,13,7,,4,7,,2336,2305,,1285,808,1915,0.422,263,715,0.368,426,609,0.7,347,1055,446,236,92,383,583
107,High Point,31,17,14,0.548,-4.64,-7.23,,12,4,,10,5,,6,8,,2221,2052,,1250,712,1699,0.419,179,552,0.324,449,675,0.665,347,1070,364,184,98,429,543
108,Hofstra,32,7,25,0.219,-10.74,-1.9,,4,14,,6,9,,1,14,,1873,2132,,1290,755,1741,0.434,176,574,0.307,446,629,0.709,364,1150,422,255,157,423,608
109,Holy Cross,30,12,18,0.4,-6.12,-2.96,,4,10,,7,5,,4,12,,1834,1929,,1205,691,1647,0.42,190,597,0.318,357,512,0.697,307,1001,390,170,104,295,450
110,Houston,33,20,13,0.606,-0.3,-3.77,,7,9,,14,4,,5,8,,2578,2420,,1356,871,2021,0.431,214,671,0.319,464,681,0.681,402,1174,476,219,115,440,630
111,Houston Christian,31,14,17,0.452,-15.25,-8.1,,3,5,,7,5,,3,12,,1982,2080,,1260,726,1713,0.424,140,451,0.31,488,701,0.696,351,1089,349,289,123,505,600
112,Howard,31,7,24,0.226,-14.41,-5.34,,4,12,,5,7,,2,13,,1615,1868,,1240,646,1575,0.41,183,550,0.333,393,580,0.678,348,1051,342,205,97,434,507
113,Idaho,30,12,18,0.4,-2.23,0.29,,7,11,,6,8,,6,8,,2050,2079,,1210,758,1693,0.448,209,589,0.355,354,518,0.683,293,886,357,201,86,270,490
114,Idaho State,30,6,24,0.2,-13.08,-4.94,,5,15,,5,7,,1,14,,1710,1928,,1210,679,1524,0.446,219,586,0.374,351,513,0.684,324,1033,399,168,92,384,503
115,Illinois NCAA,36,23,13,0.639,13.18,10.04,,8,10,,12,4,,6,6,,2465,2332,,1445,810,1911,0.424,232,679,0.342,480,684,0.702,392,1256,432,199,110,511,589
116,Illinois State,33,18,15,0.545,9.61,3.7,,8,10,,11,5,,5,8,,2460,2265,,1330,796,1879,0.424,225,673,0.334,448,638,0.702,374,1191,433,207,82,484,587
117,Illinois-Chicago,34,18,16,0.529,-1.79,-0.69,,7,9,,12,4,,4,10,,2136,2134,,1375,741,1826,0.406,206,621,0.332,446,625,0.714,360,1190,408,189,118,431,578
118,Indiana NCAA,36,29,7,0.806,24.92,8.39,,14,4,,17,2,,7,2,,2831,2236,,1451,815,2089,0.39,208,684,0.304,398,563,0.707,428,1114,353,229,150,509,735
119,Indiana State,33,18,15,0.545,5.08,5.64,,9,9,,11,3,,4,10,,2159,2164,,1340,748,1802,0.415,182,558,0.326,486,698,0.696,345,1133,384,226,72,400,632
120,Iona NCAA,34,20,14,0.588,4.06,0,,11,7,,11,1,,5,9,,2733,2595,,1395,938,2083,0.45,272,726,0.375,447,669,0.668,418,1228,526,188,147,475,585
121,Iowa,38,25,13,0.658,14.22,6.93,,9,9,,18,2,,3,8,,2665,2388,,1535,850,2168,0.392,212,719,0.295,476,675,0.705,434,1307,440,264,159,500,742
122,Iowa State NCAA,35,23,12,0.657,14.5,6.13,,11,7,,16,1,,4,7,,2779,2486,,1420,890,2076,0.429,215,692,0.311,491,679,0.723,367,1179,479,231,101,462,623
123,IU Indy,32,6,26,0.188,-15.92,-2.79,,1,15,,3,8,,1,13,,2096,2451,,1300,901,1853,0.486,224,586,0.382,425,566,0.751,343,1158,487,220,86,372,469
124,Jackson State,29,11,18,0.379,-14.82,-9.55,,9,9,,6,3,,4,14,,1920,2073,,1175,740,1647,0.449,168,533,0.315,425,647,0.657,342,1113,354,181,110,426,521
125,Jacksonville,32,14,18,0.438,-10.2,-4.47,,9,9,,10,3,,3,13,,2181,2300,,1301,805,1820,0.442,202,598,0.338,488,697,0.7,361,1137,453,235,135,469,598
126,Jacksonville State,28,17,11,0.607,-4.47,-4.28,,8,8,,9,3,,6,8,,1857,1817,,1130,648,1433,0.452,119,386,0.308,402,546,0.736,335,944,337,183,102,445,533
127,James Madison NCAA,36,21,15,0.583,-1.67,-2.22,,11,7,,10,4,,4,9,,2346,2326,,1450,798,1865,0.428,221,636,0.347,509,732,0.695,368,1238,455,191,111,490,593
128,Kansas NCAA,37,31,6,0.838,20.79,7.55,,14,4,,16,1,,7,3,,2782,2292,,1505,788,2183,0.361,236,778,0.303,480,699,0.687,436,1219,399,266,108,468,681
129,Kansas City,32,8,24,0.25,-13.61,-2.74,,5,11,,3,11,,4,11,,1950,2252,,1280,790,1654,0.478,206,513,0.402,466,688,0.677,295,1024,435,252,101,401,487
130,Kansas State NCAA,35,27,8,0.771,13.54,6.54,,14,4,,15,1,,7,3,,2414,2115,,1400,750,1792,0.419,171,538,0.318,444,646,0.687,375,1120,388,194,119,493,575
131,Kennesaw State,30,3,27,0.1,-15.13,-4.5,,2,16,,2,10,,1,15,,1831,2150,,1225,742,1499,0.495,179,469,0.382,487,713,0.683,290,1033,420,198,102,420,522
132,Kent State,35,21,14,0.6,2.38,-0.82,,9,7,,12,6,,8,7,,2484,2373,,1425,823,1897,0.434,201,643,0.313,526,769,0.684,402,1198,475,209,134,487,677
133,Kentucky,33,21,12,0.636,13.96,5.81,,12,6,,16,2,,4,8,,2396,2127,,1330,763,1944,0.392,179,552,0.324,422,587,0.719,395,1107,360,195,116,389,655
134,La Salle NCAA,34,24,10,0.706,10.15,4.47,,11,5,,13,2,,8,6,,2450,2257,,1370,872,1912,0.456,142,470,0.302,371,544,0.682,379,1192,436,199,132,486,538
135,Lafayette,34,19,15,0.559,-2.99,-2.35,,10,4,,14,3,,5,12,,2349,2346,,1365,864,1864,0.464,217,600,0.362,401,586,0.684,356,1149,455,221,95,464,541
136,Lamar,31,3,28,0.097,-20.56,-3.27,,1,17,,1,10,,1,17,,1862,2398,,1251,903,1997,0.452,202,564,0.358,390,579,0.674,409,1158,491,307,150,354,508
137,Lehigh,31,21,10,0.677,3.96,-3,,10,4,,11,3,,9,7,,2266,2022,,1240,738,1776,0.416,191,644,0.297,355,512,0.693,377,1104,444,162,98,424,522
138,Liberty NCAA,36,15,21,0.417,-9.11,-5.78,,6,10,,8,7,,4,11,,2489,2519,,1455,879,2084,0.422,212,697,0.304,549,802,0.685,435,1303,451,239,130,385,672
139,Lipscomb,30,12,18,0.4,-11.41,-3.17,,7,11,,8,6,,4,11,,2079,2300,,1215,776,1732,0.448,239,714,0.335,509,769,0.662,343,1054,457,246,143,404,626
140,Little Rock,32,17,15,0.531,-4.34,-2.21,,11,9,,13,3,,3,10,,2127,2132,,1280,718,1701,0.422,198,595,0.333,498,721,0.691,352,1119,366,208,90,522,666
141,Long Beach State,33,19,14,0.576,-1.48,1.62,,14,4,,11,3,,7,10,,2291,2360,,1325,844,1930,0.437,258,694,0.372,414,617,0.671,426,1195,514,217,96,451,595
142,Long Island University NCAA,34,20,14,0.588,-3.19,-5.78,,12,6,,12,2,,7,9,,2677,2589,,1370,958,2046,0.468,235,632,0.372,438,647,0.677,403,1147,519,234,126,441,721
143,Longwood,33,8,25,0.242,-19.32,-5.07,,4,12,,4,9,,2,14,,2270,2687,,1325,977,2025,0.482,228,592,0.385,505,696,0.726,394,1199,546,297,110,446,571
144,Louisiana,33,13,20,0.394,-4.9,-2.22,,8,12,,10,5,,2,14,,2337,2413,,1335,822,1901,0.432,203,580,0.35,566,813,0.696,418,1280,375,216,129,498,621
145,Louisiana State,31,19,12,0.613,5.82,4.01,,9,9,,14,3,,4,8,,2194,2138,,1260,751,1782,0.421,173,549,0.315,463,677,0.684,399,1166,330,228,129,470,552
146,Louisiana Tech,34,27,7,0.794,5.47,-2.08,,16,2,,14,0,,11,6,,2470,2151,,1360,771,1912,0.403,158,543,0.291,451,675,0.668,416,1299,358,203,116,590,620
