Conference,Dates,Champ,Runner-up
Atlantic Coast Conference,"Mar 14, 2013 - Mar 17, 2013",Miami-Fl,UNC
America East Conference,"Mar 09, 2013 - Mar 16, 2013",Albany (NY),Vermont
Atlantic 10 Conference,"Mar 14, 2013 - Mar 17, 2013",St. Louis,VCU
Atlantic Sun Conference,"Mar 06, 2013 - Mar 09, 2013",Fla. Gulf Coast,Mercer
Big 12 Conference,"Mar 13, 2013 - Mar 16, 2013",Kansas,Kansas St.
Big East Conference,"Mar 12, 2013 - Mar 16, 2013",Louisville,Syracuse
Big Sky Conference,"Mar 14, 2013 - Mar 16, 2013",Montana,Weber St.
Big South Conference,"Mar 05, 2013 - Mar 10, 2013",Liberty,Charleston So.
Big Ten Conference,"Mar 14, 2013 - Mar 17, 2013",Ohio St.,Wisconsin
Big West Conference,"Mar 14, 2013 - Mar 16, 2013",Pacific,UC-Irvine
Colonial Athletic Association,"Mar 09, 2013 - Mar 11, 2013",James Madison,Northeastern
Conference USA,"Mar 13, 2013 - Mar 16, 2013",Memphis,Southern Miss.
Great West Conference,"Mar 14, 2013 - Mar 16, 2013",Chicago St.,Houston Christian
Horizon League,"Mar 05, 2013 - Mar 12, 2013",Valparaiso,Wright St.
Metro Atlantic Athletic Conference,"Mar 08, 2013 - Mar 11, 2013",Iona,Manhattan
Mid-American Conference,"Mar 11, 2013 - Mar 16, 2013",Akron,Ohio
Mid-Eastern Athletic Conference,"Mar 11, 2013 - Mar 16, 2013",N.C. A&T,Morgan St.
Missouri Valley Conference,"Mar 07, 2013 - Mar 10, 2013",Creighton,Wichita St.
Mountain West Conference,"Mar 12, 2013 - Mar 16, 2013",New Mexico,UNLV
Northeast Conference,"Mar 06, 2013 - Mar 12, 2013",Long Island,Mt. St. Mary's
Ohio Valley Conference,"Mar 06, 2013 - Mar 09, 2013",Belmont,Murray St.
Pac-12 Conference,"Mar 13, 2013 - Mar 16, 2013",Oregon,UCLA
Patriot League,"Mar 06, 2013 - Mar 13, 2013",Bucknell,Lafayette
Southeastern Conference,"Mar 13, 2013 - Mar 17, 2013",Ole Miss,Florida
Southern Conference,"Mar 08, 2013 - Mar 11, 2013",Davidson,Charleston
Southland Conference,"Mar 13, 2013 - Mar 16, 2013",NW St.,Stephen F. Austin
Summit League,"Mar 09, 2013 - Mar 12, 2013",S Dakota St.,North Dakota St.
Sun Belt Conference,"Mar 08, 2013 - Mar 11, 2013",Western Ky.,FIU
Southwest Athletic Conference,"Mar 13, 2013 - Mar 16, 2013",Southern U.,Prairie View
Western Athletic Conference,"Mar 12, 2013 - Mar 16, 2013",New Mexico St.,UTA
West Coast Conference,"Mar 06, 2013 - Mar 11, 2013",Gonzaga,St. Mary's
