Conference,Dates,Champ,Runner-up
American Athletic Conference,"Mar 09, 2017 - Mar 12, 2017",SMU,Cincinnati
Atlantic Coast Conference,"Mar 07, 2017 - Mar 11, 2017",Duke,Notre Dame
America East Conference,"Mar 01, 2017 - Mar 11, 2017",Vermont,Albany (NY)
Atlantic 10 Conference,"Mar 08, 2017 - Mar 12, 2017",Rhode Island,VCU
Atlantic Sun Conference,"Feb 27, 2017 - Mar 05, 2017",Fla. Gulf Coast,North Florida
Big 12 Conference,"Mar 08, 2017 - Mar 11, 2017",Iowa St.,West Virginia
Big East Conference,"Mar 08, 2017 - Mar 11, 2017",Villanova,Creighton
Big Sky Conference,"Mar 07, 2017 - Mar 11, 2017",North Dakota,Weber St.
Big South Conference,"Feb 28, 2017 - Mar 05, 2017",Winthrop,Campbell
Big Ten Conference,"Mar 08, 2017 - Mar 12, 2017",Michigan,Wisconsin
Big West Conference,"Mar 09, 2017 - Mar 11, 2017",UC-Davis,UC-Irvine
Colonial Athletic Association,"Mar 03, 2017 - Mar 06, 2017",UNC Wilm.,Charleston
Conference USA,"Mar 08, 2017 - Mar 11, 2017",Middle Tenn.,Marshall
Horizon League,"Mar 03, 2017 - Mar 07, 2017",Northern Ky.,Milwaukee
Ivy League,"Mar 11, 2017 - Mar 12, 2017",Princeton,Yale
Metro Atlantic Athletic Conference,"Mar 02, 2017 - Mar 06, 2017",Iona,Siena
Mid-American Conference,"Mar 06, 2017 - Mar 11, 2017",Kent St.,Akron
Mid-Eastern Athletic Conference,"Mar 06, 2017 - Mar 11, 2017",N.C. Central,Norfolk St.
Missouri Valley Conference,"Mar 02, 2017 - Mar 05, 2017",Wichita St.,Illinois St.
Mountain West Conference,"Mar 08, 2017 - Mar 11, 2017",Nevada,Colorado St.
Northeast Conference,"Mar 01, 2017 - Mar 07, 2017",Mt. St. Mary's,St. Francis (PA)
Ohio Valley Conference,"Mar 01, 2017 - Mar 04, 2017",Jacksonville St.,UT Martin
Pac-12 Conference,"Mar 08, 2017 - Mar 11, 2017",Arizona,Oregon
Patriot League,"Feb 28, 2017 - Mar 08, 2017",Bucknell,Lehigh
Southeastern Conference,"Mar 08, 2017 - Mar 12, 2017",Kentucky,Arkansas
Southern Conference,"Mar 03, 2017 - Mar 06, 2017",East Tenn. St.,UNC Greensboro
Southland Conference,"Mar 08, 2017 - Mar 11, 2017",New Orleans,Tx AM-CC
Summit League,"Mar 04, 2017 - Mar 07, 2017",S Dakota St.,Omaha
Sun Belt Conference,"Mar 08, 2017 - Mar 12, 2017",Troy,Texas St.
Southwest Athletic Conference,"Mar 07, 2017 - Mar 11, 2017",Texas Southern,Alcorn St.
Western Athletic Conference,"Mar 09, 2017 - Mar 11, 2017",New Mexico St.,Cal St Bakersfield
West Coast Conference,"Mar 03, 2017 - Mar 07, 2017",Gonzaga,St. Mary's
