,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent,,,,,,,,,,,,,,,,
37,Cal State Bakersfield,32,13,19,0.406,-5.37,-2.17,,8,12,,10,4,,2,13,,2199,2214,,1295,722,1675,0.431,208,612,0.34,562,777,0.723,325,1070,371,184,105,422,550
38,Cal State Fullerton,32,14,18,0.438,-5.15,-1.15,,7,13,,7,7,,6,10,,2172,2212,,1285,773,1790,0.432,218,687,0.317,448,625,0.717,321,1137,394,199,85,402,591
39,Cal State Northridge,34,19,15,0.559,-4.78,-4.13,,9,11,,9,7,,9,7,,2551,2503,,1365,825,2037,0.405,294,908,0.324,559,764,0.732,343,1187,484,271,117,455,655
40,California,32,13,19,0.406,4.94,8,,9,11,,10,6,,3,8,,2367,2465,,1310,873,1949,0.448,252,706,0.357,467,646,0.723,308,1164,410,189,114,336,517
41,California Baptist,33,16,17,0.485,-2.32,-2.26,,8,12,,11,7,,4,9,,2222,2197,,1330,816,1855,0.44,171,507,0.337,394,547,0.72,266,1074,376,194,116,336,606
42,Campbell,32,14,18,0.438,-10.62,-5.66,,8,10,,11,6,,3,11,,2272,2307,,1295,849,1928,0.44,275,825,0.333,334,467,0.715,349,1112,439,210,104,379,533
43,Canisius,32,14,18,0.438,-7.95,-4.89,,8,12,,8,4,,3,12,,2252,2307,,1290,864,1913,0.452,204,601,0.339,375,530,0.708,321,1083,441,217,91,361,492
44,Central Arkansas,32,9,23,0.281,-15.7,-5.64,,5,11,,5,10,,4,13,,2309,2502,,1285,869,1933,0.45,302,812,0.372,462,638,0.724,342,1191,418,244,100,367,504
45,Central Connecticut State,31,20,11,0.645,-8.15,-10.15,,13,3,,11,4,,9,7,,2237,2061,,1250,764,1809,0.422,215,634,0.339,318,474,0.671,302,1051,420,209,98,396,488
46,Central Michigan,32,18,14,0.563,-8.07,-3.59,,12,6,,10,3,,7,9,,2127,2242,,1315,784,1916,0.409,244,780,0.313,430,582,0.739,366,1206,416,186,108,359,495
47,Charleston Southern,30,10,20,0.333,-12.03,-1.59,,6,10,,7,7,,3,12,,2028,2210,,1200,809,1795,0.451,175,563,0.311,417,588,0.709,307,1085,351,187,82,285,471
48,Charlotte,31,19,12,0.613,4.09,2.42,,13,5,,13,2,,5,7,,2131,2034,,1250,731,1714,0.426,198,628,0.315,374,529,0.707,305,1020,337,178,83,311,505
49,Chattanooga,33,21,12,0.636,-0.21,-3.85,,12,6,,12,4,,8,7,,2581,2362,,1335,851,2039,0.417,292,860,0.34,368,546,0.674,357,1132,409,216,89,343,530
50,Chicago State,32,13,19,0.406,-9.34,-3.03,,,,,6,5,,5,12,,2224,2258,,1285,827,1789,0.462,200,618,0.324,404,601,0.672,362,1110,410,224,93,462,546
51,Cincinnati,37,22,15,0.595,15.06,8.49,,7,11,,16,5,,4,8,,2765,2522,,1500,900,2148,0.419,251,747,0.336,471,626,0.752,328,1192,480,247,133,445,580
52,Clemson NCAA,36,24,12,0.667,16.2,10.04,,11,9,,12,4,,6,6,,2785,2563,,1450,885,2140,0.414,291,879,0.331,502,686,0.732,355,1226,396,218,90,341,573
53,Cleveland State,36,21,15,0.583,-3.47,-4.44,,11,9,,14,3,,6,10,,2717,2622,,1450,929,2047,0.454,234,784,0.298,530,751,0.706,424,1321,469,195,111,497,600
54,Coastal Carolina,31,9,22,0.29,-10.47,-2.88,,5,13,,7,12,,1,9,,2280,2434,,1250,856,2035,0.421,308,935,0.329,414,602,0.688,382,1172,478,263,108,293,511
55,Colgate NCAA,35,25,10,0.714,-0.31,-5.55,,16,2,,13,3,,10,5,,2498,2242,,1400,834,2020,0.413,249,812,0.307,325,485,0.67,312,1156,444,198,86,393,502
56,College of Charleston NCAA,35,27,8,0.771,4.09,-2.38,,15,3,,13,2,,10,2,,2832,2575,,1405,939,2112,0.445,269,784,0.343,428,608,0.704,327,1230,407,214,115,403,577
57,Colorado NCAA,37,26,11,0.703,15.95,8.36,,13,7,,16,1,,4,7,,2935,2654,,1495,984,2234,0.44,252,787,0.32,434,610,0.711,330,1117,430,272,136,392,657
58,Colorado State NCAA,36,25,11,0.694,13.4,7.28,,10,8,,15,2,,4,7,,2707,2422,,1450,865,2030,0.426,220,684,0.322,472,637,0.741,333,1180,407,195,100,415,604
59,Columbia,27,13,14,0.481,-5.43,-3.72,,4,10,,9,6,,4,8,,2078,1956,,1080,709,1616,0.439,226,695,0.325,312,434,0.719,269,902,404,170,108,336,419
60,Connecticut NCAA,40,37,3,0.925,26.7,8.7,,18,2,,16,0,,9,3,,3256,2536,,1600,894,2278,0.392,234,749,0.312,514,709,0.725,395,1204,400,214,118,422,663
61,Coppin State,29,2,27,0.069,-21.46,-6.49,,1,13,,2,8,,0,17,,1678,2112,,1170,723,1613,0.448,209,606,0.345,457,618,0.739,371,1135,424,259,98,431,455
62,Cornell,30,22,8,0.733,3.58,-1.59,,11,3,,10,1,,10,6,,2463,2241,,1200,806,1828,0.441,253,760,0.333,376,585,0.643,347,1069,430,201,89,402,475
63,Creighton NCAA,35,25,10,0.714,20.07,9.53,,14,6,,14,2,,8,5,,2815,2446,,1435,972,2324,0.418,209,648,0.323,293,372,0.788,345,1176,401,210,99,266,517
64,Dartmouth,27,6,21,0.222,-13.99,-1.31,,2,12,,6,7,,0,14,,1670,1940,,1080,719,1584,0.454,245,673,0.364,257,364,0.706,220,938,381,208,76,252,431
65,Davidson,32,15,17,0.469,3.63,3.3,,5,13,,9,7,,4,8,,2242,2174,,1300,761,1798,0.423,252,756,0.333,400,580,0.69,309,1128,405,200,105,375,554
66,Dayton NCAA,33,25,8,0.758,13.45,5.73,,14,4,,15,0,,6,5,,2448,2193,,1325,816,1948,0.419,250,782,0.32,311,427,0.728,338,1081,417,195,100,342,547
67,Delaware,33,19,14,0.576,-1.68,-4.3,,10,8,,8,5,,8,6,,2416,2299,,1325,848,1991,0.426,224,723,0.31,379,536,0.707,338,1136,390,210,125,334,513
68,Delaware State,34,15,19,0.441,-10.51,-7.58,,6,8,,7,5,,4,11,,2401,2415,,1385,831,1914,0.434,277,764,0.363,476,662,0.719,338,1098,440,248,95,531,634
69,Denver,34,17,17,0.5,-7.39,-4.82,,6,10,,10,4,,4,11,,2755,2737,,1385,993,2133,0.466,265,749,0.354,486,657,0.74,348,1252,439,170,132,362,633
70,DePaul,32,3,29,0.094,-6.23,10.8,,0,20,,3,15,,0,11,,2071,2616,,1280,949,1948,0.487,305,801,0.381,413,554,0.745,343,1169,552,246,114,318,539
71,Detroit Mercy,32,1,31,0.031,-16.9,-2.62,,1,19,,1,11,,0,20,,2111,2568,,1290,921,1878,0.49,259,699,0.371,467,599,0.78,361,1172,482,197,98,380,515
72,Drake NCAA,35,28,7,0.8,11.08,1.84,,16,4,,16,0,,6,5,,2797,2463,,1435,885,2000,0.443,257,775,0.332,436,618,0.706,275,1147,370,192,93,431,601
73,Drexel,32,20,12,0.625,1.14,-3.64,,13,5,,13,1,,6,10,,2346,2130,,1295,784,1874,0.418,209,662,0.316,353,500,0.706,280,999,344,175,98,289,515
74,Duke NCAA,36,27,9,0.75,20.67,8.36,,15,5,,15,3,,7,4,,2830,2387,,1440,884,2055,0.43,227,713,0.318,392,578,0.678,327,1136,450,192,159,407,579
75,Duquesne NCAA,37,25,12,0.676,7.35,4.68,,10,8,,13,4,,5,6,,2611,2467,,1480,862,2037,0.423,244,768,0.318,499,704,0.709,383,1268,459,235,140,485,624
76,East Carolina,33,15,18,0.455,-0.62,1.32,,7,11,,11,9,,3,7,,2287,2319,,1330,810,1835,0.441,258,788,0.327,441,587,0.751,339,1141,431,201,113,415,545
77,East Tennessee State,35,19,16,0.543,-3.11,-2.74,,8,10,,10,4,,5,11,,2502,2435,,1405,849,1961,0.433,245,749,0.327,492,713,0.69,356,1254,402,238,115,468,594
78,East Texas A&M,33,13,20,0.394,-14.52,-5.19,,6,12,,8,7,,4,12,,2361,2462,,1365,871,1906,0.457,201,581,0.346,519,731,0.71,361,1281,434,187,115,447,492
79,Eastern Illinois,32,14,18,0.438,-11.6,-6.5,,8,10,,9,6,,4,11,,2204,2172,,1280,757,1721,0.44,224,637,0.352,434,605,0.717,279,1135,424,169,138,454,464
80,Eastern Kentucky,31,17,14,0.548,-5.42,-4.49,,12,4,,13,4,,4,10,,2504,2371,,1245,847,1984,0.427,253,677,0.374,424,572,0.741,371,1135,411,222,80,350,518
81,Eastern Michigan,31,13,18,0.419,-12.76,-5.07,,6,12,,9,6,,4,11,,2047,2252,,1255,820,1819,0.451,225,712,0.316,387,561,0.69,333,1129,414,209,98,331,462
82,Eastern Washington,32,21,11,0.656,-1.03,-2.99,,15,3,,11,1,,10,9,,2586,2407,,1285,836,1912,0.437,281,781,0.36,454,612,0.742,304,1009,435,217,79,384,622
83,Elon,32,13,19,0.406,-11.43,-5.46,,6,12,,8,6,,3,12,,2339,2413,,1280,880,1925,0.457,266,783,0.34,387,542,0.714,360,1126,482,195,101,355,520
84,Evansville,35,17,18,0.486,-3.69,0.75,,6,14,,10,5,,4,11,,2481,2562,,1410,912,2074,0.44,315,899,0.35,423,574,0.737,318,1246,496,226,103,425,557
85,Fairfield,37,24,13,0.649,-3.17,-6.53,,14,6,,10,4,,10,6,,2794,2626,,1480,987,2156,0.458,269,792,0.34,383,549,0.698,375,1299,497,210,109,515,566
86,FDU,32,15,17,0.469,-14.41,-9.27,,9,7,,7,7,,8,9,,2430,2482,,1290,885,1967,0.45,277,780,0.355,435,626,0.695,361,1275,483,233,106,464,581
87,Florida NCAA,36,24,12,0.667,15.17,8.81,,11,7,,14,1,,3,7,,3080,2851,,1465,1017,2311,0.44,244,748,0.326,573,805,0.712,403,1289,431,269,145,389,698
88,Florida A&M,29,6,23,0.207,-15.82,-4.19,,4,14,,4,8,,2,14,,1949,2240,,1180,777,1732,0.449,226,626,0.361,460,685,0.672,331,1059,378,242,110,334,436
89,Florida Atlantic NCAA,34,25,9,0.735,13.26,4.61,,14,4,,13,1,,5,5,,2789,2495,,1390,912,2096,0.435,255,756,0.337,416,572,0.727,370,1159,356,204,84,394,611
90,Florida Gulf Coast,32,14,18,0.438,-6.28,-3.94,,8,8,,9,5,,4,10,,2253,2276,,1285,819,1845,0.444,280,792,0.354,358,512,0.699,307,1043,425,202,81,332,485
91,Florida International,33,11,22,0.333,-8.01,-2.17,,5,11,,9,6,,1,12,,2429,2525,,1325,891,1876,0.475,267,676,0.395,476,681,0.699,392,1281,489,233,117,570,532
92,Florida State,33,17,16,0.515,9.52,9.27,,10,10,,10,7,,4,7,,2526,2518,,1325,859,1892,0.454,256,723,0.354,544,775,0.702,372,1214,416,186,98,493,616
93,Fordham,33,13,20,0.394,-0.46,1.48,,6,12,,6,11,,4,6,,2325,2389,,1345,805,1795,0.448,199,557,0.357,580,809,0.717,300,1189,404,225,127,459,608
94,Fresno State,33,12,21,0.364,-3.29,3.5,,4,14,,7,9,,3,9,,2233,2439,,1340,901,1952,0.462,269,722,0.373,368,537,0.685,344,1154,450,201,127,347,526
95,Furman,33,17,16,0.515,0.21,-1.93,,10,8,,12,3,,4,10,,2623,2506,,1340,940,2036,0.462,243,709,0.343,383,562,0.681,315,1183,465,230,118,397,554
96,Gardner-Webb,33,17,16,0.515,-4.66,-1.73,,11,5,,9,4,,6,8,,2426,2414,,1336,839,1934,0.434,222,669,0.332,514,726,0.708,311,1201,390,196,117,378,580
97,George Mason,32,20,12,0.625,6.36,1.85,,9,9,,14,3,,5,7,,2273,2109,,1280,723,1791,0.404,261,752,0.347,402,559,0.719,314,1009,373,217,115,343,566
98,George Washington,32,15,17,0.469,-1.03,-0.06,,4,14,,12,6,,1,9,,2457,2472,,1315,917,2128,0.431,282,810,0.348,356,473,0.753,364,1203,451,218,114,323,515
99,Georgetown,32,9,23,0.281,0.68,7.72,,2,18,,7,12,,2,10,,2267,2492,,1290,901,1841,0.489,248,703,0.353,442,618,0.715,310,1087,500,240,125,356,537
100,Georgia,37,20,17,0.541,8.63,8.63,,6,12,,13,6,,6,6,,2764,2764,,1485,998,2289,0.436,282,852,0.331,486,671,0.724,418,1405,541,238,158,423,667
101,Georgia Southern,33,9,24,0.273,-8.44,-2.53,,8,10,,6,6,,2,14,,2420,2615,,1335,887,1947,0.456,251,708,0.355,590,838,0.704,400,1258,439,246,136,401,512
102,Georgia State,31,14,17,0.452,-4.59,-2.59,,8,10,,9,5,,5,11,,2370,2319,,1250,816,1914,0.426,220,733,0.3,467,657,0.711,349,1193,404,174,126,326,495
103,Georgia Tech,32,14,18,0.438,4.6,8.82,,7,13,,8,7,,4,9,,2272,2407,,1300,846,1976,0.428,254,779,0.326,461,624,0.739,339,1133,431,221,103,283,520
104,Gonzaga NCAA,35,27,8,0.771,17.93,4.02,,14,2,,13,2,,8,2,,2959,2420,,1400,882,2169,0.407,267,795,0.336,389,541,0.719,371,1110,434,190,90,392,584
105,Grambling NCAA,36,21,15,0.583,-9.63,-5.48,,14,4,,9,3,,7,9,,2436,2506,,1458,891,2042,0.436,242,703,0.344,482,664,0.726,388,1203,495,254,105,461,586
106,Grand Canyon NCAA,35,30,5,0.857,10.45,-0.52,,17,3,,16,0,,8,3,,2769,2346,,1405,822,2039,0.403,222,694,0.32,480,678,0.708,397,1181,396,214,94,487,708
107,Green Bay,32,18,14,0.563,-5.64,-4.07,,13,7,,10,5,,8,8,,2209,2207,,1290,782,1799,0.435,190,636,0.299,453,620,0.731,305,1045,399,201,126,297,500
108,Hampton,33,9,24,0.273,-15.82,-5.29,,3,15,,5,9,,1,12,,2369,2520,,1320,901,2064,0.437,262,820,0.32,456,606,0.752,371,1233,441,236,90,359,532
109,Harvard,27,14,13,0.519,-4.58,-2.08,,5,9,,9,5,,5,8,,1900,1937,,1090,710,1667,0.426,231,684,0.338,286,413,0.692,313,996,375,183,101,298,453
110,Hawaii,34,20,14,0.588,-0.07,-2.57,,11,9,,13,6,,4,6,,2458,2337,,1375,860,1935,0.444,154,496,0.31,463,638,0.726,286,1086,317,212,82,371,621
111,High Point,36,27,9,0.75,2.15,-4.83,,13,3,,16,2,,7,5,,3020,2680,,1465,944,2142,0.441,232,676,0.343,560,771,0.726,338,1134,421,178,100,360,762
112,Hofstra,33,20,13,0.606,2.31,-1.98,,12,6,,11,2,,5,10,,2449,2259,,1325,786,1899,0.414,274,796,0.344,413,543,0.761,343,1164,424,183,83,395,466
113,Holy Cross,33,10,23,0.303,-17.12,-7.87,,6,12,,5,8,,4,14,,2194,2462,,1325,878,1922,0.457,290,758,0.383,416,574,0.725,311,1170,464,217,104,278,467
114,Houston NCAA,37,32,5,0.865,25.69,9.8,,15,3,,17,0,,7,3,,2720,2132,,1495,706,1862,0.379,225,747,0.301,495,734,0.674,398,1251,422,186,102,585,599
115,Houston Christian,29,6,23,0.207,-19.37,-3.89,,4,14,,5,8,,1,15,,2074,2420,,1165,908,1915,0.474,220,648,0.34,384,533,0.72,345,1109,471,266,139,300,519
116,Howard NCAA,35,18,17,0.514,-8.69,-8.02,,9,5,,9,4,,6,9,,2623,2600,,1420,913,2035,0.449,227,668,0.34,547,786,0.696,373,1125,431,266,125,428,663
117,Idaho,32,11,21,0.344,-11.29,-4.69,,5,13,,6,10,,4,10,,2170,2278,,1285,789,1736,0.454,236,669,0.353,464,636,0.73,284,1085,422,208,111,355,485
118,Idaho State,34,14,20,0.412,-7.49,-5.11,,7,11,,8,5,,4,13,,2397,2383,,1385,881,1835,0.48,199,568,0.35,422,566,0.746,259,1029,411,213,80,415,605
119,Illinois NCAA,38,29,9,0.763,19.56,9.54,,14,6,,15,3,,6,5,,3168,2787,,1530,1044,2418,0.432,233,684,0.341,466,646,0.721,381,1259,460,218,122,331,707
120,Illinois State,32,15,17,0.469,-1.38,0.43,,9,11,,10,6,,4,8,,2128,2165,,1280,790,1786,0.442,229,702,0.326,356,484,0.736,273,1064,407,168,101,345,578
121,Illinois-Chicago,33,12,21,0.364,-1.61,1.3,,4,16,,6,9,,3,10,,2319,2361,,1345,818,1920,0.426,212,668,0.317,513,683,0.751,330,1216,427,219,119,402,478
122,Incarnate Word,31,8,23,0.258,-16.4,-7.92,,3,15,,5,8,,3,14,,2240,2436,,1250,841,1871,0.449,228,639,0.357,526,740,0.711,335,1100,444,261,120,346,545
123,Indiana,33,19,14,0.576,7.74,9.74,,10,10,,13,5,,4,6,,2386,2452,,1320,845,2013,0.42,284,829,0.343,478,637,0.75,363,1156,447,247,101,341,611
124,Indiana State,39,32,7,0.821,13.44,2.26,,17,3,,16,1,,9,4,,3309,2854,,1565,1055,2406,0.438,282,819,0.344,462,624,0.74,338,1245,424,241,130,437,665
125,Iona,33,16,17,0.485,-5.19,-5.95,,10,10,,9,5,,5,8,,2354,2329,,1320,804,1746,0.46,237,698,0.34,484,655,0.739,317,1189,454,183,127,502,497
126,Iowa,34,19,15,0.559,13,9.26,,10,10,,13,4,,4,9,,2827,2700,,1365,969,2114,0.458,272,760,0.358,490,696,0.704,381,1262,523,202,127,408,591
127,Iowa State NCAA,37,29,8,0.784,22.3,8.51,,13,5,,18,0,,5,5,,2787,2277,,1480,768,1909,0.402,272,863,0.315,469,664,0.706,357,1227,451,224,130,636,674
128,IU Indy,32,6,26,0.188,-21.31,-4.62,,2,18,,4,10,,2,14,,2108,2554,,1285,927,1828,0.507,258,685,0.377,442,610,0.725,337,1064,513,235,102,432,534
129,Jackson State,32,15,17,0.469,-11.5,-7.15,,11,7,,6,2,,7,13,,2279,2418,,1285,849,1862,0.456,260,738,0.352,460,642,0.717,350,1129,466,234,122,427,559
130,Jacksonville,33,16,17,0.485,-9.84,-4.87,,5,11,,11,3,,4,14,,2371,2389,,1325,811,1853,0.438,255,738,0.346,512,723,0.708,335,1059,411,235,112,417,583
131,Jacksonville State,32,14,18,0.438,-3.55,-3.14,,6,10,,8,7,,5,10,,2240,2126,,1285,752,1735,0.433,209,619,0.338,413,588,0.702,262,983,348,226,99,401,564
132,James Madison NCAA,36,32,4,0.889,8.19,-3.75,,15,3,,14,1,,12,2,,2995,2506,,1455,878,2112,0.416,225,753,0.299,525,721,0.728,358,1221,385,214,123,516,621
133,Kansas NCAA,34,23,11,0.676,16.35,11.32,,10,8,,15,1,,3,7,,2569,2376,,1365,842,2055,0.41,289,849,0.34,403,579,0.696,338,1147,438,231,94,395,549
134,Kansas City,32,16,16,0.5,-5.32,-4.5,,10,6,,10,3,,6,9,,2300,2217,,1300,746,1705,0.438,204,637,0.32,521,734,0.71,276,1034,370,189,83,405,554
135,Kansas State,34,19,15,0.559,11.06,9.97,,8,10,,15,3,,2,9,,2454,2417,,1395,849,2068,0.411,237,759,0.312,482,684,0.705,394,1182,450,283,121,382,625
136,Kennesaw State,31,15,16,0.484,-8.02,-5.84,,6,10,,9,5,,4,11,,2568,2504,,1250,841,1916,0.439,259,742,0.349,563,782,0.72,345,1201,401,217,138,418,601
137,Kent State,34,17,17,0.5,-0.76,-2.54,,8,10,,9,6,,4,9,,2544,2424,,1385,850,1901,0.447,247,757,0.326,477,656,0.727,323,1132,430,216,105,450,590
138,Kentucky NCAA,33,23,10,0.697,16.79,7.46,,13,5,,14,4,,7,3,,2938,2630,,1335,917,2138,0.429,285,859,0.332,511,715,0.715,398,1215,479,211,116,391,562
139,La Salle,33,16,17,0.485,-1.62,0.85,,6,12,,11,6,,3,10,,2398,2411,,1340,866,1942,0.446,223,633,0.352,456,636,0.717,351,1235,443,165,118,357,504
140,Lafayette,32,11,21,0.344,-11.17,-6.01,,10,8,,5,10,,6,9,,2010,2154,,1300,752,1801,0.418,237,692,0.342,413,559,0.739,323,1184,387,201,99,376,471
141,Lamar,33,19,14,0.576,-5.47,-8.28,,12,6,,11,3,,5,11,,2568,2406,,1340,808,1919,0.421,257,767,0.335,533,756,0.705,377,1161,473,240,101,463,613
142,Le Moyne,32,15,17,0.469,-11.07,-9.55,,9,7,,10,3,,5,14,,2318,2245,,1285,811,1916,0.423,273,829,0.329,350,492,0.711,355,1225,459,200,76,424,444
143,Lehigh,32,14,18,0.438,-7.47,-6.6,,9,9,,6,7,,8,11,,2326,2272,,1310,828,1880,0.44,240,695,0.345,376,541,0.695,262,1150,388,209,115,410,545
144,Liberty,32,18,14,0.563,1.58,-1.56,,7,9,,12,3,,2,8,,2362,2096,,1290,775,1769,0.438,179,571,0.313,367,506,0.725,252,1042,312,187,114,372,505
145,Lindenwood,31,9,22,0.29,-18.73,-7.23,,3,15,,4,10,,3,12,,2019,2266,,1245,781,1691,0.462,241,647,0.372,463,640,0.723,281,1119,400,192,118,388,569
146,Lipscomb,32,20,12,0.625,-1.94,-5.04,,11,5,,12,2,,6,9,,2626,2448,,1280,926,2015,0.46,268,754,0.355,328,459,0.715,324,1115,387,164,114,369,493
