,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent,,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,34,16,18,0.471,-4.12,-1.12,,10,10,,8,6,,5,10,,2452,2500,,1375,888,1923,0.462,199,613,0.325,525,766,0.685,342,1251,420,227,113,495,642
2,Air Force,31,9,22,0.29,-4.77,1.43,,2,16,,4,12,,5,8,,2051,2243,,1250,774,1631,0.475,219,598,0.366,476,637,0.747,297,1016,386,178,96,348,495
3,Akron NCAA,35,24,11,0.686,2.77,-2.08,,13,5,,13,1,,7,6,,2577,2316,,1405,853,1985,0.43,224,738,0.304,386,561,0.688,309,1134,391,205,87,404,599
4,Alabama NCAA,37,25,12,0.676,20.69,11.8,,13,5,,14,2,,5,5,,3335,3006,,1490,1028,2351,0.437,277,873,0.317,673,912,0.738,446,1324,472,273,163,418,739
5,Alabama A&M,35,12,23,0.343,-14.35,-7.52,,9,9,,7,5,,4,15,,2414,2653,,1405,856,2010,0.426,261,742,0.352,680,908,0.749,415,1258,463,331,114,492,701
6,Alabama State,32,13,19,0.406,-11.73,-6.87,,8,10,,7,5,,3,13,,2195,2221,,1303,721,1751,0.412,245,726,0.337,534,736,0.726,317,1260,385,196,152,468,514
7,Albany (NY),32,13,19,0.406,-6.6,-5.22,,5,11,,8,5,,5,13,,2517,2521,,1285,907,1944,0.467,167,576,0.29,540,744,0.726,323,1152,420,235,149,415,499
8,Alcorn State,32,14,18,0.438,-11.58,-5.61,,13,5,,7,3,,7,14,,2300,2477,,1285,841,1818,0.463,311,828,0.376,484,666,0.727,316,1028,500,203,129,378,572
9,American,32,16,16,0.5,-8.96,-8.79,,10,8,,8,7,,8,9,,2200,2176,,1291,776,1706,0.455,272,733,0.371,352,508,0.693,255,979,403,160,78,345,515
10,Appalachian State,34,27,7,0.794,6.04,-2.34,,16,2,,15,0,,8,5,,2665,2283,,1390,865,2225,0.389,226,732,0.309,327,472,0.693,393,1236,349,234,84,356,556
11,Arizona NCAA,36,27,9,0.75,24.54,9.45,,15,5,,15,1,,7,4,,3137,2594,,1465,949,2252,0.421,281,853,0.329,415,583,0.712,323,1175,496,250,132,483,684
12,Arizona State,32,14,18,0.438,4.58,9.55,,8,12,,10,5,,3,8,,2209,2368,,1285,850,1887,0.45,251,740,0.339,417,589,0.708,338,1298,490,186,85,439,535
13,Arkansas,33,16,17,0.485,6.12,8.15,,6,12,,12,6,,2,7,,2566,2633,,1340,909,2039,0.446,236,696,0.339,579,796,0.727,366,1200,428,213,96,365,685
14,Arkansas State,37,20,17,0.541,0.28,-1.53,,11,7,,10,3,,5,11,,2917,2850,,1485,1023,2234,0.458,212,602,0.352,592,778,0.761,377,1304,414,258,158,369,610
15,Arkansas-Pine Bluff,31,13,18,0.419,-15.56,-7.6,,8,10,,8,6,,5,12,,2483,2536,,1240,915,2011,0.455,234,768,0.305,472,657,0.718,374,1188,510,222,104,362,561
16,Army,32,10,22,0.313,-14.67,-8.93,,6,12,,6,11,,4,11,,1930,2059,,1295,734,1712,0.429,221,679,0.325,370,526,0.703,266,1086,413,224,95,348,478
17,Auburn NCAA,35,27,8,0.771,22.46,7.66,,13,5,,15,1,,5,5,,2909,2391,,1400,784,2029,0.386,205,678,0.302,618,842,0.734,403,1206,335,233,113,449,665
18,Austin Peay,35,19,16,0.543,-6.13,-4.85,,10,6,,14,3,,4,12,,2619,2561,,1425,910,1967,0.463,230,713,0.323,511,721,0.709,360,1241,423,151,119,400,557
19,Ball State,31,15,16,0.484,-6.68,-5.93,,7,11,,9,7,,6,8,,2280,2200,,1255,811,1821,0.445,220,643,0.342,358,505,0.709,298,1044,383,196,95,369,591
20,Baylor NCAA,35,24,11,0.686,19.5,10.71,,11,7,,15,2,,4,5,,2814,2489,,1430,904,1987,0.455,238,708,0.336,443,603,0.735,308,1023,479,244,120,414,665
21,Bellarmine,31,8,23,0.258,-11.79,-2.47,,4,12,,6,7,,2,16,,2153,2320,,1250,818,1813,0.451,279,800,0.349,405,551,0.735,298,1135,416,145,94,315,423
22,Belmont,33,20,13,0.606,2.79,1.44,,12,8,,12,2,,6,9,,2570,2493,,1325,914,2067,0.442,269,827,0.325,396,549,0.721,337,1194,492,222,97,398,541
23,Bethune-Cookman,34,17,17,0.5,-11.87,-8.87,,11,7,,11,2,,5,11,,2479,2467,,1375,806,1869,0.431,225,669,0.336,630,886,0.711,377,1213,470,284,101,562,606
24,Binghamton,30,15,15,0.5,-9.29,-5.21,,7,9,,10,4,,5,11,,2163,2167,,1210,754,1790,0.421,233,691,0.337,426,585,0.728,275,999,327,203,132,281,513
25,Boise State NCAA,33,22,11,0.667,13.31,7.35,,13,5,,13,3,,7,3,,2479,2221,,1330,796,1818,0.438,208,671,0.31,421,580,0.726,242,984,386,190,123,377,576
26,Boston College,36,20,16,0.556,9.48,7.25,,8,12,,10,6,,7,7,,2667,2587,,1450,932,2121,0.439,277,801,0.346,446,595,0.75,333,1235,476,225,123,386,541
27,Boston University,33,16,17,0.485,-9.93,-8.49,,10,8,,9,7,,7,10,,2193,2198,,1335,758,1777,0.427,247,718,0.344,433,630,0.687,253,1099,381,215,97,376,520
28,Bowling Green State,34,20,14,0.588,-4.93,-5.52,,10,8,,12,5,,5,7,,2502,2414,,1385,899,2028,0.443,254,700,0.363,362,533,0.679,301,1182,421,213,125,405,610
29,Bradley,35,23,12,0.657,9.48,2.96,,13,7,,14,3,,6,7,,2592,2348,,1415,804,1955,0.411,245,749,0.327,495,688,0.719,343,1156,398,234,72,438,539
30,Brigham Young NCAA,34,23,11,0.676,19.33,7.86,,10,8,,16,2,,3,7,,2768,2378,,1360,856,2003,0.427,218,681,0.32,448,641,0.699,306,1136,405,206,80,381,520
31,Brown,31,13,18,0.419,-3.6,-1.73,,8,6,,5,7,,6,8,,2212,2227,,1261,801,1797,0.446,226,687,0.329,399,573,0.696,290,1073,411,210,100,369,549
32,Bryant,33,20,13,0.606,-3.06,-3.54,,11,5,,11,3,,8,10,,2598,2488,,1330,874,2204,0.397,242,773,0.313,498,714,0.697,425,1401,405,242,107,416,568
33,Bucknell,33,14,19,0.424,-8.33,-6.39,,10,8,,6,8,,8,11,,2153,2217,,1335,781,1831,0.427,250,772,0.324,405,577,0.702,320,1112,470,210,104,353,534
34,Buffalo,31,4,27,0.129,-15.12,-2.82,,2,16,,2,13,,2,11,,2108,2471,,1245,913,1926,0.474,250,688,0.363,395,553,0.714,328,1140,488,238,91,331,455
35,Butler,33,18,15,0.545,12.18,9.49,,9,11,,12,6,,4,7,,2544,2432,,1350,921,2094,0.44,251,777,0.323,339,459,0.739,350,1187,448,240,136,380,504
36,Cal Poly,32,4,28,0.125,-13.64,-2.28,,0,20,,3,11,,0,16,,2037,2371,,1295,817,1778,0.46,191,543,0.352,546,744,0.734,360,1232,382,207,102,380,563
