Conference,Dates,Champ,Runner-up
American Athletic Conference,"Mar 14, 2019 - Mar 17, 2019",Cincinnati,Houston
Atlantic Coast Conference,"Mar 12, 2019 - Mar 16, 2019",Duke,Florida St.
America East Conference,"Mar 09, 2019 - Mar 16, 2019",Vermont,UMBC
Atlantic 10 Conference,"Mar 13, 2019 - Mar 17, 2019",St. Louis,St. Bonaventure
Atlantic Sun Conference,"Mar 04, 2019 - Mar 10, 2019",Liberty,Lipscomb
Big 12 Conference,"Mar 13, 2019 - Mar 16, 2019",Iowa St.,Kansas
Big East Conference,"Mar 13, 2019 - Mar 16, 2019",Villanova,Seton Hall
Big Sky Conference,"Mar 13, 2019 - Mar 16, 2019",Montana,Eastern Wash.
Big South Conference,"Mar 05, 2019 - Mar 10, 2019",Gardner-Webb,Radford
Big Ten Conference,"Mar 13, 2019 - Mar 17, 2019",Michigan St.,Michigan
Big West Conference,"Mar 14, 2019 - Mar 16, 2019",UC-Irvine,Cal St Fullerton
Colonial Athletic Association,"Mar 09, 2019 - Mar 12, 2019",Northeastern,Hofstra
Conference USA,"Mar 13, 2019 - Mar 16, 2019",Old Dominion,Western Ky.
Horizon League,"Mar 05, 2019 - Mar 12, 2019",Northern Ky.,Wright St.
Ivy League,"Mar 16, 2019 - Mar 17, 2019",Yale,Harvard
Metro Atlantic Athletic Conference,"Mar 07, 2019 - Mar 11, 2019",Iona,Monmouth
Mid-American Conference,"Mar 11, 2019 - Mar 16, 2019",Buffalo,Bowling Green
Mid-Eastern Athletic Conference,"Mar 11, 2019 - Mar 16, 2019",N.C. Central,Norfolk St.
Missouri Valley Conference,"Mar 07, 2019 - Mar 10, 2019",Bradley,UNI
Mountain West Conference,"Mar 13, 2019 - Mar 16, 2019",Utah St.,San Diego St.
Northeast Conference,"Mar 06, 2019 - Mar 12, 2019",FDU,St. Francis (PA)
Ohio Valley Conference,"Mar 06, 2019 - Mar 09, 2019",Murray St.,Belmont
Pac-12 Conference,"Mar 13, 2019 - Mar 16, 2019",Oregon,Washington
Patriot League,"Mar 05, 2019 - Mar 13, 2019",Colgate,Bucknell
Southeastern Conference,"Mar 13, 2019 - Mar 17, 2019",Auburn,Tennessee
Southern Conference,"Mar 08, 2019 - Mar 11, 2019",Wofford,UNC Greensboro
Southland Conference,"Mar 13, 2019 - Mar 16, 2019",Abilene Christ.,New Orleans
Summit League,"Mar 09, 2019 - Mar 12, 2019",North Dakota St.,Omaha
Sun Belt Conference,"Mar 12, 2019 - Mar 17, 2019",Georgia St.,UTA
Southwest Athletic Conference,"Mar 12, 2019 - Mar 16, 2019",Prairie View,Texas Southern
Western Athletic Conference,"Mar 14, 2019 - Mar 16, 2019",New Mexico St.,Grand Canyon
West Coast Conference,"Mar 07, 2019 - Mar 12, 2019",St. Mary's,Gonzaga
