,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent,,,,,,,,,,,,,,,,
10,Appalachian State,31,17,14,0.548,-2.59,-3.83,,10,8,,10,4,,5,8,,2102,1970,,1245,728,1862,0.391,215,729,0.295,299,407,0.735,341,1115,354,207,109,295,522
11,Arizona NCAA,37,24,13,0.649,22.94,13.72,,14,6,,13,3,,6,5,,3052,2711,,1490,953,2274,0.419,319,939,0.34,486,678,0.717,392,1202,495,229,105,425,655
12,Arizona State,33,13,20,0.394,10.62,13.32,,4,16,,5,9,,3,8,,2444,2533,,1335,893,2024,0.441,268,815,0.329,479,635,0.754,362,1226,483,254,120,377,598
13,Arkansas NCAA,36,22,14,0.611,17.09,11.7,,8,10,,14,4,,4,6,,2765,2571,,1450,916,2208,0.415,269,858,0.314,470,644,0.73,401,1279,441,241,98,439,625
14,Arkansas State,36,25,11,0.694,5.81,-2.4,,13,5,,14,2,,8,6,,2858,2528,,1450,873,2156,0.405,224,742,0.302,558,793,0.704,427,1361,423,224,131,435,598
15,Arkansas-Pine Bluff,31,6,25,0.194,-24.34,-8.44,,3,15,,4,8,,2,17,,2242,2602,,1240,894,1888,0.474,296,841,0.352,518,759,0.682,364,1195,522,283,99,385,505
16,Army,33,17,16,0.515,-12.11,-7.3,,10,8,,12,4,,4,11,,2416,2473,,1350,910,1986,0.458,284,832,0.341,369,527,0.7,332,1228,487,196,103,383,511
17,Auburn NCAA,38,32,6,0.842,28.68,15.13,,15,3,,13,2,,8,2,,3153,2638,,1525,894,2192,0.408,231,774,0.298,619,848,0.73,411,1276,361,232,107,458,672
18,Austin Peay,33,14,19,0.424,-9.57,-3.86,,8,10,,8,5,,4,13,,2362,2472,,1335,868,1867,0.465,253,676,0.374,483,664,0.727,339,1233,448,187,152,390,485
19,Ball State,31,14,17,0.452,-7.95,-6.49,,7,11,,8,7,,4,9,,2336,2300,,1250,829,1867,0.444,233,750,0.311,409,564,0.725,298,1062,433,201,87,313,618
20,Baylor NCAA,35,20,15,0.571,18.77,13.86,,10,10,,13,3,,3,9,,2664,2443,,1425,853,1938,0.44,283,798,0.355,454,646,0.703,349,1137,506,206,135,440,582
21,Bellarmine,31,5,26,0.161,-15.26,-4.88,,2,16,,5,10,,0,16,,2252,2484,,1250,857,1782,0.481,319,827,0.386,451,597,0.755,282,1045,469,212,69,320,461
22,Belmont,33,22,11,0.667,1.94,-0.12,,13,7,,11,5,,9,4,,2618,2529,,1325,917,1997,0.459,300,865,0.347,395,544,0.726,337,1185,505,231,112,409,517
23,Bethune-Cookman,33,17,16,0.515,-10.22,-6.7,,13,5,,8,2,,7,12,,2265,2381,,1320,846,1968,0.43,227,726,0.313,462,637,0.725,361,1185,450,251,124,384,582
24,Binghamton,32,15,17,0.469,-13.5,-9.12,,7,9,,9,4,,5,12,,2233,2287,,1295,809,1896,0.427,231,747,0.309,438,613,0.715,308,1053,364,254,124,289,516
25,Boise State,37,26,11,0.703,13.86,5.75,,14,6,,13,2,,6,5,,2804,2477,,1485,891,2038,0.437,265,758,0.35,430,625,0.688,275,1065,401,188,113,406,670
26,Boston College,31,12,19,0.387,-0.25,5.14,,4,16,,9,8,,0,10,,2182,2349,,1275,821,1802,0.456,228,647,0.352,479,668,0.717,320,1105,397,200,97,330,518
27,Boston University,32,16,16,0.5,-11,-8.39,,10,8,,12,4,,3,12,,2148,2191,,1300,766,1706,0.449,252,695,0.363,407,544,0.748,234,949,408,235,94,350,516
28,Bowling Green State,32,14,18,0.438,-9.53,-6.1,,8,10,,8,8,,5,8,,2352,2366,,1280,837,1874,0.447,259,806,0.321,433,555,0.78,299,1121,460,205,135,400,534
29,Bradley,37,28,9,0.757,6.4,0.24,,15,5,,14,4,,9,3,,2823,2535,,1500,856,2115,0.405,288,900,0.32,535,734,0.729,378,1223,442,258,83,410,633
30,Brigham Young NCAA,36,26,10,0.722,19.07,10.21,,14,6,,15,2,,6,5,,2931,2612,,1465,910,2109,0.431,348,975,0.357,444,621,0.715,340,1140,482,235,94,421,606
31,Brown,27,14,13,0.519,-5.21,-4.28,,6,8,,8,6,,6,7,,1950,1933,,1095,698,1626,0.429,201,611,0.329,336,475,0.707,300,965,330,185,98,296,387
32,Bryant NCAA,35,23,12,0.657,-1.99,-6.93,,14,2,,12,3,,10,7,,2862,2598,,1405,936,2248,0.416,258,792,0.326,468,652,0.718,399,1282,404,231,83,424,598
33,Bucknell,33,18,15,0.545,-5.35,-6.23,,13,5,,12,4,,6,10,,2443,2414,,1380,836,1934,0.432,273,786,0.347,469,684,0.686,325,1125,423,253,102,395,603
34,Buffalo,31,9,22,0.29,-15.16,-3.92,,4,14,,6,9,,3,13,,2226,2508,,1240,916,1947,0.47,259,709,0.365,417,578,0.721,344,1199,489,271,102,389,534
35,Butler,35,15,20,0.429,10.03,10.14,,6,14,,9,8,,2,9,,2616,2620,,1405,995,2252,0.442,266,836,0.318,362,480,0.754,376,1214,483,236,115,271,625
36,Cal Poly,35,16,19,0.457,-2.47,-0.68,,8,12,,9,5,,5,13,,2873,2901,,1420,1029,2241,0.459,304,895,0.34,539,712,0.757,420,1323,516,319,107,501,592
37,Cal State Bakersfield,33,14,19,0.424,-5.93,-2.26,,8,12,,9,6,,4,11,,2434,2430,,1330,798,1750,0.456,250,727,0.344,584,782,0.747,310,1040,418,182,104,431,616
38,Cal State Fullerton,32,6,26,0.188,-15.96,0.37,,1,19,,4,11,,2,15,,2024,2475,,1280,856,1869,0.458,296,845,0.35,467,627,0.745,323,1132,477,268,105,364,605
39,Cal State Northridge,33,22,11,0.667,1.83,-3.36,,14,6,,10,3,,10,7,,2650,2406,,1325,740,1830,0.404,323,921,0.351,603,788,0.765,279,1045,456,255,108,486,629
40,California,33,14,19,0.424,5.48,6.69,,6,14,,11,6,,2,11,,2494,2534,,1360,911,1945,0.468,240,638,0.376,472,637,0.741,322,1154,390,221,129,375,635
41,California Baptist,32,17,15,0.531,-1.13,-2.35,,9,7,,11,5,,4,8,,2280,2241,,1295,818,1820,0.449,189,570,0.332,416,608,0.684,323,1092,324,204,113,395,531
42,Campbell,32,15,17,0.469,-5.39,-4.96,,10,8,,8,6,,7,10,,2246,2169,,1285,803,1758,0.457,199,648,0.307,364,533,0.683,291,1101,423,198,103,420,527
43,Canisius,31,3,28,0.097,-19.26,-5.42,,3,17,,1,12,,2,15,,2008,2437,,1240,876,1770,0.495,262,724,0.362,423,556,0.761,325,1127,517,191,97,337,389
44,Central Arkansas,33,9,24,0.273,-15.16,-4.29,,4,14,,7,7,,1,17,,2318,2578,,1350,928,2021,0.459,404,1052,0.384,318,440,0.723,330,1215,564,253,122,386,490
45,Central Connecticut State,32,25,7,0.781,-4.47,-11.21,,14,2,,13,3,,12,3,,2312,2012,,1285,770,1871,0.412,239,775,0.308,233,344,0.677,290,1027,397,198,69,393,422
46,Central Michigan,31,14,17,0.452,-4.51,-2.8,,7,11,,8,6,,6,10,,2341,2237,,1250,792,1821,0.435,267,792,0.337,386,551,0.701,307,1007,424,199,99,406,565
47,Charleston Southern,32,10,22,0.313,-11.12,-2.45,,6,10,,7,5,,3,14,,2307,2503,,1295,940,1955,0.481,189,567,0.333,434,622,0.698,302,1100,395,234,109,310,635
48,Charlotte,33,11,22,0.333,-5.45,-0.63,,3,15,,8,8,,1,12,,2328,2460,,1345,890,1848,0.482,211,637,0.331,469,685,0.685,302,1143,409,180,116,319,628
49,Chattanooga,38,29,9,0.763,2.37,-2.94,,15,3,,14,3,,12,5,,3030,2772,,1555,972,2212,0.439,313,905,0.346,515,739,0.697,368,1264,478,217,106,425,615
50,Chicago State,32,4,28,0.125,-21.12,-4.97,,4,12,,3,7,,1,19,,2001,2518,,1290,883,1846,0.478,260,727,0.358,492,682,0.721,359,1295,508,220,98,404,461
51,Cincinnati,35,19,16,0.543,14.23,9.28,,7,13,,12,5,,4,9,,2491,2318,,1400,858,1993,0.431,228,690,0.33,374,496,0.754,344,1176,418,207,103,457,495
52,Clemson NCAA,34,27,7,0.794,17.81,7.51,,18,2,,15,2,,9,3,,2586,2236,,1390,819,1915,0.428,232,728,0.319,366,533,0.687,358,1110,358,210,103,452,553
53,Cleveland State,36,23,13,0.639,-1.55,-3.85,,14,6,,14,4,,7,7,,2631,2395,,1445,816,1896,0.43,259,746,0.347,504,725,0.695,387,1187,452,230,134,546,574
54,Coastal Carolina,32,10,22,0.313,-12.13,-5.93,,3,15,,6,8,,3,13,,2136,2275,,1285,783,1855,0.422,213,675,0.316,496,677,0.733,331,1102,334,219,111,224,553
55,Colgate,33,14,19,0.424,-7.71,-6.4,,10,8,,10,4,,4,13,,2379,2388,,1330,876,1920,0.456,283,758,0.373,353,499,0.707,290,1101,468,221,99,364,442
56,College of Charleston,33,24,9,0.727,-0.6,-3.38,,13,5,,13,2,,7,5,,2549,2437,,1340,895,2050,0.437,264,821,0.322,383,536,0.715,338,1183,481,221,118,384,561
57,Colorado,35,14,21,0.4,9.62,11.74,,3,17,,11,7,,0,10,,2441,2515,,1410,876,2028,0.432,273,800,0.341,490,698,0.702,352,1161,442,297,119,390,641
58,Colorado State NCAA,36,26,10,0.722,13.94,6.05,,16,4,,14,2,,7,4,,2707,2423,,1455,854,2025,0.422,255,769,0.332,460,672,0.685,332,1147,398,221,97,403,622
59,Columbia,27,12,15,0.444,-9.18,-5.7,,1,13,,9,6,,3,9,,2117,2109,,1080,774,1655,0.468,264,693,0.381,297,405,0.733,245,929,493,167,100,324,431
60,Connecticut NCAA,35,24,11,0.686,17.87,8.87,,14,6,,14,2,,7,4,,2696,2381,,1420,795,1889,0.421,226,646,0.35,565,775,0.729,330,1041,351,197,98,359,563
61,Coppin State,30,6,24,0.2,-21.26,-5.71,,4,10,,5,6,,1,17,,1867,2292,,1205,808,1670,0.484,232,644,0.36,444,620,0.716,312,1114,462,240,142,434,497
62,Cornell,29,18,11,0.621,0.91,-3.76,,9,5,,9,5,,8,5,,2467,2248,,1160,813,1812,0.449,240,705,0.34,382,551,0.693,306,986,436,193,58,329,475
63,Creighton NCAA,36,25,11,0.694,16.49,11.04,,15,5,,15,2,,6,5,,2717,2521,,1450,979,2364,0.414,272,834,0.326,291,406,0.717,390,1234,419,284,114,285,570
64,Dartmouth,28,14,14,0.5,-4.74,-5.43,,8,6,,9,4,,5,9,,2166,2013,,1125,766,1785,0.429,200,676,0.296,281,410,0.685,257,1020,388,193,80,292,483
65,Davidson,33,17,16,0.515,1.02,0.46,,6,12,,11,6,,4,7,,2393,2334,,1320,849,1890,0.449,270,764,0.353,366,525,0.697,297,1117,419,189,95,348,523
66,Dayton,34,23,11,0.676,8.14,4.05,,12,6,,16,2,,6,5,,2564,2408,,1380,847,1935,0.438,271,826,0.328,443,594,0.746,333,1116,430,210,115,403,611
67,Delaware,36,16,20,0.444,-6.11,-4.14,,5,13,,8,7,,3,11,,2780,2803,,1440,1008,2214,0.455,267,760,0.351,520,704,0.739,412,1307,456,219,120,395,566
68,Delaware State,30,16,14,0.533,-12.24,-9.05,,8,6,,11,2,,3,11,,2360,2229,,1210,769,1724,0.446,218,689,0.316,473,659,0.718,315,1018,434,193,90,447,537
69,Denver,32,11,21,0.344,-10.4,-3.02,,5,11,,8,6,,3,12,,2316,2483,,1300,818,1708,0.479,222,636,0.349,625,859,0.728,298,1089,396,208,84,414,571
70,DePaul,34,14,20,0.412,5.3,7.33,,4,16,,11,8,,2,10,,2463,2532,,1390,934,2056,0.454,252,727,0.347,412,587,0.702,346,1191,505,251,108,365,498
71,Detroit Mercy,32,8,24,0.25,-13.46,-3.11,,4,16,,6,7,,2,15,,2146,2428,,1300,807,1868,0.432,289,878,0.329,525,732,0.717,350,1149,473,232,115,342,519
72,Drake NCAA,35,31,4,0.886,9.6,1.27,,17,3,,14,2,,10,1,,2444,2062,,1425,723,1635,0.442,192,630,0.305,424,577,0.735,243,887,347,182,81,476,598
73,Drexel,33,18,15,0.545,-3.64,-5.61,,9,9,,8,6,,7,7,,2322,2207,,1345,808,1944,0.416,215,691,0.311,376,542,0.694,358,1081,391,233,97,313,474
74,Duke NCAA,39,35,4,0.897,30.72,10.26,,19,1,,17,0,,10,1,,3246,2448,,1560,879,2287,0.384,273,877,0.311,417,572,0.729,402,1207,443,206,119,443,647
75,Duquesne,32,13,19,0.406,1.18,0.89,,8,10,,9,7,,2,8,,2212,2155,,1290,730,1684,0.433,218,607,0.359,477,659,0.724,315,1065,390,212,103,430,521
76,East Carolina,33,19,14,0.576,-0.69,-0.82,,10,8,,12,6,,4,6,,2502,2434,,1345,863,1953,0.442,260,687,0.378,448,609,0.736,353,1147,481,204,113,393,570
77,East Tennessee State,32,19,13,0.594,-1.07,-5.2,,12,6,,13,3,,6,9,,2301,2128,,1280,750,1764,0.425,241,717,0.336,387,577,0.671,323,1066,375,192,105,408,517
78,East Texas A&M,31,5,26,0.161,-12.38,-1.86,,3,17,,4,10,,1,16,,1995,2321,,1245,827,1746,0.474,226,604,0.374,441,637,0.692,361,1139,491,286,119,420,476
79,Eastern Illinois,31,12,19,0.387,-12.62,-5.91,,8,12,,7,7,,4,12,,2062,2140,,1250,714,1680,0.425,257,741,0.347,455,642,0.709,325,1124,439,191,139,464,519
80,Eastern Kentucky,32,18,14,0.563,-3.86,-4.46,,12,6,,10,3,,7,9,,2491,2408,,1300,870,1902,0.457,248,698,0.355,420,596,0.705,365,1197,430,185,104,416,500
81,Eastern Michigan,32,16,16,0.5,-9.21,-5.38,,9,9,,9,5,,6,10,,2355,2449,,1290,838,1823,0.46,263,711,0.37,510,685,0.745,331,1077,419,236,96,395,584
82,Eastern Washington,32,10,22,0.313,-8.85,-2.11,,6,12,,8,6,,2,14,,2283,2415,,1280,835,1787,0.467,249,681,0.366,496,676,0.734,332,1071,451,248,85,419,534
83,Elon,33,17,16,0.515,-4.32,-4.94,,8,10,,10,4,,6,9,,2433,2315,,1325,832,2058,0.404,289,888,0.325,362,506,0.715,396,1087,467,247,87,296,585
84,Evansville,32,11,21,0.344,-6.02,0.34,,8,12,,7,9,,4,11,,2113,2263,,1280,767,1824,0.421,272,810,0.336,457,621,0.736,325,1153,414,235,77,355,501
85,Fairfield,32,12,20,0.375,-14.52,-7.68,,8,12,,8,6,,3,12,,2161,2324,,1285,835,1797,0.465,236,659,0.358,418,545,0.767,313,1164,440,191,115,397,495
86,FDU,33,13,20,0.394,-11.96,-8.06,,8,8,,9,5,,4,15,,2431,2415,,1341,877,1989,0.441,220,730,0.301,441,587,0.751,371,1229,439,221,100,419,551
87,Florida NCAA,40,36,4,0.9,27.78,12.6,,14,4,,15,1,,7,3,,3391,2784,,1600,976,2441,0.4,267,909,0.294,565,794,0.712,460,1336,441,261,123,469,701
88,Florida A&M,31,14,17,0.452,-13.37,-6.03,,10,8,,9,3,,4,13,,2235,2334,,1242,810,1824,0.444,225,659,0.341,489,701,0.698,350,1089,380,232,89,345,512
89,Florida Atlantic,34,18,16,0.529,3.72,1.96,,10,8,,8,6,,6,7,,2677,2569,,1375,895,2067,0.433,273,738,0.37,506,689,0.734,388,1223,461,254,105,395,581
90,Florida Gulf Coast,34,19,15,0.559,-2.89,-4.92,,13,5,,11,5,,7,9,,2454,2370,,1360,830,1951,0.425,297,845,0.351,413,574,0.72,313,1089,413,209,105,319,460
91,Florida International,33,10,23,0.303,-6.72,-1.66,,3,15,,7,8,,1,13,,2285,2380,,1340,823,1858,0.443,244,731,0.334,490,676,0.725,326,1145,466,267,107,486,577
92,Florida State,32,17,15,0.531,8.43,6.43,,8,12,,11,5,,2,9,,2383,2319,,1285,779,1864,0.418,251,785,0.32,510,699,0.73,364,1136,395,198,86,431,608
93,Fordham,33,12,21,0.364,-4.44,0.59,,3,15,,8,8,,2,10,,2452,2573,,1335,911,1942,0.469,217,622,0.349,534,746,0.716,346,1199,447,241,120,398,578
94,Fresno State,32,6,26,0.188,-5.6,4.4,,2,18,,5,9,,1,14,,2262,2582,,1315,964,2068,0.466,304,890,0.342,350,485,0.722,400,1313,555,216,132,418,586
95,Furman,35,25,10,0.714,-0.15,-3.27,,11,7,,13,3,,9,6,,2702,2443,,1415,877,2076,0.422,258,810,0.319,431,586,0.735,376,1199,410,248,103,394,567
96,Gardner-Webb,31,11,20,0.355,-8.21,-3.86,,5,11,,5,6,,3,13,,2287,2422,,1240,853,1859,0.459,228,706,0.323,488,692,0.705,335,1044,432,246,101,321,567
97,George Mason,36,27,9,0.75,7.2,0.83,,15,3,,18,2,,7,6,,2564,2296,,1470,778,2031,0.383,288,935,0.308,452,632,0.715,387,1160,415,258,119,461,682
98,George Washington,34,21,13,0.618,2,-1.7,,9,9,,13,4,,5,6,,2489,2327,,1375,846,2001,0.423,247,782,0.316,388,528,0.735,393,1185,443,272,149,450,588
99,Georgetown,34,18,16,0.529,8.18,5.77,,8,12,,14,5,,3,9,,2447,2365,,1360,834,1938,0.43,258,768,0.336,439,576,0.762,331,1161,459,241,120,450,509
100,Georgia NCAA,33,20,13,0.606,16.36,10.94,,8,10,,15,3,,3,7,,2486,2307,,1320,810,1959,0.413,250,791,0.316,437,593,0.737,381,1077,402,264,109,407,655
101,Georgia Southern,33,17,16,0.515,-7.53,-5.47,,8,10,,11,3,,4,11,,2449,2505,,1340,836,1924,0.435,245,765,0.32,588,825,0.713,399,1259,426,227,140,429,514
102,Georgia State,33,14,19,0.424,-7.51,-3.01,,8,10,,9,6,,3,11,,2479,2583,,1325,944,2138,0.442,293,889,0.33,402,561,0.717,398,1188,503,229,114,308,554
103,Georgia Tech,34,17,17,0.5,6.3,5.89,,10,10,,14,6,,2,9,,2485,2471,,1380,875,2079,0.421,298,848,0.351,423,584,0.724,357,1212,482,242,127,375,555
104,Gonzaga NCAA,35,26,9,0.743,23.75,7.27,,14,4,,13,2,,8,2,,3024,2447,,1415,871,2105,0.414,256,847,0.302,449,616,0.729,351,1149,429,189,121,449,617
105,Grambling,34,12,22,0.353,-12.44,-7.57,,7,11,,6,7,,4,12,,2271,2301,,1370,816,1955,0.417,234,673,0.348,435,589,0.739,357,1180,431,266,116,420,520
106,Grand Canyon NCAA,34,26,8,0.765,4.97,-2.63,,13,3,,16,1,,5,4,,2661,2362,,1365,836,2027,0.412,224,701,0.32,466,643,0.725,359,1146,399,228,116,507,687
107,Green Bay,32,4,28,0.125,-13.21,-2.53,,2,18,,3,11,,1,17,,2237,2570,,1285,909,1923,0.473,285,765,0.373,467,677,0.69,349,1185,505,214,125,320,549
108,Hampton,33,17,16,0.515,-5.21,-4.01,,8,10,,10,4,,4,9,,2391,2309,,1325,791,1736,0.456,212,641,0.331,515,718,0.717,284,1083,429,193,102,427,521
109,Harvard,27,12,15,0.444,-7.89,-3.92,,7,7,,7,5,,5,10,,1848,1945,,1085,729,1587,0.459,198,590,0.336,289,386,0.749,279,947,375,186,91,316,374
110,Hawaii,31,15,16,0.484,-3.57,-1.02,,7,13,,13,7,,2,9,,2173,2208,,1250,782,1794,0.436,205,583,0.352,439,588,0.747,258,933,319,229,80,277,599
111,High Point NCAA,35,29,6,0.829,5.3,-5.19,,14,2,,16,1,,7,3,,2858,2413,,1405,846,1982,0.427,230,703,0.327,491,702,0.699,366,1089,362,174,93,405,638
112,Hofstra,33,15,18,0.455,-4.97,-3.88,,6,12,,6,7,,5,9,,2202,2141,,1340,707,1833,0.386,249,737,0.338,478,680,0.703,336,1176,376,197,94,362,506
113,Holy Cross,32,13,19,0.406,-12.54,-7.37,,5,13,,7,6,,4,13,,2227,2307,,1290,872,1902,0.458,242,728,0.332,321,469,0.684,292,1076,454,213,80,299,439
114,Houston NCAA,40,35,5,0.875,28.45,13.45,,19,1,,16,1,,10,0,,2946,2346,,1625,786,2054,0.383,269,892,0.302,505,703,0.718,386,1263,457,198,108,529,630
115,Houston Christian,32,12,20,0.375,-8.17,-2.97,,9,11,,8,7,,4,12,,2111,2220,,1280,838,1782,0.47,181,563,0.321,363,520,0.698,322,1133,370,240,98,381,478
116,Howard,32,12,20,0.375,-12.02,-6.88,,7,7,,8,6,,3,11,,2480,2538,,1290,871,1913,0.455,220,649,0.339,576,753,0.765,350,1094,390,235,90,377,597
117,Idaho,33,14,19,0.424,-8,-3.49,,8,10,,8,6,,5,11,,2430,2493,,1325,882,1892,0.466,261,750,0.348,468,678,0.69,342,1131,452,218,103,351,557
118,Idaho State,30,15,15,0.5,-3.95,-4.02,,10,8,,10,4,,5,10,,2230,2099,,1205,758,1662,0.456,231,619,0.373,352,508,0.693,243,883,406,175,114,364,543
119,Illinois NCAA,35,22,13,0.629,21.59,12.79,,12,8,,13,4,,5,5,,2927,2619,,1411,972,2298,0.423,236,702,0.336,439,619,0.709,361,1174,446,235,103,315,639
120,Illinois State,36,22,14,0.611,1.91,-0.57,,10,10,,12,4,,5,7,,2727,2585,,1445,906,2000,0.453,298,845,0.353,475,632,0.752,287,1125,431,194,91,387,623
121,Illinois-Chicago,31,17,14,0.548,-0.63,0.58,,10,10,,9,5,,7,6,,2357,2286,,1260,826,1850,0.446,223,664,0.336,411,579,0.71,294,1043,472,208,113,357,539
122,Incarnate Word,36,19,17,0.528,-5.61,-5.23,,9,11,,11,5,,4,10,,2659,2508,,1450,890,1982,0.449,227,649,0.35,501,709,0.707,370,1145,431,239,111,426,549
123,Indiana,32,19,13,0.594,14.63,12,,10,10,,14,4,,4,6,,2389,2305,,1285,827,1904,0.434,242,741,0.327,409,564,0.725,320,1079,428,216,104,363,574
124,Indiana State,32,14,18,0.438,-3.15,-0.65,,8,12,,8,6,,4,9,,2563,2545,,1295,893,1934,0.462,257,736,0.349,502,703,0.714,304,1110,427,257,107,376,553
125,Iona,34,17,17,0.5,-8.58,-7.78,,12,8,,7,7,,7,7,,2369,2396,,1370,820,1845,0.444,268,821,0.326,488,657,0.743,342,1112,497,242,147,536,528
126,Iowa,33,17,16,0.515,12.85,10.06,,7,13,,12,6,,2,8,,2722,2630,,1325,975,2042,0.477,273,793,0.344,407,578,0.704,366,1218,527,197,92,423,526
127,Iowa State NCAA,35,25,10,0.714,22.33,10.33,,13,7,,15,2,,6,5,,2812,2392,,1420,841,2001,0.42,275,818,0.336,435,580,0.75,340,1100,468,261,114,533,635
128,IU Indy,32,10,22,0.313,-11.52,-4.24,,6,14,,6,8,,4,12,,2402,2458,,1285,866,1822,0.475,270,765,0.353,456,617,0.739,317,1099,509,174,126,355,523
129,Jackson State,34,16,18,0.471,-9.39,-6.24,,14,4,,8,1,,6,15,,2428,2535,,1380,898,2063,0.435,293,860,0.341,446,631,0.707,374,1239,502,282,119,420,581
130,Jacksonville,33,19,14,0.576,-4.29,-3.8,,12,6,,11,3,,7,9,,2379,2360,,1325,833,1881,0.443,247,714,0.346,447,643,0.695,337,1089,405,263,118,428,526
131,Jacksonville State,36,23,13,0.639,1.76,0.12,,12,6,,12,2,,8,8,,2653,2464,,1450,882,2146,0.411,314,918,0.342,386,553,0.698,339,1186,464,211,113,322,542
132,James Madison,32,20,12,0.625,-1.72,-2.68,,13,5,,13,2,,5,8,,2365,2256,,1290,801,1829,0.438,222,647,0.343,432,602,0.718,318,1078,332,187,79,332,508
133,Kansas NCAA,34,21,13,0.618,20.09,13.56,,11,9,,14,3,,4,8,,2587,2365,,1375,837,2091,0.4,261,848,0.308,430,588,0.731,362,1180,440,257,126,371,491
134,Kansas City,33,13,20,0.394,-5.66,-3.04,,4,12,,9,5,,2,12,,2386,2218,,1320,778,1795,0.433,230,745,0.309,432,609,0.709,308,1018,382,204,84,410,566
135,Kansas State,33,16,17,0.485,10.89,9.67,,9,11,,10,6,,3,9,,2337,2297,,1325,837,1931,0.433,217,689,0.315,406,553,0.734,361,1175,463,221,117,407,530
136,Kennesaw State,33,19,14,0.576,0.5,0.83,,10,8,,12,3,,5,8,,2526,2417,,1330,815,1967,0.414,244,755,0.323,543,790,0.687,335,1124,416,273,122,371,598
137,Kent State,36,24,12,0.667,1.42,-2.67,,11,7,,11,4,,10,6,,2647,2459,,1445,826,1968,0.42,257,818,0.314,550,741,0.742,337,1159,463,224,117,455,603
138,Kentucky NCAA,36,24,12,0.667,21.26,14.04,,10,8,,15,3,,4,6,,3040,2780,,1445,990,2268,0.437,302,991,0.305,498,695,0.717,364,1271,465,229,104,369,637
139,La Salle,33,14,19,0.424,-3.64,1.02,,5,13,,10,5,,2,10,,2376,2465,,1325,894,1983,0.451,270,823,0.328,407,585,0.696,341,1215,492,202,123,385,538
140,Lafayette,33,13,20,0.394,-10.19,-8.35,,7,11,,10,6,,3,14,,2261,2274,,1337,821,1889,0.435,253,716,0.353,379,516,0.734,315,1166,446,205,71,379,537
141,Lamar,33,20,13,0.606,-2.17,-2.64,,14,6,,10,4,,9,6,,2306,2170,,1325,763,1870,0.408,223,708,0.315,421,630,0.668,374,1159,428,252,121,415,525
142,Le Moyne,32,9,23,0.281,-17.81,-8.35,,4,12,,6,7,,2,16,,2371,2566,,1315,884,1912,0.462,288,788,0.365,510,699,0.73,357,1144,503,242,96,378,554
143,Lehigh,30,11,19,0.367,-10.29,-6.71,,6,12,,8,5,,3,14,,2110,2143,,1210,766,1724,0.444,194,619,0.313,417,569,0.733,278,1048,361,189,83,326,502
144,Liberty NCAA,35,28,7,0.8,7.42,-0.99,,13,5,,12,3,,9,2,,2655,2219,,1405,823,2032,0.405,207,718,0.288,366,497,0.736,335,1203,330,215,87,423,501
145,Lindenwood,33,16,17,0.485,-13.17,-7.27,,10,10,,11,3,,3,12,,2348,2354,,1340,831,1948,0.427,243,733,0.332,449,640,0.702,363,1235,420,243,138,484,599
146,Lipscomb NCAA,35,25,10,0.714,4.39,-4.43,,14,4,,15,3,,10,6,,2752,2371,,1405,911,2134,0.427,247,798,0.31,302,452,0.668,345,1187,358,217,108,391,553
