,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent,,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,32,16,16,0.5,-5.84,-2.39,,8,8,,10,5,,5,10,,2260,2250,,1290,747,1677,0.445,181,577,0.314,575,826,0.696,314,1077,384,259,143,547,568
2,Air Force,32,4,28,0.125,-8.07,3.65,,1,19,,3,13,,0,14,,1982,2357,,1290,845,1758,0.481,231,637,0.363,436,623,0.7,294,1096,411,218,103,327,558
3,Akron NCAA,35,28,7,0.8,3.22,-3.75,,17,1,,16,0,,8,4,,2941,2627,,1405,934,2158,0.433,263,824,0.319,496,692,0.717,376,1227,418,246,88,444,578
4,Alabama NCAA,37,28,9,0.757,25.54,16.14,,13,5,,12,3,,9,3,,3355,3007,,1490,1074,2523,0.426,265,873,0.304,594,837,0.71,462,1364,481,288,153,382,758
5,Alabama A&M,32,10,22,0.313,-20.52,-9.93,,6,12,,8,9,,2,12,,2337,2521,,1300,834,1816,0.459,260,675,0.385,591,853,0.693,370,1198,484,289,97,514,598
6,Alabama State NCAA,36,20,16,0.556,-8.99,-8.19,,12,6,,8,3,,6,10,,2630,2607,,1445,893,2044,0.437,272,816,0.333,549,791,0.694,388,1426,448,183,120,474,577
7,Albany (NY),33,17,16,0.515,-9.75,-8.55,,8,8,,7,7,,8,8,,2463,2437,,1335,873,1806,0.483,220,626,0.351,471,647,0.728,279,1080,435,186,155,460,520
8,Alcorn State,32,11,21,0.344,-14.06,-6.96,,11,7,,6,3,,5,17,,2081,2307,,1285,805,1795,0.448,273,809,0.337,424,585,0.725,343,1090,489,215,136,390,503
9,American NCAA,35,22,13,0.629,-7.64,-6.85,,13,5,,14,2,,5,10,,2406,2370,,1420,852,1863,0.457,216,652,0.331,450,643,0.7,295,1129,430,209,97,418,548
