Pick Number,Team,Player,Height,Weight,Position,School ,Class
1, *Philadelphia,Markelle Fultz,4-Jun,190,PG,Washington,Fr.
2, LA Lakers,Lonzo Ball,6-Jun,190,PG,UCLA,Fr.
3, *Boston,Jayson Tatum,8-Jun,205,SF,Duke,Fr.
4, Phoenix,Josh Jackson,8-Jun,205,SG/SF,Kansas,Fr.
5, Sacramento,De'Aaron Fox,3-Jun,170,PG,Kentucky,Fr.
6, Orlando,Dennis Smith,2-Jun,195,PG,NC State,Fr.
7, Chicago,Jonathan Isaac,10-Jun,210,SF/PF,Florida St.,Fr.
8, New York,Frank Ntilikina,5-Jun,190,PG,France,Intl.
9, Dallas,Malik Monk,3-Jun,200,SG,Kentucky,Fr.
10, *Portland,Lauri Markkanen,Jul-00,230,PF,Arizona,Fr.
11, Charlotte,Zach Collins,11-Jun,230,C,Gonzaga,Fr.
12, Detroit,Luke Kennard,6-Jun,195,SG,Duke,So.
13, *Utah,John Collins,9-Jun,225,PF/C,Wake Forest,So.
14, Miami,Donovan Mitchell,2-Jun,210,SG,Louisville,So.
15, Sacramento,TJ Leaf,10-Jun,225,PF,UCLA,Fr.
16, *Minnesota,Justin Jackson,8-Jun,200,SF,North Carolina,Jr.
17, Milwaukee,Bam Adebayo,10-Jun,245,PF/C,Kentucky,Fr.
18, Indiana,Terrance Ferguson,7-Jun,185,SG,USA,Intl.
19, Atlanta,Justin Patton,11-Jun,230,C,Creighton,Fr.
20, *Sacramento,Jarrett Allen,10-Jun,235,C,Texas,Fr.
21, Oklahoma Cty,Frank Jackson,3-Jun,200,PG/SG,Duke,Fr.
22, *Brooklyn,DJ Wilson,10-Jun,235,PF,Michigan,Jr.
23, *Toronto,Jawun Evans,Jun-00,185,PG,Oklahoma State,So.
24, *Denver,Kyle Kuzma,9-Jun,225,PF,Utah,Jr.
25, *Philadelphia,Harry Giles,10-Jun,230,PF/C,Duke,Fr.
26, *Portland,Caleb Swanigan,9-Jun,250,PF/C,Purdue,So.
27, *LA Lakers,Isaiah Hartenstein,Jul-00,250,PF,Germany,Intl.
28, *Utah,Jordan Bell,8-Jun,225,PF/C,Oregon,Jr.
29, San Antonio,Ivan Rabb,10-Jun,220,PF/C,California,So.
30, *LA Lakers,Tony Bradley,10-Jun,250,C,North Carolina,Fr.
32, Phoenix,OG Anunoby,7-Jun,235,SF/PF,Indiana,So.
33, *Orlando,Wesley Iwundu,7-Jun,195,SG/SF,Kansas State,Sr.
34, *Sacramento,Tyler Lydon,9-Jun,215,PF,Syracuse,So.
35, *Memphis,Frank Mason,Jun-00,190,PG,Kansas,Sr.
36, *Philadelphia,Jonah Bolden,10-Jun,235,PF,Australia,Intl.
37, *Boston,Cam Oliver,8-Jun,240,PF,Nevada,So.
38, *Golden St.,Ike Anigbogu,10-Jun,250,C,UCLA,Fr.
39, *LA Clippers,Josh Hart,5-Jun,210,SG,Villanova,Sr.
40, Charlotte,PJ Dozier,6-Jun,200,PG/SG,South Carolina,So.
41, *Atlanta,Sindarius Thornw...,5-Jun,210,SG,South Carolina,Sr.
42, *LA Lakers,Mathias Lessort,9-Jun,235,PF,France,Intl.
43, *Houston,Tyler Dorsey,4-Jun,185,SG,Oregon,So.
44, *New York,Anzejs Pasecniks,1-Jul,220,C,Latvia,Intl.
45, *Houston,Damyean Dotson,6-Jun,205,SG/SF,Houston,Sr.
46, *Milwaukee,Semi Ojeleye,6-Jun,240,SF/PF,SMU,Jr.
47, Indiana,Dillon Brooks,6-Jun,220,SF,Oregon,Jr.
48, LA Clippers,Sterling Brown,5-Jun,225,SG/SF,SMU,Sr.
49, *Denver,Vlatko Cancar,9-Jun,210,SF/PF,Slovenia,Intl.
50, *Philadelphia,Alec Peters,8-Jun,235,PF,Valparaiso,Sr.
51, *Denver,Jaron Blossomgame,7-Jun,220,SF,Clemson,Sr.
52, *Indiana,Johnathan Motley,9-Jun,240,PF,Baylor,Jr.
53, *Boston,Kadeem Allen,2-Jun,190,SG,Arizona,Sr.
54, *Phoenix,Monte Morris,2-Jun,175,PG,Iowa St.,Sr.
55, Utah,Edmond Sumner,5-Jun,175,PG/SG,Xavier,So.
56, *Boston,Isaiah Hicks,8-Jun,235,PF,North Carolina,Sr.
57, *Brooklyn,Wesley Da Silva,6-Jun,190,SG/SF,Brazil,Intl.
58, *New York,Charles Cooke,5-Jun,190,SG,Dayton,Sr.
59, San Antonio,Dwayne Bacon,6-Jun,220,SG/SF,Florida St.,So.
60, *Atlanta,Kobi Simmons,4-Jun,170,PG/SG,Arizona,Fr.
