,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent Advanced,,,,,,,,,,,,
34,Buffalo,31,9,22,0.29,-15.16,-3.92,,4,14,,6,9,,3,13,,2226,2508,,73.3,110.4,0.297,0.364,0.564,52.9,53.4,11.9,10,0.537,14.9,30.5,0.214
35,Butler,35,15,20,0.429,10.03,10.14,,6,14,,9,8,,2,9,,2616,2620,,67.6,110.4,0.213,0.371,0.528,49.9,48.5,9.9,10.1,0.501,9.9,28.9,0.161
36,Cal Poly,35,16,19,0.457,-2.47,-0.68,,8,12,,9,5,,5,13,,2873,2901,,75,109,0.318,0.399,0.562,52,50.1,12,10,0.527,16.3,32.6,0.241
37,Cal State Bakersfield,33,14,19,0.424,-5.93,-2.26,,8,12,,9,6,,4,11,,2434,2430,,67.6,108.1,0.447,0.415,0.573,47,52.4,8.1,7.6,0.527,16.9,29.3,0.334
38,Cal State Fullerton,32,6,26,0.188,-15.96,0.37,,1,19,,4,11,,2,15,,2024,2475,,68.8,112.5,0.335,0.452,0.571,51.5,55.7,12.2,9.3,0.537,14.4,29.8,0.25
39,Cal State Northridge,33,22,11,0.667,1.83,-3.36,,14,6,,10,3,,10,7,,2650,2406,,72.8,99.8,0.431,0.503,0.546,44.1,61.6,10.6,7.7,0.493,18.1,23.7,0.33
40,California,33,14,19,0.424,5.48,6.69,,6,14,,11,6,,2,11,,2494,2534,,67.8,109.9,0.328,0.328,0.564,48.2,42.8,9.6,10.4,0.53,14.3,28.8,0.243
41,California Baptist,32,17,15,0.531,-1.13,-2.35,,9,7,,11,5,,4,8,,2280,2241,,67.5,102.6,0.334,0.313,0.531,48.7,39.6,9.3,9.1,0.501,15.8,29.6,0.229
42,Campbell,32,15,17,0.469,-5.39,-4.96,,10,8,,8,6,,7,10,,2246,2169,,66.5,101.5,0.303,0.369,0.539,52,52.7,9.3,9.7,0.513,17.3,27.9,0.207
43,Canisius,31,3,28,0.097,-19.26,-5.42,,3,17,,1,12,,2,15,,2008,2437,,66.2,118.8,0.314,0.409,0.599,58.4,59,9.3,9.9,0.569,14.2,34.3,0.239
44,Central Arkansas,33,9,24,0.273,-15.16,-4.29,,4,14,,7,7,,1,17,,2318,2578,,67.9,112.4,0.218,0.521,0.578,50.7,60.8,11,11.8,0.559,14.8,28.9,0.157
45,Central Connecticut State,32,25,7,0.781,-4.47,-11.21,,14,2,,13,3,,12,3,,2312,2012,,66.5,94.2,0.184,0.414,0.494,47.5,51.6,9.3,5.9,0.475,16.2,25.1,0.125
46,Central Michigan,31,14,17,0.452,-4.51,-2.8,,7,11,,8,6,,6,10,,2341,2237,,69.6,102.9,0.303,0.435,0.537,47.3,53.5,9.2,8.3,0.508,16.3,28,0.212
47,Charleston Southern,32,10,22,0.313,-11.12,-2.45,,6,10,,7,5,,3,14,,2307,2503,,69.6,111,0.318,0.29,0.556,48.1,42,10.4,10.5,0.529,12.1,27.1,0.222
48,Charlotte,33,11,22,0.333,-5.45,-0.63,,3,15,,8,8,,1,12,,2328,2460,,65.4,111.8,0.371,0.345,0.566,52.5,46,8.2,10.9,0.539,12.8,28.8,0.254
49,Chattanooga,38,29,9,0.763,2.37,-2.94,,15,3,,14,3,,12,5,,3030,2772,,67.4,105.7,0.334,0.409,0.541,50,49.2,8.3,8.8,0.51,14.2,27.9,0.233
50,Chicago State,32,4,28,0.125,-21.12,-4.97,,4,12,,3,7,,1,19,,2001,2518,,69,113.2,0.369,0.394,0.58,56.9,57.5,9.9,8.9,0.549,15.7,33.6,0.267
51,Cincinnati,35,19,16,0.543,14.23,9.28,,7,13,,12,5,,4,9,,2491,2318,,66.6,99.5,0.249,0.346,0.52,49.1,48.7,8.9,7.9,0.488,17,29.5,0.188
52,Clemson NCAA,34,27,7,0.794,17.81,7.51,,18,2,,15,2,,9,3,,2586,2236,,65,98.9,0.278,0.38,0.516,48,43.7,9.3,8.4,0.488,17.3,30.4,0.191
53,Cleveland State,36,23,13,0.639,-1.55,-3.85,,14,6,,14,4,,7,7,,2631,2395,,66.7,99.3,0.382,0.393,0.535,49.2,55.4,9.5,9.3,0.499,19.6,32.8,0.266
54,Coastal Carolina,32,10,22,0.313,-12.13,-5.93,,3,15,,6,8,,3,13,,2136,2275,,64.4,109.9,0.365,0.364,0.523,48.5,42.7,10.6,10.7,0.48,9.3,28,0.267
55,Colgate,33,14,19,0.424,-7.71,-6.4,,10,8,,10,4,,4,13,,2379,2388,,66.9,107.3,0.26,0.395,0.554,50.8,53.4,9.9,9.1,0.53,14.4,26.3,0.184
56,College of Charleston,33,24,9,0.727,-0.6,-3.38,,13,5,,13,2,,7,5,,2549,2437,,70.3,103.5,0.261,0.4,0.529,49.9,53.7,9.4,10,0.501,14.3,27.7,0.187
57,Colorado,35,14,21,0.4,9.62,11.74,,3,17,,11,7,,0,10,,2441,2515,,68.2,104.7,0.344,0.394,0.533,48.6,50.5,12.4,9.9,0.499,14.2,28.3,0.242
58,Colorado State NCAA,36,26,10,0.722,13.94,6.05,,16,4,,14,2,,7,4,,2707,2423,,66.3,100.5,0.332,0.38,0.517,47.7,46.6,9.2,8.5,0.485,14.7,25.8,0.227
59,Columbia,27,12,15,0.444,-9.18,-5.7,,1,13,,9,6,,3,9,,2117,2109,,71.2,109.7,0.245,0.419,0.571,49.7,63.7,8.7,10,0.547,14.9,26.5,0.179
60,Connecticut NCAA,35,24,11,0.686,17.87,8.87,,14,6,,14,2,,7,4,,2696,2381,,64.6,103.9,0.41,0.342,0.527,45.4,44.2,8.6,8.5,0.481,13.7,27.8,0.299
61,Coppin State,30,6,24,0.2,-21.26,-5.71,,4,10,,5,6,,1,17,,1867,2292,,69.2,109.9,0.371,0.386,0.583,54.8,57.2,11.5,12.7,0.553,18.1,33.2,0.266
62,Cornell,29,18,11,0.621,0.91,-3.76,,9,5,,9,5,,8,5,,2467,2248,,72.2,107.3,0.304,0.389,0.542,49.3,53.6,9.2,6.4,0.515,13.7,28.8,0.211
63,Creighton NCAA,36,25,11,0.694,16.49,11.04,,15,5,,15,2,,6,5,,2717,2521,,67.7,102.7,0.172,0.353,0.493,47.8,42.8,11.6,10.9,0.472,10,27.2,0.123
64,Dartmouth,28,14,14,0.5,-4.74,-5.43,,8,6,,9,4,,5,9,,2166,2013,,71.9,99.6,0.23,0.379,0.508,49,50.7,9.5,8.8,0.485,12.9,24,0.157
65,Davidson,33,17,16,0.515,1.02,0.46,,6,12,,11,6,,4,7,,2393,2334,,66.6,106.3,0.278,0.404,0.545,50.5,49.4,8.6,8.6,0.521,14,26.4,0.194
66,Dayton,34,23,11,0.676,8.14,4.05,,12,6,,16,2,,6,5,,2564,2408,,66.1,105.5,0.307,0.427,0.543,49.1,50.8,9.2,10.2,0.508,15.4,28.7,0.229
67,Delaware,36,16,20,0.444,-6.11,-4.14,,5,13,,8,7,,3,11,,2780,2803,,70.4,110.6,0.318,0.343,0.55,53.2,45.2,8.6,9.7,0.516,13.4,31.8,0.235
68,Delaware State,30,16,14,0.533,-12.24,-9.05,,8,6,,11,2,,3,11,,2360,2229,,71.8,102.7,0.382,0.4,0.547,47.6,56.4,8.9,6.1,0.509,18,30.3,0.274
69,Denver,32,11,21,0.344,-10.4,-3.02,,5,11,,8,6,,3,12,,2316,2483,,68.7,111.2,0.503,0.372,0.587,52.5,48.4,9.3,7.3,0.544,16.4,29.7,0.366
70,DePaul,34,14,20,0.412,5.3,7.33,,4,16,,11,8,,2,10,,2463,2532,,67.7,107.6,0.286,0.354,0.542,50.4,54.1,10.7,10.2,0.516,13.5,28.7,0.2
71,Detroit Mercy,32,8,24,0.25,-13.46,-3.11,,4,16,,6,7,,2,15,,2146,2428,,67.7,110.4,0.392,0.47,0.548,48.8,58.6,10.6,8.5,0.509,13.4,29.8,0.281
72,Drake NCAA,35,31,4,0.886,9.6,1.27,,17,3,,14,2,,10,1,,2444,2062,,60.2,96.2,0.353,0.385,0.54,45.1,48,8.5,7.3,0.501,20,25.1,0.259
73,Drexel,33,18,15,0.545,-3.64,-5.61,,9,9,,8,6,,7,7,,2322,2207,,64.2,102.3,0.279,0.355,0.501,47.1,48.4,10.8,8.1,0.471,12.4,29.6,0.193
74,Duke NCAA,39,35,4,0.897,30.72,10.26,,19,1,,17,0,,10,1,,3246,2448,,66.6,94.3,0.25,0.383,0.478,44.8,50.4,7.9,9.4,0.444,14.8,27.3,0.182
75,Duquesne,32,13,19,0.406,1.18,0.89,,8,10,,9,7,,2,8,,2212,2155,,65.4,102.1,0.391,0.36,0.54,49.4,53.4,10,9.8,0.498,17.7,30.5,0.283
76,East Carolina,33,19,14,0.576,-0.69,-0.82,,10,8,,12,6,,4,6,,2502,2434,,68,106.4,0.312,0.352,0.543,48.3,55.7,8.9,8.6,0.508,14.9,30.6,0.229
77,East Tennessee State,32,19,13,0.594,-1.07,-5.2,,12,6,,13,3,,6,9,,2301,2128,,66.1,100.5,0.327,0.406,0.522,47.3,50,9.1,9.5,0.493,16.7,29.2,0.219
78,East Texas A&M,31,5,26,0.161,-12.38,-1.86,,3,17,,4,10,,1,16,,1995,2321,,67.8,110,0.365,0.346,0.566,54.6,59.4,13.6,13.4,0.538,17,35.9,0.253
79,Eastern Illinois,31,12,19,0.387,-12.62,-5.91,,8,12,,7,7,,4,12,,2062,2140,,67.9,100.9,0.382,0.441,0.539,50.7,61.5,9,10.9,0.501,18.9,30.6,0.271
80,Eastern Kentucky,32,18,14,0.563,-3.86,-4.46,,12,6,,10,3,,7,9,,2491,2408,,68.7,107.8,0.313,0.367,0.551,50.3,49.4,8.3,8.7,0.523,16,32.7,0.221
81,Eastern Michigan,32,16,16,0.5,-9.21,-5.38,,9,9,,9,5,,6,10,,2355,2449,,68.3,111.1,0.376,0.39,0.57,50.8,50,10.7,8.6,0.532,15.5,31.4,0.28
82,Eastern Washington,32,10,22,0.313,-8.85,-2.11,,6,12,,8,6,,2,14,,2283,2415,,68.4,110.3,0.378,0.381,0.573,52.7,54,11.3,7.5,0.537,16.6,32.5,0.278
83,Elon,33,17,16,0.515,-4.32,-4.94,,8,10,,10,4,,6,9,,2433,2315,,66.2,105.5,0.246,0.431,0.504,45.3,56.1,11.3,8.1,0.474,11.4,30.6,0.176
84,Evansville,32,11,21,0.344,-6.02,0.34,,8,12,,7,9,,4,11,,2113,2263,,67.1,105.4,0.34,0.444,0.534,52.2,54,10.9,7.4,0.495,14.3,28.7,0.251
85,Fairfield,32,12,20,0.375,-14.52,-7.68,,8,12,,8,6,,3,12,,2161,2324,,66.7,108.5,0.303,0.367,0.565,52.5,52.7,8.9,9.6,0.53,16.2,30.8,0.233
86,FDU,33,13,20,0.394,-11.96,-8.06,,8,8,,9,5,,4,15,,2431,2415,,69.2,104.2,0.295,0.367,0.532,52.3,50.1,9.5,8.9,0.496,15.6,31.7,0.222
87,Florida NCAA,40,36,4,0.9,27.78,12.6,,14,4,,15,1,,7,3,,3391,2784,,70.6,98.6,0.325,0.372,0.494,44.4,45.2,9.2,8.7,0.455,14.3,29,0.231
88,Florida A&M,31,14,17,0.452,-13.37,-6.03,,10,8,,9,3,,4,13,,2235,2334,,69.3,108.7,0.384,0.361,0.541,50.7,46.9,10.8,9.7,0.506,13.8,31.5,0.268
89,Florida Atlantic,34,18,16,0.529,3.72,1.96,,10,8,,8,6,,6,7,,2677,2569,,69.8,107.1,0.333,0.357,0.536,49.4,51.5,10.6,8.6,0.499,14.2,30.7,0.245
90,Florida Gulf Coast,34,19,15,0.559,-2.89,-4.92,,13,5,,11,5,,7,9,,2454,2370,,65.6,106.2,0.294,0.433,0.533,47.4,49.8,9.4,8.6,0.502,12.5,26.4,0.212
91,Florida International,33,10,23,0.303,-6.72,-1.66,,3,15,,7,8,,1,13,,2285,2380,,69.6,102.1,0.364,0.393,0.546,49.7,56.6,11.5,7.9,0.509,18.2,29.4,0.264
92,Florida State,32,17,15,0.531,8.43,6.43,,8,12,,11,5,,2,9,,2383,2319,,70.2,102.8,0.375,0.421,0.528,50.6,50.7,8.8,7.1,0.485,16.4,31.8,0.274
93,Fordham,33,12,21,0.364,-4.44,0.59,,3,15,,8,8,,2,10,,2452,2573,,70.5,109.3,0.384,0.32,0.56,50,49.1,10.2,10.2,0.525,14.8,30.2,0.275
94,Fresno State,32,6,26,0.188,-5.6,4.4,,2,18,,5,9,,1,14,,2262,2582,,70.7,111,0.235,0.43,0.562,54.1,57.6,9.3,10.6,0.54,15.4,34,0.169
95,Furman,35,25,10,0.714,-0.15,-3.27,,11,7,,13,3,,9,6,,2702,2443,,67,103,0.282,0.39,0.519,48.6,46.8,10.5,10.4,0.485,14.3,29.4,0.208
96,Gardner-Webb,31,11,20,0.355,-8.21,-3.86,,5,11,,5,6,,3,13,,2287,2422,,70.2,111.3,0.372,0.38,0.554,48,50.6,11.3,8.5,0.52,12.8,30.2,0.263
97,George Mason,36,27,9,0.75,7.2,0.83,,15,3,,18,2,,7,6,,2564,2296,,65.3,95.7,0.311,0.46,0.492,47,53.3,10.8,9.9,0.454,16.5,29,0.223
98,George Washington,34,21,13,0.618,2,-1.7,,9,9,,13,4,,5,6,,2489,2327,,67.5,100.2,0.264,0.391,0.517,49.9,52.4,11.7,13.5,0.485,16.7,32.3,0.194
99,Georgetown,34,18,16,0.529,8.18,5.77,,8,12,,14,5,,3,9,,2447,2365,,68.4,101.6,0.297,0.396,0.535,49.2,55,10.4,9.4,0.497,16.9,28.9,0.227
100,Georgia NCAA,33,20,13,0.606,16.36,10.94,,8,10,,15,3,,3,7,,2486,2307,,68.6,101.9,0.303,0.404,0.515,47.2,49.6,11.7,9.3,0.477,15.4,31.9,0.223
101,Georgia Southern,33,17,16,0.515,-7.53,-5.47,,8,10,,11,3,,4,11,,2449,2505,,70,106.8,0.429,0.398,0.541,50.5,51,9.7,12.2,0.498,15.6,33,0.306
102,Georgia State,33,14,19,0.424,-7.51,-3.01,,8,10,,9,6,,3,11,,2479,2583,,69.8,111.8,0.262,0.416,0.537,48.6,53.3,9.9,8.6,0.51,11.4,31.6,0.188
103,Georgia Tech,34,17,17,0.5,6.3,5.89,,10,10,,14,6,,2,9,,2485,2471,,69,103.8,0.281,0.408,0.524,49,55.1,10.2,9.8,0.493,13.7,28.6,0.203
104,Gonzaga NCAA,35,26,9,0.743,23.75,7.27,,14,4,,13,2,,8,2,,3024,2447,,70.4,98.3,0.293,0.402,0.51,46.2,49.3,7.6,8.2,0.475,15.8,26.9,0.213
105,Grambling,34,12,22,0.353,-12.44,-7.57,,7,11,,6,7,,4,12,,2271,2301,,67,100.3,0.301,0.344,0.515,50.8,52.8,11.6,9.5,0.477,15.8,29.7,0.223
106,Grand Canyon NCAA,34,26,8,0.765,4.97,-2.63,,13,3,,16,1,,5,4,,2661,2362,,72.5,95.4,0.317,0.346,0.506,47.5,47.7,9.2,8.8,0.468,17.9,28.9,0.23
107,Green Bay,32,4,28,0.125,-13.21,-2.53,,2,18,,3,11,,1,17,,2237,2570,,69,115.9,0.352,0.398,0.572,55.3,55.6,9.7,13.5,0.547,12.5,31.4,0.243
108,Hampton,33,17,16,0.515,-5.21,-4.01,,8,10,,10,4,,4,9,,2391,2309,,67,104.1,0.414,0.369,0.556,47.5,54.2,8.7,8,0.517,17.1,27.2,0.297
109,Harvard,27,12,15,0.444,-7.89,-3.92,,7,7,,7,5,,5,10,,1848,1945,,66.7,107.5,0.243,0.372,0.549,52.6,51.4,10.3,9.9,0.522,15.1,30.7,0.182
110,Hawaii,31,15,16,0.484,-3.57,-1.02,,7,13,,13,7,,2,9,,2173,2208,,66.7,105.9,0.328,0.325,0.532,45.8,40.8,11,7.8,0.493,11.8,24.5,0.245
111,High Point NCAA,35,29,6,0.829,5.3,-5.19,,14,2,,16,1,,7,3,,2858,2413,,67.1,102.4,0.354,0.355,0.521,46.3,42.8,7.4,7.5,0.485,14.9,29.5,0.248
112,Hofstra,33,15,18,0.455,-4.97,-3.88,,6,12,,6,7,,5,9,,2202,2141,,64.9,98.4,0.371,0.402,0.497,50.1,53.2,9.1,8.9,0.454,14.4,27.6,0.261
113,Holy Cross,32,13,19,0.406,-12.54,-7.37,,5,13,,7,6,,4,13,,2227,2307,,66.2,108.1,0.247,0.383,0.543,50.8,52.1,10,7.6,0.522,12.3,26.7,0.169
114,Houston NCAA,40,35,5,0.875,28.45,13.45,,19,1,,16,1,,10,0,,2946,2346,,62.4,92.5,0.342,0.434,0.491,46.1,58.1,7.8,6.9,0.448,18.1,28.6,0.246
115,Houston Christian,32,12,20,0.375,-8.17,-2.97,,9,11,,8,7,,4,12,,2111,2220,,65.3,106.2,0.292,0.316,0.547,53.1,44.2,11.5,10,0.521,15.8,31.4,0.204
116,Howard,32,12,20,0.375,-12.02,-6.88,,7,7,,8,6,,3,11,,2480,2538,,71.5,110,0.394,0.339,0.559,50.1,44.8,10.2,8.2,0.513,14.2,31.3,0.301
117,Idaho,33,14,19,0.424,-8,-3.49,,8,10,,8,6,,5,11,,2430,2493,,67.1,112.1,0.358,0.396,0.563,50.4,51.2,9.8,10.4,0.535,13.7,30.6,0.247
118,Idaho State,30,15,15,0.5,-3.95,-4.02,,10,8,,10,4,,5,10,,2230,2099,,66.7,104.4,0.306,0.372,0.551,43.6,53.6,8.7,10.1,0.526,16.1,25.2,0.212
119,Illinois NCAA,35,22,13,0.629,21.59,12.79,,12,8,,13,4,,5,5,,2927,2619,,72.3,102.7,0.269,0.305,0.505,44,45.9,9.2,8.7,0.474,10.8,25.8,0.191
120,Illinois State,36,22,14,0.611,1.91,-0.57,,10,10,,12,4,,5,7,,2727,2585,,66.1,108.2,0.316,0.423,0.562,49.2,47.6,8.1,8.7,0.528,14.4,24.5,0.238
121,Illinois-Chicago,31,17,14,0.548,-0.63,0.58,,10,10,,9,5,,7,6,,2357,2286,,69.1,105,0.313,0.359,0.538,48.2,57.1,9.5,10.2,0.507,14.4,27.1,0.222
122,Incarnate Word,36,19,17,0.528,-5.61,-5.23,,9,11,,11,5,,4,10,,2659,2508,,65.4,105.7,0.358,0.327,0.541,47.5,48.4,10.1,8.2,0.506,15.5,30.8,0.253
123,Indiana,32,19,13,0.594,14.63,12,,10,10,,14,4,,4,6,,2389,2305,,69.1,103.9,0.296,0.389,0.531,48.1,51.8,9.7,8.2,0.498,14.3,28.1,0.215
124,Indiana State,32,14,18,0.438,-3.15,-0.65,,8,12,,8,6,,4,9,,2563,2545,,72.4,108.6,0.363,0.381,0.561,49.4,47.8,11,11.2,0.528,14.2,26.5,0.26
125,Iona,34,17,17,0.5,-8.58,-7.78,,12,8,,7,7,,7,7,,2369,2396,,68.6,102,0.356,0.445,0.555,46.9,60.6,10.3,10.9,0.517,19.9,30.9,0.264
126,Iowa,33,17,16,0.515,12.85,10.06,,7,13,,12,6,,2,8,,2722,2630,,71.4,111.2,0.283,0.388,0.568,53.6,54.1,8.3,7.6,0.544,15.4,32.2,0.199
127,Iowa State NCAA,35,25,10,0.714,22.33,10.33,,13,7,,15,2,,6,5,,2812,2392,,69.4,97.1,0.29,0.409,0.525,47,55.6,10.6,8.9,0.489,19,27.9,0.217
128,IU Indy,32,10,22,0.313,-11.52,-4.24,,6,14,,6,8,,4,12,,2402,2458,,66.8,114.6,0.339,0.42,0.581,50.6,58.8,8.1,12.7,0.549,14.4,31,0.25
129,Jackson State,34,16,18,0.471,-9.39,-6.24,,14,4,,8,1,,6,15,,2428,2535,,70.1,104.8,0.306,0.417,0.536,49.9,55.9,11.7,9.1,0.506,15.1,30,0.216
130,Jacksonville,33,19,14,0.576,-4.29,-3.8,,12,6,,11,3,,7,9,,2379,2360,,68.7,103.7,0.342,0.38,0.54,47.6,48.6,11.6,9,0.509,16.4,30.1,0.238
131,Jacksonville State,36,23,13,0.639,1.76,0.12,,12,6,,12,2,,8,8,,2653,2464,,66,103,0.258,0.428,0.511,46.2,52.6,8.8,8.5,0.484,11.8,25.5,0.18
132,James Madison,32,20,12,0.625,-1.72,-2.68,,13,5,,13,2,,5,8,,2365,2256,,65.9,106.1,0.329,0.354,0.533,48.6,41.4,8.8,7.6,0.499,13.6,28.9,0.236
133,Kansas NCAA,34,21,13,0.618,20.09,13.56,,11,9,,14,3,,4,8,,2587,2365,,69.2,99.4,0.281,0.406,0.499,47.4,52.6,10.8,9.1,0.463,13.5,27.6,0.206
134,Kansas City,33,13,20,0.394,-5.66,-3.04,,4,12,,9,5,,2,12,,2386,2218,,66.3,101.4,0.339,0.415,0.532,46.6,49.1,9.3,8,0.497,16.4,28.4,0.241
135,Kansas State,33,16,17,0.485,10.89,9.67,,9,11,,10,6,,3,9,,2337,2297,,67.9,102.1,0.286,0.357,0.524,51.2,55.3,9.8,10.1,0.49,15.6,31.7,0.21
