,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Abilene Christian,32,16,16,0.5,-5.84,-2.39,,8,8,,10,5,,5,10,,2260,2250,,71.1,98.2,0.493,0.344,0.544,49.9,51.4,11.3,10.5,0.499,20.9,30.2,0.343
2,Air Force,32,4,28,0.125,-8.07,3.65,,1,19,,3,13,,0,14,,1982,2357,,64.7,113,0.354,0.362,0.574,53.4,48.6,10.5,12.4,0.546,13.7,29,0.248
3,Akron NCAA,35,28,7,0.8,3.22,-3.75,,17,1,,16,0,,8,4,,2941,2627,,72.5,103.1,0.321,0.382,0.528,47.7,44.8,9.7,7.2,0.494,15.1,28.7,0.23
4,Alabama NCAA,37,28,9,0.757,25.54,16.14,,13,5,,12,3,,9,3,,3355,3007,,76,106.2,0.332,0.346,0.515,46.5,44.8,10.2,12.1,0.478,11.6,29.4,0.235
5,Alabama A&M,32,10,22,0.313,-20.52,-9.93,,6,12,,8,9,,2,12,,2337,2521,,73,106.2,0.47,0.372,0.567,50.5,58,12.2,8.4,0.531,18.8,33.8,0.325
6,Alabama State NCAA,36,20,16,0.556,-8.99,-8.19,,12,6,,8,3,,6,10,,2630,2607,,69.5,103.8,0.387,0.399,0.539,52.3,50.2,7.3,9.1,0.503,16.4,30.5,0.269
7,Albany (NY),33,17,16,0.515,-9.75,-8.55,,8,8,,7,7,,8,8,,2463,2437,,68.7,106.3,0.358,0.347,0.577,49.2,49.8,8.1,11.9,0.544,17.9,27.8,0.261
8,Alcorn State,32,11,21,0.344,-14.06,-6.96,,11,7,,6,3,,5,17,,2081,2307,,66.3,108.3,0.326,0.451,0.556,50.1,60.7,10.1,10.5,0.525,15.8,32.6,0.236
9,American NCAA,35,22,13,0.629,-7.64,-6.85,,13,5,,14,2,,5,10,,2406,2370,,64.4,103.7,0.345,0.35,0.546,51.6,50.5,9.1,9.4,0.515,16.2,27.3,0.242
10,Appalachian State,31,17,14,0.548,-2.59,-3.83,,10,8,,10,4,,5,8,,2102,1970,,64.5,98.2,0.219,0.392,0.479,49.3,48.6,10.3,11,0.449,12.6,28.8,0.161
11,Arizona NCAA,37,24,13,0.649,22.94,13.72,,14,6,,13,3,,6,5,,3052,2711,,70.4,103.3,0.298,0.413,0.522,45,51.9,8.7,7.1,0.489,14.1,27.9,0.214
12,Arizona State,33,13,20,0.394,10.62,13.32,,4,16,,5,9,,3,8,,2444,2533,,70.1,108.2,0.314,0.403,0.545,52.2,54.1,10.9,11,0.507,13.9,30.3,0.237
13,Arkansas NCAA,36,22,14,0.611,17.09,11.7,,8,10,,14,4,,4,6,,2765,2571,,70.3,100.9,0.292,0.389,0.511,49.9,48.1,9.5,7.3,0.476,14.9,29.9,0.213
14,Arkansas State,36,25,11,0.694,5.81,-2.4,,13,5,,14,2,,8,6,,2858,2528,,70.4,99,0.368,0.344,0.499,48.1,48.5,8.8,10.3,0.457,14.7,30.2,0.259
15,Arkansas-Pine Bluff,31,6,25,0.194,-24.34,-8.44,,3,15,,4,8,,2,17,,2242,2602,,73.1,114.9,0.402,0.445,0.579,53.2,58.4,12.5,8.7,0.552,14.6,32.8,0.274
16,Army,33,17,16,0.515,-12.11,-7.3,,10,8,,12,4,,4,11,,2416,2473,,67.7,108.2,0.265,0.419,0.553,51.5,53.5,8.6,8.8,0.53,14.6,28.8,0.186
17,Auburn NCAA,38,32,6,0.842,28.68,15.13,,15,3,,13,2,,8,2,,3153,2638,,69.2,100,0.387,0.353,0.508,47.3,40.4,8.8,7.7,0.461,15,29.7,0.282
18,Austin Peay,33,14,19,0.424,-9.57,-3.86,,8,10,,8,5,,4,13,,2362,2472,,67.2,110.2,0.356,0.362,0.566,53.2,51.6,8.3,13,0.533,15.2,30.9,0.259
19,Ball State,31,14,17,0.452,-7.95,-6.49,,7,11,,8,7,,4,9,,2336,2300,,69,106.7,0.302,0.402,0.539,49.1,52.2,9.3,8.1,0.506,12.8,26.9,0.219
20,Baylor NCAA,35,20,15,0.571,18.77,13.86,,10,10,,13,3,,3,9,,2664,2443,,65.8,104.2,0.333,0.412,0.544,47.5,59.3,8.8,10.6,0.513,16.4,30.3,0.234
21,Bellarmine,31,5,26,0.161,-15.26,-4.88,,2,16,,5,10,,0,16,,2252,2484,,67.6,117.6,0.335,0.464,0.601,53.5,54.7,10,7.1,0.57,13.4,28.6,0.253
22,Belmont,33,22,11,0.667,1.94,-0.12,,13,7,,11,5,,9,4,,2618,2529,,70.4,108.4,0.272,0.433,0.561,50.9,55.1,9.9,9.9,0.534,15.4,29,0.198
23,Bethune-Cookman,33,17,16,0.515,-10.22,-6.7,,13,5,,8,2,,7,12,,2265,2381,,69.6,103.6,0.324,0.369,0.524,50.2,53.2,10.9,10,0.488,14.5,30,0.235
24,Binghamton,32,15,17,0.469,-13.5,-9.12,,7,9,,9,4,,5,12,,2233,2287,,66.8,105.7,0.323,0.394,0.523,47.8,45,11.7,11.3,0.488,11.7,26.3,0.231
25,Boise State,37,26,11,0.703,13.86,5.75,,14,6,,13,2,,6,5,,2804,2477,,66.3,100.6,0.307,0.372,0.53,44.4,45,7.6,9.4,0.502,14.8,22.5,0.211
26,Boston College,31,12,19,0.387,-0.25,5.14,,4,16,,9,8,,0,10,,2182,2349,,66.8,110.3,0.371,0.359,0.554,50.9,48.4,9.4,8,0.519,13.5,30,0.266
27,Boston University,32,16,16,0.5,-11,-8.39,,10,8,,12,4,,3,12,,2148,2191,,64.1,105.2,0.319,0.407,0.558,45.8,53.3,11.3,9.3,0.523,15.1,23.2,0.239
28,Bowling Green State,32,14,18,0.438,-9.53,-6.1,,8,10,,8,8,,5,8,,2352,2366,,70.1,105.4,0.296,0.43,0.553,50.5,55,9.1,12.1,0.516,15.8,27.1,0.231
29,Bradley,37,28,9,0.757,6.4,0.24,,15,5,,14,4,,9,3,,2823,2535,,66.4,101.8,0.347,0.426,0.514,49,51.6,10.4,7.1,0.473,14.3,28.1,0.253
30,Brigham Young NCAA,36,26,10,0.722,19.07,10.21,,14,6,,15,2,,6,5,,2931,2612,,68.1,104.8,0.294,0.462,0.543,45.7,53,9.4,8.3,0.514,14.9,26.4,0.211
31,Brown,27,14,13,0.519,-5.21,-4.28,,6,8,,8,6,,6,7,,1950,1933,,67.4,104.7,0.292,0.376,0.522,49.6,47.3,10,10.3,0.491,13.8,30.5,0.207
32,Bryant NCAA,35,23,12,0.657,-1.99,-6.93,,14,2,,12,3,,10,7,,2862,2598,,73.4,100.7,0.29,0.352,0.508,47.1,43.2,9,5.6,0.474,14.2,29.1,0.208
33,Bucknell,33,18,15,0.545,-5.35,-6.23,,13,5,,12,4,,6,10,,2443,2414,,67.4,103.8,0.354,0.406,0.534,50.2,50.6,10.9,9.3,0.503,14.9,28,0.243
